"Student Counts by School and Race"
"All Districts, All Schools"
"2013-14"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",13,"*",39,0,26,478,562
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,"*",7,43,0,"*",196,251
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",43,11,10,0,"*",369,436
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,18,6,81,0,7,299,411
"Bethel School District","""0090011""","Bethel High School","""0096111""",0,65,19,116,0,24,709,933
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,43,12,100,0,17,500,672
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",0,28,"*",57,"*",18,439,556
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,39,9,61,"*","*",299,417
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","*","*",490,38,0,6,18,555
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,7,188,17,0,"*","*",216
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",175,33,0,"*","*",213
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""",0,"*",117,31,0,"*",63,220
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*","*",267,23,0,8,17,318
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",0,0,10,"*",0,0,"*",13
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,"*",186,28,"*",6,6,231
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""","*","*",109,50,0,20,125,321
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,17,36,24,0,6,445,528
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,6,13,12,0,10,293,334
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","*","*",14,16,0,"*",207,243
"Branford School District","""0140011""","Branford High School","""0146111""","*",83,37,84,0,"*",822,1050
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",65,34,72,0,"*",746,942
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*","*",0,0,0,34,36
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",16,"*",57,0,9,284,374
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",0,20,"*",19,0,"*",352,400
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",0,61,18,39,0,12,290,420
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",0,"*",35,47,0,"*",20,115
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","*",7,469,341,0,"*",10,835
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""","*",10,85,68,"*","*",67,235
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",171,427,0,"*",21,626
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",0,42,500,503,"*","*",66,1120
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*",7,143,209,"*","*",11,376
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""",0,"*",73,101,0,"*",51,229
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,"*",91,192,0,"*",117,406
"Bridgeport School District","""0150011""","Blackham School","""0154011""",6,53,339,540,"*","*",183,1127
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,29,"*",0,0,"*",57
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""",0,"*",42,55,0,0,"*",116
"Bridgeport School District","""0150011""","Bryant School","""0150411""","*",30,147,201,0,"*",29,413
"Bridgeport School District","""0150011""","Central High School","""0156211""","*",63,818,724,"*",12,209,1838
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""","*",53,242,820,"*","*",52,1173
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",10,213,101,0,"*",11,340
"Bridgeport School District","""0150011""","Columbus School","""0150511""","*","*",312,524,0,"*",45,886
"Bridgeport School District","""0150011""","Cross School","""0153911""","*","*",232,168,0,0,9,413
"Bridgeport School District","""0150011""","Curiale School","""0154211""","*",33,323,326,"*",7,43,737
