"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,13,32,16,0,522,583
"Bolton School District","""0120011""","Bolton High School","""0126111""","*","*",10,"*",0,279,297
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",0,"*","*",10,0,234,256
"Branford School District","""0140011""","Branford High School","""0146111""","*",74,"*",41,0,957,1109
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",82,"*",71,0,911,1113
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*","*",6,0,50,58
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",18,"*",30,0,298,361
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",0,24,7,14,0,383,428
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",0,56,20,55,0,302,433
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""",0,0,136,"*",0,"*",238
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",171,441,0,"*",631
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","*","*",497,580,0,44,1153
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*","*",150,209,0,11,375
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,6,55,142,0,54,257
"Bridgeport School District","""0150011""","Blackham School","""0154011""",0,47,363,463,0,196,1069
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,25,"*",0,"*",53
"Bridgeport School District","""0150011""","Bryant School","""0150411""",0,23,167,177,0,34,401
"Bridgeport School District","""0150011""","Central High School","""0156211""","*","*",1046,786,0,284,2217
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",0,25,263,737,0,36,1061
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",21,190,95,0,"*",328
"Bridgeport School District","""0150011""","Columbus School","""0150511""",0,6,177,436,0,63,682
"Bridgeport School District","""0150011""","Cross School","""0153911""",0,7,222,134,0,17,380
"Bridgeport School District","""0150011""","Curiale School","""0154211""",0,46,281,224,0,28,579
"Bridgeport School District","""0150011""","Dunbar School","""0154111""","*",0,196,118,0,"*",324
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,8,133,103,0,22,266
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",0,35,315,408,0,81,839
"Bridgeport School District","""0150011""","Hall School","""0151111""","*","*",130,129,0,13,277
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,"*",224,107,0,"*",340
"Bridgeport School District","""0150011""","Harding High School","""0156311""",0,23,656,835,0,31,1545
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*","*",190,164,0,63,432
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",187,202,0,57,461
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""",0,11,358,228,0,23,620
"Bridgeport School District","""0150011""","Longfellow School","""0151911""","*","*",195,210,0,12,422
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""","*","*",224,615,0,18,867
"Bridgeport School District","""0150011""","Madison School","""0152011""",0,12,216,242,0,92,562
"Bridgeport School District","""0150011""","Make The Grade","""0159511""",0,0,24,30,0,0,54
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""","*","*",111,268,0,53,451
"Bridgeport School District","""0150011""","New Start Program","""0159411""",0,0,18,22,0,6,46
"Bridgeport School District","""0150011""","Parent-Children Program","""0158011""",0,0,0,"*",0,"*","*"
"Bridgeport School District","""0150011""","Park City Academy","""0159211""",0,0,"*","*",0,0,17
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*","*",237,156,0,86,512
"Bridgeport School District","""0150011""","Read School","""0152511""","*","*",429,358,0,60,863
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""",0,7,203,302,0,14,526
"Bridgeport School District","""0150011""","Skane Center","""0154411""",0,21,47,108,0,67,243
