"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Enfield School District","""0490011""","Harriet Beecher Stowe School","""0491211""",0,"*","*",14,0,231,258
"Enfield School District","""0490011""","Hazardville Memorial School","""0490411""","*","*",21,11,0,330,371
"Enfield School District","""0490011""","Head Start Program","""0498011""",0,"*","*",18,0,66,104
"Enfield School District","""0490011""","Henry Barnard School","""0491811""","*","*",71,40,0,300,428
"Enfield School District","""0490011""","John F. Kennedy Middle School","""0495211""",0,13,81,41,0,737,872
"Enfield School District","""0490011""","Nathan Hale School","""0491111""",0,"*",23,"*",0,227,259
"Enfield School District","""0490011""","Prudence Crandall School","""0491511""","*","*",19,24,0,342,403
"Enfield School District","""0490011""","Thomas G. Alcorn School","""0491711""",0,"*","*",67,0,161,293
"Essex School District","""0500011""","Essex Elementary School","""0500111""",0,20,17,16,0,540,593
"Explorations District","""2720013""","Explorations","""2726113""",0,"*","*","*",0,75,80
"Fairfield School District","""0510011""","Burr Elementary School","""0510211""",0,18,7,8,0,386,419
"Fairfield School District","""0510011""","Dwight Elementary School","""0510111""",0,15,"*","*",0,286,316
"Fairfield School District","""0510011""","Early Childhood Center","""0518011""",0,"*","*",10,0,114,135
"Fairfield School District","""0510011""","Fairfield Ludlowe High School","""0516011""","*",66,"*",60,0,1291,1452
"Fairfield School District","""0510011""","Fairfield Warde High School","""0516211""","*",66,"*",130,0,1043,1298
"Fairfield School District","""0510011""","Fairfield Woods Middle School","""0515211""",0,30,13,31,0,598,672
"Fairfield School District","""0510011""","Holland Hill School","""0510411""",0,34,16,30,0,255,335
"Fairfield School District","""0510011""","Jennings School","""0511711""",0,19,13,16,0,304,352
"Fairfield School District","""0510011""","McKinley School","""0510611""",0,58,38,99,0,256,451
"Fairfield School District","""0510011""","Mill Hill School","""0510711""",0,25,8,28,0,417,478
"Fairfield School District","""0510011""","North Stratfield School","""0511611""","*",33,"*",24,0,412,478
"Fairfield School District","""0510011""","Osborn Hill School","""0511811""",0,29,"*","*",0,501,551
"Fairfield School District","""0510011""","Riverfield School","""0511211""",0,"*","*",18,0,428,466
"Fairfield School District","""0510011""","Roger Ludlowe Middle School","""0515311""",0,50,32,81,0,803,966
"Fairfield School District","""0510011""","Sherman School","""0511311""","*",30,"*",16,0,424,474
"Fairfield School District","""0510011""","Stratfield School","""0511411""","*",32,"*",31,0,422,492
"Fairfield School District","""0510011""","Tomlinson Middle School","""0515111""","*",33,"*",41,0,676,773
"Farmington School District","""0520011""","East Farms School","""0520411""",0,69,22,24,0,323,438
"Farmington School District","""0520011""","Farmington Collaborative PK","""0528011""",0,"*",0,"*",0,50,67
"Farmington School District","""0520011""","Farmington High School","""0526111""","*",114,75,"*",0,1091,1324
"Farmington School District","""0520011""","Irving A. Robbins Middle School","""0525111""","*",67,"*",37,0,551,686
"Farmington School District","""0520011""","Noah Wallace School","""0520211""",0,58,18,19,0,240,335
"Farmington School District","""0520011""","Union School","""0520111""","*",20,17,"*",0,242,294
"Farmington School District","""0520011""","West District School","""0520311""","*",43,10,"*",0,289,350
"Farmington School District","""0520011""","West Woods Upper Elementary School","""0520511""","*",71,44,"*",0,510,658
"Franklin School District","""0530011""","Franklin Elementary School","""0530111""","*",6,"*",8,0,202,224
"Glastonbury School District","""0540011""","Buttonball Lane School","""0540211""","*",62,19,"*",0,430,535
"Glastonbury School District","""0540011""","Eastbury School","""0540311""","*",32,"*",14,0,258,318
"Glastonbury School District","""0540011""","Gideon Welles School","""0540811""","*",54,"*",21,0,446,541
"Glastonbury School District","""0540011""","Glastonbury High School","""0546111""","*",154,"*",93,0,1766,2102
"Glastonbury School District","""0540011""","Hebron Avenue School","""0540411""","*",59,18,"*",0,443,532
"Glastonbury School District","""0540011""","Hopewell School","""0540611""","*",48,"*",23,0,441,526
"Glastonbury School District","""0540011""","Naubuc School","""0540711""",0,56,43,61,0,329,489
"Glastonbury School District","""0540011""","Nayaug Elementary School","""0540911""",0,40,19,17,0,569,645
"Glastonbury School District","""0540011""","Smith Middle School","""0545211""","*",99,"*",50,0,934,1128
"Granby School District","""0560011""","Frank M. Kearns Primary School","""0560111""","*",9,35,"*",0,415,469
"Granby School District","""0560011""","Granby Memorial High School","""0566111""","*","*",25,10,0,707,751
"Granby School District","""0560011""","Granby Memorial Middle School","""0565111""",0,"*",16,"*",0,326,354
"Granby School District","""0560011""","Kelly Lane Primary School","""0560411""","*","*",18,7,0,315,347
"Granby School District","""0560011""","Wells Road Intermediate School","""0560311""","*","*",9,10,0,329,354
"Greenwich School District","""0570011""","Central Middle School","""0575111""","*",54,"*",78,0,480,631
"Greenwich School District","""0570011""","Cos Cob School","""0570211""",0,63,11,51,0,292,417
"Greenwich School District","""0570011""","Eastern Middle School","""0575211""",0,80,9,54,0,631,774
"Greenwich School District","""0570011""","Glenville School","""0570411""",0,"*","*",36,0,223,296
"Greenwich School District","""0570011""","Greenwich High School","""0576111""","*",192,"*",363,0,2046,2688
"Greenwich School District","""0570011""","Hamilton Avenue School","""0570511""","*","*",41,165,0,176,410
"Greenwich School District","""0570011""","International School At Dundee","""0571311""",0,53,7,51,0,260,371
"Greenwich School District","""0570011""","Julian Curtiss School","""0570311""",0,40,27,70,0,206,343
"Greenwich School District","""0570011""","New Lebanon School","""0570611""",0,12,8,111,0,88,219
"Greenwich School District","""0570011""","North Mianus School","""0570711""","*",75,"*",29,0,345,455
"Greenwich School District","""0570011""","North Street School","""0570811""","*",41,"*",29,0,405,486
"Greenwich School District","""0570011""","Old Greenwich School","""0570911""","*",22,"*",11,0,407,445
"Greenwich School District","""0570011""","Parkway School","""0571111""","*",26,"*",29,0,259,319
"Greenwich School District","""0570011""","Riverside School","""0571011""",0,"*","*",54,0,415,502
"Greenwich School District","""0570011""","Western Middle School","""0575311""","*",39,"*",143,0,278,490
"Griswold School District","""0580011""","Griswold Elementary School","""0580311""",14,24,36,52,0,787,913
"Griswold School District","""0580011""","Griswold High School","""0586211""",23,18,17,20,0,662,740
"Griswold School District","""0580011""","Griswold Middle School","""0585111""","*","*",11,17,0,373,407
"Groton School District","""0590011""","Carl C. Cutler Middle School","""0595311""","*",28,14,"*",0,298,350
"Groton School District","""0590011""","Catherine Kolnaski Magnet School","""0592011""",11,38,120,115,0,187,471
"Groton School District","""0590011""","Charles Barnum School","""0591811""","*","*",50,31,0,279,380
"Groton School District","""0590011""","Claude Chester School","""0590311""",11,67,60,60,0,190,388
"Groton School District","""0590011""","Fitch Middle School","""0595111""",16,35,67,52,0,239,409
"Groton School District","""0590011""","Mary Morrisson School","""0591711""","*","*",37,32,0,259,338
"Groton School District","""0590011""","Northeast Academy Elementary School","""0591911""","*",40,"*",29,0,337,437
"Groton School District","""0590011""","Pleasant Valley School","""0591211""",12,30,44,44,0,182,312
"Groton School District","""0590011""","Robert E. Fitch High School","""0596111""",14,103,205,107,0,877,1306
"Groton School District","""0590011""","S. B. Butler School","""0590111""",6,12,22,20,0,302,362
"Groton School District","""0590011""","West Side Middle School","""0595211""",6,17,64,61,0,128,276
"Guilford School District","""0600011""","A. Baldwin Middle School","""0600711""",0,"*","*",32,0,484,544
"Guilford School District","""0600011""","A. W. Cox School","""0600611""","*",16,"*",18,0,282,321
"Guilford School District","""0600011""","Calvin Leete School","""0600411""",0,23,"*","*",0,297,332
"Guilford School District","""0600011""","E. C. Adams Middle School","""0605111""","*",29,"*",19,0,565,619
"Guilford School District","""0600011""","Guilford High School","""0606111""","*",34,"*",48,0,1017,1115
"Guilford School District","""0600011""","Guilford Lakes School","""0600211""",0,17,8,15,0,393,433
"Guilford School District","""0600011""","Melissa Jones School","""0600311""",0,"*","*",25,0,308,347
"Hamden School District","""0620011""","Alice Peck Learning Center","""0628011""",0,9,25,10,0,52,96
"Hamden School District","""0620011""","Bear Path School","""0621211""","*","*",80,42,0,293,457
"Hamden School District","""0620011""","Church Street School","""0620211""",0,18,197,109,0,87,411
"Hamden School District","""0620011""","Dunbar Hill School","""0620311""","*","*",132,40,0,132,326
"Hamden School District","""0620011""","Hamden High School","""0626111""","*","*",676,236,0,956,1972
"Hamden School District","""0620011""","Hamden Middle School","""0625211""","*","*",300,124,0,405,881
"Hamden School District","""0620011""","Helen Street School","""0620411""",0,15,134,72,0,78,299
"Hamden School District","""0620011""","Ridge Hill School","""0621111""","*","*",130,71,0,85,314
"Hamden School District","""0620011""","Shepherd Glen School","""0620111""","*",62,102,"*",0,108,313
"Hamden School District","""0620011""","Spring Glen School","""0621011""",0,16,81,21,0,240,358
"Hamden School District","""0620011""","West Woods School","""0621411""","*",72,61,"*",0,338,512
"Hampton School District","""0630011""","Hampton Elementary School","""0630111""","*","*",0,10,0,130,143
"Hartford School District","""0640011""","Asian Studies Academy at Bellizzi School","""0640711""",0,"*",70,230,0,"*",328
"Hartford School District","""0640011""","Batchelder School","""0640411""","*","*",124,412,0,18,568
"Hartford School District","""0640011""","Betances Early Reading Lab Magnet School","""0642811""",0,"*",58,274,0,"*",345
"Hartford School District","""0640011""","Breakthrough II Magnet School","""0643511""",0,"*",80,43,0,"*",129
"Hartford School District","""0640011""","Breakthrough Magnet School","""0643311""","*","*",115,125,0,95,352
"Hartford School District","""0640011""","Bulkeley High School","""0647111""","*","*",135,389,0,37,570
"Hartford School District","""0640011""","Bulkeley High School Lower School","""0646111""","*","*",177,535,0,38,766
"Hartford School District","""0640011""","Burns Latino Studies Academy","""0640611""",0,"*",84,483,0,"*",584
"Hartford School District","""0640011""","Burr School","""0642311""",0,20,125,450,0,30,625
"Hartford School District","""0640011""","Capital Preparatory Magnet School","""0646911""",0,6,164,74,0,32,276
"Hartford School District","""0640011""","Clark School","""0642411""",0,"*",247,161,0,"*",416
"Hartford School District","""0640011""","Classical Magnet School","""0646411""","*","*",349,176,0,167,713
"Hartford School District","""0640011""","Culinary Arts Academy at Weaver High School","""0646011""",0,"*",199,64,0,"*",265
"Hartford School District","""0640011""","Dr. Joseph Bellizzi Middle School","""0645311""","*","*",78,325,0,15,435
"Hartford School District","""0640011""","Environmental Sciences Magnet at Hooker School","""0640911""",0,6,55,264,0,20,345
"Hartford School District","""0640011""","Expeditionary Learning Academy at Moylan School","""0643211""",0,"*",88,512,0,"*",610
"Hartford School District","""0640011""","Global Communications Academy","""0643611""","*","*",266,106,0,"*",376
"Hartford School District","""0640011""","HPHS Engineering and Green Technology Academy","""0647211""",0,13,135,218,0,12,378
"Hartford School District","""0640011""","HPHS Freshmen Academy","""0647311""","*","*",119,241,0,7,373
"Hartford School District","""0640011""","HPHS Law and Government Academy","""0647411""","*",14,137,216,0,"*",371
"Hartford School District","""0640011""","HPHS Nursing and Health Sciences Academy","""0647511""",0,10,166,212,0,6,394
"Hartford School District","""0640011""","Hartford Magnet Trinity College Academy","""0645411""","*","*",159,263,0,173,611
"Hartford School District","""0640011""","Hartford Transitional Learning Academy (Elementary)","""0649011""",0,0,12,23,0,0,35
"Hartford School District","""0640011""","Hartford Transitional Learning Academy (Secondary)","""0649111""",0,"*",27,45,0,"*",75
"Hartford School District","""0640011""","High School, Inc.","""0647611""",0,"*",103,89,0,"*",197
"Hartford School District","""0640011""","Journalism and Media Academy Magnet School","""0647711""",0,"*",130,32,0,"*",165
"Hartford School District","""0640011""","Kennelly School","""0641011""",6,8,204,537,0,40,795
"Hartford School District","""0640011""","Kinsella Magnet School of Performing Arts","""0641111""","*","*",195,301,"*",116,618
"Hartford School District","""0640011""","M. D. Fox School","""0640811""","*","*",128,619,0,41,801
"Hartford School District","""0640011""","M. L. King, Jr. School","""0641611""","*","*",437,70,0,0,512
"Hartford School District","""0640011""","McDonough Middle School","""0641211""",0,0,36,313,0,9,358
"Hartford School District","""0640011""","Milner School","""0641911""","*","*",218,174,0,6,400
"Hartford School District","""0640011""","Montessori Magnet at Fisher School","""0643711""",0,16,74,19,0,40,149
"Hartford School District","""0640011""","Naylor/CCSU Leadership Academy","""0641411""","*","*",115,439,0,137,702
"Hartford School District","""0640011""","OPPortunity High School","""0647811""",0,0,33,57,0,0,90
"Hartford School District","""0640011""","Parkville Community School","""0641511""",0,12,92,383,0,27,514
"Hartford School District","""0640011""","Pathways Academy of Technology and Design","""0646611""","*","*",169,112,0,59,351
"Hartford School District","""0640011""","Quirk Middle School","""0645211""",0,"*",68,170,0,"*",243
"Hartford School District","""0640011""","Rawson School","""0641711""",0,"*",665,66,0,"*",734
"Hartford School District","""0640011""","SAND School","""0640111""",0,"*",128,275,0,"*",413
"Hartford School District","""0640011""","STEM Magnet at Fisher School","""0642511""","*",0,219,31,0,"*",253
"Hartford School District","""0640011""","Sanchez School","""0643011""",0,"*",69,422,0,"*",493
"Hartford School District","""0640011""","Simpson-Waverly School","""0642611""","*","*",339,94,0,"*",437
"Hartford School District","""0640011""","Sports and Medical Sciences Academy","""0646511""","*","*",217,246,0,126,602
"Hartford School District","""0640011""","University High School of Science and Engineering","""0646711""","*","*",163,104,0,73,362
"Hartford School District","""0640011""","Weaver High School","""0646311""",0,"*",303,30,0,"*",335
"Hartford School District","""0640011""","Webster Micro Society Magnet School","""0642011""","*","*",285,189,0,126,619
"Hartford School District","""0640011""","West Middle School","""0642111""","*",78,327,275,0,"*",698
"Hartford School District","""0640011""","Wish Museum School","""0642211""",0,"*",220,198,0,"*",426
"Hartland School District","""0650011""","Hartland School","""0650111""","*",6,"*","*",0,214,227
"Hebron School District","""0670011""","Gilead Hill School","""0670211""","*",11,"*",10,0,478,504
"Hebron School District","""0670011""","Hebron Elementary School","""0670111""","*",10,"*",8,0,645,668
"Highville Charter School District","""2860013""","Highville Charter School","""2860113""",0,0,277,"*",0,"*",303
"Integrated Day Charter School District","""2640013""","Integrated Day Charter School","""2640113""","*","*",46,33,0,228,330
"Interdistrict School for Arts and Comm District","""2650013""","Interdistrict School For Arts And Communication","""2655113""",0,"*","*",67,0,61,182
"Jumoke Academy District","""2610013""","Jumoke Academy","""2610113""",0,"*",418,13,0,"*",434
"Kent School District","""0680011""","Kent Center School","""0680111""",0,16,6,21,0,239,282
"Killingly School District","""0690011""","Goodyear Early Childhood Center","""0698011""",0,"*","*","*",0,90,98
"Killingly School District","""0690011""","Killingly Central School","""0690111""",8,13,20,20,0,441,502
"Killingly School District","""0690011""","Killingly High School","""0696111""",9,12,28,27,0,713,789
"Killingly School District","""0690011""","Killingly Intermediate School","""0695211""","*","*",31,26,0,714,790
"Killingly School District","""0690011""","Killingly Memorial School","""0690311""",6,10,16,32,0,438,502
"Learn","""2450014""","Dual Language & Arts Magnet Middle School","""2455014""","*","*",6,40,"*",17,67
"Learn","""2450014""","Learn Special Education","""2459014""","*","*","*","*",0,28,33
"Learn","""2450014""","Regional Multicultural Magnet School","""2450114""",7,28,88,143,0,258,524
"Learn","""2450014""","The Friendship School","""2450214""",7,37,107,123,0,223,497
"Lebanon School District","""0710011""","Lebanon Elementary School","""0710111""",10,8,7,21,0,448,494
"Lebanon School District","""0710011""","Lebanon Middle School","""0715111""","*","*",8,11,0,376,404
"Lebanon School District","""0710011""","Lyman Memorial High School","""0716211""","*","*","*",12,0,531,549
"Ledyard School District","""0720011""","Gales Ferry School","""0720211""","*",13,13,"*",0,181,219
"Ledyard School District","""0720011""","Gallup Hill School","""0720411""",24,23,28,35,0,238,348
"Ledyard School District","""0720011""","Juliet W. Long School","""0720311""","*","*",17,22,0,261,315
"Ledyard School District","""0720011""","Ledyard Center School","""0720111""",30,15,22,20,0,318,405
"Ledyard School District","""0720011""","Ledyard High School","""0726111""",34,43,43,67,0,739,926
"Ledyard School District","""0720011""","Ledyard Middle School","""0725111""",22,25,29,29,0,343,448
"Lisbon School District","""0730011""","Community Connection - The Big Picture High School","""0736011""",0,0,0,0,0,22,22
"Lisbon School District","""0730011""","Lisbon Central School","""0730111""","*",21,"*",13,0,496,545
"Litchfield School District","""0740011""","Center School","""0740211""",0,"*","*",11,0,322,344
"Litchfield School District","""0740011""","Litchfield High School","""0746111""","*",13,"*",12,0,536,568
"Litchfield School District","""0740011""","Litchfield Intermediate School","""0740311""","*","*","*",14,0,265,289
"Madison School District","""0760011""","Daniel Hand High School","""0766111""","*",50,16,"*",0,1181,1264
"Madison School District","""0760011""","Dr. Robert H. Brown Middle School","""0760611""","*",21,"*",11,0,548,587
"Madison School District","""0760011""","Island Avenue Elementary School","""0760211""","*",13,"*",10,0,292,317
"Madison School District","""0760011""","J. Milton Jeffrey Elementary School","""0760111""",0,13,"*","*",0,524,548
"Madison School District","""0760011""","Kathleen H. Ryerson Elementary School","""0760311""","*",18,"*","*",0,285,311
"Madison School District","""0760011""","Town Campus Learning Center","""0769011""","*","*",0,"*",0,25,29
"Madison School District","""0760011""","Walter C. Polson Upper Middle School","""0765211""","*",23,"*","*",0,574,608
"Manchester School District","""0770011""","Nathan Hale School","""0770911""",0,6,114,94,0,46,260
"Manchester School District","""0770011""","Bowers School","""0770111""","*","*",87,93,0,225,431
"Manchester School District","""0770011""","Buckley School","""0770311""","*","*",48,49,0,222,345
"Manchester School District","""0770011""","Elisabeth M. Bennet Academy","""0771711""","*","*",99,123,0,195,452
"Manchester School District","""0770011""","Highland Park School","""0770411""","*",25,46,"*",0,184,278
"Manchester School District","""0770011""","Illing Middle School","""0775311""","*","*",232,207,0,456,949
"Manchester School District","""0770011""","Keeney School","""0770611""","*","*",61,48,0,256,401
"Manchester School District","""0770011""","Manchester High School","""0776111""",8,110,413,411,0,1036,1978
"Manchester School District","""0770011""","Manchester Preschool Center","""0778011""",0,28,46,57,0,54,185
"Manchester School District","""0770011""","Manchester Regional Academy","""0779011""",0,"*",29,"*",0,46,98
"Manchester School District","""0770011""","Martin School","""0771611""","*","*",39,38,0,151,260
"Manchester School District","""0770011""","Robertson School","""0771011""","*",72,110,73,"*",76,335
"Manchester School District","""0770011""","Verplanck School","""0771211""","*","*",100,101,0,58,291
"Manchester School District","""0770011""","Waddell School","""0771311""",0,41,62,49,0,159,311
"Manchester School District","""0770011""","Washington School","""0771411""","*","*",104,98,0,93,310
"Mansfield School District","""0780011""","Annie E. Vinton School","""0780411""","*",19,"*",17,0,228,274
"Mansfield School District","""0780011""","Dorothy C. Goodwin School","""0780211""","*",33,"*",15,0,141,196
"Mansfield School District","""0780011""","Mansfield Middle School","""0785111""","*",47,"*",30,0,462,563
"Mansfield School District","""0780011""","Southeast Elementary School","""0780511""","*",23,"*",15,0,187,238
"Marlborough School District","""0790011""","Elmer Thienes-Mary Hall Elementary School","""0790111""",0,31,12,25,0,601,669
"Meriden School District","""0800011""","Nathan Hale School","""0800711""","*",19,74,276,"*",238,610
"Meriden School District","""0800011""","Benjamin Franklin School","""0800111""","*","*",56,178,0,201,458
"Meriden School District","""0800011""","Casimir Pulaski School","""0801111""",0,17,134,318,0,211,680
"Meriden School District","""0800011""","Francis T. Maloney High School","""0806111""","*","*",182,497,0,519,1228
"Meriden School District","""0800011""","Hanover School","""0800311""","*","*",36,208,0,296,553
"Meriden School District","""0800011""","Israel Putnam School","""0800411""","*","*",92,257,0,173,544
"Meriden School District","""0800011""","John Barry School","""0800511""","*","*",68,346,0,102,522
"Meriden School District","""0800011""","Lincoln Middle School","""0805211""","*","*",96,304,0,331,742
"Meriden School District","""0800011""","Orville H. Platt High School","""0806211""","*","*",160,464,0,472,1114
"Meriden School District","""0800011""","Roger Sherman School","""0800811""","*","*",66,285,0,153,526
"Meriden School District","""0800011""","Thomas Hooker School","""0801011""","*",29,"*",220,0,242,511
"Meriden School District","""0800011""","Washington Middle School","""0805411""","*","*",147,388,0,317,873
"Middletown School District","""0830011""","Bielefield School","""0830211""","*","*",84,40,0,181,322
"Middletown School District","""0830011""","DEAL Program","""0839011""",0,0,7,"*",0,"*",16
"Middletown School District","""0830011""","Farm Hill School","""0830511""","*","*",54,42,0,197,307
"Middletown School District","""0830011""","Keigwin Middle School","""0831511""",0,17,95,69,0,188,369
"Middletown School District","""0830011""","Lawrence School","""0831311""","*",58,76,"*",0,174,346
"Middletown School District","""0830011""","MacDonough School","""0830911""",0,"*",82,"*",0,68,211
"Middletown School District","""0830011""","Middletown High School","""0836211""",7,62,342,140,0,773,1324
"Middletown School District","""0830011""","Moody School","""0831211""","*","*",72,67,0,270,438
"Middletown School District","""0830011""","Snow School","""0831111""",0,29,93,36,0,195,353
"Middletown School District","""0830011""","Spencer School","""0830111""",0,21,83,46,0,229,379
"Middletown School District","""0830011""","Wesley School","""0831411""","*","*",86,39,0,226,372
"Middletown School District","""0830011""","Woodrow Wilson Middle School","""0835411""","*","*",191,99,0,421,744
"Milford School District","""0840011""","Calf Pen Meadow School","""0840111""","*",16,"*",13,0,265,302
"Milford School District","""0840011""","East Shore Middle School","""0845111""","*",25,"*",23,0,495,560
"Milford School District","""0840011""","Harborside Middle School","""0845211""","*",38,"*",23,0,504,584
"Milford School District","""0840011""","J. F. Kennedy School","""0841911""","*",23,"*",16,0,307,359
"Milford School District","""0840011""","Jonathan Law High School","""0846211""","*","*",59,86,0,805,1006
"Milford School District","""0840011""","Joseph A. Foran High School","""0846311""","*","*",42,48,0,919,1052
"Milford School District","""0840011""","Live Oaks School","""0841611""","*",27,14,"*",0,274,328
"Milford School District","""0840011""","Mathewson School","""0841711""","*",63,27,"*",0,388,488
"Milford School District","""0840011""","Meadowside School","""0840711""",0,71,18,23,0,246,358
"Milford School District","""0840011""","Orange Avenue School","""0840811""","*",40,"*",15,0,398,469
"Milford School District","""0840011""","Orchard Hills School","""0841811""",0,30,13,17,0,354,414
"Milford School District","""0840011""","Pumpkin Delight School","""0841011""","*","*",15,26,0,234,290
"Milford School District","""0840011""","Simon Lake School","""0841411""","*",36,"*",41,0,253,359
"Milford School District","""0840011""","West Shore Middle School","""0845311""",0,40,28,50,0,442,560
"Monroe School District","""0850011""","Chalk Hill School","""0850611""","*",20,"*",27,0,514,577
"Monroe School District","""0850011""","Fawn Hollow Elementary School","""0850511""","*",20,13,"*",0,487,530
"Monroe School District","""0850011""","Jockey Hollow School","""0855211""","*",21,"*",31,0,616,677
"Monroe School District","""0850011""","Masuk High School","""0856111""","*",42,"*",57,0,1164,1302
"Monroe School District","""0850011""","Monroe Elementary School","""0850111""","*","*","*",11,0,336,358
"Monroe School District","""0850011""","Stepney Elementary School","""0850311""",0,19,8,16,0,407,450
"Montville School District","""0860011""","Dr. Charles E. Murphy School","""0860711""",8,13,12,27,0,304,364
"Montville School District","""0860011""","Leonard J. Tyl Middle School","""0865111""","*",53,39,36,"*",508,659
"Montville School District","""0860011""","Mohegan School","""0860111""",29,80,29,29,0,245,412
"Montville School District","""0860011""","Montville High School","""0866111""",22,64,43,46,0,617,792
"Montville School District","""0860011""","Oakdale School","""0860511""",14,29,24,24,0,350,441
"Montville School District","""0860011""","Palmer Academy","""0869011""",0,"*","*",0,0,18,21
"Naugatuck School District","""0880011""","Andrew Avenue School","""0880811""","*",19,"*",40,0,160,227
"Naugatuck School District","""0880011""","Central Avenue School","""0880111""",0,14,27,57,0,186,284
"Naugatuck School District","""0880011""","City Hill Middle School","""0885111""","*",9,51,46,"*",362,471
"Naugatuck School District","""0880011""","Cross Street Intermediate School","""0880211""","*","*",38,37,0,299,388
"Naugatuck School District","""0880011""","Head Start","""0888111""",0,6,14,26,0,58,104
"Naugatuck School District","""0880011""","Hillside Intermediate School","""0880411""","*","*",46,52,0,255,368
"Naugatuck School District","""0880011""","Hillside Middle School","""0885211""","*","*",27,45,0,212,306
"Naugatuck School District","""0880011""","Hop Brook Elementary School","""0880511""","*","*",32,51,0,204,320
"Naugatuck School District","""0880011""","Maple Hill School","""0880311""","*","*",43,38,0,349,459
"Naugatuck School District","""0880011""","Naugatuck High School","""0886111""","*","*",116,163,0,1115,1434
"Naugatuck School District","""0880011""","Salem School","""0880611""","*","*",36,36,0,163,246
"Naugatuck School District","""0880011""","Western School","""0880711""","*","*",21,41,0,205,274
"New Beginnings Inc Family Academy District","""2800013""","New Beginnings Inc Family Academy","""2800113""",0,0,298,55,0,7,360
"New Britain School District","""0890011""","Academic Extension Center","""0899211""",0,0,"*",18,0,"*",21
"New Britain School District","""0890011""","Behavior Support Program","""0899311""",0,0,"*","*",0,"*",12
"New Britain School District","""0890011""","Chamberlain  Elementary School","""0890311""","*","*",101,276,0,89,475
"New Britain School District","""0890011""","Frank J. DiLoreto School","""0891111""",0,6,84,607,0,97,794
"New Britain School District","""0890011""","Gaffney School","""0890511""",0,19,80,262,0,161,522
"New Britain School District","""0890011""","Holmes School","""0890611""","*","*",55,286,0,112,468
"New Britain School District","""0890011""","House of Arts Letters and Science (HALS)  Academy","""0895411""","*","*",27,44,0,74,155
"New Britain School District","""0890011""","Jefferson School","""0890711""","*","*",60,187,0,118,423
"New Britain School District","""0890011""","Lincoln School","""0890811""","*","*",99,377,0,118,611
"New Britain School District","""0890011""","New Britain High School","""0896111""","*","*",490,1470,0,741,2759
"New Britain School District","""0890011""","New Britain Transition Center","""0899011""",0,0,8,20,0,8,36
"New Britain School District","""0890011""","Northend School","""0890911""","*","*",53,194,0,44,296
"New Britain School District","""0890011""","Pulaski Middle School","""0895311""",0,14,89,442,0,104,649
"New Britain School District","""0890011""","Roosevelt Middle School","""0895111""",0,"*",104,273,0,"*",442
"New Britain School District","""0890011""","Slade Middle School","""0895211""","*","*",159,406,0,135,716
"New Britain School District","""0890011""","Smalley Academy","""0891211""",0,13,165,440,0,93,711
"New Britain School District","""0890011""","Smith School","""0891311""",0,11,115,335,0,150,611
"New Britain School District","""0890011""","Vance School","""0891511""",0,12,113,247,0,151,523
"New Canaan School District","""0900011""","East School","""0900411""","*",27,"*",20,0,480,539
"New Canaan School District","""0900011""","New Canaan High School","""0906111""","*",35,"*",27,0,1209,1287
"New Canaan School District","""0900011""","Saxe Middle School","""0905111""","*",33,"*",18,0,1153,1218
"New Canaan School District","""0900011""","South School","""0900211""","*",25,"*",19,0,491,541
"New Canaan School District","""0900011""","West School","""0900311""",0,12,"*","*",0,469,492
"New Fairfield School District","""0910011""","Consolidated School","""0910111""","*",17,"*",38,0,579,649
"New Fairfield School District","""0910011""","Meeting House Hill School","""0910211""","*","*",8,25,0,597,637
"New Fairfield School District","""0910011""","New Fairfield High School","""0916111""",0,16,11,27,0,966,1020
"New Fairfield School District","""0910011""","New Fairfield Middle School","""0915211""",0,7,9,24,0,683,723
"New Hartford School District","""0920011""","Ann Antolini School","""0920311""",0,"*","*","*",0,357,361
"New Hartford School District","""0920011""","Bakerville Consolidated School","""0920111""",0,"*","*","*",0,149,154
"New Hartford School District","""0920011""","Bridges I","""0929011""",0,0,"*",0,0,"*",6
"New Hartford School District","""0920011""","New Hartford Elementary School","""0920211""",0,0,0,"*",0,"*",110
"New Haven School District","""0930011""","Edgewood School","""0931211""","*","*",274,60,0,115,459
"New Haven School District","""0930011""","Nathan Hale School","""0931411""","*","*",56,171,0,293,533
"New Haven School District","""0930011""","Augusta Lewis Troup School","""0931511""",0,"*",347,162,0,"*",525
"New Haven School District","""0930011""","Barnard Environmental Magnet School","""0930211""","*",0,328,96,0,"*",504
"New Haven School District","""0930011""","Beecher School","""0930311""",0,6,358,70,0,44,478
"New Haven School District","""0930011""","Benjamin Jepson Magnet School","""0931811""",0,"*",185,178,0,"*",496
"New Haven School District","""0930011""","Betsy Ross Arts Magnet School","""0935511""",0,8,232,119,0,114,473
"New Haven School District","""0930011""","Bishop Woods Architecture and Design Magnet School","""0934311""",0,23,179,200,0,45,447
"New Haven School District","""0930011""","Celentano BioTech, Health and Medical Magnet School","""0934811""",0,17,298,95,0,55,465
"New Haven School District","""0930011""","Clarence Rogers School","""0930511""","*",0,101,37,0,"*",150
