"Student Counts by School and Race"
"All Districts, All Schools"
"2008-09"

"",,,,"Race",,,,,,
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*","*",209,150,0,104,501
"Bridgeport School District","""0150011""","Read School","""0152511""",6,12,439,399,0,63,919
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""",0,"*",210,324,0,"*",550
"Bridgeport School District","""0150011""","Skane Center","""0154411""",0,13,45,104,0,48,210
"Bridgeport School District","""0150011""","The University School","""0159111""",0,0,18,"*",0,"*",24
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",0,9,148,387,0,17,561
"Bridgeport School District","""0150011""","Winthrop School","""0153611""",0,33,271,236,0,189,729
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*","*",0,13,23
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*","*",114,192,0,1089,1417
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*","*",111,143,0,1027,1318
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""","*",23,78,160,"*",614,881
"Bristol School District","""0170011""","Clara T. O'Connell School","""0170711""","*","*",45,127,0,184,372
"Bristol School District","""0170011""","Clarence A. Bingham School","""0170111""",0,"*","*",47,0,177,242
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,6,31,83,0,239,359
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",0,19,33,79,0,361,492
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,12,21,57,0,277,367
"Bristol School District","""0170011""","Ivy Drive School","""0171911""","*","*",30,41,0,303,382
"Bristol School District","""0170011""","John J. Jennings School","""0170611""","*","*",16,42,0,301,366
"Bristol School District","""0170011""","Memorial Boulevard Middle School","""0175311""",0,13,47,82,0,401,543
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,25,27,45,0,294,391
"Bristol School District","""0170011""","Northeast Middle School","""0175211""","*","*",48,56,0,451,566
"Bristol School District","""0170011""","South Side School","""0171111""",0,13,46,95,0,421,575
"Bristol School District","""0170011""","Stafford School","""0171211""",0,19,28,84,0,386,517
"Brookfield School District","""0180011""","Brookfield High School","""0186111""",0,27,13,18,0,958,1016
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",28,"*",25,0,348,406
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",37,"*",34,0,530,609
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",32,"*",24,0,850,915
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*","*",15,13,0,540,581
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""","*",7,"*",8,0,381,400
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""","*",0,0,"*",0,81,85
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""","*","*",8,14,0,325,357
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""","*","*","*","*",0,226,242
"Canton School District","""0230011""","Canton High School","""0236111""","*","*",17,13,0,483,522
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",0,7,11,10,0,366,394
"Canton School District","""0230011""","Canton Middle School","""0235111""",0,"*",6,"*",0,265,279
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",25,"*",20,0,490,553
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""","*","*",21,25,0,22,78
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,0,0,0,0,16,16
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""","*","*",60,36,0,132,251
"Capitol Region Education Council","""2410014""","Great Path Academy at MCC","""2416314""",0,"*",68,"*",0,59,164
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""",0,"*",48,"*",0,52,147
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,"*","*",0,15,18
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""","*","*",41,33,0,35,124
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,22,29,0,17,68
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*","*",407,82,0,165,683
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""",0,7,123,131,0,71,332
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""","*",0,48,"*",0,32,105
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""","*","*",44,34,0,62,149
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*",9,"*",0,40,53
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",31,"*",0,99,149
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,9,8,13,0,68,98
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*","*",153,165,0,247,589
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""","*","*",195,81,0,107,412
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""","*","*","*",14,0,158,178
"Charter School for Young Children on Asylum Hill District","""2870013""","Charter School for Young Children on Asylum Hill  Inc.","""2870113""","*","*",55,34,0,45,136
"Cheshire School District","""0250011""","Chapman School","""0250111""",0,26,7,16,0,280,329
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","*",108,"*",39,0,1396,1579
"Cheshire School District","""0250011""","Darcey School","""0250211""","*",33,"*",17,0,324,385
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""","*",61,"*",18,0,727,818
"Cheshire School District","""0250011""","Doolittle School","""0250611""","*",46,"*",17,0,458,532
"Cheshire School District","""0250011""","Highland School","""0250411""",0,79,10,29,0,751,869
"Cheshire School District","""0250011""","Humiston School","""0259011""",0,0,0,"*",0,"*",24
"Cheshire School District","""0250011""","Norton School","""0250511""","*",40,"*",15,0,404,470
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,8,"*","*",0,302,319
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""","*",7,"*",17,0,284,313
"Clinton School District","""0270011""","Jared Eliot School","""0275111""",0,17,7,27,0,441,492
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",16,"*",54,0,611,689
"Clinton School District","""0270011""","The Morgan School","""0276111""",0,"*","*",38,0,528,590
"Colchester School District","""0280011""","Bacon Academy","""0286111""","*","*",32,28,0,894,968
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""","*","*",19,28,0,669,739
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""",9,16,19,27,0,639,710
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""",6,8,31,35,0,683,763
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""","*","*","*",0,0,109,116
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""","*","*","*",19,0,547,573
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",71,57,0,"*",155
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",210,369,0,32,615
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",334,467,0,64,875
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",53,259,0,173,491
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","*","*",233,259,0,29,524
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""",8,8,77,158,0,367,618
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*","*",19,60,0,436,520
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","*","*",49,214,0,453,727
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","*",10,"*",19,0,528,568
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*","*",36,135,0,399,578
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*","*",70,78,0,435,597
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""",0,"*",92,96,0,"*",225
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","*","*",29,39,0,392,473
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*","*",15,24,0,693,741
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*","*",128,195,0,545,884
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",45,53,0,479,583
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","*","*",136,216,0,355,716
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","*","*",13,121,0,376,522
"Cooperative Educational Services","""2430014""","C. E. S. Special Education","""2439014""","*","*",57,47,0,162,270
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,0,22,22,0,10,54
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""","*","*",167,122,0,121,430
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,6,"*","*",0,109,122
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""","*","*",8,15,0,487,514
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,0,0,0,14,14
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""","*","*",7,9,0,385,410
"Coventry School District","""0320011""","Coventry High School","""0326111""","*","*",12,8,0,526,553
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*","*",8,12,0,434,461
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*","*",45,25,0,494,573
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""","*","*",47,27,0,363,462
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""",0,26,39,38,0,385,488
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""","*","*",37,29,0,405,494
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*","*",22,0,42,86
"Danbury School District","""0340011""","Broadview Middle School","""0345111""","*",103,"*",282,0,623,1105
"Danbury School District","""0340011""","Danbury High School","""0346111""","*","*",298,829,0,1483,2839
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,25,35,167,0,124,351
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,14,26,94,0,167,301
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",0,56,38,141,0,171,406
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""","*","*",24,76,0,195,317
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",24,"*",101,0,197,334
"Danbury School District","""0340011""","Mill Ridge Educational Center","""0341811""",0,23,47,99,0,183,352
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,25,38,81,0,152,296
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,15,30,188,0,113,346
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,36,46,175,0,143,400
"Danbury School District","""0340011""","Pembroke School","""0341511""","*",31,"*",100,0,175,336
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""",0,92,127,377,0,424,1020
"Danbury School District","""0340011""","Shelter Rock School","""0341211""","*",44,"*",138,0,163,375
"Danbury School District","""0340011""","South Street School","""0341011""","*","*",27,160,0,128,335
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",0,45,30,136,0,259,470
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*",27,"*",49,0,270,371
"Darien School District","""0350011""","Darien High School","""0356111""",6,29,14,29,0,1158,1236
"Darien School District","""0350011""","Hindley Elementary School","""0350211""","*",11,"*",6,0,496,518
"Darien School District","""0350011""","Holmes Elementary School","""0350711""","*",15,"*",13,0,442,475
"Darien School District","""0350011""","Middlesex Middle School","""0355111""","*",31,"*",20,0,1073,1132
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""",0,10,"*","*",0,473,495
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",23,"*",14,0,399,440
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,"*",8,"*",0,411,425
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""","*","*",9,25,0,315,353
"Department of Mental Health and Addiction Services","""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","""3370315""",0,0,"*","*",0,"*","*"
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,"*","*",0,0,0,"*"
"Department of Mental Health and Addiction Services","""3370015""","Greater Bridgeport Community Mental Health Center","""3370515""",0,0,0,0,0,"*","*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,23,33,54,0,273,383
"Derby School District","""0370011""","Derby High School","""0376111""","*","*",98,115,0,406,641
"Derby School District","""0370011""","Irving School","""0370411""",0,9,95,144,0,190,438
"East Granby School District","""0400011""","Allgrove School","""0400111""","*",11,15,"*",0,250,288
"East Granby School District","""0400011""","East Granby High School","""0406111""","*",13,9,"*",0,226,252
"East Granby School District","""0400011""","East Granby Middle School","""0405111""","*","*",9,6,0,197,216
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""","*",6,8,"*",0,122,142
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""","*",7,"*",12,0,410,433
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",0,"*","*",8,0,400,418
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""","*","*",10,18,0,538,572
"East Hampton School District","""0420011""","Center School","""0420311""",0,"*","*",16,0,325,350
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","*",12,10,"*",0,564,595
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,"*",10,"*",0,451,474
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,15,8,27,0,579,629
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,"*","*",0,0,"*",7
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""",0,18,123,154,0,27,322
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*","*",44,46,0,68,169
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""",0,23,147,189,0,51,410
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*","*",142,132,0,36,332
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""","*","*",89,100,0,115,322
"East Hartford School District","""0430011""","East Hartford High School","""0436211""",6,114,657,654,0,467,1898
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""",8,53,345,368,0,193,967
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*","*",99,93,0,88,353
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,17,129,143,0,44,333
"East Hartford School District","""0430011""","Joseph O. Goodwin School","""0430411""","*","*",105,95,0,114,331
"East Hartford School District","""0430011""","Robert J. O'Brien School","""0431811""","*","*",176,163,0,42,414
"East Hartford School District","""0430011""","Silver Lane School","""0431211""","*","*",122,147,0,21,297
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""",0,"*",56,47,0,"*",148
"East Hartford School District","""0430011""","Sunset Ridge Middle School","""0432411""","*","*",177,197,0,89,492
"East Hartford School District","""0430011""","Willowbrook Early Childhood","""0438011""","*","*",93,124,0,42,278
"East Hartford School District","""0430011""","Woodland School","""0439011""",0,"*",67,70,0,"*",169
"East Haven School District","""0440011""","Carbone School/East Haven Academy","""0441711""","*",14,"*","*",0,207,228
"East Haven School District","""0440011""","D. C. Moore School","""0441411""","*","*",8,48,0,167,233
"East Haven School District","""0440011""","Deer Run School","""0440111""","*",20,"*",59,0,243,337
"East Haven School District","""0440011""","Dominick H. Ferrara School","""0441311""",0,"*","*",16,0,160,189
"East Haven School District","""0440011""","East Haven High School","""0446111""","*",46,"*",97,0,834,1014
"East Haven School District","""0440011""","Grove J. Tuttle School","""0441011""","*",10,"*",38,0,155,212
"East Haven School District","""0440011""","Hays School","""0441911""","*",8,"*",20,0,129,163
"East Haven School District","""0440011""","Joseph Melillo Middle School","""0445111""","*",15,"*",69,0,402,499
"East Haven School District","""0440011""","Momauguin School","""0440711""","*",6,"*",46,0,147,204
"East Haven School District","""0440011""","Overbrook Elementary School","""0441811""",0,"*","*",25,0,119,159
"East Haven School District","""0440011""","Pathways","""0449011""",0,0,"*","*",0,41,46
"East Haven School District","""0440011""","Robert W. Carbone School","""0441611""","*",14,"*",43,0,228,292
"East Lyme School District","""0450011""","East Lyme High School","""0456111""",7,79,19,37,0,1105,1247
"East Lyme School District","""0450011""","East Lyme Middle School","""0455111""",7,88,17,22,0,736,870
"East Lyme School District","""0450011""","Flanders School","""0450111""","*",50,"*",9,0,307,368
"East Lyme School District","""0450011""","Integrated Preschool","""0458011""",0,"*","*","*",0,43,50
"East Lyme School District","""0450011""","Lillie B. Haynes School","""0450411""","*",33,16,"*",0,302,366
"East Lyme School District","""0450011""","Niantic Center School","""0450211""",0,17,8,15,0,207,247
"East Windsor School District","""0470011""","Broad Brook Elementary School","""0470111""","*","*",93,71,0,383,600
"East Windsor School District","""0470011""","East Windsor High School","""0476111""","*","*",60,31,0,307,411
"East Windsor School District","""0470011""","East Windsor Middle School","""0475411""","*","*",52,38,0,319,424
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","*","*","*",7,0,55,65
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""","*",0,"*","*",0,43,48
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Quinebaug Middle College","""2536114""",0,0,"*","*",0,23,34
"Eastford School District","""0390011""","Eastford Elementary School","""0390111""",0,"*","*","*",0,173,185
"Easton School District","""0460011""","Helen Keller Middle School","""0465111""",0,11,6,16,0,354,387
"Easton School District","""0460011""","Samuel Staples Elementary School","""0460111""",0,35,9,26,0,699,769
"EdAdvance","""2420014""","EdAdvance Headstart","""2428014""",0,"*","*",52,0,101,167
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""",0,"*","*","*",0,17,27
"Ellington School District","""0480011""","Center School","""0480111""","*",13,17,"*",0,386,429
"Ellington School District","""0480011""","Crystal Lake School","""0480211""",0,"*","*","*",0,215,221
"Ellington School District","""0480011""","Ellington High School","""0486111""","*",20,21,"*",0,720,778
"Ellington School District","""0480011""","Ellington Middle School","""0485111""",0,6,10,7,0,367,390
"Ellington School District","""0480011""","Windermere Intermediate School","""0480711""","*","*",18,17,0,356,406
"Ellington School District","""0480011""","Windermere School","""0480611""","*",42,20,"*",0,339,410
"Elm City College Preparatory School","""2810013""","Elm City College Preparatory School","""2810113""",0,0,401,"*",0,"*",509
"Enfield School District","""0490011""","Edgar H. Parkman School","""0491311""",0,"*",7,"*",0,322,339
"Enfield School District","""0490011""","Eli Whitney School","""0491611""","*","*",29,18,0,344,404
"Enfield School District","""0490011""","Enfield High School","""0496111""","*","*",66,54,0,750,893
"Enfield School District","""0490011""","Enfield Street School","""0490211""",0,7,43,38,0,260,348
"Enfield School District","""0490011""","Enfield Transitional Learning Academy","""0499011""",0,"*","*","*",0,"*",8
"Enfield School District","""0490011""","Enrico Fermi High School","""0496211""","*","*",55,43,0,1038,1174
"Enfield School District","""0490011""","Harriet Beecher Stowe School","""0491211""",0,"*",17,"*",0,254,283
"Enfield School District","""0490011""","Hazardville Memorial School","""0490411""","*","*",29,12,0,355,405
"Enfield School District","""0490011""","Head Start Program","""0498011""","*","*",13,21,0,67,104
"Enfield School District","""0490011""","Henry Barnard School","""0491811""","*","*",70,36,0,297,418
"Enfield School District","""0490011""","John F. Kennedy Middle School","""0495211""",0,15,72,38,0,798,923
"Enfield School District","""0490011""","Nathan Hale School","""0491111""",0,6,17,9,0,231,263
"Enfield School District","""0490011""","Prudence Crandall School","""0491511""","*","*",20,23,0,373,435
"Enfield School District","""0490011""","Thomas G. Alcorn School","""0491711""","*","*",57,60,0,170,299
