"Student Counts by School and Race"
"All Districts, All Schools"
"2014-15"

"",,,,"Race",,,,,,,
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",0,32,12,62,0,18,422,546
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,27,10,65,"*","*",276,386
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","*","*",476,41,"*","*",13,538
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,8,176,20,0,"*","*",208
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",177,31,0,"*","*",214
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""",0,"*",107,34,0,"*",69,220
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*","*",296,27,0,"*",15,345
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",0,0,10,"*",0,0,"*",13
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,"*",193,26,"*",14,12,248
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""","*","*",119,45,0,20,127,321
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,15,44,33,0,12,416,520
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,"*",22,10,0,"*",274,318
"Booker T. Washington Academy District","""2950013""","Booker T. Washington Academy","""2950113""",0,0,78,10,0,"*","*",91
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",0,"*","*",10,0,0,186,209
"Branford School District","""0140011""","Branford High School","""0146111""","*",72,30,78,0,"*",759,961
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",0,0,0,0,0,"*","*",9
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""",0,72,35,73,0,15,721,916
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*",0,"*",0,0,34,39
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",12,"*",49,0,12,273,355
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",0,18,"*",26,0,"*",336,388
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","*",61,14,38,0,"*",291,413
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",0,"*",47,67,0,18,"*",150
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","*",8,544,402,0,"*",13,977
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""","*",15,119,97,0,"*",120,356
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",195,408,0,"*",25,635
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",0,35,451,456,"*","*",56,1008
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*",7,142,204,"*","*",13,370
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""","*","*",106,134,0,0,96,348
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,"*",74,206,0,"*",123,413
"Bridgeport School District","""0150011""","Blackham School","""0154011""","*",49,345,532,0,"*",176,1114
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,34,"*",0,0,"*",65
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""","*","*",83,107,0,"*",37,233
"Bridgeport School District","""0150011""","Bryant School","""0150411""","*",31,122,218,0,"*",29,406
"Bridgeport School District","""0150011""","Central High School","""0156211""",7,74,733,663,0,7,189,1673
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""","*",41,249,843,"*","*",63,1204
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",9,233,97,"*","*",25,371
"Bridgeport School District","""0150011""","Columbus School","""0150511""","*","*",306,493,0,11,48,861
"Bridgeport School District","""0150011""","Cross School","""0153911""","*",6,191,174,0,"*",13,386
"Bridgeport School District","""0150011""","Curiale School","""0154211""","*",29,316,371,"*",6,42,769
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,0,205,156,0,"*","*",377
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,"*",136,99,0,"*",26,274
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""","*",28,235,473,0,"*",70,824
"Bridgeport School District","""0150011""","Hall School","""0151111""","*",0,124,98,0,0,"*",262
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,"*",158,113,"*","*",24,302
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*",8,445,589,"*",0,89,1134
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*","*",213,131,0,6,59,414
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",126,187,"*","*",46,371
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""",0,14,143,110,"*","*",94,365
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""",7,27,153,153,"*","*",176,518
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""","*",12,332,302,"*","*",28,679
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""",0,"*",243,619,"*","*",50,920
"Bridgeport School District","""0150011""","Madison School","""0152011""","*",13,158,274,"*",11,75,533
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""",9,11,77,281,"*","*",76,457
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*",40,205,165,"*","*",50,465
"Bridgeport School District","""0150011""","Read School","""0152511""","*",12,345,422,"*","*",96,884
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*",13,209,305,"*","*",30,562
"Bridgeport School District","""0150011""","Skane Center","""0154411""","*",16,107,185,0,"*",77,387
"Bridgeport School District","""0150011""","Waltersville School","""0153011""","*","*",140,336,0,0,10,491
"Bridgeport School District","""0150011""","Winthrop School","""0153611""","*",34,206,221,0,"*",183,652
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*",7,0,"*","*",17
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*",36,93,248,"*",35,766,1180
"Bristol School District","""0170011""","Bristol Early Childhood Center-BECC","""0170411""",0,0,"*",13,0,"*",55,74
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*",33,95,200,0,"*",901,1247
"Bristol School District","""0170011""","Bristol Preparatory Academy","""0173311""",0,0,7,14,0,0,23,44
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""",0,20,61,162,0,18,499,760
"Bristol School District","""0170011""","Chippens Hill Middle School Functional Program","""0171011""",0,0,0,"*",0,0,"*",8
"Bristol School District","""0170011""","Chms Goal","""0173411""",0,0,"*","*",0,0,"*",7
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,0,0,"*",0,0,"*",11
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,10,19,98,0,6,207,340
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""","*","*",24,124,0,27,235,422
"Bristol School District","""0170011""","Greene-Hills GOAL","""0170911""",0,0,0,0,0,0,"*","*"
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,45,57,233,0,35,522,892
"Bristol School District","""0170011""","Hubbell/Extended Resource","""0172111""",0,0,0,"*",0,"*","*","*"
"Bristol School District","""0170011""","Ivy Drive GOAL","""0172611""",0,0,"*","*",0,0,"*","*"
"Bristol School District","""0170011""","Ivy Drive Medically Fragile","""0172311""",0,0,0,"*",0,0,"*",6
"Bristol School District","""0170011""","Ivy Drive School","""0171911""",0,10,27,68,0,13,278,396
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,20,14,64,0,21,263,382
"Bristol School District","""0170011""","Mt. View GOAL","""0172511""",0,0,0,"*",0,"*",0,"*"
"Bristol School District","""0170011""","Northeast MS/Extended Resource","""0172711""",0,0,0,0,0,0,"*","*"
"Bristol School District","""0170011""","Northeast MS/GOAL","""0172811""",0,0,0,0,0,"*","*","*"
"Bristol School District","""0170011""","Northeast Middle School","""0175211""",0,10,17,73,0,13,317,430
"Bristol School District","""0170011""","PreK Autism","""0172911""",0,"*",0,"*",0,0,"*","*"
"Bristol School District","""0170011""","South Side Extended Resource","""0173011""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","South Side GOAL","""0173111""",0,0,0,"*",0,"*","*",6
"Bristol School District","""0170011""","South Side School","""0171111""","*",6,36,145,0,"*",335,529
"Bristol School District","""0170011""","Stafford Autism","""0173211""",0,0,"*","*",0,0,6,11
"Bristol School District","""0170011""","Stafford School","""0171211""",0,26,38,95,"*","*",274,443
"Bristol School District","""0170011""","West Bristol School","""0172011""","*","*",59,273,0,43,515,919
"Brookfield School District","""0180011""","Brookfield High School","""0186111""","*",51,"*",48,0,0,774,895
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",25,7,28,0,"*",269,334
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",49,12,40,"*","*",492,599
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",69,"*",70,0,0,732,882
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*",14,8,51,"*",20,440,536
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""",0,"*","*",14,0,17,335,373
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""",0,0,0,"*",0,"*",64,78
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""",0,"*","*",13,0,14,212,243
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""","*",0,"*",7,0,11,208,228
"Canton School District","""0230011""","Canton Academy","""0230411""",0,"*",0,0,0,0,"*","*"
"Canton School District","""0230011""","Canton High School","""0236111""",0,11,15,26,0,12,421,485
"Canton School District","""0230011""","Canton Intermediate School","""0230311""","*",11,15,26,0,"*",356,410
"Canton School District","""0230011""","Canton Middle School","""0235111""",0,"*",12,18,0,"*",230,272
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",12,45,26,0,"*",363,449
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""",0,64,165,177,0,27,203,636
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering Elementary","""2410714""","*",42,67,81,0,"*",95,297
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""","*",31,162,208,"*",13,112,529
"Capitol Region Education Council","""2410014""","Ana Grace Academy of the Arts Elementary School","""2410614""",0,9,89,111,0,19,85,313
"Capitol Region Education Council","""2410014""","Discovery Academy","""2418114""","*",31,65,110,"*",21,127,356
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,0,0,"*",0,0,"*",20
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""",0,45,93,111,0,18,168,435
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","*","*",107,156,"*",21,170,457
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of the Arts Magnet Middle","""2415314""","*",0,86,124,"*",8,107,328
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,0,0,0,0,"*","*"
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""","*",66,116,142,0,"*",125,465
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,19,29,0,0,9,57
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",0,0,"*","*",0,0,9,15
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*",34,364,128,"*",27,176,736
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""",0,11,60,171,0,14,101,357
"Capitol Region Education Council","""2410014""","Museum Academy","""2410514""","*",26,166,126,0,"*",120,459
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""",8,6,123,219,0,21,142,519
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""","*","*",157,118,0,17,166,468
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*","*",12,0,0,45,64
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",22,31,0,"*",90,151
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,"*",0,"*","*",0,40,46
"Capitol Region Education Council","""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","""2411114""",0,"*",0,"*",0,0,"*",8
"Capitol Region Education Council","""2410014""","Soundbridge @ Museum Academy","""2411214""",0,"*","*","*",0,0,"*",9
"Capitol Region Education Council","""2410014""","Soundbridge @ Samuel B Webb Elementary School","""2410814""",0,0,0,0,0,0,"*","*"
"Capitol Region Education Council","""2410014""","Soundbridge @ Silas Deane Middle School","""2410914""",0,0,0,"*",0,0,0,"*"
"Capitol Region Education Council","""2410014""","Soundbridge @ Wethersfield High School","""2411014""",0,0,"*","*",0,0,"*",9
"Capitol Region Education Council","""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","""2419714""",0,0,0,0,0,0,12,12
"Capitol Region Education Council","""2410014""","Two Rivers Magnet High School","""2416714""","*",17,89,135,"*","*",54,303
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*",47,129,209,0,"*",247,664
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""",0,19,180,111,0,10,126,446
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""",0,0,"*",13,0,"*",154,178
"Cheshire School District","""0250011""","Chapman School","""0250111""","*",32,15,11,0,"*",285,350
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","*",135,44,42,0,"*",1289,1512
"Cheshire School District","""0250011""","Cheshire Quinnipiac University Transition Collaborative","""0250311""",0,"*",0,0,0,0,"*",8
"Cheshire School District","""0250011""","Darcey School","""0250211""",0,7,7,20,0,6,130,170
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""","*",74,11,29,0,"*",635,755
"Cheshire School District","""0250011""","Doolittle School","""0250611""","*",54,19,33,0,"*",388,502
"Cheshire School District","""0250011""","Highland School","""0250411""","*",87,29,27,0,"*",618,768
"Cheshire School District","""0250011""","Humiston Alternative School","""0250911""",0,0,"*","*",0,0,17,19
"Cheshire School District","""0250011""","Norton School","""0250511""","*",45,"*",25,0,9,357,447
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,"*","*",9,0,7,197,219
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""",0,10,"*",32,0,"*",265,315
"Clinton School District","""0270011""","Jared Eliot School","""0275111""","*",11,"*",40,"*","*",403,461
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",15,"*",80,0,8,444,556
"Clinton School District","""0270011""","The Morgan School","""0276111""","*",10,"*",52,0,17,465,550
"Colchester School District","""0280011""","Bacon Academy","""0286111""",9,18,26,51,0,9,773,886
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""",0,7,"*",34,"*",20,473,542
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""","*",16,9,27,"*",14,514,585
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""",7,12,14,19,0,8,566,626
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""",0,0,"*","*",0,6,82,91
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""",0,"*",6,27,0,"*",414,453
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",58,64,0,"*",50,180
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",228,475,0,10,82,807
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",272,461,0,9,50,801
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",37,348,0,16,217,628
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","*","*",191,324,0,10,39,566
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""","*","*",52,192,0,27,234,513
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*","*",53,142,"*",20,347,568
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","*","*",38,270,0,22,441,785
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","*","*","*",34,0,32,542,619
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*","*",22,248,0,23,341,649
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*",16,87,134,"*",14,397,654
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""",0,"*",44,55,0,"*",38,145
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","*","*",29,91,"*",41,504,673
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*","*","*",52,0,8,590,660
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*","*",100,292,0,37,389,826
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",61,101,0,34,427,630
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","*",10,90,183,"*",29,424,741
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","*",0,"*",167,0,17,331,525
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",0,"*",19,10,0,"*",55,90
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",0,"*",22,15,0,"*",9,50
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",0,"*",0,"*",0,0,6,11
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,0,"*",49,0,"*",19,85
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""",0,22,150,167,"*","*",109,459
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","*","*",25,34,0,10,81,154
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,"*","*",9,0,6,73,91
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""","*","*","*",16,0,17,345,385
"Coventry School District","""0320011""","Coventry Academy","""0320111""",0,0,"*","*",0,"*",7,10
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,0,0,0,0,27,27
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""",0,"*","*",15,0,8,330,363
"Coventry School District","""0320011""","Coventry High School","""0326111""",0,"*","*",28,0,21,434,490
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*","*","*",19,0,9,330,368
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*",35,44,38,0,"*",444,566
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""","*",27,44,42,0,"*",335,455
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""","*",22,45,44,"*",9,340,466
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""",0,40,"*",39,0,"*",360,481
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*",19,43,0,"*",31,98
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",0,72,75,458,"*","*",447,1083
"Danbury School District","""0340011""","DPS Early Childhood Center","""0340111""","*",9,7,63,0,"*",44,130
"Danbury School District","""0340011""","Danbury High School","""0346111""",0,203,282,1120,"*","*",1224,2885
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,22,21,266,0,20,100,429
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,14,10,171,0,12,148,355
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",0,63,39,209,"*","*",120,458
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,23,25,127,0,13,178,366
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",17,21,176,0,"*",163,390
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,26,32,104,"*","*",155,334
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,12,22,258,0,12,67,371
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,25,34,345,0,19,140,563
"Danbury School District","""0340011""","Pembroke School","""0341511""","*",35,25,140,0,"*",159,375
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""","*",46,76,511,0,"*",284,932
"Danbury School District","""0340011""","Shelter Rock School","""0341211""",0,44,30,212,0,11,200,497
"Danbury School District","""0340011""","South Street School","""0341011""",0,14,34,238,0,13,70,369
"Danbury School District","""0340011""","Stadley Rough School","""0341611""","*",28,23,193,0,"*",218,472
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*",43,30,112,0,"*",222,413
"Danbury School District","""0340011""","Westside Middle School Academy","""0340311""","*",47,30,100,0,"*",208,400
"Darien School District","""0350011""","Darien High School","""0356111""","*",44,8,58,0,"*",1250,1365
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",0,29,"*",16,0,"*",504,556
"Darien School District","""0350011""","Holmes Elementary School","""0350711""",0,18,"*",13,0,"*",433,473
"Darien School District","""0350011""","Middlesex Middle School","""0355111""",0,51,"*",45,0,"*",1016,1125
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""","*",17,"*",26,0,11,391,449
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",20,"*",26,0,"*",381,442
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,14,"*",17,"*",14,445,493
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""",0,"*","*",21,0,10,276,312
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,0,"*","*",0,0,"*",6
"Department of Mental Health and Addiction Services","""3370015""","Greater Bridgeport Community Mental Health Center","""3370515""",0,0,"*",0,0,0,0,"*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,"*",38,52,"*",17,245,365
"Derby School District","""0370011""","Derby High School","""0376111""",0,10,64,92,"*","*",198,372
"Derby School District","""0370011""","Derby Middle School","""0375011""",0,"*",56,96,"*",11,170,339
"Derby School District","""0370011""","Irving School","""0370411""",0,"*",64,143,"*",14,139,370
"East Granby School District","""0400011""","Allgrove School","""0400111""",0,24,"*",22,0,"*",149,222
"East Granby School District","""0400011""","East Granby High School","""0406111""",0,9,15,8,0,6,219,257
"East Granby School District","""0400011""","East Granby Middle School","""0405111""","*",10,19,13,0,"*",163,211
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""","*",9,10,10,0,"*",149,185
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""",0,"*","*",19,0,"*",290,319
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",0,"*","*",7,0,"*",336,351
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""",0,"*","*","*",0,"*",447,455
"East Hampton School District","""0420011""","Center School","""0420311""",0,"*","*",14,0,6,259,283
"East Hampton School District","""0420011""","East Hampton High School","""0426111""",0,12,6,25,"*","*",454,502
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""","*",12,"*",18,0,"*",393,432
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,"*","*",27,0,18,553,605
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,0,0,0,0,0,8,8
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""",0,"*",86,159,0,"*",21,284
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*","*",66,36,0,0,67,203
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""",0,"*",132,170,0,"*",42,364
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*",14,149,179,"*",0,29,375
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""","*",16,168,209,0,"*",155,557
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","*",80,640,684,0,"*",265,1674
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""","*",77,411,501,0,"*",165,1158
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*",37,101,121,0,"*",75,342
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,"*",96,163,0,"*",62,337
