"Student Counts by School and Race"
"All Districts, All Schools"
"2011-12"

"",,,,"Race",,,,,,,
"Bethel School District","""0090011""","Bethel High School","""0096111""","*",56,24,118,"*",9,740,949
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,47,13,92,0,20,521,693
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""","*",35,15,46,"*","*",390,493
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,30,10,61,0,15,331,447
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","*","*",534,45,0,"*",19,603
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,"*",215,33,0,9,"*",263
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,"*",247,21,0,"*",10,286
"Bloomfield School District","""0110011""","J. P. Vincent School","""0110311""","*","*",254,34,"*",14,14,322
"Bloomfield School District","""0110011""","Metacomet School","""0110511""","*",7,209,20,0,8,"*",251
"Bloomfield School District","""0110011""","The Big Picture High School","""0116211""",0,"*",77,14,0,"*",12,105
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""","*","*",106,24,0,22,150,321
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,14,27,25,0,6,477,549
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,"*","*",10,0,11,310,343
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","*","*",14,17,0,"*",197,234
"Branford School District","""0140011""","Branford High School","""0146111""","*",69,35,64,0,"*",881,1064
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",64,27,83,0,"*",823,1020
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,0,"*","*",0,"*",39,46
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",21,"*",49,0,7,281,365
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",0,20,"*",21,0,"*",335,384
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","*",61,21,50,0,"*",295,439
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","*","*",296,236,0,"*","*",543
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",198,443,0,"*",12,659
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","*",45,456,519,"*","*",49,1073
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*","*",151,214,0,0,15,388
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,"*",62,136,0,"*",101,305
"Bridgeport School District","""0150011""","Blackham School","""0154011""","*",52,351,475,"*","*",182,1066
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,"*",27,0,0,"*",51
"Bridgeport School District","""0150011""","Bryant School","""0150411""","*",29,157,190,"*","*",31,413
"Bridgeport School District","""0150011""","Central High School","""0156211""",121,82,867,893,"*","*",211,2181
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",0,"*",245,819,0,"*",41,1146
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",16,177,81,0,0,"*",290
"Bridgeport School District","""0150011""","Columbus School","""0150511""",0,"*",139,349,0,0,"*",523
"Bridgeport School District","""0150011""","Cross School","""0153911""","*",6,243,165,"*","*",12,431
"Bridgeport School District","""0150011""","Curiale School","""0154211""","*",51,281,250,0,"*",28,615
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,0,224,109,0,"*","*",344
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,7,133,87,0,0,24,251
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",6,34,299,460,"*","*",52,857
"Bridgeport School District","""0150011""","Hall School","""0151111""","*","*",172,122,0,"*",9,310
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,"*",192,117,0,0,"*",335
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*",15,587,661,0,"*",40,1309
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*",9,213,155,0,"*",45,429
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*",9,171,182,0,"*",50,416
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""","*","*",92,103,0,0,98,312
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""","*",13,364,279,"*","*",10,670
"Bridgeport School District","""0150011""","Longfellow School","""0151911""",0,"*",202,233,0,"*",15,454
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""",0,"*",238,632,0,"*",21,897
"Bridgeport School District","""0150011""","Madison School","""0152011""","*",10,168,252,0,"*",72,510
"Bridgeport School District","""0150011""","Make The Grade","""0159511""",0,0,26,13,0,0,0,39
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""","*",16,106,305,0,"*",53,484
"Bridgeport School District","""0150011""","Park City Academy","""0159211""",0,"*","*","*",0,0,"*","*"
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*","*",254,166,0,0,60,523
"Bridgeport School District","""0150011""","Read School","""0152511""","*",10,379,383,0,"*",75,850
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*","*",222,285,0,0,19,534
"Bridgeport School District","""0150011""","Skane Center","""0154411""",0,"*",62,92,0,"*",64,229
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",0,6,99,373,0,"*","*",483
"Bridgeport School District","""0150011""","Winthrop School","""0153611""","*",40,265,235,0,"*",183,729
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*",9,0,0,"*",17
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*","*",90,254,0,39,909,1317
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*",40,91,178,0,"*",980,1308
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""","*",23,67,150,0,"*",567,817
"Bristol School District","""0170011""","Clara T. O'Connell School","""0170711""",0,9,29,154,0,17,139,348
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,0,0,"*",0,0,"*",15
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,12,19,106,0,18,237,392
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",0,28,23,135,0,48,326,560
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,21,18,74,0,13,211,337
"Bristol School District","""0170011""","Ivy Drive School","""0171911""","*",10,23,61,0,"*",324,423
"Bristol School District","""0170011""","John J. Jennings School","""0170611""",0,11,9,36,0,0,331,387
"Bristol School District","""0170011""","Memorial Boulevard Middle School","""0175311""",0,19,29,101,0,13,350,512
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,19,14,59,0,20,258,370
"Bristol School District","""0170011""","Northeast Middle School","""0175211""","*","*",32,71,0,8,441,560
"Bristol School District","""0170011""","South Side School","""0171111""",0,12,49,112,0,7,413,593
"Bristol School District","""0170011""","Stafford School","""0171211""",0,"*",41,104,0,"*",328,493
"Brookfield School District","""0180011""","Brookfield High School","""0186111""","*",38,"*",41,0,0,866,966
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",33,8,33,"*",0,333,409
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",44,"*",45,0,0,494,591
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",51,"*",48,0,0,760,871
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*","*",11,25,0,8,480,534
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""",0,"*","*",15,0,15,354,396
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""",0,0,0,"*",0,"*",79,86
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""",0,"*","*",12,0,12,266,298
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""",0,"*","*",13,0,"*",198,217
"Canton School District","""0230011""","Canton High School","""0236111""",0,7,7,16,0,10,482,522
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",0,11,12,26,0,11,348,408
"Canton School District","""0230011""","Canton Middle School","""0235111""",0,"*",11,10,0,"*",228,258
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",8,25,32,0,"*",483,550
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""",0,47,89,118,0,13,123,390
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""","*",12,116,90,0,"*",54,278
"Capitol Region Education Council","""2410014""","Discovery Academy","""2418114""",0,20,35,44,0,12,39,150
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,0,"*","*",0,"*",17,24
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""","*",31,66,54,0,"*",85,259
"Capitol Region Education Council","""2410014""","Great Path Academy at MCC","""2416314""","*",7,109,64,0,"*",61,246
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","*","*",99,123,0,6,165,400
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,0,0,0,0,"*","*"
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""",0,44,76,100,0,10,81,311
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,14,25,0,0,8,47
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",0,0,"*",0,0,0,"*",8
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*",26,387,107,0,"*",183,719
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""","*",12,87,144,0,"*",98,350
"Capitol Region Education Council","""2410014""","Museum Academy","""2410514""","*",6,114,76,0,"*",72,271
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""","*","*",113,134,0,7,126,389
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""",0,"*",111,75,0,"*",87,284
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*",10,"*",0,0,41,58
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",24,25,0,"*",93,147
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,11,"*",9,0,"*",68,97
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*",50,138,211,0,"*",256,684
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""","*",27,164,116,0,"*",120,441
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""",0,"*","*",13,0,13,152,182
"Cheshire School District","""0250011""","Chapman School","""0250111""",0,21,"*",16,0,"*",246,294
"Cheshire School District","""0250011""","Cheshire High School","""0256111""",0,124,27,42,0,0,1356,1549
"Cheshire School District","""0250011""","Darcey School","""0250211""","*",27,"*",10,0,"*",290,336
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""","*",71,"*",24,0,0,661,774
"Cheshire School District","""0250011""","Doolittle School","""0250611""",0,52,14,28,0,0,443,537
"Cheshire School District","""0250011""","Highland School","""0250411""","*",93,20,38,0,"*",642,795
"Cheshire School District","""0250011""","Humiston School","""0259011""","*","*","*","*",0,0,21,25
"Cheshire School District","""0250011""","Norton School","""0250511""","*",39,9,19,0,"*",406,480
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,6,"*","*",0,7,241,260
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""",0,7,"*",28,0,"*",276,314
"Clinton School District","""0270011""","Jared Eliot School","""0275111""","*",8,"*",39,"*",15,398,466
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",18,"*",60,0,7,565,658
"Clinton School District","""0270011""","The Morgan School","""0276111""","*",17,"*",39,"*",14,486,565
"Colchester School District","""0280011""","Bacon Academy","""0286111""",9,15,38,49,0,11,861,983
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""","*",20,"*",32,0,21,594,680
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""",6,13,17,24,0,8,586,654
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""",7,14,22,32,0,7,618,700
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""",0,0,0,"*",0,"*",90,99
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""",0,"*","*",25,0,7,483,524
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",46,72,0,"*",36,165
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",262,443,0,"*",41,755
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*",7,349,445,0,"*",68,874
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",70,320,0,12,209,618
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""",0,"*",179,307,0,"*",29,521
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""",9,"*",63,174,"*",16,298,569
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*",6,45,100,0,"*",392,546
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""",6,"*",44,232,0,"*",479,772
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","*","*","*",24,0,15,488,540
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*",10,35,191,"*","*",392,638
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*",17,108,142,0,"*",388,673
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","*",7,25,79,"*",39,500,656
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*",8,14,45,0,"*",590,669
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""",7,8,119,245,0,12,494,885
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",61,79,0,7,454,607
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""",7,"*",127,214,"*",13,392,761
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""",7,"*",17,156,"*","*",385,572
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",0,"*",19,"*",0,0,60,90
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",0,"*",18,"*",0,0,20,51
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",0,0,"*","*",0,0,7,11
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,0,"*","*",0,0,0,51
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""",0,19,170,158,0,6,110,463
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","*",0,31,30,0,"*",78,147
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,"*",0,"*",0,7,91,106
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""",0,"*","*",21,0,20,401,452
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,0,"*",0,"*",20,23
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""","*",7,"*",16,0,8,345,380
"Coventry School District","""0320011""","Coventry High School","""0326111""",0,"*","*",17,0,16,484,524
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*",6,"*",17,0,18,355,401
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*",19,46,36,0,"*",439,546
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""",0,"*",42,33,0,"*",398,500
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""",0,38,45,"*",0,"*",363,480
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""",0,"*",41,45,0,"*",343,456
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*","*",25,0,0,49,91
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",0,80,117,361,0,13,551,1122
"Danbury School District","""0340011""","Danbury High School","""0346111""","*",249,324,954,0,"*",1344,2889
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,27,39,205,0,8,99,378
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,14,9,120,0,10,161,314
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",0,48,31,180,"*","*",118,396
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,29,30,128,0,7,178,372
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",23,"*",149,0,10,223,415
"Danbury School District","""0340011""","Mill Ridge Educational Center","""0341811""",0,16,"*",33,"*",8,86,148
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,44,52,135,0,8,187,426
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,17,31,259,0,10,89,406
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,32,27,229,0,7,131,426
"Danbury School District","""0340011""","Pembroke School","""0341511""",0,26,29,126,0,8,177,366
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""","*",69,103,452,0,"*",465,1110
"Danbury School District","""0340011""","Shelter Rock School","""0341211""",0,41,34,188,0,12,144,419
"Danbury School District","""0340011""","South Street School","""0341011""",0,14,24,199,0,12,94,343
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",0,38,"*",167,0,"*",236,467
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*",36,"*",74,0,0,248,389
"Darien School District","""0350011""","Darien High School","""0356111""","*",36,"*",53,0,"*",1217,1315
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",0,35,"*",18,0,"*",510,570
"Darien School District","""0350011""","Holmes Elementary School","""0350711""",0,16,0,10,0,0,393,419
"Darien School District","""0350011""","Middlesex Middle School","""0355111""",0,38,"*","*",0,0,1076,1154
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""","*",11,"*",12,0,"*",436,465
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",20,"*",18,0,"*",365,409
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,12,"*",13,0,"*",449,483
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""",0,"*","*",24,0,"*",326,357
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,"*","*","*",0,0,"*","*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,11,28,59,"*","*",241,351
"Derby School District","""0370011""","Derby High School","""0376111""",0,"*",54,79,"*","*",219,359
"Derby School District","""0370011""","Derby Middle School","""0375011""",0,7,51,76,"*","*",192,334
"Derby School District","""0370011""","Irving School","""0370411""",0,11,78,145,"*","*",161,402
"East Granby School District","""0400011""","Allgrove School","""0400111""","*","*",16,14,0,7,193,238
"East Granby School District","""0400011""","East Granby High School","""0406111""",0,"*",10,11,0,"*",229,263
"East Granby School District","""0400011""","East Granby Middle School","""0405111""",0,"*",12,13,0,"*",183,216
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""","*",7,8,"*",0,"*",105,129
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""",0,"*","*","*",0,"*",361,371
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",0,"*","*",9,0,0,389,406
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""",0,"*","*",10,0,"*",477,497
"East Hampton School District","""0420011""","Center School","""0420311""",0,10,"*",12,0,"*",277,303
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","*",10,8,12,0,"*",515,550
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,10,"*",23,"*","*",428,469
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,"*","*",28,0,16,565,621
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,0,0,0,0,0,"*","*"
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""",0,15,83,154,0,0,22,274
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*",17,53,37,0,"*",78,188
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""","*",19,142,194,"*","*",40,401
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*","*",146,180,0,0,34,381
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""","*","*",79,111,0,0,110,313
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","*",103,594,684,0,"*",339,1732
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""","*",49,381,441,0,"*",174,1051
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*",66,110,107,0,"*",74,361
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,21,86,145,0,0,45,297
"East Hartford School District","""0430011""","Joseph O. Goodwin School","""0430411""","*",14,102,115,0,"*",115,348
"East Hartford School District","""0430011""","Robert J. O'Brien School","""0431811""","*","*",211,226,0,0,75,547
"East Hartford School District","""0430011""","Silver Lane School","""0431211""","*","*",91,151,0,"*",37,287
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""",0,"*",58,60,0,0,"*",151
"East Hartford School District","""0430011""","Sunset Ridge Middle School","""0432411""",0,12,192,137,0,0,63,404
"East Hartford School District","""0430011""","Willowbrook Early Childhood","""0438011""",0,"*",78,123,0,"*",26,233
"East Hartford School District","""0430011""","Woodland School","""0439011""","*","*",57,86,0,0,39,186
"East Haven School District","""0440011""","Carbone School/East Haven Academy","""0441711""","*",12,"*",27,0,7,236,285
"East Haven School District","""0440011""","D. C. Moore School","""0441411""",0,19,"*",61,0,"*",171,266
"East Haven School District","""0440011""","Deer Run School","""0440111""","*",20,9,54,0,"*",217,305
"East Haven School District","""0440011""","Dominick H. Ferrara School","""0441311""",0,"*",15,42,0,"*",178,251
"East Haven School District","""0440011""","East Haven High School","""0446111""",0,40,25,153,0,10,657,885
"East Haven School District","""0440011""","Grove J. Tuttle School","""0441011""",0,15,"*",53,0,"*",117,196
"East Haven School District","""0440011""","Joseph Melillo Middle School","""0445111""",0,25,19,112,"*","*",488,647
"East Haven School District","""0440011""","Momauguin School","""0440711""",0,"*",7,45,0,"*",105,166
"East Haven School District","""0440011""","Overbrook Elementary School","""0441811""",0,15,8,47,0,9,157,236
"East Haven School District","""0440011""","Pathways","""0449011""",0,0,"*","*",0,0,28,36
"East Lyme School District","""0450011""","East Lyme High School","""0456111""",6,98,20,36,0,8,994,1162
"East Lyme School District","""0450011""","East Lyme Middle School","""0455111""","*",91,24,30,"*","*",703,854
"East Lyme School District","""0450011""","Flanders School","""0450111""",0,55,"*",17,0,"*",283,362
"East Lyme School District","""0450011""","Integrated Preschool","""0458011""",0,"*","*","*",0,0,44,51
"East Lyme School District","""0450011""","Lillie B. Haynes School","""0450411""",0,32,"*",23,0,"*",268,338
"East Lyme School District","""0450011""","Niantic Center School","""0450211""",0,8,"*",11,0,"*",185,211
"East Windsor School District","""0470011""","Broad Brook Elementary School","""0470111""","*",45,60,71,0,"*",324,532
"East Windsor School District","""0470011""","East Windsor High School","""0476111""",0,15,51,31,"*","*",266,374
"East Windsor School District","""0470011""","East Windsor Middle School","""0475411""","*","*",32,53,0,23,255,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","*",0,6,15,0,"*",101,126
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""",0,0,"*",8,0,"*",44,59
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Quinebaug Middle College","""2536114""","*","*","*",12,0,"*",87,110
"Eastford School District","""0390011""","Eastford Elementary School","""0390111""","*","*","*","*",0,"*",165,176
"Easton School District","""0460011""","Helen Keller Middle School","""0465111""","*",13,"*",19,"*","*",350,391
"Easton School District","""0460011""","Samuel Staples Elementary School","""0460111""","*",39,"*",33,0,15,572,666
"EdAdvance","""2420014""","EdAdvance Headstart","""2428014""",7,"*","*",45,"*","*",134,197
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""",0,"*",7,"*",0,0,10,24
"Ellington School District","""0480011""","Center School","""0480111""",0,7,10,20,0,11,400,448
"Ellington School District","""0480011""","Crystal Lake School","""0480211""",0,"*","*",8,0,7,193,217
"Ellington School District","""0480011""","Ellington High School","""0486111""",0,23,22,34,0,27,694,800
"Ellington School District","""0480011""","Ellington Middle School","""0485111""","*",18,15,18,0,"*",357,421
"Ellington School District","""0480011""","Windermere Intermediate School","""0480711""",0,25,15,21,0,13,345,419
"Ellington School District","""0480011""","Windermere School","""0480611""","*",65,21,22,0,"*",315,442
