"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""","Math",114,113,99.1,113,39,34.5,51,45.1,"*","*","*","*",23,20.4,448
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""","ELA",86,85,98.8,85,50,58.8,23,27.1,12,14.1,0,0.0,12,14.1,410
"Bridgeport School District","""0150011""","Bridgeport Military Academy","""0151611""","Math",86,85,98.8,85,55,64.7,30,35.3,0,0.0,0,0.0,0,0.0,384
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""","ELA",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","""0150011""","Career and Craftsmanship","""0152711""","Math",15,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","""0150011""","Central High School","""0156211""","ELA",364,343,94.2,343,123,35.9,79,23.0,127,37.0,14,4.1,141,41.1,460
"Bridgeport School District","""0150011""","Central High School","""0156211""","Math",364,343,94.2,343,148,43.1,135,39.4,53,15.5,7,2.0,60,17.5,438
"Bridgeport School District","""0150011""","Harding High School","""0156311""","ELA",194,172,88.7,172,111,64.5,36,20.9,"*","*","*","*",25,14.5,403
"Bridgeport School District","""0150011""","Harding High School","""0156311""","Math",194,172,88.7,171,123,71.9,"*","*","*","*",0,0.0,"*","*",380
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""","ELA",119,117,98.3,117,23,19.7,24,20.5,53,45.3,17,14.5,70,59.8,504
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""","Math",119,117,98.3,117,26,22.2,55,47.0,30,25.6,6,5.1,36,30.8,482
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","ELA",269,264,98.1,264,57,21.6,51,19.3,128,48.5,28,10.6,156,59.1,501
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","Math",269,264,98.1,264,62,23.5,125,47.3,65,24.6,12,4.5,77,29.2,476
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","ELA",276,272,98.6,272,37,13.6,50,18.4,148,54.4,37,13.6,185,68.0,523
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","Math",276,272,98.6,272,49,18.0,129,47.4,78,28.7,16,5.9,94,34.6,497
"Bristol School District","""0170011""","Bristol Preparatory Academy","""0173311""","ELA",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","""0170011""","Bristol Preparatory Academy","""0173311""","Math",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","""0180011""","Brookfield High School","""0186111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","""0180011""","Brookfield High School","""0186111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","""0230011""","Canton Academy","""0230411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
