"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Ellington School District","""0480011""","Ellington High School","""0486111""","ELA",175,174,99.4,174,10,5.7,26,14.9,108,62.1,30,17.2,138,79.3,542
"Ellington School District","""0480011""","Ellington High School","""0486111""","Math",175,174,99.4,173,12,6.9,73,42.2,71,41.0,17,9.8,88,50.9,532
"Elm City College Preparatory School District","""2890013""","Elm City College Preparatory School","""2890113""","ELA",29,29,100.0,29,"*","*","*","*",15,51.7,6,20.7,21,72.4,516
"Elm City College Preparatory School District","""2890013""","Elm City College Preparatory School","""2890113""","Math",29,29,100.0,29,"*","*",12,41.4,9,31.0,"*","*","*","*",498
"Enfield School District","""0490011""","Enfield High School","""0496111""","ELA",350,342,97.7,342,38,11.1,65,19.0,210,61.4,29,8.5,239,69.9,515
"Enfield School District","""0490011""","Enfield High School","""0496111""","Math",350,342,97.7,342,45,13.2,170,49.7,107,31.3,20,5.8,127,37.1,501
"Explorations District","""2720013""","Explorations","""2726113""","ELA",22,21,95.5,21,8,38.1,"*","*",7,33.3,"*","*","*","*",466
"Explorations District","""2720013""","Explorations","""2726113""","Math",22,21,95.5,21,9,42.9,9,42.9,"*","*","*","*","*","*",458
"Fairfield School District","""0510011""","Fairfield Ludlowe High School","""0516011""","ELA",387,377,97.4,377,17,4.5,32,8.5,193,51.2,135,35.8,328,87.0,583
"Fairfield School District","""0510011""","Fairfield Ludlowe High School","""0516011""","Math",387,377,97.4,377,22,5.8,112,29.7,167,44.3,76,20.2,243,64.5,564
"Fairfield School District","""0510011""","Fairfield Warde High School","""0516211""","ELA",372,367,98.7,367,23,6.3,29,7.9,182,49.6,133,36.2,315,85.8,579
"Fairfield School District","""0510011""","Fairfield Warde High School","""0516211""","Math",372,367,98.7,367,20,5.4,116,31.6,162,44.1,69,18.8,231,62.9,557
"Fairfield School District","""0510011""","Walter Fitzgerald Campus","""0510311""","ELA",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","""0510011""","Walter Fitzgerald Campus","""0510311""","Math",13,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","""0520011""","Farmington Alternative High School","""0520611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","""0520011""","Farmington Alternative High School","""0520611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","""0520011""","Farmington High School","""0526111""","ELA",283,281,99.3,281,12,4.3,22,7.8,150,53.4,97,34.5,247,87.9,589
"Farmington School District","""0520011""","Farmington High School","""0526111""","Math",283,281,99.3,280,15,5.4,75,26.8,111,39.6,79,28.2,190,67.9,580
"Glastonbury School District","""0540011""","Glastonbury High School","""0546111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","""0540011""","Glastonbury High School","""0546111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","""0540011""","Links Academy","""0540111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","""0540011""","Links Academy","""0540111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","""0560011""","Granby Memorial High School","""0566111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","""0560011""","Granby Memorial High School","""0566111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","""0570011""","Greenwich Alternative High School","""0571411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","""0570011""","Greenwich Alternative High School","""0571411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","""0570011""","Greenwich High School","""0576111""","ELA",610,594,97.4,594,37,6.2,51,8.6,269,45.3,237,39.9,506,85.2,587
"Greenwich School District","""0570011""","Greenwich High School","""0576111""","Math",610,594,97.4,593,51,8.6,171,28.8,201,33.9,170,28.7,371,62.6,572
"Griswold School District","""0580011""","Griswold Alternative School","""0580111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","""0580011""","Griswold Alternative School","""0580111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","""0580011""","Griswold High School","""0586211""","ELA",137,135,98.5,135,15,11.1,25,18.5,80,59.3,15,11.1,95,70.4,522
"Griswold School District","""0580011""","Griswold High School","""0586211""","Math",137,135,98.5,135,"*","*",66,48.9,49,36.3,"*","*","*","*",498
"Groton School District","""0590011""","New Beginnings Alternative Program","""0590211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","""0590011""","New Beginnings Alternative Program","""0590211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","""0590011""","Robert E. Fitch High School","""0596111""","ELA",231,224,97.0,224,42,18.8,34,15.2,110,49.1,38,17.0,148,66.1,522
"Groton School District","""0590011""","Robert E. Fitch High School","""0596111""","Math",231,224,97.0,224,44,19.6,93,41.5,63,28.1,24,10.7,87,38.8,503
"Groton School District","""0590011""","Virtual Learning Academy","""0590611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","""0590011""","Virtual Learning Academy","""0590611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","""0600011""","Guilford High School","""0606111""","ELA",286,286,100.0,286,15,5.2,30,10.5,155,54.2,86,30.1,241,84.3,582
"Guilford School District","""0600011""","Guilford High School","""0606111""","Math",286,286,100.0,285,29,10.2,76,26.7,114,40.0,66,23.2,180,63.2,561
"Hamden School District","""0620011""","Hamden Collaborative Learning Center","""0620511""","ELA",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","""0620011""","Hamden Collaborative Learning Center","""0620511""","Math",10,10,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","""0620011""","Hamden High School","""0626111""","ELA",381,375,98.4,375,78,20.8,72,19.2,186,49.6,39,10.4,225,60.0,501
"Hamden School District","""0620011""","Hamden High School","""0626111""","Math",381,375,98.4,374,91,24.3,175,46.8,95,25.4,13,3.5,108,28.9,477
"Hartford School District","""0640011""","Bulkeley High School","""0647111""","ELA",143,119,83.2,119,83,69.7,18,15.1,"*","*","*","*",18,15.1,400
"Hartford School District","""0640011""","Bulkeley High School","""0647111""","Math",143,119,83.2,119,84,70.6,"*","*","*","*",0,0.0,"*","*",385
"Hartford School District","""0640011""","Capital Community College Magnet Academy","""0643911""","ELA",24,24,100.0,24,"*","*",7,29.2,12,50.0,"*","*","*","*",483
"Hartford School District","""0640011""","Capital Community College Magnet Academy","""0643911""","Math",24,24,100.0,24,"*","*",14,58.3,"*","*",0,0.0,"*","*",456
"Hartford School District","""0640011""","Capital Preparatory Magnet School","""0646911""","ELA",51,50,98.0,50,18,36.0,"*","*",16,32.0,"*","*","*","*",455
"Hartford School District","""0640011""","Capital Preparatory Magnet School","""0646911""","Math",51,50,98.0,50,31,62.0,"*","*","*","*",0,0.0,"*","*",403
"Hartford School District","""0640011""","Classical Magnet School","""0646411""","ELA",80,80,100.0,80,11,13.8,19,23.8,36,45.0,14,17.5,50,62.5,521
"Hartford School District","""0640011""","Classical Magnet School","""0646411""","Math",80,80,100.0,80,19,23.8,45,56.3,"*","*","*","*",16,20.0,469
"Hartford School District","""0640011""","Culinary Arts Academy at Weaver High School","""0646011""","ELA",39,34,87.2,34,21,61.8,10,29.4,"*","*","*","*","*","*",400
"Hartford School District","""0640011""","Culinary Arts Academy at Weaver High School","""0646011""","Math",39,34,87.2,32,20,62.5,"*","*","*","*",0,0.0,"*","*",386
"Hartford School District","""0640011""","EDP - Bulkeley High School","""0648311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","""0640011""","EDP - Bulkeley High School","""0648311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","""0640011""","EDP - HPHS Engineering and Green Technology Academy","""0648211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","""0640011""","EDP - HPHS Engineering and Green Technology Academy","""0648211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","""0640011""","Global Communications Academy","""0643611""","ELA",30,26,86.7,26,13,50.0,"*","*","*","*",0,0.0,"*","*",405
"Hartford School District","""0640011""","Global Communications Academy","""0643611""","Math",30,26,86.7,26,"*","*","*","*",0,0.0,0,0.0,0,0.0,362
"Hartford School District","""0640011""","Great Path Academy at MCC","""0647911""","ELA",55,54,98.2,54,"*","*",15,27.8,27,50.0,"*","*","*","*",490
"Hartford School District","""0640011""","Great Path Academy at MCC","""0647911""","Math",55,54,98.2,54,"*","*",30,55.6,"*","*",0,0.0,"*","*",443
"Hartford School District","""0640011""","HPHS Engineering and Green Technology Academy","""0647211""","ELA",62,50,80.6,50,30,60.0,"*","*","*","*",0,0.0,"*","*",398
"Hartford School District","""0640011""","HPHS Engineering and Green Technology Academy","""0647211""","Math",62,50,80.6,50,36,72.0,"*","*","*","*",0,0.0,"*","*",390
"Hartford School District","""0640011""","HPHS Law and Government Academy","""0647411""","ELA",67,57,85.1,57,41,71.9,"*","*","*","*",0,0.0,"*","*",368
"Hartford School District","""0640011""","HPHS Law and Government Academy","""0647411""","Math",67,57,85.1,48,30,62.5,18,37.5,0,0.0,0,0.0,0,0.0,391
"Hartford School District","""0640011""","HPHS Nursing and Health Sciences Academy","""0647511""","ELA",80,74,92.5,74,48,64.9,17,23.0,9,12.2,0,0.0,9,12.2,402
"Hartford School District","""0640011""","HPHS Nursing and Health Sciences Academy","""0647511""","Math",80,74,92.5,73,46,63.0,"*","*","*","*",0,0.0,"*","*",387
"Hartford School District","""0640011""","Hartford Magnet Trinity College Academy","""0645411""","ELA",97,96,99.0,96,23,24.0,26,27.1,40,41.7,7,7.3,47,49.0,482
"Hartford School District","""0640011""","Hartford Magnet Trinity College Academy","""0645411""","Math",97,96,99.0,96,39,40.6,35,36.5,"*","*","*","*",22,22.9,443
"Hartford School District","""0640011""","High School, Inc.","""0647611""","ELA",42,39,92.9,39,26,66.7,"*","*","*","*",0,0.0,"*","*",394
"Hartford School District","""0640011""","High School, Inc.","""0647611""","Math",42,39,92.9,39,30,76.9,9,23.1,0,0.0,0,0.0,0,0.0,383
"Hartford School District","""0640011""","Journalism and Media Academy Magnet School","""0647711""","ELA",47,36,76.6,36,15,41.7,"*","*",10,27.8,"*","*","*","*",441
"Hartford School District","""0640011""","Journalism and Media Academy Magnet School","""0647711""","Math",47,36,76.6,36,24,66.7,"*","*","*","*",0,0.0,"*","*",396
"Hartford School District","""0640011""","Kinsella Magnet School of Performing Arts","""0641111""","ELA",44,44,100.0,44,15,34.1,16,36.4,"*","*","*","*",13,29.5,448
"Hartford School District","""0640011""","Kinsella Magnet School of Performing Arts","""0641111""","Math",44,44,100.0,44,"*","*",23,52.3,"*","*",0,0.0,"*","*",419
"Hartford School District","""0640011""","Pathways Academy of Technology and Design","""0646611""","ELA",100,93,93.0,93,31,33.3,19,20.4,28,30.1,15,16.1,43,46.2,478
"Hartford School District","""0640011""","Pathways Academy of Technology and Design","""0646611""","Math",100,93,93.0,92,36,39.1,33,35.9,"*","*","*","*",23,25.0,452
"Hartford School District","""0640011""","Sports and Medical Sciences Academy","""0646511""","ELA",102,100,98.0,100,"*","*",25,25.0,47,47.0,"*","*","*","*",479
"Hartford School District","""0640011""","Sports and Medical Sciences Academy","""0646511""","Math",102,100,98.0,100,"*","*",45,45.0,27,27.0,"*","*","*","*",471
"Hartford School District","""0640011""","University High School of Science and Engineering","""0646711""","ELA",102,102,100.0,102,14,13.7,12,11.8,48,47.1,28,27.5,76,74.5,544
"Hartford School District","""0640011""","University High School of Science and Engineering","""0646711""","Math",102,102,100.0,102,13,12.7,32,31.4,29,28.4,28,27.5,57,55.9,556
"Highville Charter School District","""2860013""","Highville Charter School","""2860113""","ELA",22,22,100.0,22,"*","*",9,40.9,"*","*",0,0.0,"*","*",435
"Highville Charter School District","""2860013""","Highville Charter School","""2860113""","Math",22,22,100.0,22,11,50.0,11,50.0,0,0.0,0,0.0,0,0.0,408
"Jumoke Academy District","""2610013""","Jumoke Academy","""2610113""","ELA",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","""2610013""","Jumoke Academy","""2610113""","Math",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","""0690011""","Killingly Alternative Learning Program","""0690611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","""0690011""","Killingly Alternative Learning Program","""0690611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","""0690011""","Killingly High School","""0696111""","ELA",179,174,97.2,174,37,21.3,37,21.3,87,50.0,13,7.5,100,57.5,496
"Killingly School District","""0690011""","Killingly High School","""0696111""","Math",179,174,97.2,174,47,27.0,87,50.0,"*","*","*","*",40,23.0,460
"Learn","""2450014""","Connecticut River Academy","""2456014""","ELA",103,100,97.1,100,39,39.0,28,28.0,"*","*","*","*",33,33.0,458
"Learn","""2450014""","Connecticut River Academy","""2456014""","Math",103,100,97.1,99,42,42.4,42,42.4,"*","*","*","*",15,15.2,437
"Learn","""2450014""","Learn Pathways Program","""2450514""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","""2450014""","Learn Pathways Program","""2450514""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","""2450014""","Marine Science Magnet High School of Southeastern Connecticut","""2456114""","ELA",58,57,98.3,57,"*","*","*","*",29,50.9,16,28.1,45,78.9,556
"Learn","""2450014""","Marine Science Magnet High School of Southeastern Connecticut","""2456114""","Math",58,57,98.3,57,"*","*",24,42.1,19,33.3,"*","*","*","*",520
"Learn","""2450014""","Three Rivers Middle College Magnet School","""2456214""","ELA","*","*","*","*",8,24.2,"*","*","*","*",9,27.3,"*","*","*"
"Learn","""2450014""","Three Rivers Middle College Magnet School","""2456214""","Math","*","*","*","*",9,27.3,"*","*","*","*","*","*","*","*","*"
"Lebanon School District","""0710011""","Lyman Memorial High School","""0716211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","""0710011""","Lyman Memorial High School","""0716211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","""0720011""","Ledyard High School","""0726111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","""0720011""","Ledyard High School","""0726111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","""0740011""","Litchfield High School","""0746111""","ELA",65,65,100.0,65,8,12.3,8,12.3,34,52.3,15,23.1,49,75.4,546
"Litchfield School District","""0740011""","Litchfield High School","""0746111""","Math",65,65,100.0,65,"*","*",24,36.9,27,41.5,"*","*","*","*",538
"Madison School District","""0760011""","Daniel Hand High School","""0766111""","ELA",294,289,98.3,289,6,2.1,19,6.6,162,56.1,102,35.3,264,91.3,592
"Madison School District","""0760011""","Daniel Hand High School","""0766111""","Math",294,289,98.3,288,6,2.1,72,25.0,141,49.0,69,24.0,210,72.9,581
"Manchester School District","""0770011""","Bentley Alternative Education Program","""0770211""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","""0770011""","Bentley Alternative Education Program","""0770211""","Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","""0770011""","Manchester High School","""0776111""","ELA",351,323,92.0,323,90,27.9,62,19.2,144,44.6,27,8.4,171,52.9,483
"Manchester School District","""0770011""","Manchester High School","""0776111""","Math",351,323,92.0,317,82,25.9,162,51.1,65,20.5,8,2.5,73,23.0,467
"Manchester School District","""0770011""","Manchester Regional Academy","""0779011""","ELA",9,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","""0770011""","Manchester Regional Academy","""0779011""","Math",9,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","""0770011""","New Horizons","""0770711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","""0770011""","New Horizons","""0770711""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","""0800011""","Francis T. Maloney High School","""0806111""","ELA",291,284,97.6,284,90,31.7,75,26.4,103,36.3,16,5.6,119,41.9,469
"Meriden School District","""0800011""","Francis T. Maloney High School","""0806111""","Math",291,284,97.6,283,119,42.0,121,42.8,"*","*","*","*",43,15.2,440
"Meriden School District","""0800011""","Orville H. Platt High School","""0806211""","ELA",213,206,96.7,206,81,39.3,48,23.3,63,30.6,14,6.8,77,37.4,458
"Meriden School District","""0800011""","Orville H. Platt High School","""0806211""","Math",213,206,96.7,204,89,43.6,80,39.2,"*","*","*","*",35,17.2,439
"Meriden School District","""0800011""","Success Academy","""0801411""","ELA",9,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","""0800011""","Success Academy","""0801411""","Math",9,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","""0800011""","Venture Academy-Meriden School District","""0801311""","ELA",9,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","""0800011""","Venture Academy-Meriden School District","""0801311""","Math",9,6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","Evening Program - MHS","""0831611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","Evening Program - MHS","""0831611""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","MHS - Alternative Education Program 1","""0831811""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","MHS - Alternative Education Program 1","""0831811""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","MHS - Alternative Education Program 2","""0831911""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","MHS - Alternative Education Program 2","""0831911""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","Middletown High School","""0836211""","ELA",292,292,100.0,292,67,22.9,59,20.2,119,40.8,47,16.1,166,56.8,508
"Middletown School District","""0830011""","Middletown High School","""0836211""","Math",292,292,100.0,292,76,26.0,114,39.0,80,27.4,22,7.5,102,34.9,489
"Middletown School District","""0830011""","Transition to Life Center","""0839111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","Transition to Life Center","""0839111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","Virtual Learning Academy - MHS","""0831711""","ELA",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","""0830011""","Virtual Learning Academy - MHS","""0831711""","Math",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","""0840011""","Jonathan Law High School","""0846211""","ELA",190,184,96.8,184,24,13.0,29,15.8,97,52.7,34,18.5,131,71.2,533
"Milford School District","""0840011""","Jonathan Law High School","""0846211""","Math",190,184,96.8,183,28,15.3,73,39.9,65,35.5,17,9.3,82,44.8,514
"Milford School District","""0840011""","Joseph A. Foran High School","""0846311""","ELA",221,216,97.7,216,15,6.9,20,9.3,131,60.6,50,23.1,181,83.8,560
"Milford School District","""0840011""","Joseph A. Foran High School","""0846311""","Math",221,216,97.7,216,23,10.6,78,36.1,88,40.7,27,12.5,115,53.2,533
"Milford School District","""0840011""","The Academy","""0840311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","""0840011""","The Academy","""0840311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","""0850011""","Masuk Alternative Program","""0850211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","""0850011""","Masuk Alternative Program","""0850211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","""0850011""","Masuk High School","""0856111""","ELA",296,291,98.3,291,13,4.5,32,11.0,160,55.0,86,29.6,246,84.5,571
"Monroe School District","""0850011""","Masuk High School","""0856111""","Math",296,291,98.3,291,17,5.8,95,32.6,108,37.1,71,24.4,179,61.5,564
"Montville School District","""0860011""","Montville High School","""0866111""","ELA",179,175,97.8,175,18,10.3,21,12.0,108,61.7,28,16.0,136,77.7,542
"Montville School District","""0860011""","Montville High School","""0866111""","Math",179,175,97.8,175,23,13.1,73,41.7,65,37.1,14,8.0,79,45.1,516
"Montville School District","""0860011""","Palmer Academy","""0869011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","""0860011""","Palmer Academy","""0869011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","""0880011""","Genesis Academy","""0880911""","ELA",10,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","""0880011""","Genesis Academy","""0880911""","Math",10,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","""0880011""","Naugatuck High School","""0886111""","ELA",290,268,92.4,268,"*","*","*","*","*","*","*","*","*","*",480
"Naugatuck School District","""0880011""","Naugatuck High School","""0886111""","Math",290,268,92.4,267,"*","*","*","*","*","*","*","*","*","*",456
"New Britain School District","""0890011""","Brook Side School","""0899111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","""0890011""","Brook Side School","""0899111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","""0890011""","New Britain High School","""0896111""","ELA",454,412,90.7,412,177,43.0,108,26.2,113,27.4,14,3.4,127,30.8,442
"New Britain School District","""0890011""","New Britain High School","""0896111""","Math",454,412,90.7,411,192,46.7,175,42.6,"*","*","*","*",44,10.7,428
"New Britain School District","""0890011""","New Britain Transition Center","""0899011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","""0890011""","New Britain Transition Center","""0899011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","""0890011""","Satellite Careers Academy","""0899511""","ELA",61,52,85.2,52,41,78.8,"*","*","*","*",0,0.0,"*","*",391
"New Britain School District","""0890011""","Satellite Careers Academy","""0899511""","Math",61,52,85.2,52,38,73.1,14,26.9,0,0.0,0,0.0,0,0.0,370
"New Canaan School District","""0900011""","New Canaan High School","""0906111""","ELA",306,299,97.7,299,9,3.0,7,2.3,138,46.2,145,48.5,283,94.6,616
"New Canaan School District","""0900011""","New Canaan High School","""0906111""","Math",306,299,97.7,298,10,3.4,43,14.4,126,42.3,119,39.9,245,82.2,614
"New Fairfield School District","""0910011""","New Fairfield High School","""0916111""","ELA",205,202,98.5,202,15,7.4,26,12.9,119,58.9,42,20.8,161,79.7,553
"New Fairfield School District","""0910011""","New Fairfield High School","""0916111""","Math",205,202,98.5,202,31,15.3,85,42.1,69,34.2,17,8.4,86,42.6,513
"New Haven School District","""0930011""","Cooperative High School","""0936411""","ELA",153,148,96.7,148,37,25.0,29,19.6,74,50.0,8,5.4,82,55.4,485
"New Haven School District","""0930011""","Cooperative High School","""0936411""","Math",153,148,96.7,148,51,34.5,72,48.6,25,16.9,0,0.0,25,16.9,447
"New Haven School District","""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","""0936811""","ELA",46,46,100.0,46,17,37.0,15,32.6,"*","*","*","*",14,30.4,446
"New Haven School District","""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","""0936811""","Math",46,46,100.0,46,27,58.7,16,34.8,"*","*","*","*","*","*",410
"New Haven School District","""0930011""","Engineering - Science University Magnet School","""0931711""","ELA",76,74,97.4,74,10,13.5,9,12.2,33,44.6,22,29.7,55,74.3,542
"New Haven School District","""0930011""","Engineering - Science University Magnet School","""0931711""","Math",76,74,97.4,74,10,13.5,31,41.9,21,28.4,12,16.2,33,44.6,532
"New Haven School District","""0930011""","High School In The Community","""0936611""","ELA",54,46,85.2,46,25,54.3,"*","*",10,21.7,"*","*","*","*",446
"New Haven School District","""0930011""","High School In The Community","""0936611""","Math",54,46,85.2,46,26,56.5,"*","*","*","*",0,0.0,"*","*",411
"New Haven School District","""0930011""","Hill Regional Career High School","""0936311""","ELA",142,136,95.8,136,40,29.4,44,32.4,42,30.9,10,7.4,52,38.2,464
"New Haven School District","""0930011""","Hill Regional Career High School","""0936311""","Math",142,136,95.8,136,51,37.5,67,49.3,11,8.1,7,5.1,18,13.2,447
"New Haven School District","""0930011""","James Hillhouse High School","""0936211""","ELA",212,186,87.7,186,99,53.2,51,27.4,"*","*","*","*",36,19.4,418
"New Haven School District","""0930011""","James Hillhouse High School","""0936211""","Math",212,186,87.7,185,113,61.1,63,34.1,"*","*","*","*",9,4.9,399
"New Haven School District","""0930011""","Metropolitan Business Academy","""0936011""","ELA",91,89,97.8,89,"*","*",29,32.6,28,31.5,"*","*","*","*",458
"New Haven School District","""0930011""","Metropolitan Business Academy","""0936011""","Math",91,89,97.8,89,33,37.1,43,48.3,13,14.6,0,0.0,13,14.6,439
"New Haven School District","""0930011""","New Haven Academy","""0937011""","ELA",66,58,87.9,58,16,27.6,"*","*",27,46.6,"*","*","*","*",467
"New Haven School District","""0930011""","New Haven Academy","""0937011""","Math",66,58,87.9,58,21,36.2,27,46.6,"*","*","*","*",10,17.2,441
"New Haven School District","""0930011""","New Horizons High School","""0932211""","ELA",19,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""","New Horizons High School","""0932211""","Math",19,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""","New Light High School","""0932611""","ELA",25,11,44.0,11,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""","New Light High School","""0932611""","Math",25,11,44.0,11,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""","Riverside Education Academy","""0939111""","ELA",20,8,40.0,8,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""","Riverside Education Academy","""0939111""","Math",20,8,40.0,7,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""","Sound School","""0936711""","ELA",85,82,96.5,82,12,14.6,19,23.2,43,52.4,8,9.8,51,62.2,503
"New Haven School District","""0930011""","Sound School","""0936711""","Math",85,82,96.5,82,"*","*",40,48.8,24,29.3,"*","*","*","*",476
"New Haven School District","""0930011""","Wilbur Cross High School","""0936111""","ELA",313,275,87.9,275,130,47.3,74,26.9,55,20.0,16,5.8,71,25.8,443
"New Haven School District","""0930011""","Wilbur Cross High School","""0936111""","Math",313,275,87.9,275,153,55.6,88,32.0,25,9.1,9,3.3,34,12.4,416
"New London School District","""0950011""","New London High School","""0956111""","ELA",132,116,87.9,116,62,53.4,30,25.9,"*","*","*","*",24,20.7,421
"New London School District","""0950011""","New London High School","""0956111""","Math",132,116,87.9,115,67,58.3,41,35.7,"*","*","*","*",7,6.1,404
"New London School District","""0950011""","Science and Technology Magnet School of Southeastern Connecticut","""0951311""","ELA",97,97,100.0,97,9,9.3,27,27.8,46,47.4,15,15.5,61,62.9,523
