"Primary Disability (K-12), Trend"
"All Districts, Emotional Disturbance"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Brooklyn School District","""0190011""",15,1.3,10.6,14,1.2,9.9,10,0.9,7.9,12,1.0,9.4,11,1.0,7.6
"Canaan School District","""0210011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","""0220011""",6,0.9,9.0,"*","*","*",9,1.4,12.7,9,1.4,13.0,"*","*","*"
"Canton School District","""0230011""","*","*","*",12,0.7,7.3,"*","*","*","*","*","*","*","*","*"
"Chaplin School District","""0240011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","""0250011""",41,0.9,8.9,37,0.8,7.9,35,0.8,7.4,37,0.8,7.6,35,0.8,7.2
"Chester School District","""0260011""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Clinton School District","""0270011""",15,0.8,7.7,15,0.8,7.4,15,0.8,7.4,17,0.9,8.3,15,0.8,7.1
"Colchester School District","""0280011""",41,1.4,11.9,32,1.2,8.9,34,1.3,9.4,40,1.5,10.9,38,1.5,10.4
"Colebrook School District","""0290011""","*","*","*",0,0,0,0,0,0,0,0,0,0,0,0
"Columbia School District","""0300011""",8,1.1,11.6,6,0.9,8.7,6,0.9,8.0,11,1.6,12.1,12,1.7,12.4
"Connecticut Technical High School System","""9000016""",36,0.3,4.5,39,0.4,4.4,45,0.4,4.7,45,0.4,4.4,33,0.3,3.3
"Cornwall School District","""0310011""",0,0,0,"*","*","*",0,0,0,"*","*","*",0,0,0
"Coventry School District","""0320011""",28,1.5,13.3,23,1.3,10.8,21,1.2,10.2,21,1.2,10.1,25,1.5,11.6
"Cromwell School District","""0330011""",9,0.4,4.5,10,0.5,4.9,18,0.9,8.4,19,0.9,8.6,17,0.8,7.3
"Danbury School District","""0340011""",60,0.6,5.3,56,0.5,4.7,46,0.4,3.7,48,0.4,3.7,44,0.4,3.3
"Darien School District","""0350011""",16,0.3,2.7,20,0.4,3.8,13,0.3,2.4,14,0.3,2.4,18,0.4,2.9
"Deep River School District","""0360011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","""3370015""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","""0370011""",14,0.9,7.4,18,1.1,8.8,15,1.0,7.0,"*","*","*","*","*","*"
"East Granby School District","""0400011""","*","*","*","*","*","*",6,0.7,6.5,8,0.9,8.0,8,0.9,7.6
"East Haddam School District","""0410011""","*","*","*",6,0.5,3.4,"*","*","*","*","*","*","*","*","*"
"East Hampton School District","""0420011""","*","*","*","*","*","*",10,0.5,6.4,7,0.4,4.4,"*","*","*"
"East Hartford School District","""0430011""",113,1.5,10.4,110,1.4,9.8,107,1.4,9.7,114,1.5,9.9,116,1.5,9.6
"East Haven School District","""0440011""",29,0.8,6.6,36,1.1,8.3,36,1.1,8.4,33,1.0,7.5,28,0.9,6.3
"East Lyme School District","""0450011""",16,0.6,4.9,17,0.6,5.1,15,0.6,4.4,13,0.5,4.0,11,0.4,3.1
"East Windsor School District","""0470011""",30,2.3,14.8,25,1.9,12.6,22,1.8,10.1,21,1.8,11.0,23,2.0,12.3
"Eastford School District","""0390011""","*","*","*",0,0,0,0,0,0,0,0,0,0,0,0
"Easton School District","""0460011""","*","*","*","*","*","*","*","*","*",6,0.7,7.1,6,0.7,6.7
"Ellington School District","""0480011""",28,1.0,9.8,27,1.0,9.1,"*","*","*",25,0.9,8.4,22,0.8,7.0
"Enfield School District","""0490011""",81,1.4,10.9,71,1.3,9.5,77,1.4,10.1,77,1.4,9.9,76,1.4,9.4
"Essex School District","""0500011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","""0510011""",45,0.4,4.1,44,0.4,4.1,58,0.6,5.3,55,0.5,5.2,69,0.7,6.2
"Farmington School District","""0520011""",28,0.7,6.4,29,0.7,6.7,39,1.0,8.4,41,1.0,8.6,29,0.7,5.9
"Franklin School District","""0530011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","""0540011""",61,0.9,10.1,55,0.8,9.0,48,0.8,7.8,39,0.6,6.1,44,0.7,6.8
