"Student Counts by School and Grade"
"All Districts, All Schools"
"2016-17"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Bethany School District","""0080011""","Bethany Community School","""0080111""",15,34,41,41,55,56,54,60,0,0,0,0,0,0,356
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",92,115,108,101,126,0,0,0,0,0,0,0,0,0,542
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,93,103,101,100,0,0,0,0,0,0,0,0,0,397
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,0,0,0,0,261,218,0,0,0,0,0,0,0,479
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,0,0,0,0,0,0,232,198,253,0,0,0,0,683
"Bethel School District","""0090011""","Bethel High School","""0096111""",0,0,0,0,0,0,0,0,0,0,229,242,194,206,871
"Bethel School District","""0090011""","TASK","""0090311""",0,0,0,0,0,0,0,0,0,0,"*","*","*",7,12
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""",268,55,0,0,0,0,0,0,0,0,0,0,0,0,323
"Bloomfield School District","""0110011""","Laurel School","""0110611""",0,107,136,119,0,0,0,0,0,0,0,0,0,0,362
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,0,0,0,113,143,0,0,0,0,0,0,0,0,256
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""",0,0,0,0,0,0,122,115,0,0,0,0,0,0,237
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""",0,0,0,0,0,0,0,35,33,32,33,31,27,26,217
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""",0,0,0,0,0,0,0,0,100,101,0,0,0,0,201
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,0,0,0,0,0,0,0,0,0,136,129,125,144,534
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""",0,0,0,0,0,0,0,0,0,0,"*","*","*",7,13
"Bolton School District","""0120011""","Bolton Center School","""0120111""",14,50,39,58,58,54,59,72,61,68,0,0,0,0,533
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,0,0,0,0,0,0,0,0,0,58,68,80,75,281
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""",28,16,10,23,17,26,22,27,21,18,0,0,0,0,208
"Branford School District","""0140011""","Indian Neck School","""0148011""",39,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"Branford School District","""0140011""","John B. Sliney School","""0141611""",31,50,51,57,64,76,0,0,0,0,0,0,0,0,329
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",25,68,67,68,75,80,0,0,0,0,0,0,0,0,383
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",32,78,68,82,72,81,0,0,0,0,0,0,0,0,413
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""",0,0,0,0,0,0,216,225,222,206,0,0,0,0,869
"Branford School District","""0140011""","Branford High School","""0146111""",0,0,0,0,0,0,0,0,0,0,233,205,209,241,888
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""",0,0,0,0,0,0,0,0,0,0,"*",15,"*",17,43
"Branford School District","""3480015""","Bridgeport Detention Center","""3480115""",0,0,0,0,0,0,0,0,"*",0,0,0,"*","*","*"
"Brass City Charter School District","""2900013""","Brass City Charter School","""2900113""",33,35,34,39,39,39,0,0,0,0,0,0,0,0,219
"Bridgeport School District","""0150011""","Barnum School","""0150111""",44,92,80,87,70,52,61,55,40,52,0,0,0,0,633
"Bridgeport School District","""0150011""","Beardsley School","""0150211""",36,42,42,50,57,41,47,34,0,0,0,0,0,0,349
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",48,58,53,57,48,55,48,31,33,34,0,0,0,0,465
"Bridgeport School District","""0150011""","Blackham School","""0154011""",41,103,105,119,104,124,118,101,151,161,0,0,0,0,1127
"Bridgeport School District","""0150011""","Bryant School","""0150411""",43,54,41,58,47,47,51,40,0,0,0,0,0,0,381
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",36,118,127,116,112,139,134,130,131,124,0,0,0,0,1167
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""",15,35,38,45,42,41,44,37,40,36,0,0,0,0,373
"Bridgeport School District","""0150011""","Columbus School","""0150511""",40,112,115,130,98,123,85,54,39,47,0,0,0,0,843
"Bridgeport School District","""0150011""","Cross School","""0153911""",35,45,50,36,51,45,30,30,32,33,0,0,0,0,387
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",70,52,32,40,41,36,37,22,36,41,0,0,0,0,407
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",18,92,92,73,92,89,88,73,86,84,0,0,0,0,787
"Bridgeport School District","""0150011""","Hallen School","""0151211""",18,49,43,46,55,46,48,28,0,0,0,0,0,0,333
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""",96,44,44,42,43,44,47,41,42,47,0,0,0,0,490
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""",48,77,71,69,68,71,58,53,77,90,0,0,0,0,682
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""",18,87,77,103,91,105,99,78,97,103,0,0,0,0,858
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""",35,55,56,58,55,55,56,53,44,42,0,0,0,0,509
"Bridgeport School District","""0150011""","Read School","""0152511""",36,113,94,114,107,112,89,84,81,93,0,0,0,0,923
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""",36,73,69,83,63,73,43,54,35,58,0,0,0,0,587
"Bridgeport School District","""0150011""","Skane Center","""0154411""",220,0,0,0,0,0,0,0,0,0,0,0,0,0,220
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",18,59,56,60,63,61,57,33,50,33,0,0,0,0,490
"Bridgeport School District","""0150011""","Winthrop School","""0153611""",18,67,74,74,73,76,83,75,66,72,0,0,0,0,678
"Bridgeport School District","""0150011""","Curiale School","""0154211""",0,88,67,67,67,70,67,82,109,95,0,0,0,0,712
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,41,29,39,46,39,41,28,0,0,0,0,0,0,263
"Bridgeport School District","""0150011""","Hall School","""0151111""",0,45,30,35,37,38,36,21,0,0,0,0,0,0,242
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""",0,44,48,50,48,46,45,46,46,44,0,0,0,0,417
"Bridgeport School District","""0150011""","Hooker School","""0151311""",0,38,29,40,30,37,36,35,35,41,0,0,0,0,321
"Bridgeport School District","""0150011""","Madison School","""0152011""",0,84,73,87,72,78,73,70,0,0,0,0,0,0,537
