"Student Counts by School and Race"
"All Districts, All Schools"
"2007-08"

"",,,,"Race",,,,,,
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*","*",236,16,0,12,268
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,"*",208,16,0,"*",238
"Bloomfield School District","""0110011""","The Big Picture High School","""0116211""",0,"*",63,"*",0,10,79
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,13,25,7,0,552,597
"Bolton School District","""0120011""","Bolton High School","""0126111""","*","*","*","*",0,260,275
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","*","*",10,16,0,236,264
"Branford School District","""0140011""","Branford High School","""0146111""","*",59,"*",41,0,1006,1146
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",81,"*",55,0,917,1082
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*","*",9,0,40,58
"Branford School District","""0140011""","John B. Sliney School","""0141611""","*",21,"*",22,0,296,345
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""","*",20,"*",20,0,375,430
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""","*",41,"*",40,0,312,416
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""",0,0,50,"*",0,"*",85
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",108,166,0,"*",279
"Bridgeport School District","""0150011""","Bassick High School","""0156111""",0,48,644,535,0,58,1285
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*","*",233,355,0,14,607
"Bridgeport School District","""0150011""","Black Rock School","""0150311""","*","*",68,156,0,39,272
"Bridgeport School District","""0150011""","Blackham School","""0154011""","*","*",392,495,0,235,1177
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,"*",26,0,"*",54
"Bridgeport School District","""0150011""","Bryant School","""0150411""",0,28,162,175,0,48,413
"Bridgeport School District","""0150011""","Central High School","""0156211""","*","*",1094,838,0,306,2339
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",0,35,354,728,0,45,1162
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*","*",223,105,0,29,375
"Bridgeport School District","""0150011""","Columbus School","""0150511""",0,13,210,433,0,107,763
"Bridgeport School District","""0150011""","Cross School","""0153911""",0,10,264,124,0,8,406
"Bridgeport School District","""0150011""","Curiale School","""0154211""",0,38,284,246,0,24,592
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,"*",214,139,0,"*",363
"Bridgeport School District","""0150011""","Edison School","""0150711""","*","*",205,165,0,28,408
"Bridgeport School District","""0150011""","Garfield School","""0150911""","*","*",57,204,0,11,278
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",0,14,74,92,0,16,196
"Bridgeport School District","""0150011""","Hall School","""0151111""","*","*",179,156,0,"*",344
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,"*",217,89,0,"*",322
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*","*",734,915,0,47,1722
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*","*",193,147,0,84,444
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",179,213,0,50,450
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""",0,"*",218,103,0,"*",329
"Bridgeport School District","""0150011""","Longfellow School","""0151911""","*","*",230,224,0,16,475
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""","*","*",198,621,0,15,846
"Bridgeport School District","""0150011""","Madison School","""0152011""",0,18,231,223,0,90,562
"Bridgeport School District","""0150011""","Make The Grade","""0159511""",0,0,15,22,0,0,37
"Bridgeport School District","""0150011""","Maplewood Annex","""0154311""",0,"*",77,84,0,"*",187
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""","*","*",130,248,0,80,475
"Bridgeport School District","""0150011""","New Start Program","""0159411""",0,0,"*",8,0,"*",14
"Bridgeport School District","""0150011""","Park City Academy","""0159211""",0,0,16,"*",0,"*",30
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*","*",199,145,0,111,501
"Bridgeport School District","""0150011""","Read School","""0152511""","*","*",448,372,0,62,904
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*","*",290,411,0,19,727
"Bridgeport School District","""0150011""","Skane Center","""0154411""",0,8,59,97,0,55,219
"Bridgeport School District","""0150011""","The University School","""0159111""",0,0,25,14,0,7,46
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",0,8,133,300,0,15,456
"Bridgeport School District","""0150011""","Winthrop School","""0153611""",0,35,267,264,0,192,758
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,0,9,0,14,23
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*","*",116,166,0,1161,1465
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*","*",102,125,0,1068,1333
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""","*","*",77,157,0,664,929
"Bristol School District","""0170011""","Clara T. O'Connell School","""0170711""","*","*",39,110,0,191,355
"Bristol School District","""0170011""","Clarence A. Bingham School","""0170111""","*","*",15,50,0,185,253
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,8,34,76,0,238,356
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",0,24,33,92,0,341,490
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,10,30,66,0,290,396
"Bristol School District","""0170011""","Ivy Drive School","""0171911""","*","*",34,48,0,313,402
"Bristol School District","""0170011""","John J. Jennings School","""0170611""",0,"*","*",41,0,309,374
"Bristol School District","""0170011""","Memorial Boulevard Middle School","""0175311""",0,11,36,87,0,408,542
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,21,20,35,0,293,369
"Bristol School District","""0170011""","Northeast Middle School","""0175211""","*","*",46,50,0,451,558
"Bristol School District","""0170011""","South Side School","""0171111""","*","*",44,98,0,422,580
"Bristol School District","""0170011""","Stafford School","""0171211""","*","*",34,73,0,369,497
"Brookfield School District","""0180011""","Brookfield High School","""0186111""",0,25,10,23,0,962,1020
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",18,"*",23,0,329,374
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",29,"*",24,0,543,604
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""",0,39,14,31,0,867,951
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""",0,12,8,9,0,551,580
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""","*",6,"*",8,0,388,406
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""","*","*","*","*",0,94,101
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""","*","*",6,13,0,290,316
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""","*","*",6,"*",0,248,262
"Canton School District","""0230011""","Canton High School","""0236111""",0,7,19,10,0,478,514
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",0,"*","*",10,0,381,405
"Canton School District","""0230011""","Canton Middle School","""0235111""","*","*",8,"*",0,252,270
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",23,"*",16,0,485,538
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""","*","*",54,33,0,149,257
"Capitol Region Education Council","""2410014""","Great Path Academy at MCC","""2416314""",0,"*",38,"*",0,51,111
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""",0,"*",13,18,0,"*",43
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,10,66,72,0,241,389
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*","*",417,75,0,163,676
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""",0,"*",138,121,0,"*",329
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*","*",146,156,0,254,582
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""","*","*",210,70,0,99,406
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""","*","*","*",14,0,189,210
"Cheshire School District","""0250011""","Chapman School","""0250111""",0,27,9,12,0,284,332
"Cheshire School District","""0250011""","Cheshire High School","""0256111""",0,102,37,39,0,1434,1612
"Cheshire School District","""0250011""","Darcey School","""0250211""","*",40,"*",14,0,333,393
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""","*",57,"*",18,0,733,824
"Cheshire School District","""0250011""","Doolittle School","""0250611""",0,43,9,13,0,472,537
"Cheshire School District","""0250011""","Highland School","""0250411""","*",77,"*",29,0,788,908
"Cheshire School District","""0250011""","Humiston School","""0259011""",0,0,0,"*",0,"*",23
"Cheshire School District","""0250011""","Norton School","""0250511""","*",37,"*",11,0,438,493
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,9,"*","*",0,322,341
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""","*",6,"*",16,0,312,338
"Clinton School District","""0270011""","Jared Eliot School","""0275111""",0,"*","*",30,0,407,462
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",15,"*",47,0,600,667
"Clinton School District","""0270011""","The Morgan School","""0276111""",0,"*","*",39,0,580,638
"Colchester School District","""0280011""","Bacon Academy","""0286111""","*","*",32,26,0,909,982
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""",6,18,14,28,0,708,774
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""",7,7,18,33,0,616,681
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""","*","*",33,29,0,727,801
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""","*","*",0,0,0,118,122
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""","*","*","*",14,0,563,586
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",82,47,0,"*",152
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",210,338,0,30,581
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",333,475,0,60,878
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",45,247,0,162,461
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","*","*",236,251,0,38,529
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""",10,6,76,128,0,369,589
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*","*",24,58,0,443,530
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","*","*",47,204,0,438,696
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""",9,"*","*",16,0,528,563
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""",0,6,24,119,0,421,570
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*","*",56,56,0,438,564
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""","*","*",97,111,0,43,255
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","*","*",21,36,0,345,410
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*","*",12,16,0,683,720
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*","*",119,167,0,556,853
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",44,32,0,506,587
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","*","*",128,212,0,356,704
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","*","*",7,109,0,358,483
"Cooperative Educational Services","""2430014""","C. E. S. Special Education","""2439014""",0,"*",55,"*",0,135,240
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""","*","*",174,122,0,119,435
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,"*","*",6,0,116,129
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""","*","*",10,11,0,513,539
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,0,0,0,11,11
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""",0,7,6,7,0,405,425
"Coventry School District","""0320011""","Coventry High School","""0326111""","*","*",8,16,0,531,559
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*","*",10,12,0,446,474
"Cromwell School District","""0330011""","Cromwell High School","""0336111""",0,"*",45,"*",0,485,559
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""","*","*",43,28,0,383,473
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""",0,29,39,28,0,389,485
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""","*","*",35,28,0,386,472
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*",31,"*",0,39,97
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",0,105,119,267,0,653,1144
"Danbury School District","""0340011""","Danbury High School","""0346111""","*","*",294,776,0,1533,2835
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,24,35,138,0,136,333
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,16,24,98,0,177,315
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""","*",48,"*",128,0,183,400
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,20,22,80,0,195,317
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",21,"*",90,0,168,294
"Danbury School District","""0340011""","Mill Ridge Educational Center","""0341811""",0,29,50,89,0,179,347
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,21,41,88,0,148,298
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,19,30,188,0,106,343
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,38,34,159,0,145,376
"Danbury School District","""0340011""","Pembroke School","""0341511""",0,35,26,91,0,184,336
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""",0,82,123,379,0,447,1031
"Danbury School District","""0340011""","Shelter Rock School","""0341211""","*","*",35,108,0,160,338
"Danbury School District","""0340011""","South Street School","""0341011""","*","*",24,144,0,121,306
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",0,34,29,111,0,281,455
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""",0,21,21,39,0,236,317
"Darien School District","""0350011""","Darien High School","""0356111""","*",26,"*",24,0,1120,1180
"Darien School District","""0350011""","Hindley Elementary School","""0350211""","*",11,"*","*",0,497,519
"Darien School District","""0350011""","Holmes Elementary School","""0350711""","*",18,"*",16,0,444,484
"Darien School District","""0350011""","Middlesex Middle School","""0355111""",7,33,7,18,0,1052,1117
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""","*",11,"*",9,0,489,512
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",22,"*",12,0,414,451
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,"*",8,"*",0,375,390
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""","*","*",11,27,0,346,389
"Department of Mental Health and Addiction Services","""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","""3370315""",0,0,"*","*",0,"*",7
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Mental Health Center","""3370415""",0,0,0,"*",0,"*","*"
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,"*",0,0,0,0,"*"
"Department of Mental Health and Addiction Services","""3370015""","Greater Bridgeport Community Mental Health Center","""3370515""",0,0,0,0,0,"*","*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,21,35,49,0,259,364
"Derby School District","""0370011""","Derby High School","""0376111""","*","*",93,117,0,442,669
"Derby School District","""0370011""","Irving School","""0370411""","*","*",90,120,0,193,417
"East Granby School District","""0400011""","Allgrove School","""0400111""","*",10,"*",9,0,267,294
"East Granby School District","""0400011""","East Granby High School","""0406111""","*",8,11,"*",0,232,258
"East Granby School District","""0400011""","East Granby Middle School","""0405111""","*","*",13,10,0,187,218
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""",0,"*","*","*",0,128,141
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""","*","*",9,17,0,501,536
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""","*",6,"*",11,0,384,406
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""","*","*","*",8,0,461,477
"East Hampton School District","""0420011""","Center School","""0420311""",0,"*","*",11,0,330,349
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","*",10,"*",8,0,551,580
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,7,10,6,0,485,508
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,"*","*",24,0,588,633
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""","*","*",123,124,0,35,298
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*","*",45,39,0,72,166
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""",0,26,139,187,0,56,408
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*","*",143,129,0,54,347
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""",0,13,87,102,0,112,314
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","*","*",725,657,0,531,2022
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""","*","*",346,368,0,225,1002
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*","*",91,84,0,106,352
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,13,152,132,0,57,354
"East Hartford School District","""0430011""","Joseph O. Goodwin School","""0430411""","*","*",100,82,0,120,320
"East Hartford School District","""0430011""","Robert J. O'Brien School","""0431811""","*","*",178,194,0,52,464
"East Hartford School District","""0430011""","Silver Lane School","""0431211""","*","*",133,154,0,27,323
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""",0,"*",53,51,0,"*",151
"East Hartford School District","""0430011""","Sunset Ridge Middle School","""0432411""","*","*",158,178,0,89,452
"East Hartford School District","""0430011""","Willowbrook Early Childhood","""0438011""","*","*",92,128,0,45,288
"East Hartford School District","""0430011""","Woodland School","""0439011""","*","*",71,67,0,38,180
"East Haven School District","""0440011""","Carbone School/East Haven Academy","""0441711""",0,15,"*","*",0,198,221
"East Haven School District","""0440011""","D. C. Moore School","""0441411""","*","*",10,44,0,180,239
"East Haven School District","""0440011""","Deer Run School","""0440111""",0,22,9,54,0,250,335
"East Haven School District","""0440011""","Dominick H. Ferrara School","""0441311""",0,9,7,13,0,157,186
"East Haven School District","""0440011""","East Haven High School","""0446111""","*",43,"*",109,0,917,1097
"East Haven School District","""0440011""","Grove J. Tuttle School","""0441011""","*",7,"*",28,0,169,212
"East Haven School District","""0440011""","Hays School","""0441911""","*",6,"*",29,0,136,178
"East Haven School District","""0440011""","Joseph Melillo Middle School","""0445111""",0,16,20,48,0,398,482
"East Haven School District","""0440011""","Momauguin School","""0440711""","*","*","*",43,0,159,209
"East Haven School District","""0440011""","Overbrook Elementary School","""0441811""","*",11,"*",28,0,122,165
"East Haven School District","""0440011""","Pathways","""0449011""",0,0,"*",0,0,"*",35
"East Haven School District","""0440011""","Robert W. Carbone School","""0441611""","*",19,"*",41,0,251,319
"East Lyme School District","""0450011""","East Lyme High School","""0456111""",19,86,17,43,0,1139,1304
"East Lyme School District","""0450011""","East Lyme Middle School","""0455111""",9,79,22,32,0,771,913
"East Lyme School District","""0450011""","Flanders School","""0450111""","*",49,"*",7,0,339,399
"East Lyme School District","""0450011""","Integrated Preschool","""0458011""",0,"*","*",0,0,44,53
"East Lyme School District","""0450011""","Lillie B. Haynes School","""0450411""","*",31,"*",13,0,283,340
"East Lyme School District","""0450011""","Niantic Center School","""0450211""",0,14,7,10,0,210,241
"East Windsor School District","""0470011""","Broad Brook Elementary School","""0470111""","*","*",82,80,0,413,620
"East Windsor School District","""0470011""","East Windsor High School","""0476111""","*","*",61,36,0,350,456
"East Windsor School District","""0470011""","East Windsor Middle School","""0475411""","*","*",59,26,0,300,400
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","*",0,"*","*",0,15,20
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""","*",0,"*","*",0,41,44
"Eastford School District","""0390011""","Eastford Elementary School","""0390111""","*","*","*",6,0,172,187
"Easton School District","""0460011""","Helen Keller Middle School","""0465111""",0,13,"*","*",0,350,377
"Easton School District","""0460011""","Samuel Staples Elementary School","""0460111""",0,30,8,30,0,733,801
"EdAdvance","""2420014""","EdAdvance Headstart","""2428014""",0,"*","*",45,0,100,156
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""",0,"*",6,"*",0,15,23
"Ellington School District","""0480011""","Center School","""0480111""","*",10,20,"*",0,368,408
"Ellington School District","""0480011""","Crystal Lake School","""0480211""",0,"*","*","*",0,200,207
"Ellington School District","""0480011""","Ellington High School","""0486111""","*",18,18,"*",0,719,770
"Ellington School District","""0480011""","Ellington Middle School","""0485111""",0,7,13,8,0,380,408
"Ellington School District","""0480011""","Windermere Intermediate School","""0480711""","*",10,12,"*",0,368,401
"Ellington School District","""0480011""","Windermere School","""0480611""","*",31,14,"*",0,349,404
"Elm City College Preparatory School","""2810013""","Elm City College Preparatory School","""2810113""",0,"*",373,94,0,"*",476
"Enfield School District","""0490011""","Edgar H. Parkman School","""0491311""",0,9,"*","*",0,341,363
"Enfield School District","""0490011""","Eli Whitney School","""0491611""","*","*",30,16,0,327,387
"Enfield School District","""0490011""","Enfield High School","""0496111""","*","*",81,56,0,762,926
"Enfield School District","""0490011""","Enfield Street School","""0490211""",0,8,37,21,0,267,333
"Enfield School District","""0490011""","Enrico Fermi High School","""0496211""","*","*",56,42,0,1028,1156
"Enfield School District","""0490011""","Harriet Beecher Stowe School","""0491211""","*","*",23,11,0,245,282
"Enfield School District","""0490011""","Hazardville Memorial School","""0490411""","*","*",26,10,0,370,413
"Enfield School District","""0490011""","Head Start Program","""0498011""","*","*",19,15,0,65,104
"Enfield School District","""0490011""","Henry Barnard School","""0491811""","*","*",83,36,0,292,429
"Enfield School District","""0490011""","John F. Kennedy Middle School","""0495211""","*","*",71,38,0,860,992
"Enfield School District","""0490011""","Nathan Hale School","""0491111""",0,"*",25,"*",0,234,272
"Enfield School District","""0490011""","Prudence Crandall School","""0491511""","*","*",20,18,0,366,416
"Enfield School District","""0490011""","Thomas G. Alcorn School","""0491711""",0,7,45,58,0,173,283
"Essex School District","""0500011""","Essex Elementary School","""0500111""","*",14,"*",17,0,509,551
"Explorations District","""2720013""","Explorations","""2726113""","*",0,0,"*",0,81,86
"Fairfield School District","""0510011""","Burr Elementary School","""0510211""",0,9,"*","*",0,424,445
"Fairfield School District","""0510011""","Dwight Elementary School","""0510111""",0,8,7,12,0,313,340
"Fairfield School District","""0510011""","Early Childhood Center","""0518011""",0,7,"*","*",0,107,121
"Fairfield School District","""0510011""","Fairfield Ludlowe High School","""0516011""",0,46,31,53,0,1250,1380
"Fairfield School District","""0510011""","Fairfield Warde High School","""0516211""","*",60,"*",87,0,1037,1231
"Fairfield School District","""0510011""","Fairfield Woods Middle School","""0515211""","*",22,"*",28,0,534,597
"Fairfield School District","""0510011""","Holland Hill School","""0510411""",0,38,15,29,0,276,358
"Fairfield School District","""0510011""","Jennings School","""0511711""",0,23,11,12,0,307,353
"Fairfield School District","""0510011""","McKinley School","""0510611""",0,62,30,93,0,277,462
"Fairfield School District","""0510011""","Mill Hill School","""0510711""",0,"*","*",24,0,420,465
"Fairfield School District","""0510011""","North Stratfield School","""0511611""","*",33,"*",28,0,425,495
"Fairfield School District","""0510011""","Osborn Hill School","""0511811""",0,19,"*","*",0,484,519
"Fairfield School District","""0510011""","Riverfield School","""0511211""",0,19,"*","*",0,436,473
"Fairfield School District","""0510011""","Roger Ludlowe Middle School","""0515311""",0,45,26,66,0,750,887
