"Student Counts by School and Race"
"All Districts, All Schools"
"2015-16"

"",,,,"Race",,,,,,,
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*",6,203,123,"*",6,68,408
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*","*",128,174,0,"*",42,351
"Bridgeport School District","""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","""0151511""",0,22,180,149,"*","*",136,492
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""",8,27,146,150,"*","*",172,506
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""","*",13,296,316,0,"*",19,649
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""","*","*",204,581,0,"*",43,836
"Bridgeport School District","""0150011""","Madison School","""0152011""","*",15,142,267,0,"*",81,512
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""",21,8,71,264,"*","*",93,460
"Bridgeport School District","""0150011""","Opportunities for Self-Discovery Community Partnership","""0152811""",0,0,"*","*",0,0,"*",7
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*",38,215,166,"*",0,57,483
"Bridgeport School District","""0150011""","Read School","""0152511""","*",10,349,431,"*","*",89,891
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*",21,220,342,"*","*",35,623
"Bridgeport School District","""0150011""","Skane Center","""0154411""",0,16,59,111,0,0,38,224
"Bridgeport School District","""0150011""","Waltersville School","""0153011""",0,"*",148,331,0,"*",19,503
"Bridgeport School District","""0150011""","Winthrop School","""0153611""","*",35,215,215,0,"*",197,673
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*",6,0,"*",8,20
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*",39,90,242,"*",39,754,1167
"Bristol School District","""0170011""","Bristol Early Childhood Center-BECC","""0170411""",0,0,"*",7,0,"*",51,63
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*",33,100,223,0,"*",842,1221
"Bristol School District","""0170011""","Bristol Preparatory Academy","""0173311""",0,0,"*","*",0,0,28,48
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""",0,18,50,164,0,20,452,704
"Bristol School District","""0170011""","Chippens Hill Middle School Functional Program","""0171011""",0,0,0,7,0,"*","*",12
"Bristol School District","""0170011""","Chms Goal","""0173411""",0,0,"*","*",0,0,"*",7
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,0,0,"*",0,0,"*",12
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,15,19,91,0,8,207,340
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",0,18,27,148,0,29,229,451
"Bristol School District","""0170011""","Greene-Hills GOAL","""0170911""",0,0,0,0,0,0,"*","*"
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,45,72,250,"*","*",535,927
"Bristol School District","""0170011""","Hubbell/Extended Resource","""0172111""",0,0,0,"*",0,"*","*",6
"Bristol School District","""0170011""","Ivy Drive GOAL","""0172611""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","Ivy Drive Medically Fragile","""0172311""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","Ivy Drive School","""0171911""",0,8,34,67,0,11,275,395
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,31,"*",68,"*",25,233,372
"Bristol School District","""0170011""","Mt. View GOAL","""0172511""",0,0,0,"*",0,"*","*",8
"Bristol School District","""0170011""","Northeast MS/Extended Resource","""0172711""",0,0,0,0,0,0,"*","*"
"Bristol School District","""0170011""","Northeast MS/GOAL","""0172811""",0,0,"*","*",0,0,"*","*"
"Bristol School District","""0170011""","Northeast Middle School","""0175211""",0,11,22,66,0,13,310,422
"Bristol School District","""0170011""","PreK Autism","""0172911""",0,0,"*",0,0,"*",7,10
"Bristol School District","""0170011""","South Side Extended Resource","""0173011""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","South Side GOAL","""0173111""",0,0,0,"*",0,0,"*","*"
"Bristol School District","""0170011""","South Side School","""0171111""","*",12,35,129,0,"*",307,491
"Bristol School District","""0170011""","Stafford Autism","""0173211""",0,"*","*","*",0,0,15,24
"Bristol School District","""0170011""","Stafford School","""0171211""",0,27,41,109,"*","*",246,436
"Bristol School District","""0170011""","West Bristol School","""0172011""","*",27,57,285,0,"*",524,922
"Brookfield School District","""0180011""","Brookfield High School","""0186111""","*",54,"*",55,0,0,749,880
"Brookfield School District","""0180011""","Center Elementary School","""0180311""",0,30,7,29,0,6,296,368
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""","*",36,12,40,"*",6,479,577
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",80,18,66,"*",0,687,855
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*",17,"*",56,"*",27,413,521
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""","*","*",6,19,0,9,340,377
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""",0,0,0,"*",0,0,"*",76
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""",0,"*","*",16,0,12,229,261
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""",0,0,"*",11,0,"*",205,230
"Canton School District","""0230011""","Canton Academy","""0230411""",0,0,0,0,0,0,"*","*"
"Canton School District","""0230011""","Canton High School","""0236111""",0,15,21,32,0,11,409,488
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",0,"*",17,35,0,"*",335,400
"Canton School District","""0230011""","Canton Middle School","""0235111""","*",11,13,12,0,"*",243,284
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",10,47,27,0,"*",364,451
"Capital Preparatory Harbor School Inc. District","""2970013""","Capital Preparatory Harbor School Inc.","""2970113""",0,"*",188,47,0,7,"*",249
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""",0,71,185,204,0,30,212,702
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering Elementary","""2410714""","*",48,85,97,0,"*",99,343
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""","*",32,151,218,"*",14,99,517
"Capitol Region Education Council","""2410014""","Ana Grace Academy of the Arts Elementary School","""2410614""",0,8,100,129,0,20,97,354
"Capitol Region Education Council","""2410014""","Discovery Academy","""2418114""","*",31,75,138,"*",26,132,405
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,"*","*",0,0,"*",13,16
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""",0,47,93,128,0,19,164,451
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","*","*",104,158,"*",21,154,440
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of the Arts Magnet Middle","""2415314""",0,0,93,139,"*","*",95,337
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,0,0,0,0,"*","*"
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""","*",69,116,140,0,"*",119,467
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,18,25,0,"*","*",57
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",0,0,"*","*",0,0,"*",12
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*",30,359,142,"*",28,162,726
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""",0,12,49,175,0,13,105,354
"Capitol Region Education Council","""2410014""","Museum Academy","""2410514""","*",33,160,130,0,"*",112,468
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""",8,"*",104,204,"*",17,117,455
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""","*","*",151,122,0,14,160,455
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*",7,15,0,"*",42,66
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",23,23,0,"*",83,140
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,"*",0,"*","*","*",32,42
"Capitol Region Education Council","""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","""2411114""",0,"*",0,"*",0,0,"*",7
"Capitol Region Education Council","""2410014""","Soundbridge @ Museum Academy","""2411214""",0,"*","*","*",0,0,"*",8
"Capitol Region Education Council","""2410014""","Soundbridge @ Wethersfield High School","""2411014""",0,0,0,"*",0,0,"*",9
"Capitol Region Education Council","""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","""2419714""",0,0,0,0,0,0,8,8
"Capitol Region Education Council","""2410014""","Two Rivers Magnet High School","""2416714""","*",19,116,177,"*",10,72,399
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*",55,126,217,0,"*",228,654
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""","*",29,189,121,0,"*",105,457
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""",0,0,"*",14,0,"*",154,176
"Cheshire School District","""0250011""","Chapman School","""0250111""","*",30,15,11,0,"*",279,344
"Cheshire School District","""0250011""","Cheshire High School","""0256111""","*",134,38,51,0,"*",1254,1481
"Cheshire School District","""0250011""","Cheshire Quinnipiac University Transition Collaborative","""0250311""",0,0,"*","*",0,0,8,10
"Cheshire School District","""0250011""","Darcey School","""0250211""",0,8,"*",16,0,"*",113,147
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""","*",75,15,28,0,"*",594,719
"Cheshire School District","""0250011""","Doolittle School","""0250611""","*",42,14,35,0,"*",378,480
"Cheshire School District","""0250011""","Highland School","""0250411""","*",87,33,33,0,"*",592,751
"Cheshire School District","""0250011""","Humiston Alternative School","""0250911""",0,"*",0,0,0,0,"*",18
"Cheshire School District","""0250011""","Norton School","""0250511""",0,52,11,23,0,9,350,445
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,"*","*",8,0,10,187,211
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""","*",11,"*",31,0,"*",262,312
"Clinton School District","""0270011""","Jared Eliot School","""0275111""","*",8,"*",42,"*","*",393,452
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",17,"*",83,0,10,404,522
"Clinton School District","""0270011""","The Morgan School","""0276111""","*",12,"*",60,0,16,441,533
"Colchester School District","""0280011""","Bacon Academy","""0286111""",7,14,25,43,0,7,739,835
"Colchester School District","""0280011""","Bacon Academy Alternative Education","""0280511""","*",0,0,0,0,0,"*",15
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""",0,10,"*",38,"*",26,488,570
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""","*",15,7,33,"*",16,458,531
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""","*",18,13,19,0,"*",536,600
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""",0,0,"*","*",0,6,75,84
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""",0,"*","*",26,0,6,406,445
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",65,56,0,"*",55,186
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*",11,203,480,"*",7,63,768
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",237,482,0,16,42,784
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",35,365,0,16,210,636
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""","*","*",196,297,0,11,45,551
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""","*","*",50,197,"*",21,229,505
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*","*",54,145,0,28,340,573
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""","*","*",38,278,0,22,406,760
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""",7,"*","*",26,"*",26,554,623
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*","*",20,265,0,26,316,640
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*",13,78,147,"*",19,390,653
"Connecticut Technical High School System","""9000016""","J. M. Wright Technical High School","""9002116""",0,"*",58,113,0,"*",68,250
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""","*","*",30,76,"*",45,497,657
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*","*",7,54,0,10,582,657
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*","*",98,295,0,40,369,811
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*",6,56,95,"*",39,389,588
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""","*",14,83,207,"*",27,421,758
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""","*",0,"*",167,0,16,303,496
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",0,"*",20,13,0,"*",50,87
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",0,"*",22,15,0,"*",13,57
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",0,"*",0,"*","*",0,11,17
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,0,24,48,0,0,18,90
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""",0,27,142,171,"*","*",114,468
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","*","*",22,30,0,9,85,150
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,"*","*",9,0,7,73,92
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""","*","*","*",19,0,21,349,397
"Coventry School District","""0320011""","Coventry Academy","""0320111""",0,0,"*","*",0,"*",8,12
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""",0,"*","*",14,0,12,313,348
"Coventry School District","""0320011""","Coventry High School","""0326111""",0,"*","*",20,0,15,421,465
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*","*","*",25,0,6,326,365
"Coventry School District","""0320011""","Hale Early Education Center","""0320311""",0,0,"*","*",0,"*",30,38
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*",38,51,42,0,"*",439,578
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""",0,"*",36,40,0,"*",335,447
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""","*",24,38,43,"*",15,352,477
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""",0,41,42,35,"*","*",352,480
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*",18,43,0,"*",28,94
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",0,74,75,489,"*","*",372,1039
"Danbury School District","""0340011""","DPS Early Childhood Center","""0340111""",0,9,"*",84,0,"*",37,141
"Danbury School District","""0340011""","Danbury High School","""0346111""","*",196,279,1190,"*",63,1209,2941
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,22,13,282,0,16,99,432
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,13,8,176,0,14,143,354
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""","*",60,40,224,"*",21,123,470
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,29,35,126,0,7,172,369
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",21,17,187,0,"*",176,409
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,24,32,121,0,15,158,350
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,12,19,256,0,13,57,357
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,25,34,362,0,17,157,595
"Danbury School District","""0340011""","Pembroke School","""0341511""","*",37,25,133,0,"*",155,368
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""",0,49,79,535,0,12,263,938
"Danbury School District","""0340011""","Shelter Rock School","""0341211""",0,40,33,216,0,14,217,520
"Danbury School District","""0340011""","South Street School","""0341011""",0,14,31,253,0,11,69,378
"Danbury School District","""0340011""","Stadley Rough School","""0341611""","*",26,23,203,"*",13,228,496
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*",35,27,106,0,"*",217,390
"Danbury School District","""0340011""","Westside Middle School Academy","""0340311""","*",47,37,146,0,"*",248,496
"Darien School District","""0350011""","Darien High School","""0356111""","*",57,13,63,0,"*",1216,1356
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",0,19,"*",14,0,"*",455,501
"Darien School District","""0350011""","Holmes Elementary School","""0350711""",0,21,"*",18,0,"*",409,462
"Darien School District","""0350011""","Middlesex Middle School","""0355111""","*",55,"*",44,0,10,1048,1167
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""","*","*",0,34,0,20,386,458
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",20,"*",31,0,8,365,433
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,18,"*",11,"*",15,432,479
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""",0,"*","*",19,"*",10,269,304
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,0,"*",0,0,0,"*","*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,"*",38,69,"*",17,208,347
"Derby School District","""0370011""","Derby High School","""0376111""",0,9,55,87,"*","*",186,344
"Derby School District","""0370011""","Derby Middle School","""0375011""",0,"*",43,98,"*",15,169,332
"Derby School District","""0370011""","Irving School","""0370411""",0,"*",57,143,"*",13,106,328
"Derby School District","""0370011""","Little Raiders University","""0370111""",0,"*","*",8,0,"*",18,33
"Derby School District","""0370011""","RAISE Academy","""0370511""",0,0,0,"*",0,0,0,"*"
"East Granby School District","""0400011""","Allgrove School","""0400111""",0,14,18,17,"*","*",148,206
"East Granby School District","""0400011""","East Granby High School","""0406111""","*",7,20,12,0,"*",218,264
"East Granby School District","""0400011""","East Granby Middle School","""0405111""","*",11,19,15,0,"*",145,196
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""",0,18,13,"*",0,"*",156,202
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""","*","*",0,14,0,11,281,309
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",0,"*","*",8,0,6,302,321
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""",0,"*","*","*",0,6,419,431
"East Hampton School District","""0420011""","Center School","""0420311""",0,"*",0,13,"*","*",274,297
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","*",15,7,28,"*","*",459,515
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,7,"*",21,0,"*",395,433
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,8,6,31,0,19,573,637
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,0,0,0,0,0,6,6
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""","*",13,92,177,0,"*",27,312
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*",28,69,34,0,"*",58,192
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""",0,"*",119,177,0,"*",43,356
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*",12,123,162,"*","*",22,322
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""","*",18,145,194,0,"*",148,509
