"Primary Disability (K-12), Trend"
"All Districts, Other Health Impairment"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Griswold School District","""0580011""",57,3.2,23.9,63,3.5,24.8,62,3.6,25.2,62,3.6,25.6,51,3.0,21.5
"Groton School District","""0590011""",102,2.1,14.4,109,2.2,15.0,104,2.2,14.3,113,2.4,15.3,113,2.4,15.4
"Guilford School District","""0600011""",76,2.1,20.7,86,2.4,23.1,81,2.4,20.7,88,2.6,22.2,91,2.7,21.6
"Hamden School District","""0620011""",163,2.4,20.2,168,2.5,19.2,195,3.0,20.5,205,3.2,20.0,234,3.7,21.6
"Hampton School District","""0630011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","""0640011""",486,2.4,14.3,563,2.8,16.5,626,3.1,17.6,687,3.4,18.4,751,3.7,19.1
"Hartland School District","""0650011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","""0670011""",17,1.8,16.0,16,1.9,16.8,14,1.8,13.3,15,2.1,17.0,19,2.9,23.5
"Kent School District","""0680011""",0,0,0,0,0,0,0,0,0,"*","*","*","*","*","*"
"Killingly School District","""0690011""",89,3.6,24.3,89,3.7,23.5,93,4.1,23.4,92,4.0,23.5,87,3.9,22.4
"Lebanon School District","""0710011""",27,2.4,17.9,29,2.6,18.6,28,2.7,17.8,28,2.8,19.7,38,4.0,28.6
"Ledyard School District","""0720011""",72,2.9,21.6,76,3.1,22.1,85,3.5,24.0,99,4.2,27.6,109,4.7,27.9
"Lisbon School District","""0730011""",14,2.3,17.3,18,2.9,21.2,13,2.2,18.6,13,2.3,20.3,15,2.7,21.4
"Litchfield School District","""0740011""",26,2.5,21.7,22,2.2,20.0,27,2.8,23.7,25,2.6,22.1,32,3.5,24.4
"Madison School District","""0760011""",95,2.8,27.0,100,3.1,27.9,100,3.2,27.5,103,3.4,29.1,95,3.3,25.9
"Manchester School District","""0770011""",164,2.3,17.4,166,2.3,18.6,171,2.4,19.2,171,2.4,19.6,191,2.6,20.4
"Mansfield School District","""0780011""",23,1.9,16.3,22,1.9,15.7,23,2.0,16.1,22,1.9,16.1,25,2.2,18.9
"Marlborough School District","""0790011""",6,0.9,10.3,6,1.0,11.5,6,1.0,13.0,6,1.1,14.3,7,1.3,13.5
"Meriden School District","""0800011""",239,2.7,18.5,284,3.2,20.1,303,3.4,20.4,319,3.7,21.1,346,4.0,21.9
"Middletown School District","""0830011""",96,1.9,16.2,109,2.1,18.1,124,2.5,19.5,123,2.5,19.1,137,2.8,21.4
"Milford School District","""0840011""",215,3.2,25.9,199,3.1,24.8,204,3.2,26.8,206,3.3,27.5,197,3.3,26.4
"Monroe School District","""0850011""",78,2.2,21.4,77,2.3,21.5,74,2.2,21.1,93,2.9,26.3,92,2.9,26.6
