"Student Counts by School and Race"
"All Districts, All Schools"
"2010-11"

"",,,,"Race",,,,,,,
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*",0,"*",0,"*",333,343
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""","*",0,0,"*",0,0,28,30
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",39,"*",63,0,24,883,1017
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",22,"*",30,0,19,636,719
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","*",24,"*",32,0,11,462,535
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",14,"*",41,0,17,507,585
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,"*",7,13,0,"*",231,261
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",38,9,"*",0,0,454,512
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,26,"*",61,0,"*",286,384
"Bethel School District","""0090011""","Bethel High School","""0096111""","*",57,28,102,0,"*",766,959
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,40,"*",91,"*",23,518,683
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""","*",32,12,43,"*",8,363,460
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,28,10,60,0,8,346,452
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,"*",532,41,0,"*",13,593
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""","*","*",260,28,0,"*",10,305
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""","*","*",230,19,0,"*",11,265
"Bloomfield School District","""0110011""","J. P. Vincent School","""0110311""","*",11,275,35,"*",16,9,351
"Bloomfield School District","""0110011""","Laurel School","""0110611""",0,"*",229,30,0,12,"*",281
"Bloomfield School District","""0110011""","The Big Picture High School","""0116211""",0,"*",74,9,0,0,"*",89
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""","*","*",109,20,0,16,150,312
"Bolton School District","""0120011""","Bolton Center School","""0120111""",0,15,29,23,0,10,491,568
"Bolton School District","""0120011""","Bolton High School","""0126111""",0,"*","*",7,0,8,307,330
"Bozrah School District","""0130011""","Fields Memorial School","""0130111""","*","*",11,13,0,0,205,233
"Branford School District","""0140011""","Branford High School","""0146111""","*",73,35,58,0,"*",917,1098
"Branford School District","""0140011""","Francis Walsh Intermediate School","""0145111""","*",77,26,76,0,"*",840,1040
"Branford School District","""0140011""","Indian Neck School","""0148011""",0,"*","*",7,0,"*",40,53
"Branford School District","""0140011""","John B. Sliney School","""0141611""",0,20,"*",48,0,"*",287,368
"Branford School District","""0140011""","Mary R. Tisko School","""0141511""",0,20,"*",19,0,"*",379,426
"Branford School District","""0140011""","Mary T. Murphy School","""0141411""",0,57,20,44,0,10,300,431
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","*","*",223,180,0,"*","*",409
"Bridgeport School District","""0150011""","Barnum School","""0150111""",0,"*",174,442,0,"*",12,632
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","*",41,506,574,0,"*",48,1171
"Bridgeport School District","""0150011""","Beardsley School","""0150211""","*","*",145,210,0,0,9,370
"Bridgeport School District","""0150011""","Black Rock School","""0150311""",0,"*",61,136,0,"*",81,283
"Bridgeport School District","""0150011""","Blackham School","""0154011""","*",52,405,471,"*",0,180,1114
"Bridgeport School District","""0150011""","Bridgeport Learning Center","""0159011""",0,0,23,"*",0,0,"*",50
"Bridgeport School District","""0150011""","Bryant School","""0150411""","*",27,171,196,0,"*",42,439
"Bridgeport School District","""0150011""","Central High School","""0156211""",202,90,874,932,"*","*",201,2303
"Bridgeport School District","""0150011""","Cesar Batalla School","""0151411""",0,35,229,770,0,"*","*",1063
"Bridgeport School District","""0150011""","Classical Studies Academy","""0152111""","*",18,210,91,0,0,"*",334
"Bridgeport School District","""0150011""","Columbus School","""0150511""",0,6,182,422,0,0,53,663
"Bridgeport School District","""0150011""","Cross School","""0153911""","*",6,235,155,0,"*",9,408
"Bridgeport School District","""0150011""","Curiale School","""0154211""",0,50,287,232,0,"*","*",596
"Bridgeport School District","""0150011""","Dunbar School","""0154111""",0,"*",186,121,0,0,"*",315
"Bridgeport School District","""0150011""","Edison School","""0150711""",0,8,142,80,0,0,25,255
"Bridgeport School District","""0150011""","Geraldine Johnson School","""0153211""",6,35,306,456,"*","*",60,868
"Bridgeport School District","""0150011""","Hall School","""0151111""","*",6,162,131,0,"*","*",306
"Bridgeport School District","""0150011""","Hallen School","""0151211""",0,0,203,102,0,0,11,316
"Bridgeport School District","""0150011""","Harding High School","""0156311""","*","*",621,725,0,0,32,1394
"Bridgeport School District","""0150011""","High Horizons Magnet School","""0154511""","*",9,188,173,0,"*",54,431
"Bridgeport School District","""0150011""","Hooker School","""0151311""","*",11,181,205,0,"*",64,463
"Bridgeport School District","""0150011""","Interdistrict Discovery Magnet School","""0153711""","*","*",42,33,0,0,45,130
"Bridgeport School District","""0150011""","Jettie S. Tisdale School","""0152211""","*",13,352,273,"*","*",13,654
"Bridgeport School District","""0150011""","Longfellow School","""0151911""",0,"*",195,218,0,0,"*",426
"Bridgeport School District","""0150011""","Luis Munoz Marin School","""0151011""","*",6,208,621,0,"*",17,854
"Bridgeport School District","""0150011""","Madison School","""0152011""",0,"*",192,249,0,"*",84,543
"Bridgeport School District","""0150011""","Make The Grade","""0159511""",0,0,20,7,0,0,0,27
"Bridgeport School District","""0150011""","Multicultural Magnet School","""0154611""","*",21,98,287,0,"*",48,457
"Bridgeport School District","""0150011""","Parent-Children Program","""0158011""",0,0,0,0,0,0,"*","*"
"Bridgeport School District","""0150011""","Park City Academy","""0159211""",0,0,6,"*",0,0,"*",10
"Bridgeport School District","""0150011""","Park City Magnet School","""0151711""","*","*",242,164,0,0,67,511
"Bridgeport School District","""0150011""","Read School","""0152511""","*",17,368,374,0,"*",61,822
"Bridgeport School District","""0150011""","Roosevelt School","""0152611""","*","*",184,257,0,0,14,462
"Bridgeport School District","""0150011""","Skane Center","""0154411""","*",16,59,105,0,"*",64,246
"Bridgeport School District","""0150011""","Waltersville School","""0153011""","*",8,134,388,0,"*","*",537
"Bridgeport School District","""0150011""","Winthrop School","""0153611""","*",36,266,225,0,"*",187,719
"Bristol School District","""0170011""","Alternative Special Education Program (ASEP)","""0179011""",0,0,"*",9,0,"*",12,27
"Bristol School District","""0170011""","Bristol Central High School","""0176111""","*","*",78,214,0,39,959,1310
"Bristol School District","""0170011""","Bristol Eastern High School","""0176211""","*",39,93,169,0,"*",1033,1352
"Bristol School District","""0170011""","Chippens Hill Middle School","""0175111""","*",18,81,167,"*","*",609,881
"Bristol School District","""0170011""","Clara T. O'Connell School","""0170711""",0,10,31,140,0,21,141,343
"Bristol School District","""0170011""","Community/Vocational Program","""0179211""",0,"*",0,"*",0,0,13,16
"Bristol School District","""0170011""","Edgewood School","""0170311""",0,11,20,102,0,21,242,396
"Bristol School District","""0170011""","Ellen P. Hubbell School","""0171411""",0,28,24,109,0,44,315,520
"Bristol School District","""0170011""","Greene-Hills School","""0170511""",0,18,12,86,0,20,218,354
"Bristol School District","""0170011""","Ivy Drive School","""0171911""","*",8,29,54,0,"*",327,420
"Bristol School District","""0170011""","John J. Jennings School","""0170611""",0,7,11,38,0,0,310,366
"Bristol School District","""0170011""","Memorial Boulevard Middle School","""0175311""",0,18,31,100,0,15,351,515
"Bristol School District","""0170011""","Mountain View School","""0171711""",0,24,12,58,0,16,270,380
"Bristol School District","""0170011""","Northeast Middle School","""0175211""","*",7,40,71,0,"*",438,563
"Bristol School District","""0170011""","South Side School","""0171111""",0,"*",52,122,0,"*",419,610
"Bristol School District","""0170011""","Stafford School","""0171211""",0,"*",31,113,0,"*",376,544
"Brookfield School District","""0180011""","Brookfield High School","""0186111""",0,30,16,36,0,0,914,996
"Brookfield School District","""0180011""","Center Elementary School","""0180311""","*",34,"*",37,0,0,323,400
"Brookfield School District","""0180011""","Huckleberry Hill Elementary School","""0180411""",0,"*","*",44,0,0,496,583
"Brookfield School District","""0180011""","Whisconier Middle School","""0185311""","*",51,"*",35,0,0,790,890
"Brooklyn School District","""0190011""","Brooklyn Elementary School","""0190111""","*","*",15,23,0,8,508,562
"Brooklyn School District","""0190011""","Brooklyn Middle School","""0195111""",0,"*","*",15,0,8,352,385
"Canaan School District","""0210011""","Lee H. Kellogg School","""0210111""","*",0,0,7,0,"*",77,86
"Canterbury School District","""0220011""","Canterbury Elementary School","""0220211""",0,"*","*",13,0,10,287,318
"Canterbury School District","""0220011""","Dr. Helen Baldwin Middle School","""0225111""","*","*","*",9,0,0,190,206
"Canton School District","""0230011""","Canton High School","""0236111""",0,8,11,13,0,10,473,515
"Canton School District","""0230011""","Canton Intermediate School","""0230311""",0,8,9,21,0,9,358,405
"Canton School District","""0230011""","Canton Middle School","""0235111""",0,"*",10,12,0,"*",236,266
"Canton School District","""0230011""","Cherry Brook Primary School","""0230211""","*",13,19,31,0,"*",522,591
"Capitol Region Education Council","""2410014""","Academy of Aerospace and Engineering","""2415114""",0,"*",57,76,0,"*",57,214
"Capitol Region Education Council","""2410014""","Academy of Science and Innovation","""2416514""",0,7,82,59,0,6,25,179
"Capitol Region Education Council","""2410014""","CREC Early Learning Center at Asylum Hill","""2418014""",0,0,13,7,0,0,0,20
"Capitol Region Education Council","""2410014""","Farmington Valley Regional Diagnostic Center","""2419214""",0,0,"*","*",0,"*",13,21
"Capitol Region Education Council","""2410014""","Glastonbury/East Hartford Magnet School","""2410114""","*",30,57,50,0,"*",103,262
"Capitol Region Education Council","""2410014""","Great Path Academy at MCC","""2416314""","*","*",135,65,0,"*",73,284
"Capitol Region Education Council","""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","""2416414""","*",7,104,105,0,"*",148,372
"Capitol Region Education Council","""2410014""","Integrated Program Models","""2419414""",0,0,0,0,0,0,"*","*"
"Capitol Region Education Council","""2410014""","International Magnet School for Global Citizenship","""2410414""",0,35,64,76,0,6,63,244
"Capitol Region Education Council","""2410014""","John J. Allison Polaris Center","""2419014""",0,0,11,27,0,0,8,46
"Capitol Region Education Council","""2410014""","Lincoln Academy Regional Interdistrict Collaborative","""2419614""",0,0,"*","*",0,0,"*",9
"Capitol Region Education Council","""2410014""","Metropolitan Learning Center for Global and International Studies","""2416114""","*",26,389,100,0,"*",186,711
"Capitol Region Education Council","""2410014""","Montessori Magnet School","""2413114""","*",12,96,134,0,"*",87,337
"Capitol Region Education Council","""2410014""","Public Safety Academy","""2415214""","*","*",80,110,0,6,93,293
"Capitol Region Education Council","""2410014""","Reggio Magnet School of the Arts","""2410314""","*",11,102,58,0,"*",80,255
"Capitol Region Education Council","""2410014""","River Street Early Learning Center (Site 2)","""2419514""",0,"*",7,"*",0,0,36,52
"Capitol Region Education Council","""2410014""","River Street School","""2419314""",0,"*",24,25,0,"*",97,151
"Capitol Region Education Council","""2410014""","Soundbridge","""2419114""",0,"*",10,10,0,"*",72,103
"Capitol Region Education Council","""2410014""","Two Rivers Magnet Middle School","""2415014""","*",44,134,223,0,"*",233,658
"Capitol Region Education Council","""2410014""","University of Hartford Magnet School","""2410214""","*",31,166,107,0,"*",106,430
"Chaplin School District","""0240011""","Chaplin Elementary School","""0240211""","*","*","*",11,0,9,162,187
"Charter School for Young Children on Asylum Hill District","""2870013""","Charter School for Young Children on Asylum Hill  Inc.","""2870113""","*","*",98,55,0,0,66,225
"Cheshire School District","""0250011""","Chapman School","""0250111""",0,25,"*","*",0,0,258,300
"Cheshire School District","""0250011""","Cheshire High School","""0256111""",0,114,30,46,0,0,1326,1516
"Cheshire School District","""0250011""","Darcey School","""0250211""","*",40,7,21,0,"*",272,343
"Cheshire School District","""0250011""","Dodd Middle School","""0255111""",0,64,15,19,0,0,688,786
"Cheshire School District","""0250011""","Doolittle School","""0250611""",0,53,12,20,0,0,432,517
"Cheshire School District","""0250011""","Highland School","""0250411""","*",94,14,34,0,"*",683,827
"Cheshire School District","""0250011""","Humiston School","""0259011""","*",0,"*","*",0,0,18,22
"Cheshire School District","""0250011""","Norton School","""0250511""","*",42,7,20,0,"*",412,487
"Chester School District","""0260011""","Chester Elementary School","""0260111""",0,8,"*","*",0,"*",257,275
"Clinton School District","""0270011""","Abraham Pierson School","""0270111""","*","*","*",28,0,7,262,304
"Clinton School District","""0270011""","Jared Eliot School","""0275111""","*",10,"*",34,"*",12,431,492
"Clinton School District","""0270011""","Lewin G. Joel Jr. School","""0270311""","*",18,6,64,0,"*",588,683
"Clinton School District","""0270011""","The Morgan School","""0276111""","*",18,"*",38,"*",19,474,557
"Colchester School District","""0280011""","Bacon Academy","""0286111""",6,13,40,40,0,6,882,987
"Colchester School District","""0280011""","Colchester Elementary School","""0280411""","*",21,15,26,0,"*",621,698
"Colchester School District","""0280011""","Jack Jackter Intermediate School","""0280211""","*",17,15,28,0,"*",617,688
"Colchester School District","""0280011""","William J. Johnston Middle School","""0285111""","*",10,23,39,0,"*",619,705
"Colebrook School District","""0290011""","Colebrook Consolidated School","""0290111""",0,0,0,"*",0,"*",100,112
"Columbia School District","""0300011""","Horace W. Porter School","""0300111""",0,"*","*",24,0,7,498,539
"Common Ground High School District","""2680013""","Common Ground High School","""2686113""",0,"*",55,72,0,"*",27,163
"Connecticut Technical High School System","""9000016""","A. I. Prince Technical High School","""9001516""","*","*",268,416,0,0,36,726
"Connecticut Technical High School System","""9000016""","Bullard-Havens Technical High School","""9001116""","*","*",330,463,0,0,70,872
"Connecticut Technical High School System","""9000016""","E. C. Goodwin Technical High School","""9001916""","*","*",71,322,0,11,184,596
"Connecticut Technical High School System","""9000016""","Eli Whitney Technical High School","""9001416""",0,"*",199,304,0,0,"*",539
"Connecticut Technical High School System","""9000016""","Ella T. Grasso Southeastern Technical High School","""9002716""",14,7,73,162,"*","*",320,583
"Connecticut Technical High School System","""9000016""","Emmett O'Brien Technical High School","""9002516""","*","*",37,77,0,0,415,535
"Connecticut Technical High School System","""9000016""","H. C. Wilcox Technical High School","""9001716""",7,"*",43,239,0,"*",500,794
"Connecticut Technical High School System","""9000016""","H. H. Ellis Technical High School","""9001316""","*",9,"*",16,0,13,511,558
"Connecticut Technical High School System","""9000016""","Henry Abbott Technical High School","""9001216""","*",8,39,185,"*",0,403,640
"Connecticut Technical High School System","""9000016""","Howell Cheney Technical High School","""9001616""","*",17,107,122,0,"*",397,658
"Connecticut Technical High School System","""9000016""","Norwich Technical High School","""9002016""",7,6,27,69,0,33,504,646
"Connecticut Technical High School System","""9000016""","Oliver Wolcott Technical High School","""9002216""","*",8,15,43,0,"*",632,709
"Connecticut Technical High School System","""9000016""","Platt Technical High School","""9002616""","*",10,119,217,0,"*",515,869
"Connecticut Technical High School System","""9000016""","Vinal Technical High School","""9001816""","*","*",57,67,0,"*",469,599
"Connecticut Technical High School System","""9000016""","W. F. Kaynor Technical High School","""9002316""",8,"*",120,198,0,"*",407,745
"Connecticut Technical High School System","""9000016""","Windham Technical High School","""9002416""",8,"*",17,139,"*","*",405,574
"Cooperative Educational Services","""2430014""","Developmental Learning Center (DLC)","""2439214""",0,"*",15,"*",0,0,58,82
"Cooperative Educational Services","""2430014""","Preschool-Primary Learning Center (PLC)","""2439114""",0,"*",17,"*",0,0,23,53
"Cooperative Educational Services","""2430014""","RISE Transitional Program","""2439314""",0,0,"*","*",0,0,10,12
"Cooperative Educational Services","""2430014""","School Readiness","""2438014""",0,"*",9,40,0,0,"*",53
"Cooperative Educational Services","""2430014""","Six-Six Magnet School","""2430114""","*",18,172,145,0,"*",109,452
"Cooperative Educational Services","""2430014""","Therapeutic Day Program","""2439414""","*","*",25,26,0,"*",76,135
"Cornwall School District","""0310011""","Cornwall Consolidated School","""0310111""",0,"*",0,"*",0,10,99,115
"Coventry School District","""0320011""","Capt. Nathan Hale School","""0325111""",0,"*","*",17,0,20,416,462
"Coventry School District","""0320011""","Coventry Early Intervention Services","""0328011""",0,0,"*","*",0,0,9,13
"Coventry School District","""0320011""","Coventry Grammar School","""0320211""","*","*","*",17,0,17,351,391
"Coventry School District","""0320011""","Coventry High School","""0326111""","*","*",8,20,0,13,514,558
"Coventry School District","""0320011""","George Hersey Robertson School","""0320411""","*","*","*",22,0,23,357,411
"Cromwell School District","""0330011""","Cromwell High School","""0336111""","*",14,53,36,"*","*",479,588
"Cromwell School District","""0330011""","Cromwell Middle School","""0335111""",0,"*",37,40,0,"*",373,475
"Cromwell School District","""0330011""","Edna C. Stevens School","""0330211""","*",38,45,"*",0,0,373,489
"Cromwell School District","""0330011""","Woodside Intermediate School","""0330311""",0,"*",46,37,0,"*",350,465
"Danbury School District","""0340011""","Alternative Center For Excellence","""0346211""",0,"*","*",20,0,0,46,80
"Danbury School District","""0340011""","Broadview Middle School","""0345111""",0,94,116,308,"*","*",583,1114
"Danbury School District","""0340011""","Danbury High School","""0346111""","*",239,321,923,0,"*",1407,2898
"Danbury School District","""0340011""","Ellsworth Avenue School","""0341411""",0,30,31,223,0,6,106,396
"Danbury School District","""0340011""","Great Plain School","""0341111""",0,14,9,115,0,7,154,299
"Danbury School District","""0340011""","Hayestown Avenue School","""0340211""",0,50,38,178,0,12,110,388
"Danbury School District","""0340011""","King Street Intermediate School","""0341711""",0,23,35,125,0,7,184,374
"Danbury School District","""0340011""","King Street Primary School","""0341311""","*",30,11,130,0,"*",234,415
"Danbury School District","""0340011""","Mill Ridge Educational Center","""0341811""",0,13,"*",29,0,"*",80,134
"Danbury School District","""0340011""","Mill Ridge Primary School","""0340511""",0,37,43,125,0,6,191,402
"Danbury School District","""0340011""","Morris Street School","""0340611""",0,17,23,203,0,9,90,342
"Danbury School District","""0340011""","Park Avenue School","""0340811""",0,37,"*",213,0,"*",138,425
"Danbury School District","""0340011""","Pembroke School","""0341511""",0,27,"*",118,0,"*",168,343
"Danbury School District","""0340011""","Rogers Park Middle School","""0345211""",0,68,120,429,0,14,463,1094
"Danbury School District","""0340011""","Shelter Rock School","""0341211""","*",41,31,181,0,"*",139,409
"Danbury School District","""0340011""","South Street School","""0341011""","*",21,25,220,0,"*",111,388
"Danbury School District","""0340011""","Stadley Rough School","""0341611""",0,43,23,147,0,0,239,452
"Danbury School District","""0340011""","Western CT Academy of International Studies Elementary Magnet School","""0341911""","*",33,26,69,0,"*",254,386
"Darien School District","""0350011""","Darien High School","""0356111""","*",38,"*",52,0,0,1216,1315
"Darien School District","""0350011""","Hindley Elementary School","""0350211""",0,33,"*",24,0,"*",532,594
"Darien School District","""0350011""","Holmes Elementary School","""0350711""",0,18,0,10,0,0,411,439
"Darien School District","""0350011""","Middlesex Middle School","""0355111""","*",27,"*",37,0,"*",1090,1159
"Darien School District","""0350011""","Ox Ridge Elementary School","""0351311""","*",12,"*",12,0,"*",443,472
"Darien School District","""0350011""","Royle Elementary School","""0350511""","*",22,"*",13,0,"*",378,419
"Darien School District","""0350011""","Tokeneke Elementary School","""0350611""",0,16,"*",16,0,"*",405,444
"Deep River School District","""0360011""","Deep River Elementary School","""0360111""","*","*","*",19,0,"*",324,351
"Department of Mental Health and Addiction Services","""3370015""","Connecticut Valley Hospital","""3370215""",0,0,"*",0,0,0,"*","*"
"Derby School District","""0370011""","Bradley School","""0370611""",0,"*",36,60,"*",13,244,367
"Derby School District","""0370011""","Derby High School","""0376111""","*","*",65,73,"*","*",238,385
"Derby School District","""0370011""","Derby Middle School","""0375011""",0,"*",59,68,"*","*",185,319
"Derby School District","""0370011""","Irving School","""0370411""",0,"*",91,128,"*",7,163,396
"East Granby School District","""0400011""","Allgrove School","""0400111""","*","*",19,19,0,9,199,255
"East Granby School District","""0400011""","East Granby High School","""0406111""",0,10,14,"*",0,"*",238,275
"East Granby School District","""0400011""","East Granby Middle School","""0405111""",0,"*",12,9,0,"*",182,211
"East Granby School District","""0400011""","R. Dudley Seymour School","""0400211""","*","*",7,7,0,"*",130,150
"East Haddam School District","""0410011""","East Haddam Elementary School","""0410111""",0,"*",0,"*",0,"*",403,412
"East Haddam School District","""0410011""","Nathan Hale-Ray High School","""0416111""",0,"*","*",10,0,0,368,387
"East Haddam School District","""0410011""","Nathan Hale-Ray Middle School","""0415111""",0,"*","*",11,0,"*",519,540
"East Hampton School District","""0420011""","Center School","""0420311""",0,8,"*",13,0,"*",257,288
"East Hampton School District","""0420011""","East Hampton High School","""0426111""","*",11,"*",9,0,0,523,552
"East Hampton School District","""0420011""","East Hampton Middle School","""0425111""",0,10,"*",24,"*","*",465,508
"East Hampton School District","""0420011""","Memorial School","""0420111""",0,12,0,28,0,12,563,615
"East Hampton School District","""0420011""","The Learning Center at East Hampton","""0429011""",0,0,0,0,0,0,7,7
"East Hartford School District","""0430011""","Anna E. Norris School","""0430911""",0,20,103,136,0,0,32,291
"East Hartford School District","""0430011""","Connecticut IB Academy","""0436311""","*","*",48,30,0,0,85,180
"East Hartford School District","""0430011""","Dr. Franklin H. Mayberry School","""0430611""","*","*",153,186,0,0,45,408
"East Hartford School District","""0430011""","Dr. John A. Langford School","""0432211""","*",21,143,154,0,"*",48,369
"East Hartford School District","""0430011""","Dr. Thomas S. O'Connell School","""0431011""","*","*",91,112,0,0,123,338
"East Hartford School District","""0430011""","East Hartford High School","""0436211""","*",104,599,560,0,"*",460,1734
"East Hartford School District","""0430011""","East Hartford Middle School","""0435111""","*",52,373,375,0,"*",215,1021
"East Hartford School District","""0430011""","Governor William Pitkin School","""0432011""","*",60,120,102,0,"*",96,382
"East Hartford School District","""0430011""","Hockanum School","""0430511""",0,"*",97,136,0,"*",62,317
"East Hartford School District","""0430011""","Joseph O. Goodwin School","""0430411""",0,"*",132,106,0,"*",132,390
"East Hartford School District","""0430011""","Robert J. O'Brien School","""0431811""","*",23,148,166,0,"*",47,388
"East Hartford School District","""0430011""","Silver Lane School","""0431211""",0,"*",108,161,0,"*",35,308
"East Hartford School District","""0430011""","Stevens Alternate High School","""0436411""",0,"*",59,"*",0,0,52,152
"East Hartford School District","""0430011""","Sunset Ridge Middle School","""0432411""",0,15,157,122,0,0,52,346
"East Hartford School District","""0430011""","Willowbrook Early Childhood","""0438011""",0,"*",91,121,0,"*",59,287
"East Hartford School District","""0430011""","Woodland School","""0439011""",0,"*",59,79,0,0,"*",188
"East Haven School District","""0440011""","Carbone School/East Haven Academy","""0441711""","*",12,"*",27,0,"*",243,290
"East Haven School District","""0440011""","D. C. Moore School","""0441411""",0,"*",13,63,0,"*",185,273
"East Haven School District","""0440011""","Deer Run School","""0440111""",0,21,"*",51,0,"*",263,348
"East Haven School District","""0440011""","Dominick H. Ferrara School","""0441311""",0,"*",14,44,0,"*",173,246
"East Haven School District","""0440011""","East Haven High School","""0446111""",0,41,25,131,0,7,739,943
"East Haven School District","""0440011""","Grove J. Tuttle School","""0441011""",0,9,"*",54,0,"*",130,204
"East Haven School District","""0440011""","Joseph Melillo Middle School","""0445111""",0,20,"*",105,0,"*",537,680
"East Haven School District","""0440011""","Momauguin School","""0440711""",0,6,"*",53,0,"*",116,181
"East Haven School District","""0440011""","Overbrook Elementary School","""0441811""",0,14,"*",44,0,"*",156,226
"East Haven School District","""0440011""","Pathways","""0449011""",0,0,"*","*",0,0,27,34
"East Lyme School District","""0450011""","East Lyme High School","""0456111""","*",84,22,37,0,"*",1054,1208
"East Lyme School District","""0450011""","East Lyme Middle School","""0455111""","*",90,15,30,0,"*",709,850
"East Lyme School District","""0450011""","Flanders School","""0450111""","*",57,"*",15,0,"*",285,365
"East Lyme School District","""0450011""","Integrated Preschool","""0458011""",0,0,"*","*",0,0,42,44
"East Lyme School District","""0450011""","Lillie B. Haynes School","""0450411""",0,36,"*",19,0,"*",289,365
"East Lyme School District","""0450011""","Niantic Center School","""0450211""",0,10,"*",14,"*","*",196,229
"East Windsor School District","""0470011""","Broad Brook Elementary School","""0470111""","*",44,70,75,"*",30,336,558
"East Windsor School District","""0470011""","East Windsor High School","""0476111""",0,"*",57,24,0,"*",280,378
"East Windsor School District","""0470011""","East Windsor Middle School","""0475411""","*",13,50,44,"*",18,265,393
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Arts at the Capitol Theater Magnet School (ACT)","""2536014""","*",0,"*",11,0,"*",94,112
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","EastConn Special Education","""2539014""","*",0,"*",15,0,"*",46,67
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","""2530014""","Quinebaug Middle College","""2536114""",0,"*",7,11,0,"*",81,105
"Eastford School District","""0390011""","Eastford Elementary School","""0390111""","*","*","*","*",0,"*",169,180
"Easton School District","""0460011""","Helen Keller Middle School","""0465111""","*",8,"*",20,"*","*",357,396
"Easton School District","""0460011""","Samuel Staples Elementary School","""0460111""","*",38,"*",31,0,11,617,705
"EdAdvance","""2420014""","EdAdvance Headstart","""2428014""","*","*",0,66,"*",0,107,183
"EdAdvance","""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","""2429014""",0,0,"*","*",0,0,22,34
"Ellington School District","""0480011""","Center School","""0480111""","*",12,11,14,0,"*",382,432
"Ellington School District","""0480011""","Crystal Lake School","""0480211""",0,"*","*",7,0,"*",199,217
"Ellington School District","""0480011""","Ellington High School","""0486111""",0,17,19,24,"*","*",715,791
"Ellington School District","""0480011""","Ellington Middle School","""0485111""","*","*",13,21,0,15,347,410
"Ellington School District","""0480011""","Windermere Intermediate School","""0480711""","*",23,18,18,0,"*",362,436
