"","district_code","district","school_code","school","school_grade16","school_grade15","diff"
"64","0150011","Bridgeport School District","0151411","Cesar Batalla School",55.5487109208571,55.7532621309238,-0.204551210066725
"65","0150011","Bridgeport School District","0151511","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",62.2067939105248,53.8776779763805,8.32911593414431
"66","0150011","Bridgeport School District","0151611","Bridgeport Military Academy",45.0511972795584,42.1465356512975,2.90466162826085
"67","0150011","Bridgeport School District","0151711","Park City Magnet School",67.9702391880882,80.3547072471138,-12.3844680590256
"68","0150011","Bridgeport School District","0152011","Madison School",61.4152712753592,65.0449322661134,-3.62966099075418
"69","0150011","Bridgeport School District","0152111","Classical Studies Academy",67.0118142725571,72.6002214372051,-5.58840716464803
"70","0150011","Bridgeport School District","0152211","Jettie S. Tisdale School",55.0532952767528,49.5687312360518,5.48456404070102
"71","0150011","Bridgeport School District","0152511","Read School",55.1155449524124,62.1915593969334,-7.07601444452101
"72","0150011","Bridgeport School District","0152611","Roosevelt School",48.2671717833009,45.9995437003971,2.26762808290377
"73","0150011","Bridgeport School District","0153011","Waltersville School",52.2590393949764,59.7686613651864,-7.50962197020999
"74","0150011","Bridgeport School District","0153211","Geraldine Johnson School",64.1604976699337,60.7854014714992,3.37509619843451
"75","0150011","Bridgeport School District","0153611","Winthrop School",65.9071682103395,78.4614666904428,-12.5542984801033
"76","0150011","Bridgeport School District","0153711","Interdistrict Discovery Magnet School",68.5033210095583,80.9419903017873,-12.438669292229
"77","0150011","Bridgeport School District","0153911","Cross School",40.173767654484,49.1772911308352,-9.00352347635117
"78","0150011","Bridgeport School District","0154011","Blackham School",62.4850580624846,58.9663201747667,3.51873788771791
"79","0150011","Bridgeport School District","0154111","Dunbar School",41.2790696855273,52.9603768243131,-11.6813071387858
"80","0150011","Bridgeport School District","0154211","Curiale School",53.7814094964776,53.115436912228,0.665972584249644
"81","0150011","Bridgeport School District","0154511","High Horizons Magnet School",67.9502929684168,79.7706146042432,-11.8203216358264
"82","0150011","Bridgeport School District","0154611","Multicultural Magnet School",74.6740172721563,84.0740352809537,-9.40001800879739
