"school_code","district_code","district","school","no","yes","total"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","635","14","649"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","546","290","836"
"0152011","0150011","Bridgeport School District","Madison School","421","91","512"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","392","68","460"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","7","0","7"
"0151711","0150011","Bridgeport School District","Park City Magnet School","471","12","483"
"0152511","0150011","Bridgeport School District","Read School","809","82","891"
"0152611","0150011","Bridgeport School District","Roosevelt School","524","99","623"
"0154411","0150011","Bridgeport School District","Skane Center","224","0","224"
"0153011","0150011","Bridgeport School District","Waltersville School","456","47","503"
"0153611","0150011","Bridgeport School District","Winthrop School","618","55","673"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","20","0","20"
"0176111","0170011","Bristol School District","Bristol Central High School","1133","34","1167"
"0170411","0170011","Bristol School District","Bristol Early Childhood Center-BECC","63","0","63"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1185","36","1221"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","48","0","48"
"0173411","0170011","Bristol School District","CHMS GOAL","7","0","7"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","684","20","704"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","*","*","12"
"0179211","0170011","Bristol School District","Community/Vocational Program","12","0","12"
"0170311","0170011","Bristol School District","Edgewood School","323","17","340"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","411","40","451"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","*","0","*"
"0170511","0170011","Bristol School District","Greene-Hills School","875","52","927"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","*","*","6"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","*","0","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","*","0","*"
"0171911","0170011","Bristol School District","Ivy Drive School","383","12","395"
"0171711","0170011","Bristol School District","Mountain View School","348","24","372"
"0172511","0170011","Bristol School District","Mt. View GOAL","8","0","8"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","*","0","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","*","0","*"
"0175211","0170011","Bristol School District","Northeast Middle School","416","6","422"
"0172911","0170011","Bristol School District","PreK Autism","10","0","10"
"0173011","0170011","Bristol School District","South Side Extended Resource","*","0","*"
"0173111","0170011","Bristol School District","South Side GOAL","*","0","*"
"0171111","0170011","Bristol School District","South Side School","474","17","491"
"0173211","0170011","Bristol School District","Stafford Autism","24","0","24"
"0171211","0170011","Bristol School District","Stafford School","412","24","436"
"0172011","0170011","Bristol School District","West Bristol School","865","57","922"
"0186111","0180011","Brookfield School District","Brookfield High School","874","6","880"
"0180311","0180011","Brookfield School District","Center Elementary School","352","16","368"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","551","26","577"
"0185311","0180011","Brookfield School District","Whisconier Middle School","837","18","855"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","*","*","521"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","377","0","377"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","*","*","76"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","261","0","261"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","230","0","230"
"0230411","0230011","Canton School District","Canton Academy","*","0","*"
"0236111","0230011","Canton School District","Canton High School","*","*","488"
"0230311","0230011","Canton School District","Canton Intermediate School","*","*","400"
"0235111","0230011","Canton School District","Canton Middle School","284","0","284"
"0230211","0230011","Canton School District","Cherry Brook Primary School","442","9","451"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","249","0","249"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","682","20","702"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","299","44","343"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","497","20","517"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","334","20","354"
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","377","28","405"
"2416514","2410014","Capitol Region Education Council","CREC Medical Professions and Teacher Preparation Academy","497","20","517"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","377","28","405"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","16","0","16"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","414","37","451"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","425","15","440"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","326","11","337"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","0","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","444","23","467"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","*","*","57"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","*","*","12"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","497","20","517"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","711","15","726"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","320","34","354"
"2410514","2410014","Capitol Region Education Council","Museum Academy","440","28","468"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","442","13","455"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","432","23","455"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","66","0","66"
"2419314","2410014","Capitol Region Education Council","River Street School","140","0","140"
"2419714","2410014","Capitol Region Education Council","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","8","0","8"
"2419114","2410014","Capitol Region Education Council","Soundbridge","42","0","42"
"2411114","2410014","Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","7","0","7"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","8","0","8"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","9","0","9"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","8","0","8"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","387","12","399"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","626","28","654"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","435","22","457"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","176","0","176"
"0250111","0250011","Cheshire School District","Chapman School","*","*","344"
"0256111","0250011","Cheshire School District","Cheshire High School","1474","7","1481"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","10","0","10"
"0250211","0250011","Cheshire School District","Darcey School","147","0","147"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","*","719"
"0250611","0250011","Cheshire School District","Doolittle School","468","12","480"
"0250411","0250011","Cheshire School District","Highland School","*","*","751"
"0250911","0250011","Cheshire School District","Humiston Alternative School","18","0","18"
"0250511","0250011","Cheshire School District","Norton School","435","10","445"
"0260111","0260011","Chester School District","Chester Elementary School","*","*","211"
"0270111","0270011","Clinton School District","Abraham Pierson School","304","8","312"
"0275111","0270011","Clinton School District","Jared Eliot School","*","*","452"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","484","38","522"
"0276111","0270011","Clinton School District","The Morgan School","512","21","533"
"0286111","0280011","Colchester School District","Bacon Academy","*","*","835"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","15","0","15"
"0280411","0280011","Colchester School District","Colchester Elementary School","*","*","570"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","522","9","531"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","*","*","600"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","84","0","84"
"0300111","0300011","Columbia School District","Horace W. Porter School","445","0","445"
"2686113","2680013","Common Ground High School District","Common Ground High School","*","*","186"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","696","72","768"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","749","35","784"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","599","37","636"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","489","62","551"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","483","22","505"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","565","8","573"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","744","16","760"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","*","*","623"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","610","30","640"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","643","10","653"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","235","15","250"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","651","6","657"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","*","*","657"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","800","11","811"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","580","8","588"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","748","10","758"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","470","26","496"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","87","0","87"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","57","0","57"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","17","0","17"
"2438014","2430014","Cooperative Educational Services","School Readiness","90","0","90"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","468","0","468"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","*","*","150"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","*","*","92"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","397","0","397"
"0320111","0320011","Coventry School District","Coventry Academy","12","0","12"
"0320211","0320011","Coventry School District","Coventry Grammar School","*","*","348"
"0326111","0320011","Coventry School District","Coventry High School","465","0","465"
"0320311","0320011","Coventry School District","Coventry Smart Start Program","*","*","38"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","*","365"
"0336111","0330011","Cromwell School District","Cromwell High School","*","*","578"
"0335111","0330011","Cromwell School District","Cromwell Middle School","441","6","447"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","441","36","477"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","464","16","480"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","84","10","94"
"0345111","0340011","Danbury School District","Broadview Middle School","922","117","1039"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","141","0","141"
"0346111","0340011","Danbury School District","Danbury High School","2531","410","2941"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","209","223","432"
"0341111","0340011","Danbury School District","Great Plain School","223","131","354"
"0340211","0340011","Danbury School District","Hayestown Avenue School","346","124","470"
"0341711","0340011","Danbury School District","King Street Intermediate School","312","57","369"
"0341311","0340011","Danbury School District","King Street Primary School","289","120","409"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","279","71","350"
"0340611","0340011","Danbury School District","Morris Street School","178","179","357"
"0340811","0340011","Danbury School District","Park Avenue School","304","291","595"
"0341511","0340011","Danbury School District","Pembroke School","304","64","368"
"0345211","0340011","Danbury School District","Rogers Park Middle School","731","207","938"
"0341211","0340011","Danbury School District","Shelter Rock School","367","153","520"
"0341011","0340011","Danbury School District","South Street School","183","195","378"
"0341611","0340011","Danbury School District","Stadley Rough School","324","172","496"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","348","42","390"
"0340311","0340011","Danbury School District","Westside Middle School Academy","482","14","496"
"0356111","0350011","Darien School District","Darien High School","*","*","1356"
"0350211","0350011","Darien School District","Hindley Elementary School","*","*","501"
"0350711","0350011","Darien School District","Holmes Elementary School","*","*","462"
"0355111","0350011","Darien School District","Middlesex Middle School","*","*","1167"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","*","*","458"
"0350511","0350011","Darien School District","Royle Elementary School","*","*","433"
"0350611","0350011","Darien School District","Tokeneke Elementary School","479","0","479"
"0360111","0360011","Deep River School District","Deep River Elementary School","296","8","304"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","0","*"
"0370611","0370011","Derby School District","Bradley School","337","10","347"
"0370511","0370011","Derby School District","Derby Alternative Education Center","*","0","*"
"0376111","0370011","Derby School District","Derby High School","323","21","344"
"0375011","0370011","Derby School District","Derby Middle School","324","8","332"
"0370411","0370011","Derby School District","Irving School","307","21","328"
"0370111","0370011","Derby School District","Little Raiders University","33","0","33"
"0400111","0400011","East Granby School District","Allgrove School","199","7","206"
"0406111","0400011","East Granby School District","East Granby High School","264","0","264"
"0405111","0400011","East Granby School District","East Granby Middle School","196","0","196"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","*","*","202"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","309","0","309"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","321","0","321"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","431","0","431"
"0420311","0420011","East Hampton School District","Center School","*","*","297"
"0426111","0420011","East Hampton School District","East Hampton High School","*","*","515"
"0425111","0420011","East Hampton School District","East Hampton Middle School","*","*","433"
"0420111","0420011","East Hampton School District","Memorial School","630","7","637"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","6","0","6"
"0430911","0430011","East Hartford School District","Anna E. Norris School","260","52","312"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","192","0","192"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","292","64","356"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","266","56","322"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","482","27","509"
"0436211","0430011","East Hartford School District","East Hartford High School","1515","134","1649"
"0435111","0430011","East Hartford School District","East Hartford Middle School","988","86","1074"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","313","31","344"
"0430511","0430011","East Hartford School District","Hockanum School","317","19","336"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","279","19","298"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","393","82","475"
"0431211","0430011","East Hartford School District","Silver Lane School","250","24","274"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","98","12","110"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","195","9","204"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","229","0","229"
"0439011","0430011","East Hartford School District","Woodland School","173","9","182"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","253","11","264"
"0441411","0440011","East Haven School District","D. C. Moore School","184","23","207"
"0440111","0440011","East Haven School District","Deer Run School","281","27","308"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","167","22","189"
"0446111","0440011","East Haven School District","East Haven High School","852","37","889"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","145","27","172"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","539","50","589"
"0440711","0440011","East Haven School District","Momauguin School","173","13","186"
"0441811","0440011","East Haven School District","Overbrook Elementary School","140","26","166"
"0450611","0450011","East Lyme School District","Coastal Connections","19","0","19"
"0456111","0450011","East Lyme School District","East Lyme High School","1030","15","1045"
"0455111","0450011","East Lyme School District","East Lyme Middle School","839","9","848"
"0450111","0450011","East Lyme School District","Flanders School","328","15","343"
"0458011","0450011","East Lyme School District","Integrated Preschool","58","0","58"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","*","*","290"
"0450711","0450011","East Lyme School District","Medically Fragile Program (WAVES)","*","0","*"
"0450211","0450011","East Lyme School District","Niantic Center School","*","*","168"
"0450511","0450011","East Lyme School District","Post High School Transition Program","16","0","16"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","359","22","381"
"0476111","0470011","East Windsor School District","East Windsor High School","*","*","324"
"0475411","0470011","East Windsor School District","East Windsor Middle School","378","10","388"
"0470411","0470011","East Windsor School District","East Windsor Transition Program","*","0","*"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ACT Magnet School (Arts at the Capitol Theater) - Full Time","*","*","129"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","*","129"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","*","*","117"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","*","*","179"
"0390111","0390011","Eastford School District","Eastford Elementary School","134","0","134"
"0465111","0460011","Easton School District","Helen Keller Middle School","*","*","309"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","606","6","612"
"2428014","2420014","Education Connection","Education Connection Headstart","213","0","213"
"2429014","2420014","Education Connection","Education Connection Special Education","14","0","14"
"0480111","0480011","Ellington School District","Center School","*","*","361"
"0480211","0480011","Ellington School District","Crystal Lake School","*","*","201"
"0486111","0480011","Ellington School District","Ellington High School","*","*","771"
"0485111","0480011","Ellington School District","Ellington Middle School","*","*","420"
"0480711","0480011","Ellington School District","Windermere Intermediate School","*","*","446"
"0480611","0480011","Ellington School District","Windermere School","400","30","430"
"0480311","0480011","Ellington School District","Windermere School Program for Alternative Learning K-4","*","0","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","676","27","703"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","106","7","113"
"0490511","0490011","Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","*","0","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","316","7","323"
"0491411","0490011","Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","*","0","*"
"0491611","0490011","Enfield School District","Eli Whitney School","398","13","411"
"0496111","0490011","Enfield School District","Enfield High School","708","7","715"
"0490311","0490011","Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","8","0","8"
"0490211","0490011","Enfield School District","Enfield Street School","257","19","276"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","6","0","6"
"0496211","0490011","Enfield School District","Enrico Fermi High School","*","*","861"
"0490411","0490011","Enfield School District","Hazardville Memorial School","318","26","344"
"0498011","0490011","Enfield School District","Head Start Program","104","0","104"
"0490611","0490011","Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","*","0","*"
"0491811","0490011","Enfield School District","Henry Barnard School","354","10","364"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","1054","11","1065"
"0490811","0490011","Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","6","0","6"
"0491111","0490011","Enfield School District","Nathan Hale School","*","*","222"
"0490711","0490011","Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","*","0","*"
"0491511","0490011","Enfield School District","Prudence Crandall School","406","6","412"
"0491011","0490011","Enfield School District","Stowe - Early Learning Center (SELC)","36","0","36"
"0500111","0500011","Essex School District","Essex Elementary School","407","10","417"
"2726113","2720013","Explorations District","Explorations","92","0","92"
"0510211","0510011","Fairfield School District","Burr Elementary School","404","14","418"
"0510111","0510011","Fairfield School District","Dwight Elementary School","*","*","335"
"0518011","0510011","Fairfield School District","Early Childhood Center","112","0","112"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","1493","15","1508"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","1497","21","1518"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","879","7","886"
"0510411","0510011","Fairfield School District","Holland Hill School","383","22","405"
"0511711","0510011","Fairfield School District","Jennings School","*","*","320"
"0510611","0510011","Fairfield School District","McKinley School","365","61","426"
"0510711","0510011","Fairfield School District","Mill Hill School","*","*","382"
"0511611","0510011","Fairfield School District","North Stratfield School","407","8","415"
"0511811","0510011","Fairfield School District","Osborn Hill School","*","*","489"
"0511211","0510011","Fairfield School District","Riverfield School","*","*","408"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","*","*","802"
"0511311","0510011","Fairfield School District","Sherman School","*","*","479"
"0511411","0510011","Fairfield School District","Stratfield School","428","12","440"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","655","30","685"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","*","*","26"
"0520411","0520011","Farmington School District","East Farms School","409","34","443"
"0520611","0520011","Farmington School District","Farmington Alternative High School","12","0","12"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","123","0","123"
"0526111","0520011","Farmington School District","Farmington High School","1212","8","1220"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","616","7","623"
"0520211","0520011","Farmington School District","Noah Wallace School","339","24","363"
"0520111","0520011","Farmington School District","Union School","316","6","322"
"0520311","0520011","Farmington School District","West District School","283","17","300"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","652","11","663"
"0530111","0530011","Franklin School District","Franklin Elementary School","167","0","167"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","445","14","459"
"0540311","0540011","Glastonbury School District","Eastbury School","256","0","256"
"0540811","0540011","Glastonbury School District","Gideon Welles School","*","*","479"
"0546111","0540011","Glastonbury School District","Glastonbury High School","2018","19","2037"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","391","9","400"
"0540611","0540011","Glastonbury School District","Hopewell School","380","6","386"
"0540111","0540011","Glastonbury School District","LINKS Academy","19","0","19"
"0541411","0540011","Glastonbury School District","LINKS Transition","15","0","15"
