"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_3_level_","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0040411","0040011","Avon School District","Pine Grove School","ELA","N","227","227","100.0","227","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Math","F","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Math","N","228","228","100.0","228","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","N","203","202","99.5","202","12","5.9","21","10.4","45","22.3","124","61.4","169","83.7"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Math","N","203","201","99.0","201","8","4.0","24","11.9","74","36.8","95","47.3","169","84.1"
"0040311","0040011","Avon School District","Roaring Brook School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","N","523","522","99.8","522","24","4.6","62","11.9","177","33.9","259","49.6","436","83.5"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Math","F","*","*","*","*","*","*","*","*","*","*","0","0.0","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Math","N","523","521","99.6","521","*","*","102","19.6","156","29.9","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","N","157","150","95.5","150","15","10.0","30","20.0","53","35.3","52","34.7","105","70.0"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","N","157","150","95.5","150","32","21.3","57","38.0","41","27.3","20","13.3","61","40.7"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","F","68","68","100.0","68","17","25.0","20","29.4","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","N","587","586","99.8","586","44","7.5","117","20.0","273","46.6","152","25.9","425","72.5"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","R","20","20","100.0","20","7","35.0","9","45.0","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","F","68","68","100.0","68","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","N","587","586","99.8","586","106","18.1","183","31.2","152","25.9","145","24.7","297","50.7"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","R","20","20","100.0","19","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","F","21","20","95.2","20","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","N","198","198","100.0","198","17","8.6","47","23.7","57","28.8","77","38.9","134","67.7"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","R","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","F","21","20","95.2","20","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","N","198","198","100.0","198","17","8.6","51","25.8","62","31.3","68","34.3","130","65.7"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","R","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","F","20","20","100.0","20","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","N","255","254","99.6","253","22","8.7","50","19.8","86","34.0","95","37.5","181","71.5"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","R","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","F","20","20","100.0","20","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","N","255","252","98.8","251","32","12.7","65","25.9","87","34.7","67","26.7","154","61.4"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","R","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","N","111","110","99.1","110","8","7.3","14","12.7","37","33.6","51","46.4","88","80.0"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","N","111","109","98.2","109","6","5.5","25","22.9","47","43.1","31","28.4","78","71.6"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","N","215","207","96.3","207","23","11.1","45","21.7","68","32.9","71","34.3","139","67.1"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Math","N","215","207","96.3","207","18","8.7","53","25.6","62","30.0","74","35.7","136","65.7"
"0080111","0080011","Bethany School District","Bethany Community School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","F","23","23","100.0","23","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","N","97","96","99.0","96","12","12.5","16","16.7","29","30.2","39","40.6","68","70.8"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","R","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","F","23","23","100.0","23","7","30.4","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","N","97","96","99.0","96","*","*","*","*","38","39.6","33","34.4","71","74.0"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","R","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","F","100","100","100.0","100","*","*","25","25.0","40","40.0","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","N","504","502","99.6","502","34","6.8","67","13.3","215","42.8","186","37.1","401","79.9"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","R","46","46","100.0","46","*","*","12","26.1","21","45.7","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","F","100","100","100.0","100","31","31.0","36","36.0","25","25.0","8","8.0","33","33.0"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","N","504","501","99.4","501","77","15.4","146","29.1","145","28.9","133","26.5","278","55.5"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","R","46","46","100.0","46","11","23.9","18","39.1","10","21.7","7","15.2","17","37.0"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","F","19","19","*","19","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","N","102","101","99.0","101","6","5.9","22","21.8","23","22.8","50","49.5","73","72.3"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","R","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","F","19","19","*","19","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","N","102","101","99.0","101","7","6.9","20","19.8","34","33.7","40","39.6","74","73.3"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","R","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","F","61","61","100.0","61","18","29.5","*","*","20","32.8","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","N","333","330","99.1","330","37","11.2","55","16.7","114","34.5","124","37.6","238","72.1"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","R","29","29","100.0","29","8","27.6","*","*","12","41.4","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","F","61","60","98.4","60","17","28.3","23","38.3","*","*","*","*","20","33.3"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","N","333","330","99.1","330","20","6.1","110","33.3","103","31.2","97","29.4","200","60.6"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","R","29","29","100.0","29","*","*","14","48.3","*","*","6","20.7","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","F","96","96","100.0","96","21","21.9","*","*","44","45.8","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","N","101","101","100.0","101","19","18.8","27","26.7","38","37.6","17","16.8","55","54.5"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","R","25","25","100.0","25","8","32.0","*","*","*","*","9","36.0","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","F","96","96","100.0","96","35","36.5","40","41.7","*","*","*","*","21","21.9"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","N","101","101","100.0","101","32","31.7","*","*","23","22.8","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","R","25","25","100.0","25","9","36.0","*","*","*","*","7","28.0","*","*"
