"school_code","district_code","district","school","subject","high_needs_f_r_ell_or_swd_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0076111","0070011","Berlin School District","Berlin High School","Math","Y","43","16","37.2","19","44.2","*","*","*","*","8","18.6","457"
"0076111","0070011","Berlin School District","Berlin High School","Math","N","186","*","*","67","36.0","85","45.7","*","*","*","*","541"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Y","45","11","24.4","*","*","20","44.4","*","*","*","*","487"
"0096111","0090011","Bethel School District","Bethel High School","ELA","N","149","*","*","12","8.1","98","65.8","*","*","*","*","560"
"0096111","0090011","Bethel School District","Bethel High School","Math","Y","45","14","31.1","15","33.3","*","*","*","*","16","35.6","474"
"0096111","0090011","Bethel School District","Bethel High School","Math","N","149","*","*","42","28.2","78","52.3","*","*","*","*","548"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","Y","63","23","36.5","*","*","24","38.1","*","*","*","*","449"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","N","74","*","*","18","24.3","34","45.9","*","*","*","*","486"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","Y","63","*","*","36","57.1","*","*","0","0.0","*","*","441"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","N","74","18","24.3","40","54.1","*","*","*","*","*","*","473"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","16","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","16","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","N","57","*","*","*","*","*","*","*","*","*","*","578"
