"school_code","district_code","district","school","no","yes","total"
"0120111","0120011","Bolton School District","Bolton Center School","*","*","583"
"0126111","0120011","Bolton School District","Bolton High School","297","0","297"
"0130111","0130011","Bozrah School District","Fields Memorial School","256","0","256"
"0146111","0140011","Branford School District","Branford High School","1097","12","1109"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1092","21","1113"
"0148011","0140011","Branford School District","Indian Neck School","58","0","58"
"0141611","0140011","Branford School District","John B. Sliney School","347","14","361"
"0141511","0140011","Branford School District","Mary R. Tisko School","416","12","428"
"0141411","0140011","Branford School District","Mary T. Murphy School","395","38","433"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","223","15","238"
"0150111","0150011","Bridgeport School District","Barnum School","525","106","631"
"0156111","0150011","Bridgeport School District","Bassick High School","961","192","1153"
"0150211","0150011","Bridgeport School District","Beardsley School","327","48","375"
"0150311","0150011","Bridgeport School District","Black Rock School","216","41","257"
"0154011","0150011","Bridgeport School District","Blackham School","960","109","1069"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","53"
"0150411","0150011","Bridgeport School District","Bryant School","336","65","401"
"0156211","0150011","Bridgeport School District","Central High School","2057","160","2217"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","675","386","1061"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","322","6","328"
"0150511","0150011","Bridgeport School District","Columbus School","476","206","682"
"0153911","0150011","Bridgeport School District","Cross School","371","9","380"
"0154211","0150011","Bridgeport School District","Curiale School","500","79","579"
"0154111","0150011","Bridgeport School District","Dunbar School","317","7","324"
"0150711","0150011","Bridgeport School District","Edison School","252","14","266"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","736","103","839"
"0151111","0150011","Bridgeport School District","Hall School","267","10","277"
"0151211","0150011","Bridgeport School District","Hallen School","*","*","340"
"0156311","0150011","Bridgeport School District","Harding High School","1240","305","1545"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","432"
"0151311","0150011","Bridgeport School District","Hooker School","449","12","461"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","604","16","620"
"0151911","0150011","Bridgeport School District","Longfellow School","357","65","422"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","605","262","867"
"0152011","0150011","Bridgeport School District","Madison School","504","58","562"
"0159511","0150011","Bridgeport School District","Make The Grade","48","6","54"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","366","85","451"
"0159411","0150011","Bridgeport School District","New Start Program","*","*","46"
"0158011","0150011","Bridgeport School District","Parent-Children Program","*","0","*"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","17"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","512"
