"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0141411","0140011","Branford School District","Mary T. Murphy School","32","68","76","94","71","79","0","0","0","0","0","0","0","0","420"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","0","0","0","0","0","220","251","226","245","0","0","0","0","942"
"0146111","0140011","Branford School District","Branford High School","0","0","0","0","0","0","0","0","0","0","260","251","241","298","1050"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","38","39","38","0","0","0","0","0","0","0","0","0","0","0","115"
"0150111","0150011","Bridgeport School District","Barnum School","32","84","82","79","75","58","51","61","54","50","0","0","0","0","626"
"0150211","0150011","Bridgeport School District","Beardsley School","53","48","52","55","41","49","46","32","0","0","0","0","0","0","376"
"0154011","0150011","Bridgeport School District","Blackham School","36","116","110","115","119","114","111","90","129","187","0","0","0","0","1127"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","*","7","6","6","8","*","7","*","*","*","*","*","0","57"
"0150411","0150011","Bridgeport School District","Bryant School","38","55","49","62","61","55","54","39","0","0","0","0","0","0","413"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","52","120","120","116","142","125","112","126","140","120","0","0","0","0","1173"
"0150511","0150011","Bridgeport School District","Columbus School","54","145","165","109","97","89","72","58","59","38","0","0","0","0","886"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","18","100","100","93","91","84","90","83","97","87","0","0","0","0","843"
"0151211","0150011","Bridgeport School District","Hallen School","18","62","50","57","32","43","44","26","0","0","0","0","0","0","332"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","95","47","46","46","46","46","48","47","44","46","0","0","0","0","511"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","45","63","64","60","58","84","68","71","79","63","0","0","0","0","655"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","18","89","85","98","93","99","88","74","128","132","0","0","0","0","904"
"0151711","0150011","Bridgeport School District","Park City Magnet School","18","56","52","51","62","56","51","46","49","50","0","0","0","0","491"
"0152511","0150011","Bridgeport School District","Read School","36","102","110","90","80","94","88","73","78","88","0","0","0","0","839"
"0152611","0150011","Bridgeport School District","Roosevelt School","36","77","88","65","46","45","60","43","51","53","0","0","0","0","564"
"0154411","0150011","Bridgeport School District","Skane Center","304","0","0","0","0","0","0","0","0","0","0","0","0","0","304"
"0153011","0150011","Bridgeport School District","Waltersville School","18","61","79","51","58","61","45","54","40","47","0","0","0","0","514"
"0150311","0150011","Bridgeport School District","Black Rock School","0","56","63","59","49","33","46","51","31","18","0","0","0","0","406"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","0","41","49","45","43","55","46","40","21","0","0","0","0","0","340"
"0153911","0150011","Bridgeport School District","Cross School","0","54","53","37","43","34","33","40","61","58","0","0","0","0","413"
