"school_code","district_code","district","school","2011_12","total"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","58","58"
"2419314","2410014","Capitol Region Education Council","River Street School","147","147"
"2419114","2410014","Capitol Region Education Council","Soundbridge","97","97"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","684","684"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","441","441"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","182","182"
"0250111","0250011","Cheshire School District","Chapman School","294","294"
"0256111","0250011","Cheshire School District","Cheshire High School","1549","1549"
"0250211","0250011","Cheshire School District","Darcey School","336","336"
"0255111","0250011","Cheshire School District","Dodd Middle School","774","774"
"0250611","0250011","Cheshire School District","Doolittle School","537","537"
"0250411","0250011","Cheshire School District","Highland School","795","795"
"0259011","0250011","Cheshire School District","Humiston School","25","25"
"0250511","0250011","Cheshire School District","Norton School","480","480"
"0260111","0260011","Chester School District","Chester Elementary School","260","260"
"0270111","0270011","Clinton School District","Abraham Pierson School","314","314"
"0275111","0270011","Clinton School District","Jared Eliot School","466","466"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","658","658"
"0276111","0270011","Clinton School District","The Morgan School","565","565"
"0286111","0280011","Colchester School District","Bacon Academy","983","983"
"0280411","0280011","Colchester School District","Colchester Elementary School","680","680"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","654","654"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","700","700"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","99","99"
"0300111","0300011","Columbia School District","Horace W. Porter School","524","524"
"2686113","2680013","Common Ground High School District","Common Ground High School","165","165"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","755","755"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","874","874"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","618","618"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","521","521"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","569","569"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","546","546"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","772","772"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","540","540"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","638","638"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","673","673"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","656","656"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","669","669"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","885","885"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","607","607"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","761","761"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","572","572"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","90","90"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","51","51"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","11","11"
"2438014","2430014","Cooperative Educational Services","School Readiness","51","51"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","463","463"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","147","147"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","106","106"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","452","452"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","23","23"
"0320211","0320011","Coventry School District","Coventry Grammar School","380","380"
"0326111","0320011","Coventry School District","Coventry High School","524","524"
"0320411","0320011","Coventry School District","George Hersey Robertson School","401","401"
"0336111","0330011","Cromwell School District","Cromwell High School","546","546"
"0335111","0330011","Cromwell School District","Cromwell Middle School","500","500"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","480","480"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","456","456"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","91","91"
"0345111","0340011","Danbury School District","Broadview Middle School","1122","1122"
"0346111","0340011","Danbury School District","Danbury High School","2889","2889"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","378","378"
"0341111","0340011","Danbury School District","Great Plain School","314","314"
"0340211","0340011","Danbury School District","Hayestown Avenue School","396","396"
