"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","0","0","0","*","0","0","*","9"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","0","0","0","0","0","0","8","8"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","*","19","116","177","*","10","72","399"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","*","55","126","217","0","*","228","654"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","*","29","189","121","0","*","105","457"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","0","0","*","14","0","*","154","176"
"0250111","0250011","Cheshire School District","Chapman School","*","30","15","11","0","*","279","344"
"0256111","0250011","Cheshire School District","Cheshire High School","*","134","38","51","0","*","1254","1481"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","0","0","*","*","0","0","8","10"
"0250211","0250011","Cheshire School District","Darcey School","0","8","*","16","0","*","113","147"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","75","15","28","0","*","594","719"
"0250611","0250011","Cheshire School District","Doolittle School","*","42","14","35","0","*","378","480"
"0250411","0250011","Cheshire School District","Highland School","*","87","33","33","0","*","592","751"
"0250911","0250011","Cheshire School District","Humiston Alternative School","0","*","0","0","0","0","*","18"
"0250511","0250011","Cheshire School District","Norton School","0","52","11","23","0","9","350","445"
"0260111","0260011","Chester School District","Chester Elementary School","0","*","*","8","0","10","187","211"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","11","*","31","0","*","262","312"
"0275111","0270011","Clinton School District","Jared Eliot School","*","8","*","42","*","*","393","452"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","*","17","*","83","0","10","404","522"
"0276111","0270011","Clinton School District","The Morgan School","*","12","*","60","0","16","441","533"
"0286111","0280011","Colchester School District","Bacon Academy","7","14","25","43","0","7","739","835"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","*","0","0","0","0","0","*","15"
"0280411","0280011","Colchester School District","Colchester Elementary School","0","10","*","38","*","26","488","570"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","*","15","7","33","*","16","458","531"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","*","18","13","19","0","*","536","600"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","0","0","*","*","0","6","75","84"
"0300111","0300011","Columbia School District","Horace W. Porter School","0","*","*","26","0","6","406","445"
"2686113","2680013","Common Ground High School District","Common Ground High School","0","*","65","56","0","*","55","186"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","*","11","203","480","*","7","63","768"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","*","*","237","482","0","16","42","784"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","*","*","35","365","0","16","210","636"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","*","*","196","297","0","11","45","551"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","*","*","50","197","*","21","229","505"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","*","*","54","145","0","28","340","573"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","*","*","38","278","0","22","406","760"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","7","*","*","26","*","26","554","623"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","*","*","20","265","0","26","316","640"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","*","13","78","147","*","19","390","653"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","0","*","58","113","0","*","68","250"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","*","*","30","76","*","45","497","657"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","*","*","7","54","0","10","582","657"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","*","*","98","295","0","40","369","811"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","6","56","95","*","39","389","588"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","*","14","83","207","*","27","421","758"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","*","0","*","167","0","16","303","496"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","0","*","20","13","0","*","50","87"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","0","*","22","15","0","*","13","57"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","0","*","0","*","*","0","11","17"
"2438014","2430014","Cooperative Educational Services","School Readiness","0","0","24","48","0","0","18","90"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","0","27","142","171","*","*","114","468"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","*","*","22","30","0","9","85","150"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","0","*","*","9","0","7","73","92"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","*","*","*","19","0","21","349","397"
"0320111","0320011","Coventry School District","Coventry Academy","0","0","*","*","0","*","8","12"
"0320211","0320011","Coventry School District","Coventry Grammar School","0","*","*","14","0","12","313","348"
"0326111","0320011","Coventry School District","Coventry High School","0","*","*","20","0","15","421","465"
"0320311","0320011","Coventry School District","Coventry Smart Start Program","0","0","*","*","0","*","30","38"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","*","*","25","0","6","326","365"
"0336111","0330011","Cromwell School District","Cromwell High School","*","38","51","42","0","*","439","578"
"0335111","0330011","Cromwell School District","Cromwell Middle School","0","*","36","40","0","*","335","447"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","*","24","38","43","*","15","352","477"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","0","41","42","35","*","*","352","480"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","0","*","18","43","0","*","28","94"
"0345111","0340011","Danbury School District","Broadview Middle School","0","74","75","489","*","*","372","1039"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","0","9","*","84","0","*","37","141"
"0346111","0340011","Danbury School District","Danbury High School","*","196","279","1190","*","63","1209","2941"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","0","22","13","282","0","16","99","432"
"0341111","0340011","Danbury School District","Great Plain School","0","13","8","176","0","14","143","354"
"0340211","0340011","Danbury School District","Hayestown Avenue School","*","60","40","224","*","21","123","470"
