"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_2_level_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0076111","0070011","Berlin School District","Berlin High School","ELA","N","203","*","*","32","15.8","129","63.5","*","*","*","*","535"
"0076111","0070011","Berlin School District","Berlin High School","Math","Y","26","*","*","14","53.8","7","26.9","*","*","*","*","497"
"0076111","0070011","Berlin School District","Berlin High School","Math","N","203","*","*","72","35.5","85","41.9","*","*","*","*","529"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Y","36","*","*","8","22.2","19","52.8","*","*","*","*","509"
"0096111","0090011","Bethel School District","Bethel High School","ELA","N","158","*","*","14","8.9","99","62.7","*","*","*","*","551"
"0096111","0090011","Bethel School District","Bethel High School","Math","Y","36","*","*","11","30.6","12","33.3","*","*","*","*","490"
"0096111","0090011","Bethel School District","Bethel High School","Math","N","158","*","*","46","29.1","79","50.0","*","*","*","*","540"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","Y","56","19","33.9","*","*","23","41.1","*","*","*","*","453"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","N","81","22","27.2","*","*","35","43.2","*","*","*","*","479"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","Y","56","*","*","33","58.9","*","*","0","0.0","*","*","445"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","N","81","22","27.2","43","53.1","*","*","*","*","*","*","467"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","18","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Y","10","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","18","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","N","58","*","*","*","*","*","*","*","*","*","*","574"
"0126111","0120011","Bolton School District","Bolton High School","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Math","N","58","*","*","*","*","*","*","*","*","*","*","539"
"0146111","0140011","Branford School District","Branford High School","ELA","Y","51","*","*","13","25.5","21","41.2","*","*","*","*","478"
"0146111","0140011","Branford School District","Branford High School","ELA","N","181","*","*","35","19.3","86","47.5","*","*","*","*","537"
"0146111","0140011","Branford School District","Branford High School","Math","Y","51","17","33.3","24","47.1","*","*","*","*","10","19.6","460"
"0146111","0140011","Branford School District","Branford High School","Math","N","181","*","*","77","42.5","49","27.1","*","*","*","*","516"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","Y","26","*","*","*","*","*","*","*","*","*","*","508"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","N","8","*","*","*","*","*","*","*","*","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","Y","27","*","*","*","*","*","*","0","0.0","*","*","494"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","N","8","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","130","27","20.8","38","29.2","59","45.4","6","4.6","65","50.0","478"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","Y","130","27","20.8","74","56.9","20","15.4","9","6.9","29","22.3","483"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","Y","119","72","60.5","35","29.4","*","*","*","*","12","10.1","402"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","Y","119","79","66.4","*","*","*","*","0","0.0","*","*","391"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","134","44","32.8","*","*","46","34.3","*","*","*","*","460"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","Y","134","49","36.6","72","53.7","*","*","*","*","13","9.7","441"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","ELA","Y","90","46","51.1","24","26.7","20","22.2","0","0.0","20","22.2","427"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Math","Y","90","67","74.4","*","*","*","*","0","0.0","*","*","385"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0156211","0150011","Bridgeport School District","Central High School","ELA","Y","236","106","44.9","*","*","70","29.7","*","*","*","*","438"
"0156211","0150011","Bridgeport School District","Central High School","Math","Y","234","109","46.6","97","41.5","28","12.0","0","0.0","28","12.0","425"
"0156311","0150011","Bridgeport School District","Harding High School","ELA","Y","175","119","68.0","41","23.4","*","*","*","*","15","8.6","394"
"0156311","0150011","Bridgeport School District","Harding High School","Math","Y","175","135","77.1","*","*","*","*","0","0.0","*","*","376"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","ELA","Y","132","37","28.0","35","26.5","50","37.9","10","7.6","60","45.5","475"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Math","Y","132","45","34.1","62","47.0","*","*","*","*","25","18.9","454"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","Y","96","22","22.9","20","20.8","46","47.9","8","8.3","54","56.3","490"
"0176111","0170011","Bristol School District","Bristol Central High School","ELA","N","166","12","7.2","30","18.1","99","59.6","25","15.1","124","74.7","534"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","Y","96","*","*","49","51.0","23","24.0","*","*","*","*","477"
"0176111","0170011","Bristol School District","Bristol Central High School","Math","N","166","*","*","72","43.4","60","36.1","*","*","*","*","516"
