"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"0256111","0250011","Cheshire School District","Cheshire High School","74","1446","29","1549"
"0250211","0250011","Cheshire School District","Darcey School","0","336","0","336"
"0255111","0250011","Cheshire School District","Dodd Middle School","42","719","13","774"
"0250611","0250011","Cheshire School District","Doolittle School","*","490","*","537"
"0250411","0250011","Cheshire School District","Highland School","44","735","16","795"
"0259011","0250011","Cheshire School District","Humiston School","*","*","0","25"
"0250511","0250011","Cheshire School District","Norton School","25","436","19","480"
"0260111","0260011","Chester School District","Chester Elementary School","24","229","7","260"
"0270111","0270011","Clinton School District","Abraham Pierson School","42","260","12","314"
"0275111","0270011","Clinton School District","Jared Eliot School","51","390","25","466"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","77","551","30","658"
"0276111","0270011","Clinton School District","The Morgan School","66","481","18","565"
"0286111","0280011","Colchester School District","Bacon Academy","96","866","21","983"
"0280411","0280011","Colchester School District","Colchester Elementary School","71","594","15","680"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","78","557","19","654"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","76","607","17","700"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","*","87","*","99"
"0300111","0300011","Columbia School District","Horace W. Porter School","51","463","10","524"
"2686113","2680013","Common Ground High School District","Common Ground High School","75","83","7","165"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","428","247","80","755"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","419","358","97","874"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","318","252","48","618"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","332","154","35","521"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","207","315","47","569"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","118","389","39","546"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","197","517","58","772"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","99","399","42","540"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","163","409","66","638"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","199","425","49","673"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","137","469","50","656"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","97","540","32","669"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","202","592","91","885"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","118","461","28","607"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","282","407","72","761"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","145","389","38","572"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","*","59","*","90"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","18","27","6","51"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","0","11","0","11"
"2438014","2430014","Cooperative Educational Services","School Readiness","18","19","14","51"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","74","341","48","463"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","48","77","22","147"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","19","87","0","106"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","75","365","12","452"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","*","*","0","23"
