"school_code","district_code","district_name","school_name","2013_14","2014_15","2015_16"
90411,90011,"Bethel School District","Anna H. Rockwell School",100.0,100.0,100.0
96111,90011,"Bethel School District","Bethel High School",100.0,100.0,96.7
95111,90011,"Bethel School District","Bethel Middle School",100.0,97.8,97.9
90111,90011,"Bethel School District","Frank A. Berry School",100.0,100.0,100.0
90511,90011,"Bethel School District","Ralph M. T. Johnson School",100.0,100.0,100.0
90211,90011,"Bethel School District","TASK","","",100.0
116111,110011,"Bloomfield School District","Bloomfield High School",100.0,100.0,100.0
110711,110011,"Bloomfield School District","Carmen Arace Intermediate School",100.0,100.0,100.0
115211,110011,"Bloomfield School District","Carmen Arace Middle School",96.1,95.6,94.9
116311,110011,"Bloomfield School District","Global Experience Magnet School",86.9,100.0,100.0
110611,110011,"Bloomfield School District","Laurel School",100.0,100.0,100.0
116411,110011,"Bloomfield School District","Learning Academy at Bloomfield",100.0,"",""
110511,110011,"Bloomfield School District","Metacomet School",100.0,100.0,100.0
119911,110011,"Bloomfield School District","Other",100.0,"",""
110811,110011,"Bloomfield School District","Wintonbury Early Childhood Magnet School",94.3,100.0,92.3
120111,120011,"Bolton School District","Bolton Center School",100.0,100.0,100.0
126111,120011,"Bolton School District","Bolton High School",100.0,100.0,100.0
2950113,2950013,"Booker T. Washington Academy District","Booker T. Washington Academy","",66.7,70.0
130111,130011,"Bozrah School District","Fields Memorial School",100.0,100.0,100.0
146111,140011,"Branford School District","Branford High School",100.0,100.0,98.6
140211,140011,"Branford School District","Branford High School Horizons Program","",100.0,100.0
145111,140011,"Branford School District","Francis Walsh Intermediate School",100.0,100.0,100.0
148011,140011,"Branford School District","Indian Neck School","",100.0,100.0
141611,140011,"Branford School District","John B. Sliney School",100.0,100.0,100.0
141511,140011,"Branford School District","Mary R. Tisko School",98.2,100.0,100.0
141411,140011,"Branford School District","Mary T. Murphy School",100.0,100.0,100.0
2900113,2900013,"Brass City Charter School District","Brass City Charter School",81.8,100.0,97.4
2850113,2850013,"Bridgeport Achievement First District","Achievement First Bridgeport Academy",62.9,59.5,60.5
159911,150011,"Bridgeport School District","Other",100.0,"",""
150811,150011,"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",100.0,100.0,93.1
150111,150011,"Bridgeport School District","Barnum School",100.0,100.0,94.6
156111,150011,"Bridgeport School District","Bassick High School",100.0,93.8,98.3
150211,150011,"Bridgeport School District","Beardsley School",100.0,100.0,100.0
150611,150011,"Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",100.0,95.6,100.0
150311,150011,"Bridgeport School District","Black Rock School",100.0,100.0,98.7
154011,150011,"Bridgeport School District","Blackham School",100.0,100.0,100.0
159011,150011,"Bridgeport School District","Bridgeport Learning Center",100.0,100.0,100.0
151611,150011,"Bridgeport School District","Bridgeport Military Academy",100.0,100.0,100.0
150411,150011,"Bridgeport School District","Bryant School",100.0,100.0,100.0
152711,150011,"Bridgeport School District","Career and Craftsmanship","","",100.0
156211,150011,"Bridgeport School District","Central High School",100.0,100.0,100.0
151411,150011,"Bridgeport School District","Cesar Batalla School",100.0,98.7,96.0
152111,150011,"Bridgeport School District","Classical Studies Academy",100.0,100.0,100.0
150511,150011,"Bridgeport School District","Columbus School",100.0,99.1,100.0
153911,150011,"Bridgeport School District","Cross School",98.7,100.0,100.0
154211,150011,"Bridgeport School District","Curiale School",100.0,100.0,100.0
154111,150011,"Bridgeport School District","Dunbar School",100.0,91.2,100.0
150711,150011,"Bridgeport School District","Edison School",100.0,100.0,100.0
153211,150011,"Bridgeport School District","Geraldine Johnson School",100.0,96.3,100.0
151111,150011,"Bridgeport School District","Hall School",100.0,100.0,100.0
151211,150011,"Bridgeport School District","Hallen School",100.0,100.0,100.0
156311,150011,"Bridgeport School District","Harding High School",98.3,97.0,100.0
154511,150011,"Bridgeport School District","High Horizons Magnet School",100.0,100.0,100.0
151311,150011,"Bridgeport School District","Hooker School",100.0,100.0,92.3
151511,150011,"Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",100.0,100.0,100.0
153711,150011,"Bridgeport School District","Interdistrict Discovery Magnet School",91.9,100.0,100.0
152211,150011,"Bridgeport School District","Jettie S. Tisdale School",100.0,100.0,100.0
151011,150011,"Bridgeport School District","Luis Munoz Marin School",100.0,95.9,93.5
152011,150011,"Bridgeport School District","Madison School",100.0,100.0,100.0
154611,150011,"Bridgeport School District","Multicultural Magnet School",100.0,100.0,100.0
159211,150011,"Bridgeport School District","Park City Academy",100.0,"",""
151711,150011,"Bridgeport School District","Park City Magnet School",100.0,100.0,100.0
151811,150011,"Bridgeport School District","Pride Academy",100.0,"",""
152511,150011,"Bridgeport School District","Read School",100.0,100.0,100.0
152611,150011,"Bridgeport School District","Roosevelt School",100.0,98.7,100.0
154411,150011,"Bridgeport School District","Skane Center",100.0,100.0,100.0
153011,150011,"Bridgeport School District","Waltersville School",98.8,100.0,100.0
153611,150011,"Bridgeport School District","Winthrop School",100.0,100.0,100.0
179011,170011,"Bristol School District","Alternative Special Education Program (ASEP)",100.0,100.0,100.0
176111,170011,"Bristol School District","Bristol Central High School",100.0,100.0,100.0
170411,170011,"Bristol School District","Bristol Early Childhood Center-BECC","",100.0,100.0
176211,170011,"Bristol School District","Bristol Eastern High School",100.0,100.0,100.0
173311,170011,"Bristol School District","Bristol Preparatory Academy","",100.0,100.0
175111,170011,"Bristol School District","Chippens Hill Middle School",98.0,100.0,100.0
171011,170011,"Bristol School District","Chippens Hill Middle School Functional Program","","",100.0
179211,170011,"Bristol School District","Community/Vocational Program",100.0,100.0,100.0
170311,170011,"Bristol School District","Edgewood School",100.0,100.0,100.0
171411,170011,"Bristol School District","Ellen P. Hubbell School",93.5,100.0,100.0
170511,170011,"Bristol School District","Greene-Hills School",100.0,100.0,100.0
171911,170011,"Bristol School District","Ivy Drive School",100.0,100.0,100.0
171711,170011,"Bristol School District","Mountain View School",100.0,100.0,100.0
175211,170011,"Bristol School District","Northeast Middle School",100.0,100.0,100.0
173011,170011,"Bristol School District","South Side Extended Resource","","",100.0
171111,170011,"Bristol School District","South Side School",96.5,100.0,100.0
171211,170011,"Bristol School District","Stafford School",98.2,100.0,100.0
172011,170011,"Bristol School District","West Bristol School",100.0,100.0,100.0
186111,180011,"Brookfield School District","Brookfield High School",100.0,98.3,100.0
180311,180011,"Brookfield School District","Center Elementary School",100.0,100.0,100.0
180411,180011,"Brookfield School District","Huckleberry Hill Elementary School",100.0,100.0,100.0
185311,180011,"Brookfield School District","Whisconier Middle School",100.0,97.9,100.0
190111,190011,"Brooklyn School District","Brooklyn Elementary School",100.0,100.0,100.0
195111,190011,"Brooklyn School District","Brooklyn Middle School",100.0,99.0,100.0
210111,210011,"Canaan School District","Lee H. Kellogg School",92.9,100.0,100.0
220211,220011,"Canterbury School District","Canterbury Elementary School",100.0,100.0,100.0
225111,220011,"Canterbury School District","Dr. Helen Baldwin Middle School",100.0,100.0,93.2
230411,230011,"Canton School District","Canton Academy","",100.0,100.0
236111,230011,"Canton School District","Canton High School",100.0,100.0,100.0
230311,230011,"Canton School District","Canton Intermediate School",92.8,100.0,100.0
235111,230011,"Canton School District","Canton Middle School",100.0,100.0,100.0
230211,230011,"Canton School District","Cherry Brook Primary School",100.0,100.0,100.0
2970113,2970013,"Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","","",60.0
2415114,2410014,"Capitol Region Education Council","Academy of Aerospace and Engineering",100.0,100.0,99.5
2410714,2410014,"Capitol Region Education Council","Academy of Aerospace and Engineering Elementary",100.0,100.0,100.0
2416514,2410014,"Capitol Region Education Council","Academy of Science and Innovation",100.0,100.0,100.0
2410614,2410014,"Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School",100.0,100.0,100.0
2418114,2410014,"Capitol Region Education Council","Discovery Academy",84.6,100.0,100.0
2419214,2410014,"Capitol Region Education Council","Farmington Valley Regional Diagnostic Center",100.0,100.0,100.0
2410114,2410014,"Capitol Region Education Council","Glastonbury/East Hartford Magnet School",100.0,100.0,100.0
2416414,2410014,"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",96.2,100.0,100.0
2415314,2410014,"Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle",97.5,100.0,100.0
2419414,2410014,"Capitol Region Education Council","Integrated Program Models",100.0,100.0,100.0
2410414,2410014,"Capitol Region Education Council","International Magnet School for Global Citizenship",100.0,100.0,100.0
2419014,2410014,"Capitol Region Education Council","John J. Allison Polaris Center",100.0,100.0,100.0
2419614,2410014,"Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative",100.0,"",""
2416114,2410014,"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",98.0,95.2,100.0
2413114,2410014,"Capitol Region Education Council","Montessori Magnet School",100.0,98.3,89.9
2410514,2410014,"Capitol Region Education Council","Museum Academy",100.0,100.0,100.0
2415214,2410014,"Capitol Region Education Council","Public Safety Academy",100.0,97.9,100.0
2410314,2410014,"Capitol Region Education Council","Reggio Magnet School of the Arts",92.7,100.0,100.0
2419514,2410014,"Capitol Region Education Council","River Street Early Learning Center (Site 2)",100.0,100.0,""
2419314,2410014,"Capitol Region Education Council","River Street School",100.0,100.0,100.0
