"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","*","0","*","286","295"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","0","0","0","0","*","*","22"
"0076111","0070011","Berlin School District","Berlin High School","*","31","25","65","*","19","775","918"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","24","17","65","0","14","582","702"
"0070411","0070011","Berlin School District","Emma Hart Willard School","0","20","10","44","0","16","414","504"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","8","*","46","0","21","464","547"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","*","7","36","0","*","176","225"
"0080111","0080011","Bethany School District","Bethany Community School","*","38","10","11","0","*","344","407"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","20","6","76","0","13","298","413"
"0096111","0090011","Bethel School District","Bethel High School","0","60","20","115","0","21","673","889"
"0095111","0090011","Bethel School District","Bethel Middle School","0","51","*","114","*","21","496","695"
"0090111","0090011","Bethel School District","Frank A. Berry School","0","32","12","62","0","18","422","546"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","27","10","65","*","*","276","386"
"0116111","0110011","Bloomfield School District","Bloomfield High School","*","*","476","41","*","*","13","538"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","8","176","20","0","*","*","208"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","*","177","31","0","*","*","214"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","0","*","107","34","0","*","69","220"
"0110611","0110011","Bloomfield School District","Laurel School","*","*","296","27","0","*","15","345"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","10","*","0","0","*","13"
"0110511","0110011","Bloomfield School District","Metacomet School","0","*","193","26","*","14","12","248"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","*","*","119","45","0","20","127","321"
"0120111","0120011","Bolton School District","Bolton Center School","0","15","44","33","0","12","416","520"
"0126111","0120011","Bolton School District","Bolton High School","0","*","22","10","0","*","274","318"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","0","0","78","10","0","*","*","91"
"0130111","0130011","Bozrah School District","Fields Memorial School","0","*","*","10","0","0","186","209"
"0146111","0140011","Branford School District","Branford High School","*","72","30","78","0","*","759","961"
"0140211","0140011","Branford School District","Branford High School Horizons Program","0","0","0","0","0","*","*","9"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","72","35","73","0","15","721","916"
"0148011","0140011","Branford School District","Indian Neck School","0","*","0","*","0","0","34","39"
"0141611","0140011","Branford School District","John B. Sliney School","*","12","*","49","0","12","273","355"
"0141511","0140011","Branford School District","Mary R. Tisko School","0","18","*","26","0","*","336","388"
"0141411","0140011","Branford School District","Mary T. Murphy School","*","61","14","38","0","*","291","413"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","0","*","47","67","0","18","*","150"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","*","8","544","402","0","*","13","977"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","*","15","119","97","0","*","120","356"
"0150111","0150011","Bridgeport School District","Barnum School","0","*","195","408","0","*","25","635"
"0156111","0150011","Bridgeport School District","Bassick High School","0","35","451","456","*","*","56","1008"
"0150211","0150011","Bridgeport School District","Beardsley School","*","7","142","204","*","*","13","370"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","*","*","106","134","0","0","96","348"
"0150311","0150011","Bridgeport School District","Black Rock School","0","*","74","206","0","*","123","413"
"0154011","0150011","Bridgeport School District","Blackham School","*","49","345","532","0","*","176","1114"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","0","34","*","0","0","*","65"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","*","*","83","107","0","*","37","233"
"0150411","0150011","Bridgeport School District","Bryant School","*","31","122","218","0","*","29","406"
"0156211","0150011","Bridgeport School District","Central High School","7","74","733","663","0","7","189","1673"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","*","41","249","843","*","*","63","1204"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","9","233","97","*","*","25","371"
"0150511","0150011","Bridgeport School District","Columbus School","*","*","306","493","0","11","48","861"
"0153911","0150011","Bridgeport School District","Cross School","*","6","191","174","0","*","13","386"
"0154211","0150011","Bridgeport School District","Curiale School","*","29","316","371","*","6","42","769"
"0154111","0150011","Bridgeport School District","Dunbar School","0","0","205","156","0","*","*","377"
"0150711","0150011","Bridgeport School District","Edison School","0","*","136","99","0","*","26","274"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","*","28","235","473","0","*","70","824"
"0151111","0150011","Bridgeport School District","Hall School","*","0","124","98","0","0","*","262"
"0151211","0150011","Bridgeport School District","Hallen School","0","*","158","113","*","*","24","302"
"0156311","0150011","Bridgeport School District","Harding High School","*","8","445","589","*","0","89","1134"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","213","131","0","6","59","414"
"0151311","0150011","Bridgeport School District","Hooker School","*","*","126","187","*","*","46","371"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","0","14","143","110","*","*","94","365"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","7","27","153","153","*","*","176","518"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","*","12","332","302","*","*","28","679"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","0","*","243","619","*","*","50","920"
"0152011","0150011","Bridgeport School District","Madison School","*","13","158","274","*","11","75","533"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","9","11","77","281","*","*","76","457"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","40","205","165","*","*","50","465"
"0152511","0150011","Bridgeport School District","Read School","*","12","345","422","*","*","96","884"
"0152611","0150011","Bridgeport School District","Roosevelt School","*","13","209","305","*","*","30","562"
"0154411","0150011","Bridgeport School District","Skane Center","*","16","107","185","0","*","77","387"
"0153011","0150011","Bridgeport School District","Waltersville School","*","*","140","336","0","0","10","491"
"0153611","0150011","Bridgeport School District","Winthrop School","*","34","206","221","0","*","183","652"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","*","7","0","*","*","17"
"0176111","0170011","Bristol School District","Bristol Central High School","*","36","93","248","*","35","766","1180"
"0170411","0170011","Bristol School District","Bristol Early Childhood Center-BECC","0","0","*","13","0","*","55","74"
"0176211","0170011","Bristol School District","Bristol Eastern High School","*","33","95","200","0","*","901","1247"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","0","0","7","14","0","0","23","44"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","0","20","61","162","0","18","499","760"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","0","0","0","*","0","0","*","8"
"0173411","0170011","Bristol School District","Chms Goal","0","0","*","*","0","0","*","7"
"0179211","0170011","Bristol School District","Community/Vocational Program","0","0","0","*","0","0","*","11"
"0170311","0170011","Bristol School District","Edgewood School","0","10","19","98","0","6","207","340"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","*","*","24","124","0","27","235","422"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","0","0","0","0","0","0","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","0","45","57","233","0","35","522","892"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","0","0","0","*","0","*","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","0","0","*","*","0","0","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","0","0","0","*","0","0","*","6"
"0171911","0170011","Bristol School District","Ivy Drive School","0","10","27","68","0","13","278","396"
"0171711","0170011","Bristol School District","Mountain View School","0","20","14","64","0","21","263","382"
"0172511","0170011","Bristol School District","Mt. View GOAL","0","0","0","*","0","*","0","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","0","0","0","0","0","0","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","0","0","0","0","0","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","0","10","17","73","0","13","317","430"
"0172911","0170011","Bristol School District","PreK Autism","0","*","0","*","0","0","*","*"
"0173011","0170011","Bristol School District","South Side Extended Resource","0","0","0","*","0","0","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","0","0","0","*","0","*","*","6"
"0171111","0170011","Bristol School District","South Side School","*","6","36","145","0","*","335","529"
"0173211","0170011","Bristol School District","Stafford Autism","0","0","*","*","0","0","6","11"
"0171211","0170011","Bristol School District","Stafford School","0","26","38","95","*","*","274","443"
"0172011","0170011","Bristol School District","West Bristol School","*","*","59","273","0","43","515","919"
"0186111","0180011","Brookfield School District","Brookfield High School","*","51","*","48","0","0","774","895"
"0180311","0180011","Brookfield School District","Center Elementary School","*","25","7","28","0","*","269","334"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","*","49","12","40","*","*","492","599"
"0185311","0180011","Brookfield School District","Whisconier Middle School","*","69","*","70","0","0","732","882"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","*","14","8","51","*","20","440","536"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","0","*","*","14","0","17","335","373"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","0","0","0","*","0","*","64","78"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","0","*","*","13","0","14","212","243"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","*","0","*","7","0","11","208","228"
"0230411","0230011","Canton School District","Canton Academy","0","*","0","0","0","0","*","*"
"0236111","0230011","Canton School District","Canton High School","0","11","15","26","0","12","421","485"
"0230311","0230011","Canton School District","Canton Intermediate School","*","11","15","26","0","*","356","410"
"0235111","0230011","Canton School District","Canton Middle School","0","*","12","18","0","*","230","272"
"0230211","0230011","Canton School District","Cherry Brook Primary School","*","12","45","26","0","*","363","449"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","0","64","165","177","0","27","203","636"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","*","42","67","81","0","*","95","297"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","*","31","162","208","*","13","112","529"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","0","9","89","111","0","19","85","313"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","*","31","65","110","*","21","127","356"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","0","0","0","*","0","0","*","20"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","0","45","93","111","0","18","168","435"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","*","*","107","156","*","21","170","457"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","*","0","86","124","*","8","107","328"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","0","0","0","0","0","0","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","*","66","116","142","0","*","125","465"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","0","0","19","29","0","0","9","57"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","0","0","*","*","0","0","9","15"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","*","34","364","128","*","27","176","736"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","0","11","60","171","0","14","101","357"
"2410514","2410014","Capitol Region Education Council","Museum Academy","*","26","166","126","0","*","120","459"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","8","6","123","219","0","21","142","519"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","*","*","157","118","0","17","166","468"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","0","*","*","12","0","0","45","64"
"2419314","2410014","Capitol Region Education Council","River Street School","0","*","22","31","0","*","90","151"
"2419114","2410014","Capitol Region Education Council","Soundbridge","0","*","0","*","*","0","40","46"
"2411114","2410014","Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","0","*","0","*","0","0","*","8"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","0","*","*","*","0","0","*","9"
"2410814","2410014","Capitol Region Education Council","Soundbridge @ Samuel B Webb Elementary School","0","0","0","0","0","0","*","*"
"2410914","2410014","Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","0","0","0","*","0","0","0","*"
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","0","0","*","*","0","0","*","9"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","0","0","0","0","0","0","12","12"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","*","17","89","135","*","*","54","303"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","*","47","129","209","0","*","247","664"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","0","19","180","111","0","10","126","446"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","0","0","*","13","0","*","154","178"
"0250111","0250011","Cheshire School District","Chapman School","*","32","15","11","0","*","285","350"
"0256111","0250011","Cheshire School District","Cheshire High School","*","135","44","42","0","*","1289","1512"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","0","*","0","0","0","0","*","8"
"0250211","0250011","Cheshire School District","Darcey School","0","7","7","20","0","6","130","170"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","74","11","29","0","*","635","755"
"0250611","0250011","Cheshire School District","Doolittle School","*","54","19","33","0","*","388","502"
"0250411","0250011","Cheshire School District","Highland School","*","87","29","27","0","*","618","768"
"0250911","0250011","Cheshire School District","Humiston Alternative School","0","0","*","*","0","0","17","19"
"0250511","0250011","Cheshire School District","Norton School","*","45","*","25","0","9","357","447"
"0260111","0260011","Chester School District","Chester Elementary School","0","*","*","9","0","7","197","219"
"0270111","0270011","Clinton School District","Abraham Pierson School","0","10","*","32","0","*","265","315"
"0275111","0270011","Clinton School District","Jared Eliot School","*","11","*","40","*","*","403","461"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","*","15","*","80","0","8","444","556"
"0276111","0270011","Clinton School District","The Morgan School","*","10","*","52","0","17","465","550"
"0286111","0280011","Colchester School District","Bacon Academy","9","18","26","51","0","9","773","886"
"0280411","0280011","Colchester School District","Colchester Elementary School","0","7","*","34","*","20","473","542"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","*","16","9","27","*","14","514","585"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","7","12","14","19","0","8","566","626"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","0","0","*","*","0","6","82","91"
"0300111","0300011","Columbia School District","Horace W. Porter School","0","*","6","27","0","*","414","453"
"2686113","2680013","Common Ground High School District","Common Ground High School","0","*","58","64","0","*","50","180"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","*","*","228","475","0","10","82","807"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","*","*","272","461","0","9","50","801"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","*","*","37","348","0","16","217","628"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","*","*","191","324","0","10","39","566"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","*","*","52","192","0","27","234","513"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","*","*","53","142","*","20","347","568"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","*","*","38","270","0","22","441","785"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","*","*","*","34","0","32","542","619"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","*","*","22","248","0","23","341","649"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","*","16","87","134","*","14","397","654"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","0","*","44","55","0","*","38","145"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","*","*","29","91","*","41","504","673"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","*","*","*","52","0","8","590","660"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","*","*","100","292","0","37","389","826"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","*","61","101","0","34","427","630"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","*","10","90","183","*","29","424","741"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","*","0","*","167","0","17","331","525"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","0","*","19","10","0","*","55","90"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","0","*","22","15","0","*","9","50"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","0","*","0","*","0","0","6","11"
"2438014","2430014","Cooperative Educational Services","School Readiness","0","0","*","49","0","*","19","85"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","0","22","150","167","*","*","109","459"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","*","*","25","34","0","10","81","154"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","0","*","*","9","0","6","73","91"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","*","*","*","16","0","17","345","385"
"0320111","0320011","Coventry School District","Coventry Academy","0","0","*","*","0","*","7","10"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","0","0","0","0","0","0","27","27"
"0320211","0320011","Coventry School District","Coventry Grammar School","0","*","*","15","0","8","330","363"
"0326111","0320011","Coventry School District","Coventry High School","0","*","*","28","0","21","434","490"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","*","*","19","0","9","330","368"
"0336111","0330011","Cromwell School District","Cromwell High School","*","35","44","38","0","*","444","566"
"0335111","0330011","Cromwell School District","Cromwell Middle School","*","27","44","42","0","*","335","455"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","*","22","45","44","*","9","340","466"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","0","40","*","39","0","*","360","481"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","0","*","19","43","0","*","31","98"
"0345111","0340011","Danbury School District","Broadview Middle School","0","72","75","458","*","*","447","1083"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","*","9","7","63","0","*","44","130"
"0346111","0340011","Danbury School District","Danbury High School","0","203","282","1120","*","*","1224","2885"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","0","22","21","266","0","20","100","429"
"0341111","0340011","Danbury School District","Great Plain School","0","14","10","171","0","12","148","355"
"0340211","0340011","Danbury School District","Hayestown Avenue School","0","63","39","209","*","*","120","458"
"0341711","0340011","Danbury School District","King Street Intermediate School","0","23","25","127","0","13","178","366"
"0341311","0340011","Danbury School District","King Street Primary School","*","17","21","176","0","*","163","390"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","0","26","32","104","*","*","155","334"
"0340611","0340011","Danbury School District","Morris Street School","0","12","22","258","0","12","67","371"
"0340811","0340011","Danbury School District","Park Avenue School","0","25","34","345","0","19","140","563"
"0341511","0340011","Danbury School District","Pembroke School","*","35","25","140","0","*","159","375"
"0345211","0340011","Danbury School District","Rogers Park Middle School","*","46","76","511","0","*","284","932"
"0341211","0340011","Danbury School District","Shelter Rock School","0","44","30","212","0","11","200","497"
"0341011","0340011","Danbury School District","South Street School","0","14","34","238","0","13","70","369"
"0341611","0340011","Danbury School District","Stadley Rough School","*","28","23","193","0","*","218","472"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","*","43","30","112","0","*","222","413"
"0340311","0340011","Danbury School District","Westside Middle School Academy","*","47","30","100","0","*","208","400"
"0356111","0350011","Darien School District","Darien High School","*","44","8","58","0","*","1250","1365"
"0350211","0350011","Darien School District","Hindley Elementary School","0","29","*","16","0","*","504","556"
"0350711","0350011","Darien School District","Holmes Elementary School","0","18","*","13","0","*","433","473"
"0355111","0350011","Darien School District","Middlesex Middle School","0","51","*","45","0","*","1016","1125"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","*","17","*","26","0","11","391","449"
"0350511","0350011","Darien School District","Royle Elementary School","*","20","*","26","0","*","381","442"
"0350611","0350011","Darien School District","Tokeneke Elementary School","0","14","*","17","*","14","445","493"
"0360111","0360011","Deep River School District","Deep River Elementary School","0","*","*","21","0","10","276","312"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","0","0","*","*","0","0","*","6"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","0","0","*","0","0","0","0","*"
"0370611","0370011","Derby School District","Bradley School","0","*","38","52","*","17","245","365"
"0376111","0370011","Derby School District","Derby High School","0","10","64","92","*","*","198","372"
"0375011","0370011","Derby School District","Derby Middle School","0","*","56","96","*","11","170","339"
"0370411","0370011","Derby School District","Irving School","0","*","64","143","*","14","139","370"
"0400111","0400011","East Granby School District","Allgrove School","0","24","*","22","0","*","149","222"
"0406111","0400011","East Granby School District","East Granby High School","0","9","15","8","0","6","219","257"
"0405111","0400011","East Granby School District","East Granby Middle School","*","10","19","13","0","*","163","211"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","*","9","10","10","0","*","149","185"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","0","*","*","19","0","*","290","319"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","0","*","*","7","0","*","336","351"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","0","*","*","*","0","*","447","455"
"0420311","0420011","East Hampton School District","Center School","0","*","*","14","0","6","259","283"
"0426111","0420011","East Hampton School District","East Hampton High School","0","12","6","25","*","*","454","502"
"0425111","0420011","East Hampton School District","East Hampton Middle School","*","12","*","18","0","*","393","432"
"0420111","0420011","East Hampton School District","Memorial School","0","*","*","27","0","18","553","605"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","0","0","0","0","0","0","8","8"
"0430911","0430011","East Hartford School District","Anna E. Norris School","0","*","86","159","0","*","21","284"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","*","*","66","36","0","0","67","203"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","0","*","132","170","0","*","42","364"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","*","14","149","179","*","0","29","375"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","*","16","168","209","0","*","155","557"
"0436211","0430011","East Hartford School District","East Hartford High School","*","80","640","684","0","*","265","1674"
"0435111","0430011","East Hartford School District","East Hartford Middle School","*","77","411","501","0","*","165","1158"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","*","37","101","121","0","*","75","342"
"0430511","0430011","East Hartford School District","Hockanum School","0","*","96","163","0","*","62","337"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","0","*","95","96","0","*","92","298"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","*","19","184","237","0","*","45","494"
"0431211","0430011","East Hartford School District","Silver Lane School","*","0","117","138","0","*","26","284"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","0","*","46","56","0","0","*","119"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","0","*","56","66","0","0","*","146"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","0","*","55","126","0","*","32","229"
"0439011","0430011","East Hartford School District","Woodland School","0","0","52","74","0","0","44","170"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","0","16","*","35","0","*","205","265"
"0441411","0440011","East Haven School District","D. C. Moore School","*","11","*","46","0","*","143","208"
"0440111","0440011","East Haven School District","Deer Run School","0","21","7","52","0","9","223","312"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","*","8","7","36","0","*","124","178"
"0446111","0440011","East Haven School District","East Haven High School","*","27","29","152","*","6","664","880"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","0","8","*","42","0","*","117","178"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","0","32","26","148","0","12","364","582"
"0440711","0440011","East Haven School District","Momauguin School","0","*","12","40","0","*","86","147"
"0441811","0440011","East Haven School District","Overbrook Elementary School","*","*","9","68","0","6","96","183"
"0450511","0450011","East Lyme School District","Abilities in Motion (AIM) Program","0","0","0","0","0","0","16","16"
"0450611","0450011","East Lyme School District","Coastal Connections","0","0","0","*","0","0","*","16"
"0456111","0450011","East Lyme School District","East Lyme High School","*","97","23","35","0","*","885","1053"
"0455111","0450011","East Lyme School District","East Lyme Middle School","*","90","21","51","*","12","684","861"
"0450111","0450011","East Lyme School District","Flanders School","0","38","*","20","0","*","278","348"
"0458011","0450011","East Lyme School District","Integrated Preschool","0","*","0","*","0","0","42","46"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","*","31","6","24","*","*","245","314"
"0450211","0450011","East Lyme School District","Niantic Center School","0","*","*","10","0","9","149","179"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","*","43","44","86","*","22","283","480"
"0476111","0470011","East Windsor School District","East Windsor High School","0","10","46","47","0","16","213","332"
"0475411","0470011","East Windsor School District","East Windsor Middle School","*","*","41","40","0","16","205","313"
