"school_code","district_code","district","school","subject","ell","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0356111","0350011","Darien School District","Darien High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0356111","0350011","Darien School District","Darien High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0356111","0350011","Darien School District","Darien High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0376111","0370011","Derby School District","Derby High School","ELA","N","80","*","*","*","*","*","*","*","*","*","*","453"
"0376111","0370011","Derby School District","Derby High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0376111","0370011","Derby School District","Derby High School","Math","N","80","*","*","*","*","*","*","0","0.0","*","*","436"
"0376111","0370011","Derby School District","Derby High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0406111","0400011","East Granby School District","East Granby High School","ELA","N","61","7","11.5","8","13.1","28","45.9","18","29.5","46","75.4","555"
"0406111","0400011","East Granby School District","East Granby High School","Math","N","61","*","*","23","37.7","22","36.1","*","*","*","*","518"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","ELA","N","78","10","12.8","8","10.3","47","60.3","13","16.7","60","76.9","532"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","Math","N","78","20","25.6","37","47.4","*","*","*","*","21","26.9","481"
"0426111","0420011","East Hampton School District","East Hampton High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0426111","0420011","East Hampton School District","East Hampton High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0426111","0420011","East Hampton School District","East Hampton High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0426111","0420011","East Hampton School District","East Hampton High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0420111","0420011","East Hampton School District","Memorial School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0420111","0420011","East Hampton School District","Memorial School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","ELA","N","50","*","*","*","*","32","64.0","10","20.0","42","84.0","551"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","Math","N","50","*","*","28","56.0","13","26.0","*","*","*","*","522"
"0436211","0430011","East Hartford School District","East Hartford High School","ELA","N","342","99","28.9","92","26.9","*","*","*","*","*","*","469"
"0436211","0430011","East Hartford School District","East Hartford High School","ELA","Y","24","17","70.8","*","*","*","*","0","0.0","*","*","387"
"0436211","0430011","East Hartford School District","East Hartford High School","Math","N","342","112","32.7","159","46.5","*","*","*","*","*","*","458"
"0436211","0430011","East Hartford School District","East Hartford High School","Math","Y","24","17","70.8","*","*","*","*","0","0.0","*","*","385"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","ELA","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","Math","N","*","*","*","*","*","0","0.0","0","0.0","0","0.0","*"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0439011","0430011","East Hartford School District","Woodland School","ELA","N","6","*","*","*","*","*","*","*","*","*","*","*"
"0439011","0430011","East Hartford School District","Woodland School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0446111","0440011","East Haven School District","East Haven High School","ELA","N","206","*","*","*","*","*","*","*","*","*","*","485"
"0446111","0440011","East Haven School District","East Haven High School","ELA","Y","8","*","*","*","*","*","*","*","*","*","*","*"
"0446111","0440011","East Haven School District","East Haven High School","Math","N","206","*","*","*","*","*","*","*","*","*","*","453"
"0446111","0440011","East Haven School District","East Haven High School","Math","Y","8","*","*","*","*","*","*","*","*","*","*","*"
"0450611","0450011","East Lyme School District","Coastal Connections","ELA","N","6","*","*","*","*","*","*","*","*","*","*","*"
"0450611","0450011","East Lyme School District","Coastal Connections","Math","N","6","*","*","*","*","*","*","*","*","*","*","*"
"0456111","0450011","East Lyme School District","East Lyme High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0456111","0450011","East Lyme School District","East Lyme High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0456111","0450011","East Lyme School District","East Lyme High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0456111","0450011","East Lyme School District","East Lyme High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0476111","0470011","East Windsor School District","East Windsor High School","ELA","N","65","10","15.4","14","21.5","35","53.8","6","9.2","41","63.1","501"
"0476111","0470011","East Windsor School District","East Windsor High School","Math","N","65","*","*","31","47.7","18","27.7","*","*","*","*","477"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","ELA","N","30","*","*","*","*","16","53.3","*","*","*","*","522"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Math","N","30","*","*","16","53.3","*","*","0","0.0","*","*","460"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","ELA","N","6","*","*","*","*","*","*","*","*","*","*","*"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","Math","N","6","*","*","*","*","*","*","*","*","*","*","*"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELA","N","36","12","33.3","*","*","16","44.4","*","*","*","*","472"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Math","N","36","21","58.3","*","*","*","*","0","0.0","*","*","416"
"2429014","2420014","Education Connection","Education Connection Special Education","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2429014","2420014","Education Connection","Education Connection Special Education","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0486111","0480011","Ellington School District","Ellington High School","ELA","N","202","19","9.4","28","13.9","121","59.9","34","16.8","155","76.7","540"
"0486111","0480011","Ellington School District","Ellington High School","Math","N","202","22","10.9","80","39.6","76","37.6","24","11.9","100","49.5","529"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0496111","0490011","Enfield School District","Enfield High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0496111","0490011","Enfield School District","Enfield High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0496111","0490011","Enfield School District","Enfield High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0496111","0490011","Enfield School District","Enfield High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0496211","0490011","Enfield School District","Enrico Fermi High School","ELA","N","196","24","12.2","51","26.0","107","54.6","14","7.1","121","61.7","504"
"0496211","0490011","Enfield School District","Enrico Fermi High School","Math","N","196","45","23.0","92","46.9","49","25.0","10","5.1","59","30.1","482"
"2726113","2720013","Explorations District","Explorations","ELA","N","21","*","*","10","47.6","*","*","*","*","*","*","479"
"2726113","2720013","Explorations District","Explorations","Math","N","21","*","*","11","52.4","*","*","0","0.0","*","*","440"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","ELA","N","350","12","3.4","28","8.0","196","56.0","114","32.6","310","88.6","583"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","Math","N","350","15","4.3","90","25.7","173","49.4","72","20.6","245","70.0","570"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","ELA","N","344","*","*","*","*","*","*","*","*","*","*","567"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","Math","N","344","*","*","*","*","*","*","*","*","*","*","550"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0520611","0520011","Farmington School District","Farmington Alternative High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0520611","0520011","Farmington School District","Farmington Alternative High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0546111","0540011","Glastonbury School District","Glastonbury High School","ELA","N","469","*","*","*","*","*","*","*","*","*","*","574"
"0546111","0540011","Glastonbury School District","Glastonbury High School","ELA","Y","8","*","*","*","*","*","*","*","*","*","*","*"
"0546111","0540011","Glastonbury School District","Glastonbury High School","Math","N","469","*","*","*","*","*","*","*","*","*","*","585"
"0546111","0540011","Glastonbury School District","Glastonbury High School","Math","Y","8","*","*","*","*","*","*","*","*","*","*","*"
"0540111","0540011","Glastonbury School District","LINKS Academy","ELA","N","6","*","*","*","*","*","*","*","*","*","*","*"
"0540111","0540011","Glastonbury School District","LINKS Academy","Math","N","6","*","*","*","*","*","*","*","*","*","*","*"
"0566111","0560011","Granby School District","Granby Memorial High School","ELA","N","151","9","6.0","16","10.6","83","55.0","43","28.5","126","83.4","565"
"0566111","0560011","Granby School District","Granby Memorial High School","Math","N","151","7","4.6","49","32.5","70","46.4","25","16.6","95","62.9","555"
"0571411","0570011","Greenwich School District","Alternative High School Programs","ELA","N","8","*","*","*","*","*","*","*","*","*","*","*"
"0571411","0570011","Greenwich School District","Alternative High School Programs","Math","N","8","*","*","*","*","*","*","*","*","*","*","*"
"0576111","0570011","Greenwich School District","Greenwich High School","ELA","N","592","*","*","*","*","*","*","*","*","*","*","581"
"0576111","0570011","Greenwich School District","Greenwich High School","ELA","Y","17","*","*","*","*","*","*","*","*","*","*","*"
"0576111","0570011","Greenwich School District","Greenwich High School","Math","N","592","*","*","*","*","*","*","*","*","*","*","581"
"0576111","0570011","Greenwich School District","Greenwich High School","Math","Y","17","*","*","*","*","*","*","*","*","*","*","*"
"0580111","0580011","Griswold School District","Griswold Alternative School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0580111","0580011","Griswold School District","Griswold Alternative School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0586211","0580011","Griswold School District","Griswold High School","ELA","N","123","19","15.4","23","18.7","63","51.2","18","14.6","81","65.9","518"
"0586211","0580011","Griswold School District","Griswold High School","Math","N","123","*","*","62","50.4","37","30.1","*","*","*","*","488"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0596111","0590011","Groton School District","Robert E. Fitch High School","ELA","N","228","*","*","*","*","*","*","*","*","*","*","529"
"0596111","0590011","Groton School District","Robert E. Fitch High School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0596111","0590011","Groton School District","Robert E. Fitch High School","Math","N","228","*","*","*","*","*","*","*","*","*","*","505"
"0596111","0590011","Groton School District","Robert E. Fitch High School","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0606111","0600011","Guilford School District","Guilford High School","ELA","N","254","9","3.5","20","7.9","139","54.7","86","33.9","225","88.6","587"
"0606111","0600011","Guilford School District","Guilford High School","Math","N","253","19","7.5","73","28.9","115","45.5","46","18.2","161","63.6","561"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","ELA","N","8","*","*","*","*","*","*","*","*","*","*","*"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","Math","N","8","*","*","*","*","*","*","*","*","*","*","*"
"0626111","0620011","Hamden School District","Hamden High School","ELA","N","354","*","*","*","*","*","*","*","*","*","*","526"
"0626111","0620011","Hamden School District","Hamden High School","ELA","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0626111","0620011","Hamden School District","Hamden High School","Math","N","354","*","*","*","*","*","*","*","*","*","*","495"
"0626111","0620011","Hamden School District","Hamden High School","Math","Y","9","*","*","*","*","*","*","*","*","*","*","*"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","ELA","N","99","54","54.5","22","22.2","*","*","*","*","23","23.2","425"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","ELA","Y","51","42","82.4","9","17.6","0","0.0","0","0.0","0","0.0","374"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","Math","N","99","57","57.6","*","*","*","*","0","0.0","*","*","404"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","Math","Y","51","45","88.2","*","*","*","*","0","0.0","*","*","363"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","ELA","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646411","0640011","Hartford School District","Classical Magnet School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646411","0640011","Hartford School District","Classical Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646411","0640011","Hartford School District","Classical Magnet School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646411","0640011","Hartford School District","Classical Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646011","0640011","Hartford School District","Culinary Arts Academy","ELA","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0646011","0640011","Hartford School District","Culinary Arts Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646011","0640011","Hartford School District","Culinary Arts Academy","Math","N","*","*","*","*","*","0","0.0","0","0.0","0","0.0","*"
"0646011","0640011","Hartford School District","Culinary Arts Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0643611","0640011","Hartford School District","Global Communications Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0643611","0640011","Hartford School District","Global Communications Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0643611","0640011","Hartford School District","Global Communications Academy","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0643611","0640011","Hartford School District","Global Communications Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","ELA","N","43","*","*","*","*","*","*","*","*","*","*","405"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","ELA","Y","16","*","*","*","*","*","*","*","*","*","*","*"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Math","N","43","*","*","*","*","*","*","*","*","*","*","386"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Math","Y","16","*","*","*","*","*","*","*","*","*","*","*"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","ELA","N","64","*","*","*","*","*","*","0","0.0","*","*","408"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","ELA","Y","11","*","*","*","*","*","*","*","*","*","*","*"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Math","N","64","*","*","*","*","0","0.0","0","0.0","0","0.0","386"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Math","Y","11","*","*","*","*","*","*","*","*","*","*","*"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","ELA","N","56","32","57.1","*","*","*","*","0","0.0","*","*","418"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","ELA","Y","21","*","*","*","*","0","0.0","0","0.0","0","0.0","383"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Math","N","56","34","60.7","*","*","*","*","0","0.0","*","*","407"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Math","Y","21","14","66.7","*","*","*","*","0","0.0","*","*","390"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0647611","0640011","Hartford School District","High School Inc.","ELA","N","49","*","*","*","*","*","*","0","0.0","*","*","409"
"0647611","0640011","Hartford School District","High School Inc.","ELA","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"0647611","0640011","Hartford School District","High School Inc.","Math","N","49","*","*","*","*","*","*","0","0.0","*","*","389"
"0647611","0640011","Hartford School District","High School Inc.","Math","Y","7","*","*","*","*","*","*","*","*","*","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","ELA","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Math","N","*","*","*","*","*","0","0.0","0","0.0","0","0.0","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","ELA","N","99","*","*","*","*","*","*","*","*","*","*","488"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","Math","N","99","*","*","*","*","*","*","*","*","*","*","485"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","Math","Y","6","*","*","*","*","*","*","*","*","*","*","*"
"0646711","0640011","Hartford School District","University High of Science and Engineering","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646711","0640011","Hartford School District","University High of Science and Engineering","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0646711","0640011","Hartford School District","University High of Science and Engineering","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0646711","0640011","Hartford School District","University High of Science and Engineering","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","ELA","N","9","*","*","*","*","*","*","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","Math","N","9","*","*","*","*","*","*","*","*","*","*","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0696111","0690011","Killingly School District","Killingly High School","ELA","N","171","24","14.0","27","15.8","110","64.3","10","5.8","120","70.2","508"
"0696111","0690011","Killingly School District","Killingly High School","Math","N","171","44","25.7","94","55.0","*","*","*","*","33","19.3","465"
"2456014","2450014","Learn","Connecticut River Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2456014","2450014","Learn","Connecticut River Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2456014","2450014","Learn","Connecticut River Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2456014","2450014","Learn","Connecticut River Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2450514","2450014","Learn","LEARN Pathways Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2450514","2450014","Learn","LEARN Pathways Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","ELA","N","65","*","*","*","*","34","52.3","27","41.5","61","93.8","587"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","Math","N","65","*","*","28","43.1","27","41.5","*","*","*","*","541"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","ELA","N","31","*","*","8","25.8","16","51.6","*","*","*","*","527"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","Math","N","31","*","*","11","35.5","15","48.4","*","*","*","*","527"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","ELA","N","83","6","7.2","6","7.2","60","72.3","11","13.3","71","85.5","547"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","Math","N","83","6","7.2","33","39.8","31","37.3","13","15.7","44","53.0","541"
"0726111","0720011","Ledyard School District","Ledyard High School","ELA","N","197","24","12.2","37","18.8","100","50.8","36","18.3","136","69.0","527"
"0726111","0720011","Ledyard School District","Ledyard High School","Math","N","197","30","15.2","85","43.1","57","28.9","25","12.7","82","41.6","516"
"0746111","0740011","Litchfield School District","Litchfield High School","ELA","N","74","7","9.5","10","13.5","41","55.4","16","21.6","57","77.0","544"
"0746111","0740011","Litchfield School District","Litchfield High School","Math","N","74","9","12.2","23","31.1","33","44.6","9","12.2","42","56.8","530"
"0766111","0760011","Madison School District","Daniel Hand High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0766111","0760011","Madison School District","Daniel Hand High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0766111","0760011","Madison School District","Daniel Hand High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0766111","0760011","Madison School District","Daniel Hand High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0770211","0770011","Manchester School District","Bentley Alternative Education Program","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0770211","0770011","Manchester School District","Bentley Alternative Education Program","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0776111","0770011","Manchester School District","Manchester High School","ELA","N","321","*","*","*","*","*","*","*","*","*","*","487"
"0776111","0770011","Manchester School District","Manchester High School","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0776111","0770011","Manchester School District","Manchester High School","Math","N","321","*","*","*","*","*","*","*","*","*","*","461"
"0776111","0770011","Manchester School District","Manchester High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0779011","0770011","Manchester School District","Manchester Regional Academy","ELA","N","9","*","*","*","*","*","*","*","*","*","*","*"
"0779011","0770011","Manchester School District","Manchester Regional Academy","Math","N","9","*","*","*","*","*","*","*","*","*","*","*"
"0770711","0770011","Manchester School District","New Horizons","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0770711","0770011","Manchester School District","New Horizons","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","ELA","N","208","48","23.1","53","25.5","*","*","*","*","*","*","485"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","ELA","Y","35","27","77.1","*","*","*","*","0","0.0","*","*","379"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","Math","N","208","95","45.7","78","37.5","*","*","*","*","35","16.8","439"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","Math","Y","35","27","77.1","8","22.9","0","0.0","0","0.0","0","0.0","367"
"0806211","0800011","Meriden School District","Orville H. Platt High School","ELA","N","199","*","*","*","*","*","*","*","*","*","*","467"
"0806211","0800011","Meriden School District","Orville H. Platt High School","ELA","Y","16","*","*","*","*","*","*","*","*","*","*","*"
"0806211","0800011","Meriden School District","Orville H. Platt High School","Math","N","198","*","*","*","*","*","*","*","*","*","*","430"
"0806211","0800011","Meriden School District","Orville H. Platt High School","Math","Y","16","*","*","*","*","*","*","*","*","*","*","*"
"0801411","0800011","Meriden School District","Success Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0801411","0800011","Meriden School District","Success Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0801411","0800011","Meriden School District","Success Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
