"school_code","district_code","district","school","subject","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"1370511","1370011","Stonington School District","Deans Mill School","Math","177","174","98.3","174","19","10.9","20","11.5","63","36.2","72","41.4","135","77.6"
"1375211","1370011","Stonington School District","Mystic Middle School","ELA","396","366","92.4","362","27","7.5","78","21.5","147","40.6","110","30.4","257","71.0"
"1375211","1370011","Stonington School District","Mystic Middle School","Math","397","364","91.7","363","55","15.2","91","25.1","108","29.8","109","30.0","217","59.8"
"1375111","1370011","Stonington School District","Pawcatuck Middle School","ELA","298","289","97.0","289","60","20.8","68","23.5","103","35.6","58","20.1","161","55.7"
"1375111","1370011","Stonington School District","Pawcatuck Middle School","Math","298","290","97.3","290","72","24.8","103","35.5","74","25.5","41","14.1","115","39.7"
"1376111","1370011","Stonington School District","Stonington High School","ELA","190","*","*","*","*","*","*","*","*","*","*","*","*","*"
"1376111","1370011","Stonington School District","Stonington High School","Math","190","*","*","*","23","54.8","*","*","*","*","*","*","*","*"
"1370411","1370011","Stonington School District","West Broad Street School","ELA","*","130","*","130","17","13.1","28","21.5","27","20.8","58","44.6","85","65.4"
"1370411","1370011","Stonington School District","West Broad Street School","Math","*","130","*","130","*","*","*","*","48","36.9","35","26.9","83","63.8"
"1381311","1380011","Stratford School District","Eli Whitney School","ELA","326","323","99.1","323","49","15.2","76","23.5","104","32.2","94","29.1","198","61.3"
"1381311","1380011","Stratford School District","Eli Whitney School","Math","326","325","99.7","325","90","27.7","141","43.4","83","25.5","11","3.4","94","28.9"
"1380511","1380011","Stratford School District","ALPHA","ELA","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"1380511","1380011","Stratford School District","ALPHA","Math","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"1386211","1380011","Stratford School District","Bunnell High School","ELA","300","292","97.3","292","27","9.2","64","21.9","132","45.2","69","23.6","201","68.8"
"1386211","1380011","Stratford School District","Bunnell High School","Math","299","292","97.7","292","127","43.5","90","30.8","55","18.8","20","6.8","75","25.7"
"1380311","1380011","Stratford School District","Chapel School","ELA","297","293","98.7","293","81","27.6","86","29.4","88","30.0","38","13.0","126","43.0"
"1380311","1380011","Stratford School District","Chapel School","Math","297","292","98.3","292","116","39.7","108","37.0","53","18.2","15","5.1","68","23.3"
"1385211","1380011","Stratford School District","David Wooster Middle School","ELA","515","496","96.3","493","102","20.7","138","28.0","168","34.1","85","17.2","253","51.3"
"1385211","1380011","Stratford School District","David Wooster Middle School","Math","515","490","95.1","490","233","47.6","135","27.6","76","15.5","46","9.4","122","24.9"
"1380411","1380011","Stratford School District","Franklin School","ELA","134","134","100.0","134","40","29.9","32","23.9","37","27.6","25","18.7","62","46.3"
"1380411","1380011","Stratford School District","Franklin School","Math","134","134","100.0","134","53","39.6","52","38.8","*","*","*","*","29","21.6"
"1385311","1380011","Stratford School District","Harry B. Flood Middle School","ELA","565","558","98.8","558","113","20.3","181","32.4","197","35.3","67","12.0","264","47.3"
