"school_code","district_code","district","school","female","male","total"
"0170611","0170011","Bristol School District","John J. Jennings School","164","177","341"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","269","275","544"
"0171711","0170011","Bristol School District","Mountain View School","171","196","367"
"0175211","0170011","Bristol School District","Northeast Middle School","270","315","585"
"0171111","0170011","Bristol School District","South Side School","252","314","566"
"0171211","0170011","Bristol School District","Stafford School","240","240","480"
"0186111","0180011","Brookfield School District","Brookfield High School","509","507","1016"
"0180311","0180011","Brookfield School District","Center Elementary School","192","227","419"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","279","267","546"
"0185311","0180011","Brookfield School District","Whisconier Middle School","444","473","917"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","296","280","576"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","188","198","386"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","53","42","95"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","143","186","329"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","105","117","222"
"0236111","0230011","Canton School District","Canton High School","240","274","514"
"0230311","0230011","Canton School District","Canton Intermediate School","193","195","388"
"0235111","0230011","Canton School District","Canton Middle School","139","152","291"
"0230211","0230011","Canton School District","Cherry Brook Primary School","288","281","569"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","66","102","168"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","9","16","25"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","125","136","261"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","138","96","234"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","180","94","274"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*","9"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","82","100","182"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","17","36","53"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","0","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","373","340","713"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","167","169","336"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","72","144","216"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","77","94","171"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","11","41","52"
"2419314","2410014","Capitol Region Education Council","River Street School","24","128","152"
"2419114","2410014","Capitol Region Education Council","Soundbridge","53","36","89"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","277","315","592"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","197","221","418"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","83","90","173"
"2870113","2870013","Charter School for Young Children on Asylum Hill District","Charter School for Young Children on Asylum Hill  Inc.","104","81","185"
"0250111","0250011","Cheshire School District","Chapman School","171","154","325"
"0256111","0250011","Cheshire School District","Cheshire High School","735","814","1549"
"0250211","0250011","Cheshire School District","Darcey School","191","204","395"
"0255111","0250011","Cheshire School District","Dodd Middle School","416","399","815"
"0250611","0250011","Cheshire School District","Doolittle School","247","269","516"
"0250411","0250011","Cheshire School District","Highland School","400","440","840"
"0259011","0250011","Cheshire School District","Humiston School","7","10","17"
"0250511","0250011","Cheshire School District","Norton School","252","240","492"
"0260111","0260011","Chester School District","Chester Elementary School","163","136","299"
"0270111","0270011","Clinton School District","Abraham Pierson School","167","133","300"
"0275111","0270011","Clinton School District","Jared Eliot School","242","253","495"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","317","354","671"
"0276111","0270011","Clinton School District","The Morgan School","281","277","558"
"0286111","0280011","Colchester School District","Bacon Academy","509","494","1003"
"0280411","0280011","Colchester School District","Colchester Elementary School","337","397","734"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","342","364","706"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","389","372","761"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","60","59","119"
"0300111","0300011","Columbia School District","Horace W. Porter School","271","283","554"
"2686113","2680013","Common Ground High School District","Common Ground High School","82","78","160"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","370","313","683"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","460","426","886"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","200","344","544"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","246","265","511"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","254","337","591"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","150","364","514"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","300","481","781"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","147","419","566"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","207","464","671"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","109","514","623"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","174","383","557"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","251","510","761"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","289","591","880"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","176","431","607"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","300","437","737"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","201","356","557"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","28","48","76"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","14","44","58"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","*","*","10"
"2438014","2430014","Cooperative Educational Services","School Readiness","31","22","53"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","221","218","439"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","23","119","142"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","60","62","122"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","228","253","481"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","*","*","11"
"0320211","0320011","Coventry School District","Coventry Grammar School","209","205","414"
"0326111","0320011","Coventry School District","Coventry High School","279","284","563"
"0320411","0320011","Coventry School District","George Hersey Robertson School","205","235","440"
"0336111","0330011","Cromwell School District","Cromwell High School","314","291","605"
"0335111","0330011","Cromwell School District","Cromwell Middle School","222","243","465"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","221","256","477"
