"school_code","district_code","district","school","special_education_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0541111","0540011","Glastonbury School District","PRIDE-Hebron Avenue","Special Education","","","","*",""
"0541211","0540011","Glastonbury School District","PRIDE-Nayaug","Special Education","","","","*",""
"0545211","0540011","Glastonbury School District","Smith Middle School","Non-Special Education","2.9","2.1","*","1.6","1.4"
"0545211","0540011","Glastonbury School District","Smith Middle School","Special Education","12.9","6.9","*","6.6","5.5"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","Non-Special Education","*","*","*","*","*"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","Special Education","*","*","*","*","*"
"0566111","0560011","Granby School District","Granby Memorial High School","Non-Special Education","3.6","*","5.2","4.1","4.2"
"0566111","0560011","Granby School District","Granby Memorial High School","Special Education","11.1","*","16.7","14.3","16.2"
"0565111","0560011","Granby School District","Granby Memorial Middle School","Non-Special Education","*","*","*","*","*"
"0565111","0560011","Granby School District","Granby Memorial Middle School","Special Education","*","*","*","*","*"
"0560411","0560011","Granby School District","Kelly Lane Intermediate School","Non-Special Education","2.7","*","*","*",""
"0560411","0560011","Granby School District","Kelly Lane Intermediate School","Special Education","0.0","*","*","*",""
"0560411","0560011","Granby School District","Kelly Lane Primary School","Non-Special Education","","","","","*"
"0560411","0560011","Granby School District","Kelly Lane Primary School","Special Education","","","","","*"
"0560311","0560011","Granby School District","Wells Road Intermediate School","Non-Special Education","*","*","*","*","*"
"0560311","0560011","Granby School District","Wells Road Intermediate School","Special Education","*","*","*","*","*"
"2940113","2940013","Great Oaks Charter School District","Great Oaks Charter School","Non-Special Education","","","","*","14.6"
"2940113","2940013","Great Oaks Charter School District","Great Oaks Charter School","Special Education","","","","*","17.6"
"0571411","0570011","Greenwich School District","Alternative High School Programs","Non-Special Education","","","","72.7",""
"0571411","0570011","Greenwich School District","Alternative High School Programs","Special Education","","","","63.3",""
"0575111","0570011","Greenwich School District","Central Middle School","Non-Special Education","6.9","8.9","4.8","*","2.2"
"0575111","0570011","Greenwich School District","Central Middle School","Special Education","15.4","16.9","11.3","*","0.0"
"0571211","0570011","Greenwich School District","Community Connections","Special Education","","","","*","*"
"0570211","0570011","Greenwich School District","Cos Cob School","Non-Special Education","*","*","*","*","*"
"0570211","0570011","Greenwich School District","Cos Cob School","Special Education","*","*","*","*","*"
"0575211","0570011","Greenwich School District","Eastern Middle School","Non-Special Education","4.9","5.6","*","*","*"
"0575211","0570011","Greenwich School District","Eastern Middle School","Special Education","11.5","13.4","*","*","*"
"0570411","0570011","Greenwich School District","Glenville School","Non-Special Education","*","*","*","*","*"
"0570411","0570011","Greenwich School District","Glenville School","Special Education","*","*","*","*","*"
"0571411","0570011","Greenwich School District","Greenwich Alternative High School","Non-Special Education","","","","","*"
"0571411","0570011","Greenwich School District","Greenwich Alternative High School","Special Education","","","","","*"
"0576111","0570011","Greenwich School District","Greenwich High School","Non-Special Education","5.6","9.8","3.6","2.9","5.1"
"0576111","0570011","Greenwich School District","Greenwich High School","Special Education","11.6","15.3","10.5","7.1","14.5"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","Non-Special Education","6.2","8.3","*","*","*"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","Special Education","15.9","11.5","*","*","*"
"0571311","0570011","Greenwich School District","International School At Dundee","Non-Special Education","*","*","*","*","*"
"0571311","0570011","Greenwich School District","International School At Dundee","Special Education","*","*","*","0.0","*"
"0570311","0570011","Greenwich School District","Julian Curtiss School","Non-Special Education","*","*","*","*","*"
"0570311","0570011","Greenwich School District","Julian Curtiss School","Special Education","*","*","*","*","*"
"0570611","0570011","Greenwich School District","New Lebanon School","Non-Special Education","*","6.8","*","*","*"
"0570611","0570011","Greenwich School District","New Lebanon School","Special Education","*","14.6","*","*","*"
"0570711","0570011","Greenwich School District","North Mianus School","Non-Special Education","*","*","3.9","*","*"
"0570711","0570011","Greenwich School District","North Mianus School","Special Education","*","*","0.0","*","0.0"
"0570811","0570011","Greenwich School District","North Street School","Non-Special Education","3.0","6.0","*","*","*"
"0570811","0570011","Greenwich School District","North Street School","Special Education","*","*","0.0","0.0","0.0"
"0570911","0570011","Greenwich School District","Old Greenwich School","Non-Special Education","*","*","*","*","1.8"
"0570911","0570011","Greenwich School District","Old Greenwich School","Special Education","*","*","*","0.0","0.0"
"0571111","0570011","Greenwich School District","Parkway School","Non-Special Education","*","*","*","*","*"
"0571111","0570011","Greenwich School District","Parkway School","Special Education","*","*","*","*","*"
"0571011","0570011","Greenwich School District","Riverside School","Non-Special Education","*","*","*","1.9","*"
"0571011","0570011","Greenwich School District","Riverside School","Special Education","*","*","*","0.0","0.0"
"0575311","0570011","Greenwich School District","Western Middle School","Non-Special Education","7.1","7.1","7.9","3.9","*"
"0575311","0570011","Greenwich School District","Western Middle School","Special Education","10.0","10.8","14.3","10.8","*"
"0580111","0580011","Griswold School District","Griswold Alternative School","Non-Special Education","","","","*","*"
"0580111","0580011","Griswold School District","Griswold Alternative School","Special Education","","","","*","*"
"0580311","0580011","Griswold School District","Griswold Elementary School","Non-Special Education","6.1","6.8","6.4","4.5","3.8"
"0580311","0580011","Griswold School District","Griswold Elementary School","Special Education","11.0","10.4","14.0","11.8","8.8"
"0586211","0580011","Griswold School District","Griswold High School","Non-Special Education","14.7","14.4","10.8","12.3","12.1"
"0586211","0580011","Griswold School District","Griswold High School","Special Education","30.7","22.6","42.0","20.5","18.9"
"0585111","0580011","Griswold School District","Griswold Middle School","Non-Special Education","9.9","7.5","8.0","9.2","8.1"
"0585111","0580011","Griswold School District","Griswold Middle School","Special Education","14.5","18.3","14.1","20.8","13.0"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","Non-Special Education","*","7.0","4.8","5.1","7.0"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","Special Education","*","13.8","14.3","24.6","12.9"
"0590311","0590011","Groton School District","Catherine Kolnaski Magnet School","Non-Special Education","22.9","18.7","","",""
"0590311","0590011","Groton School District","Catherine Kolnaski Magnet School","Special Education","30.8","25.5","","",""
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","Non-Special Education","22.9","18.7","11.3","9.6","7.6"
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","Special Education","30.8","25.5","15.3","19.3","19.4"
"0591811","0590011","Groton School District","Charles Barnum School","Non-Special Education","*","8.5","*","*","*"
"0591811","0590011","Groton School District","Charles Barnum School","Special Education","*","11.1","*","*","*"
"0590311","0590011","Groton School District","Claude Chester School","Non-Special Education","","","9.8","11.3","8.0"
"0590311","0590011","Groton School District","Claude Chester School","Special Education","","","20.7","14.0","13.7"
"0595111","0590011","Groton School District","Fitch Middle School","Non-Special Education","9.1","","","",""
"0595111","0590011","Groton School District","Fitch Middle School","Special Education","17.5","","","",""
"0591711","0590011","Groton School District","Mary Morrisson School","Non-Special Education","7.9","7.6","8.4","10.9","8.0"
"0591711","0590011","Groton School District","Mary Morrisson School","Special Education","10.9","11.1","13.0","10.0","22.9"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","Special Education","","","","*","65.2"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","Non-Special Education","*","2.9","3.9","*","*"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","Special Education","*","14.8","11.5","*","*"
"0591211","0590011","Groton School District","Pleasant Valley School","Non-Special Education","10.3","9.6","8.7","9.0","9.3"
"0591211","0590011","Groton School District","Pleasant Valley School","Special Education","17.9","*","*","*","*"
"0596111","0590011","Groton School District","Robert E. Fitch High School","Non-Special Education","22.4","21.2","19.4","18.0","17.0"
"0596111","0590011","Groton School District","Robert E. Fitch High School","Special Education","41.3","36.7","37.5","28.6","30.5"
"0590111","0590011","Groton School District","S. B. Butler School","Non-Special Education","3.4","*","*","*","*"
"0590111","0590011","Groton School District","S. B. Butler School","Special Education","22.6","*","*","*","*"
"0590611","0590011","Groton School District","Virtual Learning Academy","Non-Special Education","","","","*","*"
"0590611","0590011","Groton School District","Virtual Learning Academy","Special Education","","","","*","*"
"0595211","0590011","Groton School District","West Side Middle School","Non-Special Education","10.4","10.1","6.6","8.3","11.1"
"0595211","0590011","Groton School District","West Side Middle School","Special Education","21.7","20.5","23.8","24.2","24.7"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","Non-Special Education","3.6","4.7","4.3","*","5.3"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","Special Education","12.1","11.1","16.7","*","9.1"
"0600611","0600011","Guilford School District","A. W. Cox School","Non-Special Education","*","*","*","*","*"
"0600611","0600011","Guilford School District","A. W. Cox School","Special Education","*","*","*","*","*"
"0600411","0600011","Guilford School District","Calvin Leete School","Non-Special Education","*","3.7","2.7","*","*"
"0600411","0600011","Guilford School District","Calvin Leete School","Special Education","*","0.0","0.0","*","*"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","Non-Special Education","6.6","7.0","5.5","4.0","5.5"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","Special Education","17.9","20.0","13.2","13.8","10.8"
"0606111","0600011","Guilford School District","Guilford High School","Non-Special Education","7.8","10.0","6.7","5.2","2.6"
"0606111","0600011","Guilford School District","Guilford High School","Special Education","26.8","21.2","17.6","15.4","13.2"
"0600211","0600011","Guilford School District","Guilford Lakes School","Non-Special Education","*","*","*","*","*"
"0600211","0600011","Guilford School District","Guilford Lakes School","Special Education","*","*","*","*","*"
"0600311","0600011","Guilford School District","Melissa Jones School","Non-Special Education","*","*","*","*","*"
"0600311","0600011","Guilford School District","Melissa Jones School","Special Education","*","*","*","*","*"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","Special Education","","*","*","*","*"
"0621211","0620011","Hamden School District","Bear Path School","Non-Special Education","*","*","*","*","3.7"
"0621211","0620011","Hamden School District","Bear Path School","Special Education","*","*","*","*","13.8"
"0620211","0620011","Hamden School District","Church Street School","Non-Special Education","*","12.6","*","11.1","9.2"
"0620211","0620011","Hamden School District","Church Street School","Special Education","*","16.2","*","17.3","13.8"
"0620311","0620011","Hamden School District","Dunbar Hill School","Non-Special Education","7.0","10.6","3.3","6.5","*"
"0620311","0620011","Hamden School District","Dunbar Hill School","Special Education","17.6","17.9","17.9","13.3","*"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","Non-Special Education","","","","*","*"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","Special Education","","","","*","*"
"0626111","0620011","Hamden School District","Hamden High School","Non-Special Education","18.2","21.8","20.3","21.2","32.6"
"0626111","0620011","Hamden School District","Hamden High School","Special Education","26.7","36.6","30.3","35.5","45.3"
"0625211","0620011","Hamden School District","Hamden Middle School","Non-Special Education","13.5","15.5","15.6","12.1","14.5"
"0625211","0620011","Hamden School District","Hamden Middle School","Special Education","22.0","20.2","31.0","16.3","24.3"
"0620611","0620011","Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","Special Education","","","","","*"
"0620411","0620011","Hamden School District","Helen Street School","Non-Special Education","*","*","*","11.4","*"
"0620411","0620011","Hamden School District","Helen Street School","Special Education","*","*","*","23.7","*"
"0621111","0620011","Hamden School District","Ridge Hill School","Non-Special Education","12.9","12.4","11.4","11.7","10.0"
"0621111","0620011","Hamden School District","Ridge Hill School","Special Education","23.7","25.6","21.9","23.1","26.4"
"0620111","0620011","Hamden School District","Shepherd Glen School","Non-Special Education","*","12.8","*","*","9.9"
"0620111","0620011","Hamden School District","Shepherd Glen School","Special Education","*","16.3","*","*","15.6"
"0621011","0620011","Hamden School District","Spring Glen School","Non-Special Education","*","*","5.3","*","*"
"0621011","0620011","Hamden School District","Spring Glen School","Special Education","*","*","14.3","*","*"
"0621411","0620011","Hamden School District","West Woods School","Non-Special Education","4.6","*","3.9","*","*"
"0621411","0620011","Hamden School District","West Woods School","Special Education","10.7","*","12.9","*","*"
"0630111","0630011","Hampton School District","Hampton Elementary School","Non-Special Education","*","*","*","*","*"
"0630111","0630011","Hampton School District","Hampton Elementary School","Special Education","*","*","*","*","*"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","Non-Special Education","","","","*","*"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","Special Education","","","","*","*"
"0640711","0640011","Hartford School District","Asian Studies Academy","Non-Special Education","25.5","26.8","26.7","",""
"0640711","0640011","Hartford School District","Asian Studies Academy","Special Education","40.4","44.0","37.6","",""
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","Non-Special Education","","","","37.9","32.7"
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","Special Education","","","","53.8","47.8"
"0644511","0640011","Hartford School District","Autism Program - Clark School","Special Education","","","","*",""
"0644311","0640011","Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","Special Education","","","","*","*"
"0644211","0640011","Hartford School District","Autism Program - Fred D. Wish Museum School","Special Education","","","","39.1",""
"0644411","0640011","Hartford School District","Autism Program - Sarah J. Rawson Elementary School","Special Education","","","","*","33.3"
"0649311","0640011","Hartford School District","Autism Program - Simpson-Waverly","Special Education","","","","","*"
"0648611","0640011","Hartford School District","Autism Program-Burr School","Special Education","","","","","*"
"0640411","0640011","Hartford School District","Batchelder School","Non-Special Education","14.5","19.9","23.6","16.6","19.0"
"0640411","0640011","Hartford School District","Batchelder School","Special Education","28.1","45.6","46.5","26.6","37.3"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","Non-Special Education","","","","*","14.5"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","Special Education","","","","*","33.3"
"0643511","0640011","Hartford School District","Breakthrough II Elementary School","Non-Special Education","*","12.2","*","",""
"0643511","0640011","Hartford School District","Breakthrough II Elementary School","Special Education","*","31.0","0.0","",""
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","Non-Special Education","","","","*","7.9"
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","Special Education","","","","*","14.3"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","Non-Special Education","*","*","*","5.5","4.8"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","Special Education","*","*","*","22.0","17.0"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","Non-Special Education","45.7","42.9","39.1","50.2","42.1"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","Special Education","54.8","49.5","51.0","64.9","56.7"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","Non-Special Education","48.9","54.6","54.5","53.5","49.0"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","Special Education","41.7","35.9","42.3","48.7","53.3"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","Non-Special Education","47.5","42.2","31.6","31.8","29.9"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","Special Education","59.1","61.3","35.1","49.4","54.0"
"0642311","0640011","Hartford School District","Burr School","Non-Special Education","23.1","17.4","25.0","22.7","21.3"
"0642311","0640011","Hartford School District","Burr School","Special Education","39.0","24.0","39.0","37.5","31.9"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","Non-Special Education","","","","*","*"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","Special Education","","","","*","*"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","Non-Special Education","*","*","11.3","*","4.4"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","Special Education","*","*","16.2","*","8.5"
"0642411","0640011","Hartford School District","Clark School","Non-Special Education","40.4","44.8","33.6","36.1","26.1"
"0642411","0640011","Hartford School District","Clark School","Special Education","38.4","51.4","52.6","51.1","43.5"
"0646411","0640011","Hartford School District","Classical Magnet School","Non-Special Education","*","*","*","6.5","6.2"
"0646411","0640011","Hartford School District","Classical Magnet School","Special Education","*","*","*","17.6","21.1"
"0646011","0640011","Hartford School District","Culinary Arts Academy","Non-Special Education","52.5","68.4","57.5","56.2","64.6"
"0646011","0640011","Hartford School District","Culinary Arts Academy","Special Education","66.2","70.6","60.7","56.4","64.1"
"0641411","0640011","Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","Non-Special Education","15.7","13.3","20.5","18.2","17.5"
"0641411","0640011","Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","Special Education","36.5","37.3","38.2","46.0","33.3"
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","Non-Special Education","17.6","*","","",""
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","Special Education","23.5","*","","",""
"0642811","0640011","Hartford School District","Dr. Ramon E. Betances Early Reading Lab","Non-Special Education","40.7","36.2","31.8","",""
"0642811","0640011","Hartford School District","Dr. Ramon E. Betances Early Reading Lab","Special Education","52.9","50.0","59.4","",""
"0645811","0640011","Hartford School District","EDP - Betances Early Reading Lab","Special Education","","","","*","*"
"0648311","0640011","Hartford School District","EDP - Bulkeley High School","Special Education","","","","*","*"
"0648211","0640011","Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","Special Education","","","","95.8","92.9"
"0645911","0640011","Hartford School District","EDP - M.D. Fox","Special Education","","","","41.9","*"
"0648111","0640011","Hartford School District","EDP - McDonough Expeditionary Learning School","Special Education","","","","*","*"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","Non-Special Education","*","8.4","8.4","4.8","6.3"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","Special Education","*","18.9","18.5","12.1","11.8"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","Non-Special Education","25.9","19.0","*","25.6","19.5"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","Special Education","43.8","34.1","*","29.3","22.9"
"0642211","0640011","Hartford School District","Fred D. Wish Museum School","Non-Special Education","24.4","25.4","23.3","25.8","23.5"
"0642211","0640011","Hartford School District","Fred D. Wish Museum School","Special Education","30.1","35.5","35.4","32.0","35.2"
"0643611","0640011","Hartford School District","Global Communications Academy","Non-Special Education","14.5","19.8","17.1","7.8","10.5"
"0643611","0640011","Hartford School District","Global Communications Academy","Special Education","13.8","23.0","20.9","12.2","20.8"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Non-Special Education","","15.2","*","",""
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Special Education","","29.2","*","",""
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Non-Special Education","61.5","59.1","57.9","61.9","43.9"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Special Education","75.6","72.2","74.7","73.2","36.4"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Non-Special Education","55.2","58.1","63.7","63.2","54.7"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Special Education","73.9","82.7","84.5","71.8","68.1"
"0647311","0640011","Hartford School District","HPHS Freshmen Academy","Non-Special Education","60.4","","","",""
"0647311","0640011","Hartford School District","HPHS Freshmen Academy","Special Education","71.1","","","",""
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Non-Special Education","43.4","49.8","51.0","61.9","44.2"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Special Education","56.1","61.2","47.5","73.1","57.4"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Non-Special Education","*","*","6.4","7.4","7.5"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Special Education","*","*","14.3","10.9","20.5"
"0649011","0640011","Hartford School District","Hartford Transitional Learning Academy (Elementary)","Special Education","40.6","58.3","65.1","",""
"0647611","0640011","Hartford School District","High School Inc.","Non-Special Education","55.2","44.3","51.5","51.2",""
"0647611","0640011","Hartford School District","High School Inc.","Special Education","56.4","59.6","62.5","44.4",""
"0647611","0640011","Hartford School District","High School, Inc.","Non-Special Education","","","","","51.6"
"0647611","0640011","Hartford School District","High School, Inc.","Special Education","","","","","61.1"
"0648411","0640011","Hartford School District","High Step Transition","Special Education","","","","*","*"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Non-Special Education","57.5","61.3","44.9","37.8","21.1"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Special Education","71.7","81.3","69.0","50.0","21.2"
"0641011","0640011","Hartford School District","Kennelly School","Non-Special Education","16.3","19.0","19.6","25.1","22.7"
"0641011","0640011","Hartford School District","Kennelly School","Special Education","27.7","35.0","37.2","28.0","28.1"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","Non-Special Education","","","","","*"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","Special Education","","","","","*"
"0649511","0640011","Hartford School District","LC - Breakthrough II","Special Education","","","","","*"
"0649611","0640011","Hartford School District","LC - Burns","Special Education","","","","","*"
"0649811","0640011","Hartford School District","LC - Moylan","Special Education","","","","","*"
"0640811","0640011","Hartford School District","M. D. Fox Elementary School","Non-Special Education","19.8","20.0","32.8","29.3","19.7"
"0640811","0640011","Hartford School District","M. D. Fox Elementary School","Special Education","31.6","42.3","50.0","36.8","20.4"
"0641611","0640011","Hartford School District","M. L. King School","Non-Special Education","31.2","19.2","22.6","23.8","23.3"
"0641611","0640011","Hartford School District","M. L. King School","Special Education","45.8","35.2","42.6","37.1","30.2"
"0644811","0640011","Hartford School District","MDP - Batchelder School","Special Education","","","","*","*"
"0645011","0640011","Hartford School District","MDP - Bulkeley High School","Special Education","","","","*","*"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","Special Education","","","","42.9","19.4"
"0648511","0640011","Hartford School District","MDP - Moylan School","Special Education","","","","*","*"
"0641211","0640011","Hartford School District","McDonough Expeditionary Learning School","Non-Special Education","40.6","42.2","35.6","18.6","17.4"
"0641211","0640011","Hartford School District","McDonough Expeditionary Learning School","Special Education","62.5","51.3","47.6","42.0","38.3"
"0641911","0640011","Hartford School District","Milner Elementary School","Non-Special Education","35.7","34.1","39.4","38.0","23.2"
"0641911","0640011","Hartford School District","Milner Elementary School","Special Education","47.5","36.8","50.0","42.6","44.2"
"0643711","0640011","Hartford School District","Montessori Magnet School at Annie Fisher","Non-Special Education","*","*","*","*",""
"0643711","0640011","Hartford School District","Montessori Magnet School at Annie Fisher","Special Education","*","*","*","*",""
"0643711","0640011","Hartford School District","Montessori Magnet at Fisher School","Non-Special Education","","","","","*"
"0643711","0640011","Hartford School District","Montessori Magnet at Fisher School","Special Education","","","","","*"
"0640511","0640011","Hartford School District","Montessori Magnet at Moylan School","Non-Special Education","","","*","*","*"
"0640511","0640011","Hartford School District","Montessori Magnet at Moylan School","Special Education","","","*","*","*"
"0642711","0640011","Hartford School District","New Visions Program","Non-Special Education","","","","*",""
"0642711","0640011","Hartford School District","New Visions Program","Special Education","","","","*",""
"0642011","0640011","Hartford School District","Noah Webster Micro Society School","Non-Special Education","*","*","6.1","8.9","*"
"0642011","0640011","Hartford School District","Noah Webster Micro Society School","Special Education","*","*","8.6","14.5","*"
"0647811","0640011","Hartford School District","OPPortunity High School","Non-Special Education","*","*","69.1","*",""
"0647811","0640011","Hartford School District","OPPortunity High School","Special Education","*","*","72.0","*",""
"0641511","0640011","Hartford School District","Parkville Community School","Non-Special Education","24.3","19.2","24.8","18.5","23.0"
"0641511","0640011","Hartford School District","Parkville Community School","Special Education","19.4","17.3","34.7","28.4","29.8"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","Non-Special Education","23.0","13.8","15.4","18.3","19.9"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","Special Education","27.7","25.5","20.0","23.2","26.4"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","Non-Special Education","5.0","8.4","12.9","11.3",""
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","Special Education","10.2","17.6","22.8","27.2",""
"0644011","0640011","Hartford School District","Renzulli Academy","Non-Special Education","23.4","15.5","*","*","*"
"0644011","0640011","Hartford School District","Renzulli Academy","Special Education","","","*","*","*"
"0640111","0640011","Hartford School District","SAND School","Non-Special Education","36.9","39.5","45.6","37.7","24.5"
"0640111","0640011","Hartford School District","SAND School","Special Education","48.7","40.2","54.7","48.4","33.3"
"0642511","0640011","Hartford School District","STEM Magnet School at Annie Fisher","Non-Special Education","*","4.4","*","6.8","5.2"
"0642511","0640011","Hartford School District","STEM Magnet School at Annie Fisher","Special Education","*","12.2","*","15.9","12.2"
"0643811","0640011","Hartford School District","STEM Magnet School at Dwight","Non-Special Education","","*","*","*","*"
"0643811","0640011","Hartford School District","STEM Magnet School at Dwight","Special Education","","*","*","*","*"
"0643011","0640011","Hartford School District","Sanchez School","Non-Special Education","32.3","27.1","26.3","20.7","16.5"
"0643011","0640011","Hartford School District","Sanchez School","Special Education","41.0","29.5","32.2","33.9","19.2"
"0645611","0640011","Hartford School District","Sarah J Rawson Middle Grades Academy","Non-Special Education","12.5","","","",""
"0645611","0640011","Hartford School District","Sarah J Rawson Middle Grades Academy","Special Education","20.0","","","",""
"0641711","0640011","Hartford School District","Sarah J. Rawson Elementary School","Non-Special Education","23.8","13.5","18.4","21.2","15.6"
"0641711","0640011","Hartford School District","Sarah J. Rawson Elementary School","Special Education","41.1","19.5","33.3","31.3","33.3"
"0642611","0640011","Hartford School District","Simpson-Waverly School","Non-Special Education","*","28.3","44.1","34.0","28.4"
"0642611","0640011","Hartford School District","Simpson-Waverly School","Special Education","*","33.3","39.2","42.1","33.3"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","Non-Special Education","11.1","14.1","18.2","14.1","14.1"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","Special Education","36.4","38.0","36.4","29.3","28.1"
"0646711","0640011","Hartford School District","University High School of Science and Engineering","Non-Special Education","","","","7.4","8.8"
"0646711","0640011","Hartford School District","University High School of Science and Engineering","Special Education","","","","28.6","33.3"
"0646711","0640011","Hartford School District","University High of Science and Engineering","Non-Special Education","13.5","9.3","9.3","",""
"0646711","0640011","Hartford School District","University High of Science and Engineering","Special Education","25.9","24.3","25.0","",""
"0642111","0640011","Hartford School District","West Middle School","Non-Special Education","15.4","16.0","21.2","18.2","21.2"
"0642111","0640011","Hartford School District","West Middle School","Special Education","33.7","40.7","50.0","31.7","32.7"
"0650111","0650011","Hartland School District","Hartland School","Non-Special Education","*","*","*","3.8","*"
"0650111","0650011","Hartland School District","Hartland School","Special Education","*","*","*","0.0","*"
"0670211","0670011","Hebron School District","Gilead Hill School","Non-Special Education","*","*","*","*","*"
"0670211","0670011","Hebron School District","Gilead Hill School","Special Education","*","*","*","0.0","0.0"
"0670111","0670011","Hebron School District","Hebron Elementary School","Non-Special Education","*","*","*","*","*"
"0670111","0670011","Hebron School District","Hebron Elementary School","Special Education","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","Non-Special Education","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","Special Education","*","*","*","*","*"
"2640113","2640013","Integrated Day Charter School District","Integrated Day Charter School","Non-Special Education","*","6.3","*","*","*"
"2640113","2640013","Integrated Day Charter School District","Integrated Day Charter School","Special Education","*","17.1","*","*","*"
"2655113","2650013","Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","Non-Special Education","*","*","9.4","11.1","*"
"2655113","2650013","Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","Special Education","*","*","20.0","18.9","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","Non-Special Education","2.6","*","5.3","6.8","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","Special Education","0.0","*","19.0","20.8","*"
"0680111","0680011","Kent School District","Kent Center School","Non-Special Education","5.2","*","*","*","*"
"0680111","0680011","Kent School District","Kent Center School","Special Education","18.8","*","*","*","*"
"0680211","0680011","Kent School District","LEAPSS","Special Education","","","","*",""
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","Non-Special Education","","","","*","*"
