"school_code","district_code","district","school","subject","special_education","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0076111","0070011","Berlin School District","Berlin High School","Math","N","208","17","8.2","78","37.5","92","44.2","21","10.1","113","54.3","538"
"0076111","0070011","Berlin School District","Berlin High School","Math","Y","21","13","61.9","8","38.1","0","0.0","0","0.0","0","0.0","398"
"0096111","0090011","Bethel School District","Bethel High School","ELA","N","181","*","*","*","*","*","*","*","*","*","*","553"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Math","N","181","*","*","*","*","*","*","*","*","*","*","540"
"0096111","0090011","Bethel School District","Bethel High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","N","124","*","*","*","*","*","*","*","*","*","*","477"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","N","124","*","*","*","*","*","*","*","*","*","*","466"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","*","*","*","*","*","*","*","0","0.0","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","ELA","N","200","16","8.0","40","20.0","100","50.0","44","22.0","144","72.0","541"
"0146111","0140011","Branford School District","Branford High School","ELA","Y","32","17","53.1","8","25.0","7","21.9","0","0.0","7","21.9","418"
