"school_code","district_code","district","school","grade","test","2011_12","2012_13","2013_14","2014_15","2015_16"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","All Grades","Curl Up","67.0","63.7","76.6","69.9","75.6"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International St","All Grades","Curl Up","73.6","81.9","86.6","84.7","86.2"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","All Grades","Curl Up","92.9","100.0","96.2","98.1","92.2"
"2410514","2410014","Capitol Region Education Council","Museum Academy","All Grades","Curl Up","","100.0","95.7","97.8","97.9"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","All Grades","Curl Up","65.6","74.0","69.2","63.2","78.9"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","All Grades","Curl Up","","*","87.5","53.8","66.7"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","All Grades","Curl Up","","","65.1","73.8","65.0"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","All Grades","Curl Up","79.4","75.3","82.1","83.4","81.0"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","All Grades","Curl Up","89.1","77.4","85.2","68.9","87.9"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","All Grades","Curl Up","63.0","63.2","65.1","95.1","97.1"
"0250111","0250011","Cheshire School District","Chapman School","All Grades","Curl Up","94.3","93.8","80.2","84.8","79.2"
"0256111","0250011","Cheshire School District","Cheshire High School","All Grades","Curl Up","97.2","98.9","95.6","98.4","96.1"
"0255111","0250011","Cheshire School District","Dodd Middle School","All Grades","Curl Up","95.2","92.4","96.7","95.8","88.5"
"0250611","0250011","Cheshire School District","Doolittle School","All Grades","Curl Up","80.3","82.5","86.4","87.4","89.9"
"0250411","0250011","Cheshire School District","Highland School","All Grades","Curl Up","94.3","95.3","93.1","94.6","97.2"
"0250911","0250011","Cheshire School District","Humiston Alternative School","All Grades","Curl Up","","","","","*"
"0250511","0250011","Cheshire School District","Norton School","All Grades","Curl Up","87.2","89.0","86.7","81.6","81.0"
"0260111","0260011","Chester School District","Chester Elementary School","All Grades","Curl Up","87.5","79.7","73.6","69.7","67.6"
"0270111","0270011","Clinton School District","Abraham Pierson School","All Grades","Curl Up","94.5","90.4","89.6","97.1","84.2"
"0275111","0270011","Clinton School District","Jared Eliot School","All Grades","Curl Up","97.4","99.0","98.0","97.6","98.0"
"0276111","0270011","Clinton School District","The Morgan School","All Grades","Curl Up","94.2","89.1","92.9","90.8","83.1"
"0286111","0280011","Colchester School District","Bacon Academy","All Grades","Curl Up","94.0","77.3","89.3","91.8","80.3"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","All Grades","Curl Up","82.5","71.3","86.0","88.8","87.3"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","All Grades","Curl Up","78.8","78.2","78.6","73.7","89.9"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","All Grades","Curl Up","100.0","86.1","92.0","96.3","96.0"
"0300111","0300011","Columbia School District","Horace W. Porter School","All Grades","Curl Up","92.1","95.8","94.3","93.7","90.9"
"2686113","2680013","Common Ground High School District","Common Ground High School","All Grades","Curl Up","30.0","71.4","69.4","80.4","67.3"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","All Grades","Curl Up","94.2","97.3","100.0","97.9","96.7"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","All Grades","Curl Up","96.2","95.8","88.2","78.3","81.6"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","All Grades","Curl Up","89.6","87.7","81.2","81.1","85.3"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","All Grades","Curl Up","74.8","87.2","68.3","84.8","90.1"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","All Grades","Curl Up","93.2","97.4","93.5","97.1","99.1"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","All Grades","Curl Up","88.1","89.8","90.1","94.7","88.4"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","All Grades","Curl Up","75.8","77.0","85.5","86.0","91.7"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","All Grades","Curl Up","94.1","94.7","89.5","89.5","94.3"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","All Grades","Curl Up","88.5","80.7","85.0","83.1","87.6"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","All Grades","Curl Up","73.4","72.3","59.0","60.0","61.0"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","All Grades","Curl Up","","","","","88.9"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","All Grades","Curl Up","98.8","97.6","97.6","98.2","99.4"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","All Grades","Curl Up","90.1","93.1","84.8","91.5","96.2"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","All Grades","Curl Up","95.8","91.6","92.3","91.1","94.0"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","All Grades","Curl Up","86.1","90.1","88.7","84.9","86.1"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","All Grades","Curl Up","92.8","95.9","94.6","82.2","76.2"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","All Grades","Curl Up","94.5","88.7","86.0","91.3","93.4"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","All Grades","Curl Up","","","","","*"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","All Grades","Curl Up","86.8","85.5","89.7","87.1","87.1"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","All Grades","Curl Up","","","","","31.9"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","All Grades","Curl Up","90.5","97.1","83.3","97.2","81.5"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","All Grades","Curl Up","85.2","86.2","83.5","81.0","74.8"
"0320111","0320011","Coventry School District","Coventry Academy","All Grades","Curl Up","","","","","0.0"
"0326111","0320011","Coventry School District","Coventry High School","All Grades","Curl Up","96.9","92.1","97.6","98.3","92.9"
"0320411","0320011","Coventry School District","George Hersey Robertson School","All Grades","Curl Up","81.3","87.0","88.6","76.3","75.4"
"0336111","0330011","Cromwell School District","Cromwell High School","All Grades","Curl Up","97.6","96.1","98.2","92.0","78.9"
"0335111","0330011","Cromwell School District","Cromwell Middle School","All Grades","Curl Up","81.1","83.3","95.0","91.3","81.4"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","All Grades","Curl Up","93.8","91.2","89.9","90.2","90.9"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","All Grades","Curl Up","","*","","*","0.0"
"0345111","0340011","Danbury School District","Broadview Middle School","All Grades","Curl Up","59.1","57.4","56.3","51.5","41.7"
"0346111","0340011","Danbury School District","Danbury High School","All Grades","Curl Up","87.5","94.9","93.1","97.5","97.2"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","All Grades","Curl Up","62.2","70.8","59.4","57.1","74.5"
"0341111","0340011","Danbury School District","Great Plain School","All Grades","Curl Up","74.3","75.4","85.4","74.4","72.9"
"0340211","0340011","Danbury School District","Hayestown Avenue School","All Grades","Curl Up","59.7","49.3","42.0","58.1","42.4"
"0341711","0340011","Danbury School District","King Street Intermediate School","All Grades","Curl Up","71.9","72.6","61.8","54.6","54.6"
"0340611","0340011","Danbury School District","Morris Street School","All Grades","Curl Up","68.1","54.7","64.1","76.9","73.1"
"0340811","0340011","Danbury School District","Park Avenue School","All Grades","Curl Up","68.9","60.9","79.4","98.8","90.9"
"0341511","0340011","Danbury School District","Pembroke School","All Grades","Curl Up","81.6","89.8","78.0","75.9","87.2"
"0345211","0340011","Danbury School District","Rogers Park Middle School","All Grades","Curl Up","86.4","84.1","73.5","81.8","67.7"
"0341211","0340011","Danbury School District","Shelter Rock School","All Grades","Curl Up","84.1","91.3","76.1","71.1","55.1"
"0341011","0340011","Danbury School District","South Street School","All Grades","Curl Up","63.1","66.7","41.3","54.0","56.7"
"0341611","0340011","Danbury School District","Stadley Rough School","All Grades","Curl Up","84.0","95.8","76.5","88.9","75.0"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magne","All Grades","Curl Up","94.6","96.1","89.7","96.8","93.0"
"0340311","0340011","Danbury School District","Westside Middle School Academy","All Grades","Curl Up","","","","88.0","79.2"
"0356111","0350011","Darien School District","Darien High School","All Grades","Curl Up","89.4","90.9","97.8","97.9","95.4"
"0350211","0350011","Darien School District","Hindley Elementary School","All Grades","Curl Up","89.7","92.8","78.4","100.0","97.5"
"0350711","0350011","Darien School District","Holmes Elementary School","All Grades","Curl Up","98.5","98.1","100.0","98.5","92.8"
"0355111","0350011","Darien School District","Middlesex Middle School","All Grades","Curl Up","98.4","97.7","98.0","97.2","96.4"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","All Grades","Curl Up","97.6","96.2","96.5","95.8","97.4"
"0350511","0350011","Darien School District","Royle Elementary School","All Grades","Curl Up","92.6","98.5","80.3","98.5","89.7"
"0350611","0350011","Darien School District","Tokeneke Elementary School","All Grades","Curl Up","85.7","81.9","84.2","68.4","97.4"
"0360111","0360011","Deep River School District","Deep River Elementary School","All Grades","Curl Up","93.9","95.7","85.6","94.2","92.5"
"0370611","0370011","Derby School District","Bradley School","All Grades","Curl Up","93.3","69.2","73.7","57.1","64.7"
"0376111","0370011","Derby School District","Derby High School","All Grades","Curl Up","51.9","84.6","65.3","79.4","74.2"
"0375011","0370011","Derby School District","Derby Middle School","All Grades","Curl Up","71.9","81.0","86.7","79.3","84.8"
"0370411","0370011","Derby School District","Irving School","All Grades","Curl Up","96.2","67.8","66.2","71.4","50.0"
"0406111","0400011","East Granby School District","East Granby High School","All Grades","Curl Up","78.8","84.7","92.3","81.4","90.4"
"0405111","0400011","East Granby School District","East Granby Middle School","All Grades","Curl Up","95.9","96.5","88.3","85.5","85.3"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","All Grades","Curl Up","96.2","67.9","96.4","93.4","90.6"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","All Grades","Curl Up","83.7","","","96.0","95.8"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","All Grades","Curl Up","77.4","79.7","81.4","88.5","86.6"
"0420311","0420011","East Hampton School District","Center School","All Grades","Curl Up","77.0","67.2","58.2","51.1","58.5"
"0426111","0420011","East Hampton School District","East Hampton High School","All Grades","Curl Up","87.6","84.8","77.0","78.7","83.3"
"0425111","0420011","East Hampton School District","East Hampton Middle School","All Grades","Curl Up","85.6","87.5","85.4","66.4","91.0"
"0430911","0430011","East Hartford School District","Anna E. Norris School","All Grades","Curl Up","81.8","90.3","87.9","94.4","88.9"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","All Grades","Curl Up","91.1","100.0","92.2","70.0","100.0"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","All Grades","Curl Up","74.3","73.8","88.6","75.4","80.0"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","All Grades","Curl Up","42.6","74.2","82.4","90.8","86.4"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","All Grades","Curl Up","59.6","78.6","67.0","57.1","82.7"
"0436211","0430011","East Hartford School District","East Hartford High School","All Grades","Curl Up","69.4","76.1","76.8","71.5","64.9"
"0435111","0430011","East Hartford School District","East Hartford Middle School","All Grades","Curl Up","90.1","86.2","82.8","70.7","67.4"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","All Grades","Curl Up","83.1","93.9","88.7","92.7","57.7"
"0430511","0430011","East Hartford School District","Hockanum School","All Grades","Curl Up","100.0","90.9","81.0","91.9","86.1"
