"school_code","district_code","district","school","american_indian","asian","black_not_of_hispanic_origin","hispanic_latino","not_reported","white_not_of_hispanic_origin","total"
"0090111","0090011","Bethel School District","Frank A. Berry School","0","32","10","46","0","392","480"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","39","9","48","0","358","454"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","*","577","40","0","*","646"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","*","273","22","0","*","313"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","*","260","22","0","*","302"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","0","7","270","26","0","13","316"
"0110611","0110011","Bloomfield School District","Laurel School","*","0","228","21","0","*","265"
"0110511","0110011","Bloomfield School District","Metacomet School","0","11","202","11","0","8","232"
"0116211","0110011","Bloomfield School District","The Big Picture High School","0","*","68","*","0","8","83"
"0120111","0120011","Bolton School District","Bolton Center School","0","11","26","9","0","537","583"
"0126111","0120011","Bolton School District","Bolton High School","*","*","8","*","0","261","278"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","9","15","0","229","256"
"0146111","0140011","Branford School District","Branford High School","*","67","*","40","0","969","1111"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","*","78","*","58","0","910","1083"
"0148011","0140011","Branford School District","Indian Neck School","0","*","*","7","0","63","77"
"0141611","0140011","Branford School District","John B. Sliney School","*","19","*","37","0","301","363"
"0141511","0140011","Branford School District","Mary R. Tisko School","*","24","15","*","0","381","436"
"0141411","0140011","Branford School District","Mary T. Murphy School","*","48","*","47","0","294","409"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","0","0","96","*","0","*","160"
"0150111","0150011","Bridgeport School District","Barnum School","0","6","197","386","0","11","600"
"0156111","0150011","Bridgeport School District","Bassick High School","0","33","600","570","0","54","1257"
"0150211","0150011","Bridgeport School District","Beardsley School","*","*","142","233","0","13","392"
"0150311","0150011","Bridgeport School District","Black Rock School","0","*","52","135","0","*","234"
"0154011","0150011","Bridgeport School District","Blackham School","0","46","347","448","0","218","1059"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","0","*","29","0","*","57"
"0150411","0150011","Bridgeport School District","Bryant School","0","27","172","190","0","51","440"
"0156211","0150011","Bridgeport School District","Central High School","*","*","1058","812","0","317","2287"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","0","27","322","713","0","31","1093"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","*","207","92","0","22","343"
"0150511","0150011","Bridgeport School District","Columbus School","0","0","156","397","0","76","629"
"0153911","0150011","Bridgeport School District","Cross School","0","10","233","119","0","11","373"
"0154211","0150011","Bridgeport School District","Curiale School","0","38","260","233","0","31","562"
"0154111","0150011","Bridgeport School District","Dunbar School","0","*","222","166","0","*","397"
"0150711","0150011","Bridgeport School District","Edison School","*","*","153","129","0","25","317"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","0","39","295","363","0","74","771"
"0151111","0150011","Bridgeport School District","Hall School","*","0","140","122","0","*","273"
"0151211","0150011","Bridgeport School District","Hallen School","0","*","240","98","0","*","354"
"0156311","0150011","Bridgeport School District","Harding High School","*","*","696","907","0","32","1652"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","*","188","161","0","73","441"
"0151311","0150011","Bridgeport School District","Hooker School","*","*","193","214","0","51","470"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","0","11","352","217","0","16","596"
"0151911","0150011","Bridgeport School District","Longfellow School","*","*","183","207","0","18","413"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","*","*","230","598","0","19","854"
"0152011","0150011","Bridgeport School District","Madison School","0","17","198","229","0","87","531"
"0159511","0150011","Bridgeport School District","Make The Grade","0","0","23","19","0","0","42"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","*","*","122","247","0","57","445"
"0159411","0150011","Bridgeport School District","New Start Program","0","0","18","14","0","6","38"
"0159211","0150011","Bridgeport School District","Park City Academy","0","0","21","*","0","*","34"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","*","209","150","0","104","501"
"0152511","0150011","Bridgeport School District","Read School","6","12","439","399","0","63","919"
"0152611","0150011","Bridgeport School District","Roosevelt School","0","*","210","324","0","*","550"
"0154411","0150011","Bridgeport School District","Skane Center","0","13","45","104","0","48","210"
"0159111","0150011","Bridgeport School District","The University School","0","0","18","*","0","*","24"
"0153011","0150011","Bridgeport School District","Waltersville School","0","9","148","387","0","17","561"
"0153611","0150011","Bridgeport School District","Winthrop School","0","33","271","236","0","189","729"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","*","*","0","13","23"
"0176111","0170011","Bristol School District","Bristol Central High School","*","*","114","192","0","1089","1417"
"0176211","0170011","Bristol School District","Bristol Eastern High School","*","*","111","143","0","1027","1318"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","*","23","78","160","*","614","881"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","*","*","45","127","0","184","372"
"0170111","0170011","Bristol School District","Clarence A. Bingham School","0","*","*","47","0","177","242"
"0170311","0170011","Bristol School District","Edgewood School","0","6","31","83","0","239","359"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","0","19","33","79","0","361","492"
"0170511","0170011","Bristol School District","Greene-Hills School","0","12","21","57","0","277","367"
"0171911","0170011","Bristol School District","Ivy Drive School","*","*","30","41","0","303","382"
"0170611","0170011","Bristol School District","John J. Jennings School","*","*","16","42","0","301","366"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","0","13","47","82","0","401","543"
"0171711","0170011","Bristol School District","Mountain View School","0","25","27","45","0","294","391"
"0175211","0170011","Bristol School District","Northeast Middle School","*","*","48","56","0","451","566"
"0171111","0170011","Bristol School District","South Side School","0","13","46","95","0","421","575"
"0171211","0170011","Bristol School District","Stafford School","0","19","28","84","0","386","517"
"0186111","0180011","Brookfield School District","Brookfield High School","0","27","13","18","0","958","1016"
"0180311","0180011","Brookfield School District","Center Elementary School","*","28","*","25","0","348","406"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","*","37","*","34","0","530","609"
"0185311","0180011","Brookfield School District","Whisconier Middle School","*","32","*","24","0","850","915"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","*","*","15","13","0","540","581"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","*","7","*","8","0","381","400"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","*","0","0","*","0","81","85"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","*","*","8","14","0","325","357"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","*","*","*","*","0","226","242"
"0236111","0230011","Canton School District","Canton High School","*","*","17","13","0","483","522"
"0230311","0230011","Canton School District","Canton Intermediate School","0","7","11","10","0","366","394"
"0235111","0230011","Canton School District","Canton Middle School","0","*","6","*","0","265","279"
"0230211","0230011","Canton School District","Cherry Brook Primary School","*","25","*","20","0","490","553"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","*","*","21","25","0","22","78"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","0","0","0","0","0","16","16"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","*","*","60","36","0","132","251"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","0","*","68","*","0","59","164"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","0","*","48","*","0","52","147"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","0","0","*","*","0","15","18"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","*","*","41","33","0","35","124"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","0","0","22","29","0","17","68"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","*","*","407","82","0","165","683"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","0","7","123","131","0","71","332"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","*","0","48","*","0","32","105"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","*","*","44","34","0","62","149"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","0","*","9","*","0","40","53"
"2419314","2410014","Capitol Region Education Council","River Street School","0","*","31","*","0","99","149"
"2419114","2410014","Capitol Region Education Council","Soundbridge","0","9","8","13","0","68","98"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","*","*","153","165","0","247","589"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","*","*","195","81","0","107","412"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","*","*","*","14","0","158","178"
"2870113","2870013","Charter School for Young Children on Asylum Hill District","Charter School for Young Children on Asylum Hill  Inc.","*","*","55","34","0","45","136"
"0250111","0250011","Cheshire School District","Chapman School","0","26","7","16","0","280","329"
"0256111","0250011","Cheshire School District","Cheshire High School","*","108","*","39","0","1396","1579"
"0250211","0250011","Cheshire School District","Darcey School","*","33","*","17","0","324","385"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","61","*","18","0","727","818"
"0250611","0250011","Cheshire School District","Doolittle School","*","46","*","17","0","458","532"
"0250411","0250011","Cheshire School District","Highland School","0","79","10","29","0","751","869"
"0259011","0250011","Cheshire School District","Humiston School","0","0","0","*","0","*","24"
"0250511","0250011","Cheshire School District","Norton School","*","40","*","15","0","404","470"
"0260111","0260011","Chester School District","Chester Elementary School","0","8","*","*","0","302","319"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","7","*","17","0","284","313"
"0275111","0270011","Clinton School District","Jared Eliot School","0","17","7","27","0","441","492"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","*","16","*","54","0","611","689"
"0276111","0270011","Clinton School District","The Morgan School","0","*","*","38","0","528","590"
"0286111","0280011","Colchester School District","Bacon Academy","*","*","32","28","0","894","968"
"0280411","0280011","Colchester School District","Colchester Elementary School","*","*","19","28","0","669","739"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","9","16","19","27","0","639","710"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","6","8","31","35","0","683","763"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","*","*","*","0","0","109","116"
"0300111","0300011","Columbia School District","Horace W. Porter School","*","*","*","19","0","547","573"
"2686113","2680013","Common Ground High School District","Common Ground High School","0","*","71","57","0","*","155"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","*","*","210","369","0","32","615"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","*","*","334","467","0","64","875"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","*","*","53","259","0","173","491"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","*","*","233","259","0","29","524"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","8","8","77","158","0","367","618"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","*","*","19","60","0","436","520"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","*","*","49","214","0","453","727"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","*","10","*","19","0","528","568"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","*","*","36","135","0","399","578"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","*","*","70","78","0","435","597"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","0","*","92","96","0","*","225"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","*","*","29","39","0","392","473"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","*","*","15","24","0","693","741"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","*","*","128","195","0","545","884"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","*","45","53","0","479","583"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","*","*","136","216","0","355","716"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","*","*","13","121","0","376","522"
"2439014","2430014","Cooperative Educational Services","C. E. S. Special Education","*","*","57","47","0","162","270"
"2438014","2430014","Cooperative Educational Services","School Readiness","0","0","22","22","0","10","54"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","*","*","167","122","0","121","430"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","0","6","*","*","0","109","122"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","*","*","8","15","0","487","514"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","0","0","0","0","0","14","14"
"0320211","0320011","Coventry School District","Coventry Grammar School","*","*","7","9","0","385","410"
"0326111","0320011","Coventry School District","Coventry High School","*","*","12","8","0","526","553"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","*","8","12","0","434","461"
"0336111","0330011","Cromwell School District","Cromwell High School","*","*","45","25","0","494","573"
"0335111","0330011","Cromwell School District","Cromwell Middle School","*","*","47","27","0","363","462"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","0","26","39","38","0","385","488"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","*","*","37","29","0","405","494"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","0","*","*","22","0","42","86"
"0345111","0340011","Danbury School District","Broadview Middle School","*","103","*","282","0","623","1105"
"0346111","0340011","Danbury School District","Danbury High School","*","*","298","829","0","1483","2839"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","0","25","35","167","0","124","351"
"0341111","0340011","Danbury School District","Great Plain School","0","14","26","94","0","167","301"
"0340211","0340011","Danbury School District","Hayestown Avenue School","0","56","38","141","0","171","406"
"0341711","0340011","Danbury School District","King Street Intermediate School","*","*","24","76","0","195","317"
"0341311","0340011","Danbury School District","King Street Primary School","*","24","*","101","0","197","334"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","0","23","47","99","0","183","352"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","0","25","38","81","0","152","296"
"0340611","0340011","Danbury School District","Morris Street School","0","15","30","188","0","113","346"
"0340811","0340011","Danbury School District","Park Avenue School","0","36","46","175","0","143","400"
"0341511","0340011","Danbury School District","Pembroke School","*","31","*","100","0","175","336"
"0345211","0340011","Danbury School District","Rogers Park Middle School","0","92","127","377","0","424","1020"
"0341211","0340011","Danbury School District","Shelter Rock School","*","44","*","138","0","163","375"
"0341011","0340011","Danbury School District","South Street School","*","*","27","160","0","128","335"
"0341611","0340011","Danbury School District","Stadley Rough School","0","45","30","136","0","259","470"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","*","27","*","49","0","270","371"
"0356111","0350011","Darien School District","Darien High School","6","29","14","29","0","1158","1236"
"0350211","0350011","Darien School District","Hindley Elementary School","*","11","*","6","0","496","518"
"0350711","0350011","Darien School District","Holmes Elementary School","*","15","*","13","0","442","475"
"0355111","0350011","Darien School District","Middlesex Middle School","*","31","*","20","0","1073","1132"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","0","10","*","*","0","473","495"
"0350511","0350011","Darien School District","Royle Elementary School","*","23","*","14","0","399","440"
"0350611","0350011","Darien School District","Tokeneke Elementary School","0","*","8","*","0","411","425"
"0360111","0360011","Deep River School District","Deep River Elementary School","*","*","9","25","0","315","353"
"3370315","3370015","Department of Mental Health and Addiction Services","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","0","0","*","*","0","*","*"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","0","*","*","0","0","0","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","0","0","0","0","0","*","*"
"0370611","0370011","Derby School District","Bradley School","0","23","33","54","0","273","383"
"0376111","0370011","Derby School District","Derby High School","*","*","98","115","0","406","641"
"0370411","0370011","Derby School District","Irving School","0","9","95","144","0","190","438"
"0400111","0400011","East Granby School District","Allgrove School","*","11","15","*","0","250","288"
"0406111","0400011","East Granby School District","East Granby High School","*","13","9","*","0","226","252"
"0405111","0400011","East Granby School District","East Granby Middle School","*","*","9","6","0","197","216"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","*","6","8","*","0","122","142"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","*","7","*","12","0","410","433"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","0","*","*","8","0","400","418"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","*","*","10","18","0","538","572"
"0420311","0420011","East Hampton School District","Center School","0","*","*","16","0","325","350"
"0426111","0420011","East Hampton School District","East Hampton High School","*","12","10","*","0","564","595"
"0425111","0420011","East Hampton School District","East Hampton Middle School","0","*","10","*","0","451","474"
"0420111","0420011","East Hampton School District","Memorial School","0","15","8","27","0","579","629"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","0","*","*","0","0","*","7"
"0430911","0430011","East Hartford School District","Anna E. Norris School","0","18","123","154","0","27","322"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","*","*","44","46","0","68","169"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","0","23","147","189","0","51","410"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","*","*","142","132","0","36","332"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","*","*","89","100","0","115","322"
"0436211","0430011","East Hartford School District","East Hartford High School","6","114","657","654","0","467","1898"
"0435111","0430011","East Hartford School District","East Hartford Middle School","8","53","345","368","0","193","967"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","*","*","99","93","0","88","353"
"0430511","0430011","East Hartford School District","Hockanum School","0","17","129","143","0","44","333"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","*","*","105","95","0","114","331"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","*","*","176","163","0","42","414"
"0431211","0430011","East Hartford School District","Silver Lane School","*","*","122","147","0","21","297"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","0","*","56","47","0","*","148"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","*","*","177","197","0","89","492"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","*","*","93","124","0","42","278"
"0439011","0430011","East Hartford School District","Woodland School","0","*","67","70","0","*","169"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","*","14","*","*","0","207","228"
"0441411","0440011","East Haven School District","D. C. Moore School","*","*","8","48","0","167","233"
"0440111","0440011","East Haven School District","Deer Run School","*","20","*","59","0","243","337"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","0","*","*","16","0","160","189"
"0446111","0440011","East Haven School District","East Haven High School","*","46","*","97","0","834","1014"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","*","10","*","38","0","155","212"
"0441911","0440011","East Haven School District","Hays School","*","8","*","20","0","129","163"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","*","15","*","69","0","402","499"
"0440711","0440011","East Haven School District","Momauguin School","*","6","*","46","0","147","204"
"0441811","0440011","East Haven School District","Overbrook Elementary School","0","*","*","25","0","119","159"
"0449011","0440011","East Haven School District","Pathways","0","0","*","*","0","41","46"
"0441611","0440011","East Haven School District","Robert W. Carbone School","*","14","*","43","0","228","292"
"0456111","0450011","East Lyme School District","East Lyme High School","7","79","19","37","0","1105","1247"
"0455111","0450011","East Lyme School District","East Lyme Middle School","7","88","17","22","0","736","870"
"0450111","0450011","East Lyme School District","Flanders School","*","50","*","9","0","307","368"
"0458011","0450011","East Lyme School District","Integrated Preschool","0","*","*","*","0","43","50"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","*","33","16","*","0","302","366"
"0450211","0450011","East Lyme School District","Niantic Center School","0","17","8","15","0","207","247"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","*","*","93","71","0","383","600"
"0476111","0470011","East Windsor School District","East Windsor High School","*","*","60","31","0","307","411"
"0475411","0470011","East Windsor School District","East Windsor Middle School","*","*","52","38","0","319","424"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","*","*","*","7","0","55","65"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","*","0","*","*","0","43","48"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","0","0","*","*","0","23","34"
"0390111","0390011","Eastford School District","Eastford Elementary School","0","*","*","*","0","173","185"
"0465111","0460011","Easton School District","Helen Keller Middle School","0","11","6","16","0","354","387"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","0","35","9","26","0","699","769"
"2428014","2420014","EdAdvance","EdAdvance Headstart","0","*","*","52","0","101","167"
"2429014","2420014","EdAdvance","The ACCESS School at The Danuta M. Thibodeau Education Center","0","*","*","*","0","17","27"
"0480111","0480011","Ellington School District","Center School","*","13","17","*","0","386","429"
"0480211","0480011","Ellington School District","Crystal Lake School","0","*","*","*","0","215","221"
"0486111","0480011","Ellington School District","Ellington High School","*","20","21","*","0","720","778"
"0485111","0480011","Ellington School District","Ellington Middle School","0","6","10","7","0","367","390"
"0480711","0480011","Ellington School District","Windermere Intermediate School","*","*","18","17","0","356","406"
"0480611","0480011","Ellington School District","Windermere School","*","42","20","*","0","339","410"
"2810113","2810013","Elm City College Preparatory School","Elm City College Preparatory School","0","0","401","*","0","*","509"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","0","*","7","*","0","322","339"
"0491611","0490011","Enfield School District","Eli Whitney School","*","*","29","18","0","344","404"
"0496111","0490011","Enfield School District","Enfield High School","*","*","66","54","0","750","893"
"0490211","0490011","Enfield School District","Enfield Street School","0","7","43","38","0","260","348"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","0","*","*","*","0","*","8"
"0496211","0490011","Enfield School District","Enrico Fermi High School","*","*","55","43","0","1038","1174"
"0491211","0490011","Enfield School District","Harriet Beecher Stowe School","0","*","17","*","0","254","283"
"0490411","0490011","Enfield School District","Hazardville Memorial School","*","*","29","12","0","355","405"
"0498011","0490011","Enfield School District","Head Start Program","*","*","13","21","0","67","104"
"0491811","0490011","Enfield School District","Henry Barnard School","*","*","70","36","0","297","418"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","0","15","72","38","0","798","923"
"0491111","0490011","Enfield School District","Nathan Hale School","0","6","17","9","0","231","263"
"0491511","0490011","Enfield School District","Prudence Crandall School","*","*","20","23","0","373","435"
"0491711","0490011","Enfield School District","Thomas G. Alcorn School","*","*","57","60","0","170","299"
"0500111","0500011","Essex School District","Essex Elementary School","*","15","*","18","0","546","594"
"2726113","2720013","Explorations District","Explorations","0","*","*","*","0","79","85"
"0510211","0510011","Fairfield School District","Burr Elementary School","*","10","*","14","0","438","469"
"0510111","0510011","Fairfield School District","Dwight Elementary School","0","*","*","15","0","295","322"
"0518011","0510011","Fairfield School District","Early Childhood Center","0","*","*","14","0","105","126"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","*","55","*","56","0","1241","1392"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","*","61","*","114","0","1044","1273"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","0","26","14","25","0","540","605"
"0510411","0510011","Fairfield School District","Holland Hill School","0","43","17","26","0","264","350"
"0511711","0510011","Fairfield School District","Jennings School","0","23","9","16","0","308","356"
"0510611","0510011","Fairfield School District","McKinley School","0","53","29","86","0","268","436"
"0510711","0510011","Fairfield School District","Mill Hill School","0","23","7","27","0","413","470"
"0511611","0510011","Fairfield School District","North Stratfield School","*","29","*","31","0","434","502"
"0511811","0510011","Fairfield School District","Osborn Hill School","0","23","*","*","0","485","527"
"0511211","0510011","Fairfield School District","Riverfield School","0","*","*","17","0","441","478"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","0","46","20","74","0","749","889"
"0511311","0510011","Fairfield School District","Sherman School","*","25","*","11","0","403","446"
"0511411","0510011","Fairfield School District","Stratfield School","*","39","*","28","0","462","542"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","0","38","14","41","0","677","770"
"0520411","0520011","Farmington School District","East Farms School","0","58","22","22","0","326","428"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","0","7","*","*","0","63","72"
"0526111","0520011","Farmington School District","Farmington High School","0","97","81","44","0","1138","1360"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","*","75","*","29","0","539","671"
"0520211","0520011","Farmington School District","Noah Wallace School","0","58","22","24","0","241","345"
"0520111","0520011","Farmington School District","Union School","*","19","24","*","0","238","295"
"0520311","0520011","Farmington School District","West District School","*","35","10","*","0","292","345"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","*","76","43","*","0","522","676"
