"school_code","district_code","district","school","subject","ell","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","N","691","690","99.9","690","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","N","219","219","100.0","219","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","N","219","219","100.0","219","*","*","*","*","*","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","N","124","124","100.0","124","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","N","124","124","100.0","124","*","*","*","*","*","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","N","679","674","99.3","674","*","*","*","*","*","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","Y","14","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","N","679","674","99.3","674","*","*","*","*","*","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","Y","14","13","*","13","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","N","374","374","100.0","374","*","*","*","*","*","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","Y","13","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","N","374","373","99.7","372","*","*","*","*","*","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","Y","13","13","*","13","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELA","N","8","0","*","0","*","*","*","*","*","*","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Math","N","9","0","*","0","*","*","*","*","*","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","N","238","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","Y","6","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","N","239","238","99.6","238","*","*","*","*","*","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
