"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"0458011","0450011","East Lyme School District","Integrated Preschool","44","51","40","41","46","58"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","365","338","335","339","314","290"
"0450711","0450011","East Lyme School District","Medically Fragile Program (WAVES)","0","0","0","0","0","*"
"0450211","0450011","East Lyme School District","Niantic Center School","229","211","198","190","179","168"
"0450511","0450011","East Lyme School District","Post High School Transition Program","0","0","0","0","16","16"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","558","532","514","506","480","381"
"0476111","0470011","East Windsor School District","East Windsor High School","378","374","362","348","332","324"
"0475411","0470011","East Windsor School District","East Windsor Middle School","393","378","378","345","313","388"
"0470411","0470011","East Windsor School District","East Windsor Transition Program","0","0","0","0","0","*"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","ACT Magnet School (Arts at the Capitol Theater) - Full Time","112","0","0","0","0","0"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","0","126","136","144","141","129"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","67","59","83","95","110","117"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","105","110","111","127","160","179"
"0390111","0390011","Eastford School District","Eastford Elementary School","180","176","168","152","139","134"
"0465111","0460011","Easton School District","Helen Keller Middle School","396","391","390","351","323","309"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","705","666","629","610","612","612"
"2428014","2420014","Education Connection","Education Connection Headstart","183","197","216","189","220","213"
"2429014","2420014","Education Connection","Education Connection Special Education","34","24","33","40","30","14"
"0480111","0480011","Ellington School District","Center School","432","448","432","393","376","361"
"0480211","0480011","Ellington School District","Crystal Lake School","217","217","210","203","198","201"
"0486111","0480011","Ellington School District","Ellington High School","791","800","789","797","773","771"
"0485111","0480011","Ellington School District","Ellington Middle School","410","421","428","409","434","420"
"0480711","0480011","Ellington School District","Windermere Intermediate School","436","419","422","416","435","446"
"0480611","0480011","Ellington School District","Windermere School","439","442","433","439","439","430"
"0480311","0480011","Ellington School District","Windermere School Program for Alternative Learning K-4","0","0","0","0","0","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","585","600","604","624","635","703"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","0","0","0","0","70","113"
"0490511","0490011","Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","0","0","0","0","6","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","325","401","359","336","326","323"
"0491411","0490011","Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","0","0","0","0","0","*"
"0491611","0490011","Enfield School District","Eli Whitney School","418","416","396","384","377","411"
"0496111","0490011","Enfield School District","Enfield High School","809","744","727","707","709","715"
"0490311","0490011","Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","0","0","0","0","6","8"
"0490211","0490011","Enfield School District","Enfield Street School","347","300","302","288","286","276"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","10","10","21","15","10","6"
"0496211","0490011","Enfield School District","Enrico Fermi High School","1102","1058","988","918","887","861"
"0491211","0490011","Enfield School District","Harriet Beecher Stowe School","234","0","0","0","0","0"
"0490411","0490011","Enfield School District","Hazardville Memorial School","366","366","381","354","360","344"
"0498011","0490011","Enfield School District","Head Start Program","104","104","104","104","104","104"
"0490611","0490011","Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","0","0","0","0","*","*"
"0491811","0490011","Enfield School District","Henry Barnard School","397","362","385","340","356","364"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","848","1201","1148","1121","1099","1065"
"0490811","0490011","Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","0","0","0","0","6","6"
"0491111","0490011","Enfield School District","Nathan Hale School","247","258","222","221","223","222"
"0490711","0490011","Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","0","0","0","0","6","*"
"0491511","0490011","Enfield School District","Prudence Crandall School","379","433","426","418","389","412"
"0491011","0490011","Enfield School District","Stowe - Early Learning Center (SELC)","0","0","0","0","0","36"
"0491711","0490011","Enfield School District","Thomas G. Alcorn School","301","0","0","0","0","0"
"0500111","0500011","Essex School District","Essex Elementary School","593","558","528","508","451","417"
"2726113","2720013","Explorations District","Explorations","80","74","73","83","88","92"
"0510211","0510011","Fairfield School District","Burr Elementary School","420","443","445","453","428","418"
"0510111","0510011","Fairfield School District","Dwight Elementary School","314","291","278","306","319","335"
"0518011","0510011","Fairfield School District","Early Childhood Center","118","130","132","110","111","112"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","1503","1537","1552","1509","1541","1508"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","1328","1353","1418","1459","1442","1518"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","668","769","851","926","915","886"
"0510411","0510011","Fairfield School District","Holland Hill School","333","352","380","398","407","405"
"0511711","0510011","Fairfield School District","Jennings School","347","361","334","327","324","320"
"0510611","0510011","Fairfield School District","McKinley School","490","453","440","458","442","426"
"0510711","0510011","Fairfield School District","Mill Hill School","474","459","445","429","413","382"
"0511611","0510011","Fairfield School District","North Stratfield School","483","485","454","444","441","415"
"0511811","0510011","Fairfield School District","Osborn Hill School","538","542","518","526","503","489"
"0511211","0510011","Fairfield School District","Riverfield School","451","419","409","399","398","408"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","985","997","940","860","805","802"
"0511311","0510011","Fairfield School District","Sherman School","442","456","449","457","475","479"
"0511411","0510011","Fairfield School District","Stratfield School","504","511","505","497","460","440"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","784","756","744","698","720","685"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","0","0","0","0","33","26"
"0520411","0520011","Farmington School District","East Farms School","469","464","435","433","445","443"
"0520611","0520011","Farmington School District","Farmington Alternative High School","0","0","0","0","13","12"
"0528011","0520011","Farmington School District","Farmington Collaborative PK","76","69","61","76","78","123"
"0526111","0520011","Farmington School District","Farmington High School","1309","1293","1322","1314","1264","1220"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","688","652","610","571","570","623"
"0520211","0520011","Farmington School District","Noah Wallace School","346","341","358","338","334","363"
"0520111","0520011","Farmington School District","Union School","300","307","320","316","305","322"
"0520311","0520011","Farmington School District","West District School","338","347","365","341","315","300"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","603","575","578","620","673","663"
"0530111","0530011","Franklin School District","Franklin Elementary School","222","204","200","181","167","167"
"0541311","0540011","Glastonbury School District","Alternate Program","0","0","0","0","*","0"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","518","545","486","479","450","459"
"0540311","0540011","Glastonbury School District","Eastbury School","303","320","319","294","260","256"
"0540811","0540011","Glastonbury School District","Gideon Welles School","506","506","525","509","519","479"
"0546111","0540011","Glastonbury School District","Glastonbury High School","2201","2204","2239","2140","2038","2037"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","505","466","471","441","397","400"
"0540611","0540011","Glastonbury School District","Hopewell School","502","481","456","438","411","386"
"0540111","0540011","Glastonbury School District","LINKS Academy","0","0","0","38","0","0"
"0541411","0540011","Glastonbury School District","LINKS Transition","0","0","0","0","17","15"
"0540111","0540011","Glastonbury School District","Links Academy","0","0","0","0","16","19"
"0540711","0540011","Glastonbury School District","Naubuc School","497","451","442","413","387","361"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","663","646","623","609","550","553"
"0541111","0540011","Glastonbury School District","PRIDE-Hebron Avenue","0","0","0","0","*","0"
"0541211","0540011","Glastonbury School District","PRIDE-Nayaug","0","0","0","0","8","0"
"0540511","0540011","Glastonbury School District","PreK-Eastbury","0","0","0","0","18","30"
"0541011","0540011","Glastonbury School District","PreK-Nayaug","0","0","0","0","20","19"
"0545211","0540011","Glastonbury School District","Smith Middle School","1113","1076","1025","1034","1031","1036"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","423","392","386","390","378","408"
"0566111","0560011","Granby School District","Granby Memorial High School","785","756","759","724","683","694"
"0565111","0560011","Granby School District","Granby Memorial Middle School","355","356","329","332","330","312"
"0560411","0560011","Granby School District","Kelly Lane Intermediate School","330","327","327","316","280","271"
"0560311","0560011","Granby School District","Wells Road Intermediate School","347","327","303","288","283","261"
"2940113","2940013","Great Oaks Charter School District","Great Oaks Charter School","0","0","0","0","127","226"
"0571411","0570011","Greenwich School District","Alternative High School Programs","0","0","0","0","46","32"
"0575111","0570011","Greenwich School District","Central Middle School","621","604","599","595","578","567"
"0571211","0570011","Greenwich School District","Community Connections","0","0","0","0","10","*"
"0570211","0570011","Greenwich School District","Cos Cob School","418","402","434","444","438","437"
"0575211","0570011","Greenwich School District","Eastern Middle School","793","774","782","779","811","822"
"0570411","0570011","Greenwich School District","Glenville School","347","385","407","405","424","451"
"0576111","0570011","Greenwich School District","Greenwich High School","2673","2656","2677","2636","2501","2534"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","416","413","409","386","391","364"
"0571311","0570011","Greenwich School District","International School At Dundee","372","366","369","378","370","368"
"0570311","0570011","Greenwich School District","Julian Curtiss School","353","343","344","344","369","361"
"0570611","0570011","Greenwich School District","New Lebanon School","243","261","261","264","264","265"
"0570711","0570011","Greenwich School District","North Mianus School","452","461","465","447","487","482"
"0570811","0570011","Greenwich School District","North Street School","451","438","414","394","384","392"
"0570911","0570011","Greenwich School District","Old Greenwich School","410","428","425","428","432","449"
"0571111","0570011","Greenwich School District","Parkway School","292","268","272","265","258","261"
"0571011","0570011","Greenwich School District","Riverside School","514","522","482","496","497","483"
"0575311","0570011","Greenwich School District","Western Middle School","493","474","504","504","532","535"
"0580111","0580011","Griswold School District","Griswold Alternative School","0","0","0","0","15","14"
"0580311","0580011","Griswold School District","Griswold Elementary School","726","727","749","786","756","757"
"0586211","0580011","Griswold School District","Griswold High School","709","652","624","602","571","565"
"0585111","0580011","Griswold School District","Griswold Middle School","570","586","585","577","547","545"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","359","355","462","449","461","495"
"0590311","0590011","Groton School District","Catherine Kolnaski Magnet School","433","410","384","387","378","364"
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","433","410","384","387","378","364"
"0591811","0590011","Groton School District","Charles Barnum School","384","392","401","385","358","383"
"0590311","0590011","Groton School District","Claude Chester School","0","0","0","362","356","331"
"0595111","0590011","Groton School District","Fitch Middle School","411","407","0","0","0","0"
"0591711","0590011","Groton School District","Mary Morrisson School","353","373","363","422","396","376"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","0","0","0","0","0","22"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","428","425","403","410","399","379"
"0591211","0590011","Groton School District","Pleasant Valley School","302","356","340","294","287","296"
"0596111","0590011","Groton School District","Robert E. Fitch High School","1271","1237","1183","1123","1089","1070"
"0590111","0590011","Groton School District","S. B. Butler School","347","321","352","333","309","282"
"0590611","0590011","Groton School District","Virtual Learning Academy","0","0","0","0","0","*"
"0595211","0590011","Groton School District","West Side Middle School","248","268","506","480","473","455"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","587","585","566","580","534","559"
"0600611","0600011","Guilford School District","A. W. Cox School","316","313","332","313","322","302"
"0600411","0600011","Guilford School District","Calvin Leete School","335","327","292","287","262","254"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","572","551","592","583","559","552"
"0606111","0600011","Guilford School District","Guilford High School","1113","1131","1070","1067","1076","1083"
"0600211","0600011","Guilford School District","Guilford Lakes School","409","389","362","343","329","322"
"0600311","0600011","Guilford School District","Melissa Jones School","346","360","348","337","318","321"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","87","89","100","137","150","150"
"0621211","0620011","Hamden School District","Bear Path School","466","468","463","449","448","456"
"0620211","0620011","Hamden School District","Church Street School","407","406","370","352","327","333"
"0620311","0620011","Hamden School District","Dunbar Hill School","309","321","308","309","296","274"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","0","0","0","0","72","73"
"0626111","0620011","Hamden School District","Hamden High School","1934","1853","1802","1811","1696","1598"
"0625211","0620011","Hamden School District","Hamden Middle School","900","907","899","865","803","816"
"0620411","0620011","Hamden School District","Helen Street School","282","267","288","330","331","316"
"0621111","0620011","Hamden School District","Ridge Hill School","341","321","334","299","322","317"
"0620111","0620011","Hamden School District","Shepherd Glen School","342","337","336","328","320","304"
"0621011","0620011","Hamden School District","Spring Glen School","377","394","429","435","434","445"
"0621411","0620011","Hamden School District","West Woods School","535","476","461","450","430","408"
"0630111","0630011","Hampton School District","Hampton Elementary School","140","126","116","111","105","101"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","0","0","0","0","256","268"
"0640711","0640011","Hartford School District","Asian Studies Academy","340","449","556","635","0","0"
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","0","0","0","0","662","649"
"0644511","0640011","Hartford School District","Autism Program - Clark School","0","0","0","0","18","0"
"0645711","0640011","Hartford School District","Autism Program - Dr. James H Naylor / CCSU","0","0","0","0","23","8"
"0644311","0640011","Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","0","0","0","0","7","*"
"0644211","0640011","Hartford School District","Autism Program - Fred D. Wish Museum School","0","0","0","0","24","0"
"0644411","0640011","Hartford School District","Autism Program - Sarah J. Rawson Elementary School","0","0","0","0","12","45"
"0649311","0640011","Hartford School District","Autism Program - Simpson-Waverly","0","0","0","0","0","14"
"0648611","0640011","Hartford School District","Autism Program-Burr School","0","0","0","0","0","9"
"0640411","0640011","Hartford School District","Batchelder School","590","565","520","527","466","478"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","0","0","0","0","288","279"
"0643511","0640011","Hartford School District","Breakthrough II Elementary School","142","171","222","252","0","0"
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","0","0","0","0","318","280"
"0643311","0640011","Hartford School District","Breakthrough Magnet School","351","355","355","361","357","355"
"0646111","0640011","Hartford School District","Bulkeley High School Lower School","670","625","586","493","489","412"
"0647111","0640011","Hartford School District","Bulkeley High School Upper School","489","399","407","378","373","379"
"0640611","0640011","Hartford School District","Burns Latino Studies Academy","664","596","598","541","581","520"
"0642311","0640011","Hartford School District","Burr School","706","807","729","708","684","590"
"0643911","0640011","Hartford School District","Capital Community College Magnet Academy","0","0","0","0","47","56"
"0646911","0640011","Hartford School District","Capital Preparatory Magnet School","336","521","674","701","672","629"
"0642411","0640011","Hartford School District","Clark School","381","397","379","369","335","246"
"0646411","0640011","Hartford School District","Classical Magnet School","710","714","701","690","702","663"
"0646011","0640011","Hartford School District","Culinary Arts Academy","245","297","244","294","275","285"
"0649411","0640011","Hartford School District","DDP - Simpson-Waverly","0","0","0","0","0","*"
"0641411","0640011","Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","699","704","723","660","682","660"
"0645311","0640011","Hartford School District","Dr. Joseph Bellizzi Middle School","293","146","57","0","0","0"
"0642811","0640011","Hartford School District","Dr. Ramon E. Betances Early Reading Lab","311","315","323","278","0","0"
"0645811","0640011","Hartford School District","EDP - Betances Early Reading Lab","0","0","0","0","8","17"
"0648311","0640011","Hartford School District","EDP - Bulkeley High School","0","0","0","0","*","15"
"0648211","0640011","Hartford School District","EDP - HPHS Academy of Engineering and Green Technology","0","0","0","0","19","29"
"0645911","0640011","Hartford School District","EDP - M.D. Fox","0","0","0","0","28","34"
"0648111","0640011","Hartford School District","EDP - McDonough Expeditionary Learning School","0","0","0","0","*","9"
"0644111","0640011","Hartford School District","Early Childhood Development Center (ECDC)","0","0","0","0","*","28"
"0640911","0640011","Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","275","358","570","596","607","613"
"0643211","0640011","Hartford School District","Expeditionary Learning Academy at Moylan School","677","749","702","593","577","532"
"0642211","0640011","Hartford School District","Fred D. Wish Museum School","443","392","392","354","303","304"
"0643611","0640011","Hartford School District","Global Communications Academy","0","417","420","492","621","661"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","0","0","274","249","0","0"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","394","433","438","414","372","304"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","383","378","489","458","393","362"
"0647311","0640011","Hartford School District","HPHS Freshmen Academy","318","221","0","0","0","0"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","378","396","533","481","389","367"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","611","716","820","918","1001","1022"
"0641311","0640011","Hartford School District","Hartford PreKindergarten Magnet School","0","0","0","120","144","143"
"0649011","0640011","Hartford School District","Hartford Transitional Learning Academy (Elementary)","32","32","40","43","0","0"
"0647611","0640011","Hartford School District","High School Inc.","256","321","373","343","256","0"
"0647611","0640011","Hartford School District","High School, Inc.","0","0","0","0","0","233"
"0648411","0640011","Hartford School District","High Step Transition","0","0","0","0","10","16"
"0643611","0640011","Hartford School District","IB Global Communications Academy","372","0","0","0","0","0"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","229","317","195","201","190","207"
"0641011","0640011","Hartford School District","Kennelly School","781","799","703","658","621","571"
"0641111","0640011","Hartford School District","Kinsella Magnet School of Performing Arts","0","0","0","0","0","910"
"0649511","0640011","Hartford School District","LC - Breakthrough II","0","0","0","0","0","*"
"0649611","0640011","Hartford School District","LC - Burns","0","0","0","0","0","8"
"0649811","0640011","Hartford School District","LC - Moylan","0","0","0","0","0","*"
"0640811","0640011","Hartford School District","M. D. Fox Elementary School","846","479","533","569","602","621"
"0641611","0640011","Hartford School District","M. L. King School","468","401","382","316","329","356"
"0644811","0640011","Hartford School District","MDP - Batchelder School","0","0","0","0","12","17"
"0645011","0640011","Hartford School District","MDP - Bulkeley High School","0","0","0","0","21","17"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","0","0","0","0","23","27"
"0648511","0640011","Hartford School District","MDP - Moylan School","0","0","0","0","*","11"
"0641211","0640011","Hartford School District","McDonough Expeditionary Learning School","419","451","385","291","252","239"
"0641911","0640011","Hartford School District","Milner Elementary School","412","422","373","376","330","334"
"0643711","0640011","Hartford School District","Montessori Magnet School at Annie Fisher","198","240","279","291","323","0"
"0643711","0640011","Hartford School District","Montessori Magnet at Fisher School","0","0","0","0","0","340"
"0640511","0640011","Hartford School District","Montessori Magnet at Moylan School","0","0","0","158","212","259"
"0642711","0640011","Hartford School District","New Visions Program","0","0","0","0","51","0"
"0642011","0640011","Hartford School District","Noah Webster Micro Society School","592","582","626","675","678","660"
"0647811","0640011","Hartford School District","OPPortunity High School","123","116","110","99","127","0"
"0641511","0640011","Hartford School District","Parkville Community School","515","531","564","543","532","537"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","355","327","329","330","375","419"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","662","690","760","819","884","0"
"0644011","0640011","Hartford School District","Renzulli Academy","57","105","121","128","83","99"
"0640111","0640011","Hartford School District","SAND School","463","471","484","459","402","394"
"0642511","0640011","Hartford School District","STEM Magnet School at Annie Fisher","328","344","356","359","360","367"
"0643811","0640011","Hartford School District","STEM Magnet School at Dwight","0","0","87","173","253","309"
"0643011","0640011","Hartford School District","Sanchez School","492","469","494","492","485","480"
"0645611","0640011","Hartford School District","Sarah J Rawson Middle Grades Academy","188","202","0","0","0","0"
"0641711","0640011","Hartford School District","Sarah J. Rawson Elementary School","463","452","572","498","484","373"
"0642611","0640011","Hartford School District","Simpson-Waverly School","361","347","326","297","295","293"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","672","637","692","705","702","707"
"0646711","0640011","Hartford School District","University High School of Science and Engineering","0","0","0","0","423","431"
"0646711","0640011","Hartford School District","University High of Science and Engineering","407","389","403","408","0","0"
"0646311","0640011","Hartford School District","Weaver High School","154","0","0","0","0","0"
"0642111","0640011","Hartford School District","West Middle School","688","657","635","498","380","359"
"0650111","0650011","Hartland School District","Hartland School","222","225","214","204","201","187"
"0670211","0670011","Hebron School District","Gilead Hill School","470","400","352","344","294","294"
"0670111","0670011","Hebron School District","Hebron Elementary School","666","648","584","523","491","436"
"2860113","2860013","Highville Charter School District","Highville Charter School","300","337","341","361","403","462"
"2640113","2640013","Integrated Day Charter School District","Integrated Day Charter School","331","330","330","330","331","331"
"2655113","2650013","Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","182","191","191","246","262","271"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","432","488","589","704","716","734"
"0680111","0680011","Kent School District","Kent Center School","287","278","271","272","254","237"
"0680211","0680011","Kent School District","LEAPSS","0","0","0","0","*","0"
"0698011","0690011","Killingly School District","Goodyear Early Childhood Center","107","100","87","101","111","130"
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","0","0","0","0","21","16"
"0690111","0690011","Killingly School District","Killingly Central School","498","493","465","427","382","377"
"0696111","0690011","Killingly School District","Killingly High School","788","822","893","855","792","825"
"0695211","0690011","Killingly School District","Killingly Intermediate School","823","812","791","761","715","688"
"0690311","0690011","Killingly School District","Killingly Memorial School","469","449","436","450","483","484"
"0690411","0690011","Killingly School District","Sunrise Community School","0","0","0","47","0","0"
"2456014","2450014","Learn","Connecticut River Academy","146","246","321","392","407","434"
"2455014","2450014","Learn","Dual Language & Arts Magnet Middle School","82","82","106","118","138","145"
"2450314","2450014","Learn","Goodwin College Early Childhood Interdistrict Magnet School","0","0","0","235","307","370"
"2451214","2450014","Learn","LEARN ABA Program at Center School","0","0","0","0","*","0"
"2451114","2450014","Learn","LEARN Haynes Elementary Intensive Program","0","0","0","0","10","12"
"2450614","2450014","Learn","LEARN High School ABA at MS","0","0","0","0","*","*"
"2450914","2450014","Learn","LEARN Kelly Middle School Intensive Program","0","0","0","0","*","*"
"2450714","2450014","Learn","LEARN Ledyard RICHES Program","0","0","0","0","*","*"
"2450814","2450014","Learn","LEARN SAILS Middle School Program","0","0","0","0","6","*"
"2451014","2450014","Learn","LEARN SAILS Program at Salem","0","0","0","0","6","0"
"2450414","2450014","Learn","LEARN STS 18-21 Year Old Program","0","0","0","0","*","*"
"2451214","2450014","Learn","Learn ABA Program at Center School","0","0","0","0","0","*"
"2450514","2450014","Learn","Learn Pathways Program","0","0","0","0","*","*"
"2451014","2450014","Learn","Learn SAILS Program at Salem","0","0","0","0","0","8"
"2459014","2450014","Learn","Learn Special Education","30","28","28","32","0","0"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","0","110","178","253","272","271"
"2450114","2450014","Learn","Regional Multicultural Magnet School","545","539","549","533","533","535"
"2450214","2450014","Learn","The Friendship School","492","509","513","513","512","505"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","0","0","33","61","61","67"
"0710111","0710011","Lebanon School District","Lebanon Elementary School","484","452","438","392","378","368"
"0715111","0710011","Lebanon School District","Lebanon Middle School","398","386","368","358","336","300"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","521","445","423","396","381","377"
"0720211","0720011","Ledyard School District","Gales Ferry School","207","224","225","225","193","224"
"0720411","0720011","Ledyard School District","Gallup Hill School","345","352","355","360","362","337"
"0720311","0720011","Ledyard School District","Juliet W. Long School","285","270","284","274","294","294"
"0720111","0720011","Ledyard School District","Ledyard Center School","416","413","418","418","415","407"
"0726111","0720011","Ledyard School District","Ledyard High School","928","934","961","933","896","833"
"0725111","0720011","Ledyard School District","Ledyard Middle School","436","390","348","347","350","323"
"0736011","0730011","Lisbon School District","Community Connection - The Big Picture High School","32","24","21","0","0","0"
"0730111","0730011","Lisbon School District","Lisbon Central School","502","453","422","396","398","388"
"0740211","0740011","Litchfield School District","Center School","341","316","280","268","272","270"
"0746111","0740011","Litchfield School District","Litchfield High School","560","543","498","472","477","296"
"0740311","0740011","Litchfield School District","Litchfield Intermediate School","268","263","251","245","229","220"
"0746011","0740011","Litchfield School District","Litchfield Middle School","0","0","0","0","0","175"
"0766111","0760011","Madison School District","Daniel Hand High School","1290","1257","1255","1251","1229","1164"
"0760611","0760011","Madison School District","Dr. Robert H. Brown Middle School","588","541","533","546","488","416"
"0760211","0760011","Madison School District","Island Avenue Elementary School","302","285","266","296","273","268"
"0760111","0760011","Madison School District","J. Milton Jeffrey Elementary School","492","473","462","343","339","338"
"0760311","0760011","Madison School District","Kathleen H. Ryerson Elementary School","275","250","224","242","237","229"
"0769011","0760011","Madison School District","Town Campus Learning Center","43","40","48","45","43","43"
"0765211","0760011","Madison School District","Walter C. Polson Upper Middle School","616","605","591","560","552","556"
"0770911","0770011","Manchester School District","Nathan Hale School","234","287","0","0","0","0"
"0770211","0770011","Manchester School District","Bentley Alternative Education Program","0","0","0","0","51","53"
"0770111","0770011","Manchester School District","Bowers School","409","401","407","425","417","392"
"0770311","0770011","Manchester School District","Buckley School","388","438","332","360","349","365"
"0771711","0770011","Manchester School District","Elisabeth M. Bennet Academy","454","411","406","374","404","420"
"0770411","0770011","Manchester School District","Highland Park School","273","0","264","267","274","262"
"0775311","0770011","Manchester School District","Illing Middle School","901","836","796","801","807","780"
"0770611","0770011","Manchester School District","Keeney School","387","327","346","336","336","354"
"0776111","0770011","Manchester School District","Manchester High School","1880","1779","1693","1619","1526","1534"
"0770811","0770011","Manchester School District","Manchester Preschool - Site 2","0","0","0","0","0","16"
"0778011","0770011","Manchester School District","Manchester Preschool Center","185","194","192","191","165","186"
"0779011","0770011","Manchester School District","Manchester Regional Academy","99","93","80","92","59","67"
"0779111","0770011","Manchester School District","Manchester Transition Center","*","9","14","15","12","13"
"0771611","0770011","Manchester School District","Martin School","221","252","290","282","265","268"
"0770711","0770011","Manchester School District","New Horizons","0","0","0","0","29","22"
"0771011","0770011","Manchester School District","Robertson School","377","375","355","380","407","356"
"0771211","0770011","Manchester School District","Verplanck School","340","358","330","364","412","386"
"0771311","0770011","Manchester School District","Waddell School","348","343","352","342","342","377"
"0771411","0770011","Manchester School District","Washington School","307","302","379","362","373","357"
"0780411","0780011","Mansfield School District","Annie E. Vinton School","274","269","274","256","260","268"
"0780211","0780011","Mansfield School District","Dorothy C. Goodwin School","202","223","221","201","219","207"
"0785111","0780011","Mansfield School District","Mansfield Middle School School","585","575","570","546","519","530"
"0780511","0780011","Mansfield School District","Southeast Elementary School","266","257","252","242","241","242"
"0790111","0790011","Marlborough School District","Elmer Thienes-Mary Hall Elementary School","675","672","639","605","599","556"
"0800711","0800011","Meriden School District","Nathan Hale School","621","608","610","612","646","630"
"0800111","0800011","Meriden School District","Benjamin Franklin School","466","495","500","414","387","346"
"0801111","0800011","Meriden School District","Casimir Pulaski School","706","705","594","581","557","557"
"0800211","0800011","Meriden School District","Community Classroom Collaborative-Meriden School District","0","0","0","0","8","11"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","1235","1259","1217","1173","1210","1177"
"0800311","0800011","Meriden School District","Hanover School","530","521","569","602","628","616"
"0800411","0800011","Meriden School District","Israel Putnam School","561","538","564","611","580","588"
"0800511","0800011","Meriden School District","John Barry School","509","510","479","509","509","476"
"0805211","0800011","Meriden School District","Lincoln Middle School","711","723","755","769","756","743"
"0806211","0800011","Meriden School District","Orville H. Platt High School","1102","1100","1174","1156","1097","1013"
"0800811","0800011","Meriden School District","Roger Sherman School","524","530","500","477","498","559"
"0800611","0800011","Meriden School District","STARS-Meriden School District","0","0","0","0","0","39"
"0800911","0800011","Meriden School District","STEP-Meriden School District","0","0","0","0","0","19"
"0801211","0800011","Meriden School District","Steps-Meriden School District","0","0","0","0","0","16"
"0801011","0800011","Meriden School District","Thomas Hooker School","446","427","428","446","466","421"
"0801311","0800011","Meriden School District","Venture Academy-Meriden School District","0","0","0","0","0","42"
