"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"0130111","0130011","Bozrah School District","Fields Memorial School","233","234","241","243","209","201"
"0146111","0140011","Branford School District","Branford High School","1098","1064","1049","1050","961","914"
"0140211","0140011","Branford School District","Branford High School Horizons Program","0","0","0","0","9","40"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1040","1020","989","942","916","912"
"0148011","0140011","Branford School District","Indian Neck School","53","46","47","36","39","40"
"0141611","0140011","Branford School District","John B. Sliney School","368","365","371","374","355","349"
"0141511","0140011","Branford School District","Mary R. Tisko School","426","384","373","400","388","366"
"0141411","0140011","Branford School District","Mary T. Murphy School","431","439","429","420","413","424"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","0","0","0","115","150","186"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","409","543","702","835","977","1016"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","0","0","0","235","356","494"
"0150111","0150011","Bridgeport School District","Barnum School","632","659","625","626","635","618"
"0156111","0150011","Bridgeport School District","Bassick High School","1171","1073","1177","1120","1008","951"
"0150211","0150011","Bridgeport School District","Beardsley School","370","388","377","376","370","354"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","0","0","0","229","348","489"
"0150311","0150011","Bridgeport School District","Black Rock School","283","305","348","406","413","469"
"0154011","0150011","Bridgeport School District","Blackham School","1114","1066","1130","1127","1114","1131"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","50","51","52","57","65","61"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","0","0","0","116","233","270"
"0150411","0150011","Bridgeport School District","Bryant School","439","413","412","413","406","385"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","0","0","0","0","0","27"
"0156211","0150011","Bridgeport School District","Central High School","2303","2181","2137","1838","1673","1517"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1063","1146","1115","1173","1204","1196"
