"school_code","district_code","district","school","2012_13","total"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","443","443"
"0116111","0110011","Bloomfield School District","Bloomfield High School","541","541"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","220","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","261","261"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","182","182"
"0110611","0110011","Bloomfield School District","Laurel School","335","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","10","10"
"0110511","0110011","Bloomfield School District","Metacomet School","237","237"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","322","322"
"0120111","0120011","Bolton School District","Bolton Center School","533","533"
"0126111","0120011","Bolton School District","Bolton High School","359","359"
"0130111","0130011","Bozrah School District","Fields Memorial School","241","241"
"0146111","0140011","Branford School District","Branford High School","1049","1049"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","989","989"
"0148011","0140011","Branford School District","Indian Neck School","47","47"
"0141611","0140011","Branford School District","John B. Sliney School","371","371"
"0141511","0140011","Branford School District","Mary R. Tisko School","373","373"
"0141411","0140011","Branford School District","Mary T. Murphy School","429","429"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","702","702"
"0150111","0150011","Bridgeport School District","Barnum School","625","625"
"0156111","0150011","Bridgeport School District","Bassick High School","1177","1177"
"0150211","0150011","Bridgeport School District","Beardsley School","377","377"
"0150311","0150011","Bridgeport School District","Black Rock School","348","348"
"0154011","0150011","Bridgeport School District","Blackham School","1130","1130"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","52","52"
"0150411","0150011","Bridgeport School District","Bryant School","412","412"
"0156211","0150011","Bridgeport School District","Central High School","2137","2137"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1115","1115"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","310","310"
"0150511","0150011","Bridgeport School District","Columbus School","877","877"
"0153911","0150011","Bridgeport School District","Cross School","420","420"
"0154211","0150011","Bridgeport School District","Curiale School","773","773"
"0154111","0150011","Bridgeport School District","Dunbar School","313","313"
"0150711","0150011","Bridgeport School District","Edison School","244","244"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","818","818"
"0151111","0150011","Bridgeport School District","Hall School","308","308"
"0151211","0150011","Bridgeport School District","Hallen School","336","336"
"0156311","0150011","Bridgeport School District","Harding High School","1297","1297"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","433","433"
"0151311","0150011","Bridgeport School District","Hooker School","381","381"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","457","457"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","629","629"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","871","871"
"0152011","0150011","Bridgeport School District","Madison School","506","506"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","456","456"
"0159211","0150011","Bridgeport School District","Park City Academy","6","6"
"0151711","0150011","Bridgeport School District","Park City Magnet School","526","526"
"0152511","0150011","Bridgeport School District","Read School","857","857"
"0152611","0150011","Bridgeport School District","Roosevelt School","524","524"
"0154411","0150011","Bridgeport School District","Skane Center","231","231"
"0153011","0150011","Bridgeport School District","Waltersville School","514","514"
"0153611","0150011","Bridgeport School District","Winthrop School","686","686"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","19","19"
"0176111","0170011","Bristol School District","Bristol Central High School","1262","1262"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1305","1305"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","758","758"
"0179211","0170011","Bristol School District","Community/Vocational Program","10","10"
"0170311","0170011","Bristol School District","Edgewood School","365","365"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","436","436"
"0170511","0170011","Bristol School District","Greene-Hills School","893","893"
"0171911","0170011","Bristol School District","Ivy Drive School","423","423"
"0171711","0170011","Bristol School District","Mountain View School","431","431"
"0175211","0170011","Bristol School District","Northeast Middle School","500","500"
"0171111","0170011","Bristol School District","South Side School","489","489"
"0171211","0170011","Bristol School District","Stafford School","503","503"
"0172011","0170011","Bristol School District","West Bristol School","901","901"
"0186111","0180011","Brookfield School District","Brookfield High School","918","918"
"0180311","0180011","Brookfield School District","Center Elementary School","416","416"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","605","605"
"0185311","0180011","Brookfield School District","Whisconier Middle School","851","851"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","543","543"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","394","394"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","75","75"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","259","259"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","231","231"
"0236111","0230011","Canton School District","Canton High School","511","511"
"0230311","0230011","Canton School District","Canton Intermediate School","430","430"
"0235111","0230011","Canton School District","Canton Middle School","270","270"
