"school_code","district_code","district","school","subject","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0040311","0040011","Avon School District","Roaring Brook School","Math","213","211","99.1","211","12","5.7","25","11.8","76","36.0","98","46.4","174","82.5"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","550","549","99.8","549","35","6.4","69","12.6","184","33.5","261","47.5","445","81.1"
"0040511","0040011","Avon School District","Thompson Brook School","Math","550","548","99.6","548","54","9.9","113","20.6","160","29.2","221","40.3","381","69.5"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","ELA","675","674","99.9","674","68","10.1","146","21.7","299","44.4","161","23.9","460","68.2"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Math","675","674","99.9","673","148","22.0","213","31.6","166","24.7","146","21.7","312","46.4"
"0070411","0070011","Berlin School District","Emma Hart Willard School","ELA","227","226","99.6","226","24","10.6","52","23.0","67","29.6","83","36.7","150","66.4"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Math","227","226","99.6","226","21","9.3","66","29.2","67","29.6","72","31.9","139","61.5"
"0070511","0070011","Berlin School District","Mary E. Griswold School","ELA","284","283","99.6","282","26","9.2","59","20.9","99","35.1","98","34.8","197","69.9"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Math","284","281","98.9","280","40","14.3","76","27.1","94","33.6","70","25.0","164","58.6"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","ELA","130","129","99.2","129","16","12.4","19","14.7","42","32.6","52","40.3","94","72.9"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Math","130","128","98.5","128","15","11.7","30","23.4","50","39.1","33","25.8","83","64.8"
"0080111","0080011","Bethany School District","Bethany Community School","ELA","232","224","96.6","224","29","12.9","49","21.9","70","31.3","76","33.9","146","65.2"
"0080111","0080011","Bethany School District","Bethany Community School","Math","232","224","96.6","224","24","10.7","58","25.9","67","29.9","75","33.5","142","63.4"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","ELA","126","125","99.2","125","24","19.2","23","18.4","36","28.8","42","33.6","78","62.4"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Math","126","125","99.2","125","11","8.8","30","24.0","47","37.6","37","29.6","84","67.2"
"0095111","0090011","Bethel School District","Bethel Middle School","ELA","650","648","99.7","648","53","8.2","104","16.0","276","42.6","215","33.2","491","75.8"
"0095111","0090011","Bethel School District","Bethel Middle School","Math","650","647","99.5","647","119","18.4","200","30.9","180","27.8","148","22.9","328","50.7"
"0090111","0090011","Bethel School District","Frank A. Berry School","ELA","127","126","99.2","126","8","6.3","30","23.8","30","23.8","58","46.0","88","69.8"
"0090111","0090011","Bethel School District","Frank A. Berry School","Math","127","126","99.2","126","11","8.7","25","19.8","45","35.7","45","35.7","90","71.4"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","ELA","423","420","99.3","420","63","15.0","68","16.2","146","34.8","143","34.0","289","68.8"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Math","423","419","99.1","419","43","10.3","147","35.1","119","28.4","110","26.3","229","54.7"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELA","222","222","100.0","222","48","21.6","53","23.9","88","39.6","33","14.9","121","54.5"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Math","222","222","100.0","222","76","34.2","82","36.9","42","18.9","22","9.9","64","28.8"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELA","201","201","100.0","201","55","27.4","69","34.3","63","31.3","14","7.0","77","38.3"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Math","201","201","100.0","201","85","42.3","71","35.3","35","17.4","10","5.0","45","22.4"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELA","87","84","96.6","84","15","17.9","16","19.0","40","47.6","13","15.5","53","63.1"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Math","87","84","96.6","84","41","48.8","28","33.3","*","*","*","*","15","17.9"
"0110511","0110011","Bloomfield School District","Metacomet School","ELA","254","254","100.0","254","77","30.3","56","22.0","69","27.2","52","20.5","121","47.6"
"0110511","0110011","Bloomfield School District","Metacomet School","Math","254","253","99.6","253","84","33.2","97","38.3","53","20.9","19","7.5","72","28.5"
"0120111","0120011","Bolton School District","Bolton Center School","ELA","354","345","97.5","345","37","10.7","38","11.0","128","37.1","142","41.2","270","78.3"
"0120111","0120011","Bolton School District","Bolton Center School","Math","354","345","97.5","345","42","12.2","77","22.3","109","31.6","117","33.9","226","65.5"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELA","134","133","99.3","132","31","23.5","40","30.3","40","30.3","21","15.9","61","46.2"
"0130111","0130011","Bozrah School District","Fields Memorial School","Math","134","133","99.3","132","31","23.5","53","40.2","35","26.5","13","9.8","48","36.4"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELA","896","883","98.5","881","128","14.5","204","23.2","330","37.5","219","24.9","549","62.3"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Math","894","879","98.3","878","213","24.3","251","28.6","208","23.7","206","23.5","414","47.2"
"0141611","0140011","Branford School District","John B. Sliney School","ELA","141","140","99.3","139","14","10.1","31","22.3","45","32.4","49","35.3","94","67.6"
"0141611","0140011","Branford School District","John B. Sliney School","Math","141","140","99.3","140","16","11.4","28","20.0","57","40.7","39","27.9","96","68.6"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELA","150","150","100.0","146","9","6.2","26","17.8","35","24.0","76","52.1","111","76.0"
"0141511","0140011","Branford School District","Mary R. Tisko School","Math","150","150","100.0","146","13","8.9","30","20.5","50","34.2","53","36.3","103","70.5"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELA","166","166","100.0","166","32","19.3","41","24.7","38","22.9","55","33.1","93","56.0"
"0141411","0140011","Branford School District","Mary T. Murphy School","Math","166","166","100.0","166","32","19.3","39","23.5","51","30.7","44","26.5","95","57.2"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","ELA","39","39","100.0","39","*","*","*","*","12","30.8","20","51.3","32","82.1"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Math","39","39","100.0","39","*","*","*","*","15","38.5","17","43.6","32","82.1"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELA","541","540","99.8","540","141","26.1","152","28.1","139","25.7","108","20.0","247","45.7"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Math","541","540","99.8","540","167","30.9","146","27.0","102","18.9","125","23.1","227","42.0"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","312","311","99.7","311","187","60.1","80","25.7","38","12.2","6","1.9","44","14.1"
"0150111","0150011","Bridgeport School District","Barnum School","Math","312","311","99.7","311","232","74.6","62","19.9","17","5.5","0","0.0","17","5.5"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","174","174","100.0","174","98","56.3","32","18.4","36","20.7","8","4.6","44","25.3"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","174","174","100.0","174","116","66.7","43","24.7","15","8.6","0","0.0","15","8.6"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","253","253","100.0","253","89","35.2","75","29.6","64","25.3","25","9.9","89","35.2"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","253","253","100.0","253","129","51.0","86","34.0","30","11.9","8","3.2","38","15.0"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","768","764","99.5","764","427","55.9","191","25.0","121","15.8","25","3.3","146","19.1"
"0154011","0150011","Bridgeport School District","Blackham School","Math","769","764","99.3","764","533","69.8","193","25.3","*","*","*","*","38","5.0"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","ELA","41","40","97.6","39","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Math","41","39","95.1","39","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150411","0150011","Bridgeport School District","Bryant School","ELA","192","192","100.0","192","107","55.7","55","28.6","21","10.9","9","4.7","30","15.6"
"0150411","0150011","Bridgeport School District","Bryant School","Math","192","192","100.0","192","129","67.2","49","25.5","*","*","*","*","14","7.3"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","ELA","800","799","99.9","799","581","72.7","130","16.3","73","9.1","15","1.9","88","11.0"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Math","800","799","99.9","799","643","80.5","124","15.5","*","*","*","*","32","4.0"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","ELA","239","236","98.7","236","68","28.8","74","31.4","68","28.8","26","11.0","94","39.8"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Math","237","234","98.7","234","108","46.2","83","35.5","33","14.1","10","4.3","43","18.4"
"0150511","0150011","Bridgeport School District","Columbus School","ELA","475","474","99.8","474","306","64.6","109","23.0","46","9.7","13","2.7","59","12.4"
"0150511","0150011","Bridgeport School District","Columbus School","Math","474","473","99.8","473","351","74.2","94","19.9","22","4.7","6","1.3","28","5.9"
"0153911","0150011","Bridgeport School District","Cross School","ELA","222","222","100.0","222","146","65.8","50","22.5","*","*","*","*","26","11.7"
"0153911","0150011","Bridgeport School District","Cross School","Math","222","221","99.5","221","175","79.2","37","16.7","*","*","*","*","9","4.1"
"0154211","0150011","Bridgeport School District","Curiale School","ELA","496","495","99.8","495","322","65.1","108","21.8","54","10.9","11","2.2","65","13.1"
"0154211","0150011","Bridgeport School District","Curiale School","Math","494","492","99.6","492","394","80.1","80","16.3","*","*","*","*","18","3.7"
"0154111","0150011","Bridgeport School District","Dunbar School","ELA","220","220","100.0","220","148","67.3","51","23.2","*","*","*","*","21","9.5"
"0154111","0150011","Bridgeport School District","Dunbar School","Math","220","220","100.0","220","178","80.9","*","*","*","*","0","0.0","*","*"
"0150711","0150011","Bridgeport School District","Edison School","ELA","148","148","100.0","148","74","50.0","46","31.1","20","13.5","8","5.4","28","18.9"
"0150711","0150011","Bridgeport School District","Edison School","Math","149","149","100.0","149","102","68.5","40","26.8","*","*","*","*","7","4.7"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","ELA","475","475","100.0","475","231","48.6","138","29.1","86","18.1","20","4.2","106","22.3"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Math","475","475","100.0","475","298","62.7","135","28.4","32","6.7","10","2.1","42","8.8"
"0151111","0150011","Bridgeport School District","Hall School","ELA","132","132","100.0","132","81","61.4","31","23.5","*","*","*","*","20","15.2"
"0151111","0150011","Bridgeport School District","Hall School","Math","132","132","100.0","132","73","55.3","45","34.1","*","*","*","*","14","10.6"
"0151211","0150011","Bridgeport School District","Hallen School","ELA","152","151","99.3","151","79","52.3","44","29.1","*","*","*","*","28","18.5"
"0151211","0150011","Bridgeport School District","Hallen School","Math","152","151","99.3","151","100","66.2","40","26.5","*","*","*","*","11","7.3"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","ELA","268","268","100.0","268","47","17.5","74","27.6","97","36.2","50","18.7","147","54.9"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Math","268","268","100.0","268","116","43.3","99","36.9","46","17.2","7","2.6","53","19.8"
"0151311","0150011","Bridgeport School District","Hooker School","ELA","242","234","96.7","230","95","41.3","69","30.0","53","23.0","13","5.7","66","28.7"
"0151311","0150011","Bridgeport School District","Hooker School","Math","241","226","93.8","226","137","60.6","64","28.3","*","*","*","*","25","11.1"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","ELA","274","272","99.3","272","84","30.9","84","30.9","74","27.2","30","11.0","104","38.2"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Math","274","272","99.3","272","118","43.4","100","36.8","40","14.7","14","5.1","54","19.9"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","ELA","360","360","100.0","360","192","53.3","99","27.5","57","15.8","12","3.3","69","19.2"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Math","359","359","100.0","359","234","65.2","93","25.9","*","*","*","*","32","8.9"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","ELA","619","619","100.0","619","511","82.6","75","12.1","*","*","*","*","33","5.3"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Math","619","618","99.8","618","551","89.2","56","9.1","*","*","*","*","11","1.8"
"0152011","0150011","Bridgeport School District","Madison School","ELA","295","294","99.7","291","115","39.5","80","27.5","68","23.4","28","9.6","96","33.0"
"0152011","0150011","Bridgeport School District","Madison School","Math","295","294","99.7","292","168","57.5","75","25.7","36","12.3","13","4.5","49","16.8"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","ELA","295","290","98.3","290","22","7.6","77","26.6","125","43.1","66","22.8","191","65.9"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Math","295","290","98.3","290","43","14.8","101","34.8","104","35.9","42","14.5","146","50.3"
"0151711","0150011","Bridgeport School District","Park City Magnet School","ELA","261","261","100.0","261","48","18.4","71","27.2","98","37.5","44","16.9","142","54.4"
"0151711","0150011","Bridgeport School District","Park City Magnet School","Math","261","261","100.0","261","74","28.4","121","46.4","48","18.4","18","6.9","66","25.3"
"0152511","0150011","Bridgeport School District","Read School","ELA","538","537","99.8","537","321","59.8","121","22.5","75","14.0","20","3.7","95","17.7"
"0152511","0150011","Bridgeport School District","Read School","Math","539","538","99.8","538","372","69.1","122","22.7","32","5.9","12","2.2","44","8.2"
"0152611","0150011","Bridgeport School District","Roosevelt School","ELA","328","326","99.4","326","248","76.1","51","15.6","19","5.8","8","2.5","27","8.3"
"0152611","0150011","Bridgeport School District","Roosevelt School","Math","328","326","99.4","326","274","84.0","41","12.6","11","3.4","0","0.0","11","3.4"
"0153011","0150011","Bridgeport School District","Waltersville School","ELA","305","304","99.7","303","175","57.8","84","27.7","35","11.6","9","3.0","44","14.5"
"0153011","0150011","Bridgeport School District","Waltersville School","Math","305","302","99.0","301","223","74.1","66","21.9","*","*","*","*","12","4.0"
"0153611","0150011","Bridgeport School District","Winthrop School","ELA","443","443","100.0","443","129","29.1","121","27.3","134","30.2","59","13.3","193","43.6"
"0153611","0150011","Bridgeport School District","Winthrop School","Math","443","443","100.0","443","234","52.8","127","28.7","61","13.8","21","4.7","82","18.5"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","ELA","12","12","*","12","*","*","*","*","*","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Math","12","12","*","12","*","*","*","*","*","*","*","*","*","*"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","ELA","699","697","99.7","697","167","24.0","180","25.8","249","35.7","101","14.5","350","50.2"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","Math","699","697","99.7","697","230","33.0","225","32.3","142","20.4","100","14.3","242","34.7"
"0173411","0170011","Bristol School District","Chms Goal","ELA","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0173411","0170011","Bristol School District","Chms Goal","Math","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","ELA","175","174","99.4","174","38","21.8","32","18.4","45","25.9","59","33.9","104","59.8"
"0170311","0170011","Bristol School District","Edgewood School","Math","175","174","99.4","174","33","19.0","57","32.8","45","25.9","39","22.4","84","48.3"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","ELA","178","177","99.4","177","42","23.7","43","24.3","51","28.8","41","23.2","92","52.0"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Math","178","177","99.4","177","42","23.7","67","37.9","43","24.3","25","14.1","68","38.4"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","ELA","580","580","100.0","580","149","25.7","146","25.2","194","33.4","91","15.7","285","49.1"
"0170511","0170011","Bristol School District","Greene-Hills School","Math","581","581","100.0","581","192","33.0","186","32.0","132","22.7","71","12.2","203","34.9"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","ELA","203","203","100.0","203","42","20.7","37","18.2","45","22.2","79","38.9","124","61.1"
"0171911","0170011","Bristol School District","Ivy Drive School","Math","203","203","100.0","203","41","20.2","45","22.2","55","27.1","62","30.5","117","57.6"
"0171711","0170011","Bristol School District","Mountain View School","ELA","179","179","100.0","179","32","17.9","42","23.5","58","32.4","47","26.3","105","58.7"
"0171711","0170011","Bristol School District","Mountain View School","Math","180","179","99.4","179","37","20.7","64","35.8","48","26.8","30","16.8","78","43.6"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","ELA","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Math","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","ELA","411","410","99.8","410","52","12.7","98","23.9","179","43.7","81","19.8","260","63.4"
"0175211","0170011","Bristol School District","Northeast Middle School","Math","411","410","99.8","410","86","21.0","145","35.4","111","27.1","68","16.6","179","43.7"
"0173111","0170011","Bristol School District","South Side GOAL","ELA","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Math","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0171111","0170011","Bristol School District","South Side School","ELA","211","211","100.0","211","34","16.1","45","21.3","76","36.0","56","26.5","132","62.6"
"0171111","0170011","Bristol School District","South Side School","Math","211","211","100.0","211","52","24.6","65","30.8","61","28.9","33","15.6","94","44.5"
"0173211","0170011","Bristol School District","Stafford Autism","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0171211","0170011","Bristol School District","Stafford School","ELA","225","224","99.6","224","51","22.8","52","23.2","65","29.0","56","25.0","121","54.0"
"0171211","0170011","Bristol School District","Stafford School","Math","225","224","99.6","224","56","25.0","80","35.7","57","25.4","31","13.8","88","39.3"
"0172011","0170011","Bristol School District","West Bristol School","ELA","623","618","99.2","618","145","23.5","156","25.2","209","33.8","108","17.5","317","51.3"
"0172011","0170011","Bristol School District","West Bristol School","Math","623","618","99.2","618","196","31.7","218","35.3","149","24.1","55","8.9","204","33.0"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","ELA","855","801","93.7","801","82","10.2","166","20.7","307","38.3","246","30.7","553","69.0"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Math","855","797","93.2","797","101","12.7","218","27.4","252","31.6","226","28.4","478","60.0"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","ELA","146","146","100.0","146","28","19.2","25","17.1","29","19.9","64","43.8","93","63.7"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Math","146","146","100.0","146","20","13.7","55","37.7","45","30.8","26","17.8","71","48.6"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","ELA","371","368","99.2","368","31","8.4","72","19.6","162","44.0","103","28.0","265","72.0"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Math","371","367","98.9","367","83","22.6","154","42.0","84","22.9","46","12.5","130","35.4"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","ELA","51","49","96.1","49","8","16.3","9","18.4","18","36.7","14","28.6","32","65.3"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Math","51","48","94.1","48","*","*","20","41.7","17","35.4","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","ELA","227","224","98.7","224","36","16.1","64","28.6","83","37.1","41","18.3","124","55.4"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Math","227","224","98.7","224","57","25.4","91","40.6","55","24.6","21","9.4","76","33.9"
"0230311","0230011","Canton School District","Canton Intermediate School","ELA","392","390","99.5","390","37","9.5","57","14.6","131","33.6","165","42.3","296","75.9"
"0230311","0230011","Canton School District","Canton Intermediate School","Math","392","390","99.5","390","45","11.5","90","23.1","119","30.5","136","34.9","255","65.4"
"0235111","0230011","Canton School District","Canton Middle School","ELA","282","279","98.9","279","18","6.5","60","21.5","111","39.8","90","32.3","201","72.0"
"0235111","0230011","Canton School District","Canton Middle School","Math","282","279","98.9","279","37","13.3","68","24.4","88","31.5","86","30.8","174","62.4"
"0230211","0230011","Canton School District","Cherry Brook Primary School","ELA","117","114","97.4","114","11","9.6","17","14.9","37","32.5","49","43.0","86","75.4"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Math","117","114","97.4","114","9","7.9","11","9.6","49","43.0","45","39.5","94","82.5"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","ELA","110","110","100.0","110","42","38.2","34","30.9","*","*","*","*","34","30.9"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Math","109","109","100.0","109","75","68.8","28","25.7","6","5.5","0","0.0","6","5.5"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","ELA","337","333","98.8","333","78","23.4","74","22.2","122","36.6","59","17.7","181","54.4"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Math","337","317","94.1","317","108","34.1","97","30.6","36","11.4","76","24.0","112","35.3"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","ELA","63","61","96.8","61","13","21.3","22","36.1","17","27.9","9","14.8","26","42.6"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Math","63","61","96.8","61","14","23.0","31","50.8","*","*","*","*","16","26.2"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","ELA","98","94","95.9","94","18","19.1","20","21.3","24","25.5","32","34.0","56","59.6"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Math","98","95","96.9","95","24","25.3","18","18.9","31","32.6","22","23.2","53","55.8"
