"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","9","33","275","445","*","*","53","818"
"0151111","0150011","Bridgeport School District","Hall School","*","*","157","136","0","0","8","308"
"0151211","0150011","Bridgeport School District","Hallen School","0","0","197","114","0","*","*","336"
"0156311","0150011","Bridgeport School District","Harding High School","*","9","577","659","*","*","44","1297"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","9","227","145","0","*","45","433"
"0151311","0150011","Bridgeport School District","Hooker School","*","6","145","176","0","*","50","381"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","*","23","138","155","0","*","134","457"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","0","*","347","256","0","*","13","629"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","0","*","231","616","*","*","20","871"
"0152011","0150011","Bridgeport School District","Madison School","0","*","148","255","0","*","86","506"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","*","12","89","291","0","*","58","456"
"0159211","0150011","Bridgeport School District","Park City Academy","0","0","*","*","0","0","0","6"
"0151711","0150011","Bridgeport School District","Park City Magnet School","0","47","241","177","0","0","61","526"
"0152511","0150011","Bridgeport School District","Read School","*","15","341","410","0","*","86","857"
"0152611","0150011","Bridgeport School District","Roosevelt School","0","14","204","285","0","0","21","524"
"0154411","0150011","Bridgeport School District","Skane Center","0","12","65","102","0","0","52","231"
"0153011","0150011","Bridgeport School District","Waltersville School","0","*","109","387","0","*","11","514"
"0153611","0150011","Bridgeport School District","Winthrop School","*","41","254","206","0","*","182","686"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","*","*","0","0","10","19"
"0176111","0170011","Bristol School District","Bristol Central High School","*","*","87","240","0","40","873","1262"
"0176211","0170011","Bristol School District","Bristol Eastern High School","*","32","99","202","0","*","956","1305"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","0","20","62","136","0","7","533","758"
"0179211","0170011","Bristol School District","Community/Vocational Program","0","0","0","0","0","0","10","10"
"0170311","0170011","Bristol School District","Edgewood School","0","*","17","94","0","*","239","365"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","*","*","28","116","0","31","248","436"
"0170511","0170011","Bristol School District","Greene-Hills School","0","53","48","219","0","41","532","893"
"0171911","0170011","Bristol School District","Ivy Drive School","0","11","17","65","0","7","323","423"
"0171711","0170011","Bristol School District","Mountain View School","*","27","*","72","0","22","293","431"
"0175211","0170011","Bristol School District","Northeast Middle School","*","13","23","63","0","*","385","500"
"0171111","0170011","Bristol School District","South Side School","0","9","31","110","0","6","333","489"
"0171211","0170011","Bristol School District","Stafford School","0","28","39","87","0","12","337","503"
"0172011","0170011","Bristol School District","West Bristol School","*","*","50","247","0","32","539","901"
"0186111","0180011","Brookfield School District","Brookfield High School","*","37","18","37","0","*","823","918"
"0180311","0180011","Brookfield School District","Center Elementary School","0","22","*","30","0","*","355","416"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","*","49","12","44","*","0","497","605"
"0185311","0180011","Brookfield School District","Whisconier Middle School","*","59","*","56","0","0","722","851"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","*","14","10","33","*","15","469","543"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","0","*","*","16","0","13","355","394"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","0","0","0","*","0","*","69","75"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","0","*","*","9","0","14","231","259"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","0","*","*","13","0","7","206","231"
"0236111","0230011","Canton School District","Canton High School","0","11","16","16","0","6","462","511"
"0230311","0230011","Canton School District","Canton Intermediate School","*","12","17","24","0","*","371","430"
"0235111","0230011","Canton School District","Canton Middle School","0","*","*","16","0","10","235","270"
"0230211","0230011","Canton School District","Cherry Brook Primary School","*","*","30","37","0","0","453","537"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","0","56","108","148","0","15","164","491"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","*","26","115","108","0","*","74","335"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","0","11","48","56","0","10","39","164"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","0","21","47","65","*","*","68","221"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","0","0","*","*","0","*","16","21"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","*","44","100","88","*","23","130","387"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","*","*","85","136","0","10","184","423"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","0","0","59","75","*","*","40","184"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","0","0","0","0","0","0","6","6"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","*","58","82","109","0","*","95","357"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","0","*","18","25","0","0","*","58"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","0","0","*","*","0","0","6","11"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","*","28","365","113","*","19","186","716"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","*","*","83","139","0","14","91","340"
"2410514","2410014","Capitol Region Education Council","Museum Academy","*","11","123","91","0","*","80","311"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","*","*","105","145","0","13","105","377"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","0","7","124","92","0","8","125","356"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","0","*","*","12","0","0","43","64"
"2419314","2410014","Capitol Region Education Council","River Street School","0","*","27","27","0","*","92","151"
"2419114","2410014","Capitol Region Education Council","Soundbridge","0","*","*","9","0","0","66","86"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","*","7","25","42","0","*","18","96"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","*","40","138","193","0","*","261","663"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","0","30","158","118","0","13","121","440"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","0","*","*","11","0","8","162","185"
"0250111","0250011","Cheshire School District","Chapman School","0","18","*","10","0","*","243","283"
"0256111","0250011","Cheshire School District","Cheshire High School","*","116","*","44","0","0","1325","1514"
"0250211","0250011","Cheshire School District","Darcey School","*","24","9","19","0","*","245","306"
"0255111","0250011","Cheshire School District","Dodd Middle School","*","76","15","25","0","*","639","757"
"0250611","0250011","Cheshire School District","Doolittle School","0","47","*","27","0","*","447","539"
"0250411","0250011","Cheshire School District","Highland School","*","95","21","37","0","*","620","776"
"0259011","0250011","Cheshire School District","Humiston School","0","0","*","0","0","0","*","25"
"0250511","0250011","Cheshire School District","Norton School","*","38","10","16","0","*","383","455"
"0260111","0260011","Chester School District","Chester Elementary School","0","*","*","*","0","8","234","251"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","7","*","27","0","*","272","311"
"0275111","0270011","Clinton School District","Jared Eliot School","*","9","*","36","0","13","383","446"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","*","23","*","72","0","9","533","645"
"0276111","0270011","Clinton School District","The Morgan School","*","15","*","44","*","18","494","579"
"0286111","0280011","Colchester School District","Bacon Academy","10","14","35","56","0","7","815","937"
"0280411","0280011","Colchester School District","Colchester Elementary School","*","11","8","43","*","20","527","612"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","*","17","15","22","0","*","563","630"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","8","14","19","30","0","8","622","701"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","0","0","0","*","0","*","92","104"
"0300111","0300011","Columbia School District","Horace W. Porter School","0","*","*","27","0","7","459","503"
"2686113","2680013","Common Ground High School District","Common Ground High School","0","*","55","70","0","*","35","169"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","*","*","252","441","0","9","68","778"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","*","7","293","463","0","*","60","828"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","*","*","63","333","0","18","214","635"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","*","*","164","294","0","8","30","500"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","8","*","57","187","*","22","291","573"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","*","6","41","117","0","*","385","557"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","*","*","45","237","0","13","459","768"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","*","*","*","28","0","18","472","531"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","*","9","26","234","0","*","362","641"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","*","*","107","152","0","19","386","685"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","6","*","27","78","*","43","515","676"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","*","7","8","49","0","*","587","659"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","6","6","106","276","0","19","439","852"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","*","*","69","79","*","17","468","640"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","*","10","109","207","*","19","407","758"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","*","*","8","164","*","8","384","570"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","0","*","20","*","0","0","58","91"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","0","*","15","15","0","*","21","54"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","0","0","*","*","0","0","10","14"
"2438014","2430014","Cooperative Educational Services","School Readiness","0","*","22","27","0","0","*","54"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","0","*","167","164","0","*","117","473"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","*","*","32","35","0","9","74","152"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","0","*","*","8","0","7","85","103"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","0","*","*","23","0","14","361","408"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","0","0","0","*","0","*","14","16"
"0320211","0320011","Coventry School District","Coventry Grammar School","*","*","*","19","0","7","343","380"
"0326111","0320011","Coventry School District","Coventry High School","0","*","*","14","0","16","474","511"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","*","*","21","0","22","355","408"
"0336111","0330011","Cromwell School District","Cromwell High School","*","25","47","40","0","*","419","535"
"0335111","0330011","Cromwell School District","Cromwell Middle School","*","29","46","42","0","*","383","509"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","0","41","43","37","*","*","361","486"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","0","*","35","36","0","*","341","441"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","0","*","*","23","0","0","33","78"
"0345111","0340011","Danbury School District","Broadview Middle School","0","78","96","406","0","21","493","1094"
"0346111","0340011","Danbury School District","Danbury High School","*","252","312","989","0","*","1306","2887"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","0","31","29","220","0","12","113","405"
"0341111","0340011","Danbury School District","Great Plain School","0","11","8","141","0","14","153","327"
"0340211","0340011","Danbury School District","Hayestown Avenue School","0","50","29","192","*","*","116","411"
"0341711","0340011","Danbury School District","King Street Intermediate School","0","35","30","107","0","7","184","363"
"0341311","0340011","Danbury School District","King Street Primary School","*","19","15","171","0","*","184","404"
"0341811","0340011","Danbury School District","Mill Ridge Educational Center","0","9","6","52","0","6","92","165"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","*","41","41","120","0","*","188","401"
"0340611","0340011","Danbury School District","Morris Street School","0","18","27","277","*","*","85","420"
"0340811","0340011","Danbury School District","Park Avenue School","0","26","21","241","0","11","132","431"
"0341511","0340011","Danbury School District","Pembroke School","0","28","30","124","0","13","167","362"
"0345211","0340011","Danbury School District","Rogers Park Middle School","*","78","103","523","0","*","469","1200"
"0341211","0340011","Danbury School District","Shelter Rock School","0","41","27","189","*","*","147","416"
"0341011","0340011","Danbury School District","South Street School","0","16","25","229","0","13","85","368"
"0341611","0340011","Danbury School District","Stadley Rough School","0","39","20","165","0","8","217","449"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","*","42","31","91","0","*","262","431"
"0356111","0350011","Darien School District","Darien High School","*","32","7","54","0","*","1231","1329"
"0350211","0350011","Darien School District","Hindley Elementary School","0","33","*","17","0","*","524","579"
"0350711","0350011","Darien School District","Holmes Elementary School","0","19","*","9","0","*","402","433"
"0355111","0350011","Darien School District","Middlesex Middle School","0","46","6","36","0","0","1047","1135"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","*","14","0","20","0","*","436","474"
"0350511","0350011","Darien School District","Royle Elementary School","*","18","*","17","0","*","373","413"
"0350611","0350011","Darien School District","Tokeneke Elementary School","0","14","*","14","0","*","457","496"
"0360111","0360011","Deep River School District","Deep River Elementary School","0","0","*","29","0","*","306","347"
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","0","0","*","*","0","0","0","*"
"0370611","0370011","Derby School District","Bradley School","0","*","33","56","*","11","237","345"
"0376111","0370011","Derby School District","Derby High School","*","*","56","92","0","7","200","361"
"0375011","0370011","Derby School District","Derby Middle School","0","11","67","85","*","*","190","366"
"0370411","0370011","Derby School District","Irving School","0","*","76","150","*","14","170","420"
"0400111","0400011","East Granby School District","Allgrove School","*","12","17","16","0","*","185","241"
"0406111","0400011","East Granby School District","East Granby High School","0","*","14","16","0","*","229","271"
"0405111","0400011","East Granby School District","East Granby Middle School","*","*","18","9","0","*","176","213"
