district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Andover School District,0010011,Andover Elementary School,0010111,Math,M,89,87,97.8,87,*,*,*,*,27,31.0,35,40.2,62,71.3,2014-15
Ansonia School District,0020011,Ansonia High School,0026111,ELA,F,57,52,91.2,52,*,*,15,28.8,23,44.2,*,*,*,*,2014-15
Ansonia School District,0020011,Ansonia High School,0026111,ELA,M,55,52,94.5,52,*,*,*,*,18,34.6,15,28.8,33,63.5,2014-15
Ansonia School District,0020011,Ansonia High School,0026111,Math,F,57,52,91.2,52,26,50.0,14,26.9,*,*,*,*,12,23.1,2014-15
Ansonia School District,0020011,Ansonia High School,0026111,Math,M,55,51,92.7,51,22,43.1,11,21.6,*,*,*,*,18,35.3,2014-15
Ansonia School District,0020011,Ansonia Middle School,0025111,ELA,F,193,190,98.4,190,52,27.4,59,31.1,63,33.2,16,8.4,79,41.6,2014-15
Ansonia School District,0020011,Ansonia Middle School,0025111,ELA,M,201,196,97.5,196,81,41.3,62,31.6,39,19.9,14,7.1,53,27.0,2014-15
Ansonia School District,0020011,Ansonia Middle School,0025111,Math,F,193,189,97.9,189,99,52.4,63,33.3,20,10.6,7,3.7,27,14.3,2014-15
Ansonia School District,0020011,Ansonia Middle School,0025111,Math,M,201,197,98.0,197,99,50.3,66,33.5,21,10.7,11,5.6,32,16.2,2014-15
Ansonia School District,0020011,Mead School,0020311,ELA,F,180,180,100.0,180,51,28.3,58,32.2,47,26.1,24,13.3,71,39.4,2014-15
Ansonia School District,0020011,Mead School,0020311,ELA,M,180,180,100.0,180,82,45.6,47,26.1,34,18.9,17,9.4,51,28.3,2014-15
Ansonia School District,0020011,Mead School,0020311,Math,F,181,181,100.0,181,67,37.0,85,47.0,*,*,*,*,29,16.0,2014-15
Ansonia School District,0020011,Mead School,0020311,Math,M,180,180,100.0,180,80,44.4,61,33.9,*,*,*,*,39,21.7,2014-15
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ansonia School District,0020011,P.A.C.E. (Positive And Creative Education),0020111,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ansonia School District,0020011,Prendergast School,0020811,ELA,F,168,166,98.8,166,41,24.7,48,28.9,50,30.1,27,16.3,77,46.4,2014-15
Ansonia School District,0020011,Prendergast School,0020811,ELA,M,181,180,99.4,180,73,40.6,58,32.2,31,17.2,18,10.0,49,27.2,2014-15
