district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Portland School District,1130011,Gildersleeve School,1130411,ELA,M,99,96,97.0,96,10,10.4,19,19.8,27,28.1,40,41.7,67,69.8,2014-15
Portland School District,1130011,Gildersleeve School,1130411,Math,F,95,94,98.9,94,11,11.7,30,31.9,27,28.7,26,27.7,53,56.4,2014-15
Portland School District,1130011,Gildersleeve School,1130411,Math,M,99,96,97.0,96,13,13.5,23,24.0,38,39.6,22,22.9,60,62.5,2014-15
Portland School District,1130011,Portland High School,1136111,ELA,F,47,25,53.2,25,*,*,*,*,13,52.0,*,*,*,*,2014-15
Portland School District,1130011,Portland High School,1136111,ELA,M,40,34,85.0,34,*,*,*,*,14,41.2,*,*,*,*,2014-15
Portland School District,1130011,Portland High School,1136111,Math,F,47,25,53.2,25,8,32.0,*,*,6,24.0,*,*,*,*,2014-15
Portland School District,1130011,Portland High School,1136111,Math,M,40,33,82.5,33,18,54.5,*,*,10,30.3,*,*,*,*,2014-15
Portland School District,1130011,Portland Middle School,1135111,ELA,F,120,120,100.0,120,*,*,*,*,59,49.2,50,41.7,109,90.8,2014-15
Portland School District,1130011,Portland Middle School,1135111,ELA,M,115,113,98.3,113,*,*,26,23.0,58,51.3,*,*,*,*,2014-15
Portland School District,1130011,Portland Middle School,1135111,Math,F,120,120,100.0,120,17,14.2,32,26.7,45,37.5,26,21.7,71,59.2,2014-15
Portland School District,1130011,Portland Middle School,1135111,Math,M,115,113,98.3,113,15,13.3,37,32.7,32,28.3,29,25.7,61,54.0,2014-15
Preston School District,1140011,Preston Plains School,1145111,ELA,F,91,83,91.2,83,11,13.3,14,16.9,36,43.4,22,26.5,58,69.9,2014-15
Preston School District,1140011,Preston Plains School,1145111,ELA,M,70,63,90.0,63,13,20.6,14,22.2,21,33.3,15,23.8,36,57.1,2014-15
Preston School District,1140011,Preston Plains School,1145111,Math,F,91,83,91.2,83,15,18.1,25,30.1,23,27.7,20,24.1,43,51.8,2014-15
Preston School District,1140011,Preston Plains School,1145111,Math,M,70,63,90.0,63,10,15.9,24,38.1,14,22.2,15,23.8,29,46.0,2014-15
Preston School District,1140011,Preston Veterans' Memorial School,1140411,ELA,F,60,59,98.3,59,6,10.2,11,18.6,24,40.7,18,30.5,42,71.2,2014-15
Preston School District,1140011,Preston Veterans' Memorial School,1140411,ELA,M,59,56,94.9,56,9,16.1,11,19.6,17,30.4,19,33.9,36,64.3,2014-15
Preston School District,1140011,Preston Veterans' Memorial School,1140411,Math,F,60,59,98.3,59,6,10.2,23,39.0,22,37.3,8,13.6,30,50.8,2014-15
Preston School District,1140011,Preston Veterans' Memorial School,1140411,Math,M,59,56,94.9,56,7,12.5,14,25.0,23,41.1,12,21.4,35,62.5,2014-15
Putnam School District,1160011,PALS - Putnam Alternative Learning System,1160111,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,PALS - Putnam Alternative Learning System,1160111,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,PALS - Putnam Alternative Learning System,1160111,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,PALS - Putnam Alternative Learning System,1160111,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,Putnam Elementary School,1160311,ELA,F,128,127,99.2,126,33,26.2,27,21.4,36,28.6,30,23.8,66,52.4,2014-15
Putnam School District,1160011,Putnam Elementary School,1160311,ELA,M,139,137,98.6,137,37,27.0,38,27.7,31,22.6,31,22.6,62,45.3,2014-15
Putnam School District,1160011,Putnam Elementary School,1160311,Math,F,128,127,99.2,126,40,31.7,48,38.1,23,18.3,15,11.9,38,30.2,2014-15
Putnam School District,1160011,Putnam Elementary School,1160311,Math,M,139,137,98.6,137,35,25.5,49,35.8,39,28.5,14,10.2,53,38.7,2014-15
Putnam School District,1160011,Putnam High School,1166111,ELA,F,35,35,100.0,33,*,*,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,Putnam High School,1166111,ELA,M,30,29,96.7,26,*,*,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,Putnam High School,1166111,Math,F,35,35,100.0,33,17,51.5,*,*,*,*,*,*,*,*,2014-15
Putnam School District,1160011,Putnam High School,1166111,Math,M,30,29,96.7,27,16,59.3,*,*,*,*,0,0.0,*,*,2014-15
Putnam School District,1160011,Putnam Middle School,1165111,ELA,F,159,153,96.2,153,29,19.0,46,30.1,54,35.3,24,15.7,78,51.0,2014-15
Putnam School District,1160011,Putnam Middle School,1165111,ELA,M,133,130,97.7,129,42,32.6,48,37.2,33,25.6,6,4.7,39,30.2,2014-15
Putnam School District,1160011,Putnam Middle School,1165111,Math,F,159,156,98.1,156,64,41.0,63,40.4,18,11.5,11,7.1,29,18.6,2014-15
Putnam School District,1160011,Putnam Middle School,1165111,Math,M,133,131,98.5,130,69,53.1,38,29.2,15,11.5,8,6.2,23,17.7,2014-15
Redding School District,1170011,John Read Middle School,1175111,ELA,F,240,209,87.1,206,13,6.3,30,14.6,95,46.1,68,33.0,163,79.1,2014-15
Redding School District,1170011,John Read Middle School,1175111,ELA,M,268,246,91.8,242,32,13.2,45,18.6,97,40.1,68,28.1,165,68.2,2014-15
Redding School District,1170011,John Read Middle School,1175111,Math,F,239,202,84.5,201,27,13.4,49,24.4,57,28.4,68,33.8,125,62.2,2014-15
Redding School District,1170011,John Read Middle School,1175111,Math,M,268,239,89.2,239,38,15.9,56,23.4,56,23.4,89,37.2,145,60.7,2014-15
Redding School District,1170011,Redding Elementary School,1170111,ELA,F,95,95,100.0,95,0,0.0,*,*,*,*,71,74.7,*,*,2014-15
Redding School District,1170011,Redding Elementary School,1170111,ELA,M,93,93,100.0,93,*,*,*,*,22,23.7,49,52.7,71,76.3,2014-15
Redding School District,1170011,Redding Elementary School,1170111,Math,F,95,95,100.0,95,0,0.0,12,12.6,43,45.3,40,42.1,83,87.4,2014-15
Redding School District,1170011,Redding Elementary School,1170111,Math,M,93,93,100.0,93,*,*,*,*,36,38.7,35,37.6,71,76.3,2014-15
Regional School District 01,2010012,Housatonic Valley Regional High School,2016112,ELA,F,58,48,82.8,48,*,*,13,27.1,22,45.8,*,*,*,*,2014-15
Regional School District 01,2010012,Housatonic Valley Regional High School,2016112,ELA,M,53,47,88.7,47,*,*,14,29.8,11,23.4,*,*,*,*,2014-15
Regional School District 01,2010012,Housatonic Valley Regional High School,2016112,Math,F,58,54,93.1,52,*,*,21,40.4,15,28.8,*,*,*,*,2014-15
Regional School District 01,2010012,Housatonic Valley Regional High School,2016112,Math,M,53,50,94.3,50,22,44.0,14,28.0,*,*,*,*,14,28.0,2014-15
Regional School District 04,2040012,John Winthrop Middle School,2045112,ELA,F,164,162,98.8,162,*,*,*,*,88,54.3,42,25.9,130,80.2,2014-15
Regional School District 04,2040012,John Winthrop Middle School,2045112,ELA,M,167,166,99.4,166,*,*,46,27.7,84,50.6,*,*,*,*,2014-15
Regional School District 04,2040012,John Winthrop Middle School,2045112,Math,F,164,162,98.8,162,24,14.8,59,36.4,52,32.1,27,16.7,79,48.8,2014-15
Regional School District 04,2040012,John Winthrop Middle School,2045112,Math,M,167,166,99.4,166,29,17.5,58,34.9,48,28.9,31,18.7,79,47.6,2014-15
Regional School District 04,2040012,Valley Regional High School,2046112,ELA,F,85,83,97.6,81,*,*,*,*,35,43.2,38,46.9,73,90.1,2014-15
Regional School District 04,2040012,Valley Regional High School,2046112,ELA,M,64,60,93.8,60,*,*,*,*,23,38.3,21,35.0,44,73.3,2014-15
Regional School District 04,2040012,Valley Regional High School,2046112,Math,F,85,79,92.9,79,20,25.3,20,25.3,33,41.8,6,7.6,39,49.4,2014-15
Regional School District 04,2040012,Valley Regional High School,2046112,Math,M,64,63,98.4,63,23,36.5,14,22.2,14,22.2,12,19.0,26,41.3,2014-15
Regional School District 05,2050012,Amity Middle School: Bethany,2055112,ELA,F,195,189,96.9,189,10,5.3,21,11.1,73,38.6,85,45.0,158,83.6,2014-15
Regional School District 05,2050012,Amity Middle School: Bethany,2055112,ELA,M,189,182,96.3,182,28,15.4,40,22.0,64,35.2,50,27.5,114,62.6,2014-15
Regional School District 05,2050012,Amity Middle School: Bethany,2055112,Math,F,195,189,96.9,189,22,11.6,34,18.0,51,27.0,82,43.4,133,70.4,2014-15
Regional School District 05,2050012,Amity Middle School: Bethany,2055112,Math,M,189,183,96.8,182,35,19.2,35,19.2,45,24.7,67,36.8,112,61.5,2014-15
Regional School District 05,2050012,Amity Middle School: Orange,2055212,ELA,F,182,180,98.9,180,8,4.4,18,10.0,86,47.8,68,37.8,154,85.6,2014-15
Regional School District 05,2050012,Amity Middle School: Orange,2055212,ELA,M,201,194,96.5,194,28,14.4,29,14.9,92,47.4,45,23.2,137,70.6,2014-15
Regional School District 05,2050012,Amity Middle School: Orange,2055212,Math,F,182,180,98.9,180,17,9.4,47,26.1,53,29.4,63,35.0,116,64.4,2014-15
Regional School District 05,2050012,Amity Middle School: Orange,2055212,Math,M,201,197,98.0,197,26,13.2,56,28.4,46,23.4,69,35.0,115,58.4,2014-15
Regional School District 05,2050012,Amity Regional High School,2056112,ELA,F,185,158,85.4,158,32,20.3,26,16.5,57,36.1,43,27.2,100,63.3,2014-15
Regional School District 05,2050012,Amity Regional High School,2056112,ELA,M,203,190,93.6,190,57,30.0,38,20.0,51,26.8,44,23.2,95,50.0,2014-15
Regional School District 05,2050012,Amity Regional High School,2056112,Math,F,185,158,85.4,158,61,38.6,36,22.8,34,21.5,27,17.1,61,38.6,2014-15
Regional School District 05,2050012,Amity Regional High School,2056112,Math,M,203,191,94.1,190,73,38.4,44,23.2,36,18.9,37,19.5,73,38.4,2014-15
Regional School District 06,2060012,Goshen Center School,2060112,ELA,F,52,49,94.2,49,*,*,*,*,22,44.9,20,40.8,42,85.7,2014-15
Regional School District 06,2060012,Goshen Center School,2060112,ELA,M,40,39,97.5,39,*,*,*,*,16,41.0,9,23.1,25,64.1,2014-15
Regional School District 06,2060012,Goshen Center School,2060112,Math,F,52,49,94.2,49,*,*,19,38.8,17,34.7,*,*,*,*,2014-15
Regional School District 06,2060012,Goshen Center School,2060112,Math,M,40,39,97.5,39,*,*,12,30.8,13,33.3,*,*,*,*,2014-15
Regional School District 06,2060012,James Morris School,2060212,ELA,F,36,32,88.9,32,*,*,*,*,10,31.3,12,37.5,22,68.8,2014-15
Regional School District 06,2060012,James Morris School,2060212,ELA,M,36,34,94.4,34,*,*,11,32.4,14,41.2,*,*,*,*,2014-15
Regional School District 06,2060012,James Morris School,2060212,Math,F,36,32,88.9,32,*,*,10,31.3,7,21.9,*,*,*,*,2014-15
Regional School District 06,2060012,James Morris School,2060212,Math,M,36,34,94.4,34,*,*,17,50.0,9,26.5,*,*,*,*,2014-15
Regional School District 06,2060012,Wamogo Regional High School,2066112,ELA,F,126,116,92.1,116,11,9.5,34,29.3,44,37.9,27,23.3,71,61.2,2014-15
Regional School District 06,2060012,Wamogo Regional High School,2066112,ELA,M,118,104,88.1,103,22,21.4,36,35.0,33,32.0,12,11.7,45,43.7,2014-15
Regional School District 06,2060012,Wamogo Regional High School,2066112,Math,F,126,114,90.5,114,41,36.0,35,30.7,27,23.7,11,9.6,38,33.3,2014-15
Regional School District 06,2060012,Wamogo Regional High School,2066112,Math,M,118,98,83.1,98,42,42.9,26,26.5,16,16.3,14,14.3,30,30.6,2014-15
Regional School District 06,2060012,Warren Elementary School,2060312,ELA,F,23,22,95.7,22,0,0.0,*,*,*,*,*,*,*,*,2014-15
Regional School District 06,2060012,Warren Elementary School,2060312,ELA,M,13,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 06,2060012,Warren Elementary School,2060312,Math,F,23,22,95.7,22,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 06,2060012,Warren Elementary School,2060312,Math,M,13,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,AIM,2079112,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,AIM,2079112,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,AIM,2079112,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,AIM,2079112,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,FLEX,2079012,ELA,M,6,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,FLEX,2079012,Math,M,6,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,LINKS,2079212,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,LINKS,2079212,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,LINKS,2079212,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,LINKS,2079212,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,Northwestern Regional High School,2076112,ELA,F,81,79,97.5,79,21,26.6,26,32.9,20,25.3,12,15.2,32,40.5,2014-15
Regional School District 07,2070012,Northwestern Regional High School,2076112,ELA,M,88,87,98.9,87,49,56.3,21,24.1,11,12.6,6,6.9,17,19.5,2014-15
Regional School District 07,2070012,Northwestern Regional High School,2076112,Math,F,81,80,98.8,79,24,30.4,19,24.1,26,32.9,10,12.7,36,45.6,2014-15
Regional School District 07,2070012,Northwestern Regional High School,2076112,Math,M,88,87,98.9,87,43,49.4,17,19.5,16,18.4,11,12.6,27,31.0,2014-15
Regional School District 07,2070012,Northwestern Regional Middle School,2075112,ELA,F,165,158,95.8,158,*,*,*,*,74,46.8,65,41.1,139,88.0,2014-15
Regional School District 07,2070012,Northwestern Regional Middle School,2075112,ELA,M,167,159,95.2,159,*,*,*,*,71,44.7,38,23.9,109,68.6,2014-15
Regional School District 07,2070012,Northwestern Regional Middle School,2075112,Math,F,165,155,93.9,155,20,12.9,38,24.5,50,32.3,47,30.3,97,62.6,2014-15
Regional School District 07,2070012,Northwestern Regional Middle School,2075112,Math,M,167,159,95.2,159,26,16.4,35,22.0,48,30.2,50,31.4,98,61.6,2014-15
Regional School District 07,2070012,STEP,2079312,ELA,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,STEP,2079312,ELA,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,STEP,2079312,Math,F,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 07,2070012,STEP,2079312,Math,M,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 08,2080012,RHAM High School,2086112,ELA,F,127,127,100.0,127,24,18.9,31,24.4,47,37.0,25,19.7,72,56.7,2014-15
Regional School District 08,2080012,RHAM High School,2086112,ELA,M,135,135,100.0,133,28,21.1,42,31.6,38,28.6,25,18.8,63,47.4,2014-15
Regional School District 08,2080012,RHAM High School,2086112,Math,F,127,127,100.0,127,54,42.5,28,22.0,36,28.3,9,7.1,45,35.4,2014-15
Regional School District 08,2080012,RHAM High School,2086112,Math,M,135,135,100.0,133,60,45.1,29,21.8,23,17.3,21,15.8,44,33.1,2014-15
Regional School District 08,2080012,RHAM Middle School,2085112,ELA,F,270,269,99.6,268,14,5.2,32,11.9,133,49.6,89,33.2,222,82.8,2014-15
Regional School District 08,2080012,RHAM Middle School,2085112,ELA,M,282,280,99.3,277,23,8.3,59,21.3,128,46.2,67,24.2,195,70.4,2014-15
Regional School District 08,2080012,RHAM Middle School,2085112,Math,F,270,269,99.6,268,31,11.6,68,25.4,89,33.2,80,29.9,169,63.1,2014-15
Regional School District 08,2080012,RHAM Middle School,2085112,Math,M,282,280,99.3,277,32,11.6,77,27.8,72,26.0,96,34.7,168,60.6,2014-15
Regional School District 09,2090012,Joel Barlow High School,2096112,ELA,F,130,38,29.2,38,0,0.0,*,*,*,*,22,57.9,*,*,2014-15
Regional School District 09,2090012,Joel Barlow High School,2096112,ELA,M,120,36,30.0,35,*,*,*,*,13,37.1,15,42.9,28,80.0,2014-15
Regional School District 09,2090012,Joel Barlow High School,2096112,Math,F,130,48,36.9,48,*,*,*,*,18,37.5,14,29.2,32,66.7,2014-15
Regional School District 09,2090012,Joel Barlow High School,2096112,Math,M,120,43,35.8,43,*,*,*,*,13,30.2,18,41.9,31,72.1,2014-15
Regional School District 10,2100012,Har-Bur Middle School,2105112,ELA,F,400,394,98.5,394,20,5.1,57,14.5,181,45.9,136,34.5,317,80.5,2014-15
Regional School District 10,2100012,Har-Bur Middle School,2105112,ELA,M,412,407,98.8,406,36,8.9,96,23.6,184,45.3,90,22.2,274,67.5,2014-15
Regional School District 10,2100012,Har-Bur Middle School,2105112,Math,F,400,394,98.5,394,46,11.7,143,36.3,114,28.9,91,23.1,205,52.0,2014-15
Regional School District 10,2100012,Har-Bur Middle School,2105112,Math,M,412,406,98.5,406,59,14.5,106,26.1,117,28.8,124,30.5,241,59.4,2014-15
Regional School District 10,2100012,Harwinton Consolidated School,2100312,ELA,F,80,77,96.3,77,7,9.1,9,11.7,15,19.5,46,59.7,61,79.2,2014-15
Regional School District 10,2100012,Harwinton Consolidated School,2100312,ELA,M,91,89,97.8,89,10,11.2,16,18.0,31,34.8,32,36.0,63,70.8,2014-15
Regional School District 10,2100012,Harwinton Consolidated School,2100312,Math,F,80,77,96.3,77,*,*,*,*,29,37.7,29,37.7,58,75.3,2014-15
Regional School District 10,2100012,Harwinton Consolidated School,2100312,Math,M,91,89,97.8,89,*,*,*,*,41,46.1,33,37.1,74,83.1,2014-15
Regional School District 10,2100012,Lake Garda Elementary School,2100212,ELA,F,78,75,96.2,75,*,*,*,*,23,30.7,34,45.3,57,76.0,2014-15
Regional School District 10,2100012,Lake Garda Elementary School,2100212,ELA,M,101,101,100.0,101,*,*,*,*,25,24.8,39,38.6,64,63.4,2014-15
Regional School District 10,2100012,Lake Garda Elementary School,2100212,Math,F,78,75,96.2,75,*,*,23,30.7,32,42.7,*,*,*,*,2014-15
Regional School District 10,2100012,Lake Garda Elementary School,2100212,Math,M,101,101,100.0,101,*,*,34,33.7,*,*,32,31.7,*,*,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,ELA,F,78,77,98.7,77,*,*,*,*,27,35.1,40,51.9,67,87.0,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,ELA,M,114,113,99.1,113,*,*,*,*,37,32.7,44,38.9,81,71.7,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,Math,F,78,77,98.7,77,13,16.9,17,22.1,30,39.0,17,22.1,47,61.0,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,Math,M,114,113,99.1,113,21,18.6,29,25.7,33,29.2,30,26.5,63,55.8,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,ELA,F,66,66,100.0,66,13,19.7,16,24.2,26,39.4,11,16.7,37,56.1,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,ELA,M,74,73,98.6,72,14,19.4,15,20.8,36,50.0,7,9.7,43,59.7,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,Math,F,66,65,98.5,65,37,56.9,19,29.2,9,13.8,0,0.0,9,13.8,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,Math,M,74,72,97.3,72,31,43.1,29,40.3,*,*,*,*,12,16.7,2014-15
Regional School District 12,2120012,Booth Free School,2120212,ELA,F,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,ELA,M,29,29,100.0,29,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,Math,F,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,Math,M,29,29,100.0,29,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,ELA,F,139,136,97.8,135,6,4.4,21,15.6,53,39.3,55,40.7,108,80.0,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,ELA,M,128,127,99.2,126,17,13.5,24,19.0,53,42.1,32,25.4,85,67.5,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,Math,F,139,135,97.1,134,28,20.9,45,33.6,35,26.1,26,19.4,61,45.5,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,Math,M,130,129,99.2,126,25,19.8,44,34.9,26,20.6,31,24.6,57,45.2,2014-15
Regional School District 12,2120012,The Burnham School,2120112,ELA,F,19,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,ELA,M,14,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,Math,F,19,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,Math,M,14,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,ELA,F,31,31,100.0,31,*,*,*,*,14,45.2,8,25.8,22,71.0,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,ELA,M,30,30,100.0,30,*,*,*,*,8,26.7,15,50.0,23,76.7,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,Math,F,31,31,100.0,31,*,*,*,*,11,35.5,8,25.8,19,61.3,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,Math,M,30,30,100.0,30,*,*,*,*,14,46.7,9,30.0,23,76.7,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,ELA,F,70,67,95.7,67,*,*,*,*,33,49.3,17,25.4,50,74.6,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,ELA,M,67,63,94.0,63,*,*,18,28.6,20,31.7,*,*,*,*,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,Math,F,70,66,94.3,66,25,37.9,20,30.3,*,*,*,*,21,31.8,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,Math,M,67,60,89.6,60,33,55.0,14,23.3,*,*,*,*,13,21.7,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,ELA,F,75,75,100.0,75,7,9.3,19,25.3,22,29.3,27,36.0,49,65.3,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,ELA,M,64,64,100.0,64,14,21.9,13,20.3,17,26.6,20,31.3,37,57.8,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,Math,F,75,75,100.0,75,6,8.0,27,36.0,29,38.7,13,17.3,42,56.0,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,Math,M,64,64,100.0,64,10,15.6,14,21.9,26,40.6,14,21.9,40,62.5,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,ELA,F,156,155,99.4,155,*,*,*,*,80,51.6,45,29.0,125,80.6,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,ELA,M,182,180,98.9,180,*,*,58,32.2,62,34.4,*,*,*,*,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,Math,F,156,155,99.4,155,23,14.8,60,38.7,42,27.1,30,19.4,72,46.5,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,Math,M,183,181,98.9,181,51,28.2,55,30.4,38,21.0,37,20.4,75,41.4,2014-15
Regional School District 13,2130012,John Lyman School,2130512,ELA,F,56,56,100.0,56,*,*,*,*,16,28.6,25,44.6,41,73.2,2014-15
Regional School District 13,2130012,John Lyman School,2130512,ELA,M,50,49,98.0,49,*,*,*,*,15,30.6,20,40.8,35,71.4,2014-15
Regional School District 13,2130012,John Lyman School,2130512,Math,F,57,57,100.0,57,*,*,19,33.3,18,31.6,*,*,*,*,2014-15
Regional School District 13,2130012,John Lyman School,2130512,Math,M,50,49,98.0,49,*,*,*,*,17,34.7,17,34.7,34,69.4,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,ELA,F,126,125,99.2,125,7,5.6,24,19.2,61,48.8,33,26.4,94,75.2,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,ELA,M,159,159,100.0,159,20,12.6,51,32.1,57,35.8,31,19.5,88,55.3,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,Math,F,126,125,99.2,125,27,21.6,46,36.8,38,30.4,14,11.2,52,41.6,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,Math,M,159,159,100.0,159,29,18.2,66,41.5,34,21.4,30,18.9,64,40.3,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,ELA,F,94,92,97.9,92,7,7.6,16,17.4,30,32.6,39,42.4,69,75.0,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,ELA,M,63,61,96.8,61,9,14.8,16,26.2,19,31.1,17,27.9,36,59.0,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,Math,F,94,92,97.9,92,9,9.8,34,37.0,29,31.5,20,21.7,49,53.3,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,Math,M,63,61,96.8,61,6,9.8,18,29.5,23,37.7,14,23.0,37,60.7,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,ELA,F,91,91,100.0,91,9,9.9,14,15.4,23,25.3,45,49.5,68,74.7,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,ELA,M,97,97,100.0,97,20,20.6,15,15.5,29,29.9,33,34.0,62,63.9,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,Math,F,91,91,100.0,91,10,11.0,34,37.4,33,36.3,14,15.4,47,51.6,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,Math,M,97,97,100.0,97,15,15.5,28,28.9,20,20.6,34,35.1,54,55.7,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,ELA,F,100,86,86.0,86,8,9.3,17,19.8,41,47.7,20,23.3,61,70.9,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,ELA,M,92,89,96.7,89,24,27.0,29,32.6,27,30.3,9,10.1,36,40.4,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,Math,F,100,85,85.0,85,*,*,27,31.8,30,35.3,*,*,*,*,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,Math,M,92,89,96.7,89,47,52.8,*,*,20,22.5,*,*,*,*,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,ELA,F,176,176,100.0,176,10,5.7,41,23.3,83,47.2,42,23.9,125,71.0,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,ELA,M,184,184,100.0,184,39,21.2,48,26.1,82,44.6,15,8.2,97,52.7,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,Math,F,176,176,100.0,176,41,23.3,61,34.7,42,23.9,32,18.2,74,42.0,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,Math,M,184,184,100.0,184,46,25.0,77,41.8,36,19.6,25,13.6,61,33.2,2014-15
Regional School District 15,2150012,Gainfield Elementary School,2150412,ELA,F,106,104,98.1,104,8,7.7,14,13.5,35,33.7,47,45.2,82,78.8,2014-15
