district,district_code,school,school_code,subject,special_education,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Regional School District 10,2100012,Lake Garda Elementary School,2100212,Math,Y,14,11,*,11,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,ELA,N,182,181,99.5,181,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,ELA,Y,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,Math,N,182,181,99.5,181,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 10,2100012,Lewis S. Mills High School,2106112,Math,Y,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,ELA,N,114,113,99.1,112,12,10.7,25,22.3,*,*,*,*,*,*,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,ELA,Y,26,26,100.0,26,15,57.7,6,23.1,*,*,*,*,*,*,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,Math,N,114,111,97.4,111,52,46.8,40,36.0,*,*,*,*,*,*,2014-15
Regional School District 11,2110012,Parish Hill High School,2116112,Math,Y,26,26,100.0,26,16,61.5,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,ELA,N,38,38,100.0,38,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,ELA,Y,9,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,Math,N,38,38,100.0,38,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Booth Free School,2120212,Math,Y,9,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,ELA,N,237,233,98.3,232,*,*,39,16.8,100,43.1,*,*,*,*,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,ELA,Y,30,30,100.0,29,16,55.2,*,*,6,20.7,*,*,*,*,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,Math,N,238,233,97.9,231,*,*,82,35.5,*,*,57,24.7,*,*,2014-15
Regional School District 12,2120012,Shepaug Valley School,2120312,Math,Y,31,31,100.0,29,19,65.5,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,The Burnham School,2120112,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,ELA,N,55,55,100.0,55,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,ELA,Y,6,6,*,6,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,Math,N,55,55,100.0,55,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 12,2120012,Washington Primary School,2120412,Math,Y,6,6,*,6,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,ELA,N,120,118,98.3,118,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,ELA,Y,17,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,Math,N,120,114,95.0,114,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Coginchaug Regional High School,2136112,Math,Y,17,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,ELA,N,118,118,100.0,118,8,6.8,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,ELA,Y,21,21,100.0,21,13,61.9,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,Math,N,118,118,100.0,118,7,5.9,35,29.7,*,*,*,*,76,64.4,2014-15
Regional School District 13,2130012,Francis E. Korn School,2130212,Math,Y,21,21,100.0,21,9,42.9,6,28.6,*,*,*,*,6,28.6,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,ELA,N,280,278,99.3,278,9,3.2,63,22.7,129,46.4,77,27.7,206,74.1,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,ELA,Y,58,57,98.3,57,21,36.8,23,40.4,13,22.8,0,0.0,13,22.8,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,Math,N,281,279,99.3,279,39,14.0,98,35.1,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Frank Ward Strong School,2135112,Math,Y,58,57,98.3,57,35,61.4,17,29.8,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,John Lyman School,2130512,ELA,N,93,92,98.9,92,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,John Lyman School,2130512,ELA,Y,13,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,John Lyman School,2130512,Math,N,94,93,98.9,93,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,John Lyman School,2130512,Math,Y,13,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,ELA,N,238,237,99.6,237,*,*,61,25.7,103,43.5,*,*,*,*,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,ELA,Y,47,47,100.0,47,17,36.2,*,*,15,31.9,*,*,*,*,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,Math,N,238,237,99.6,237,31,13.1,95,40.1,*,*,*,*,*,*,2014-15
Regional School District 13,2130012,Middlefield Memorial School,2130412,Math,Y,47,47,100.0,47,25,53.2,17,36.2,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,ELA,N,138,135,97.8,135,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,ELA,Y,19,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,Math,N,138,135,97.8,135,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Bethlehem Elementary School,2140112,Math,Y,19,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,ELA,N,170,170,100.0,170,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,ELA,Y,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,Math,N,170,170,100.0,170,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Mitchell Elementary School,2140212,Math,Y,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,ELA,N,178,161,90.4,161,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,ELA,Y,14,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,Math,N,178,160,89.9,160,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Nonnewaug High School,2146112,Math,Y,14,14,*,14,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,ELA,N,320,320,100.0,320,*,*,81,25.3,*,*,57,17.8,*,*,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,ELA,Y,40,40,100.0,40,27,67.5,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,Math,N,320,320,100.0,320,58,18.1,128,40.0,*,*,*,*,*,*,2014-15
Regional School District 14,2140012,Woodbury Middle School,2145112,Math,Y,40,40,100.0,40,29,72.5,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 15,2150012,Gainfield Elementary School,2150412,ELA,N,189,185,97.9,185,*,*,*,*,59,31.9,97,52.4,156,84.3,2014-15
Regional School District 15,2150012,Gainfield Elementary School,2150412,ELA,Y,21,21,100.0,21,*,*,*,*,6,28.6,0,0.0,6,28.6,2014-15
Regional School District 15,2150012,Gainfield Elementary School,2150412,Math,N,189,185,97.9,185,*,*,45,24.3,*,*,64,34.6,*,*,2014-15
Regional School District 15,2150012,Gainfield Elementary School,2150412,Math,Y,20,20,100.0,20,11,55.0,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 15,2150012,Long Meadow Elementary School,2150712,ELA,N,211,209,99.1,209,*,*,20,9.6,73,34.9,*,*,*,*,2014-15
Regional School District 15,2150012,Long Meadow Elementary School,2150712,ELA,Y,32,31,96.9,31,*,*,11,35.5,6,19.4,*,*,*,*,2014-15
Regional School District 15,2150012,Long Meadow Elementary School,2150712,Math,N,211,209,99.1,209,*,*,48,23.0,73,34.9,*,*,*,*,2014-15
Regional School District 15,2150012,Long Meadow Elementary School,2150712,Math,Y,32,31,96.9,31,11,35.5,12,38.7,*,*,*,*,8,25.8,2014-15
Regional School District 15,2150012,MIJ Program,2150112,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,MIJ Program,2150112,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,MIJ Program,2150112,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,MIJ Program,2150112,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Memorial Middle School,2155212,ELA,N,415,413,99.5,412,*,*,73,17.7,199,48.3,*,*,*,*,2014-15
Regional School District 15,2150012,Memorial Middle School,2155212,ELA,Y,51,49,96.1,49,13,26.5,26,53.1,*,*,*,*,10,20.4,2014-15
Regional School District 15,2150012,Memorial Middle School,2155212,Math,N,415,412,99.3,412,*,*,138,33.5,117,28.4,*,*,*,*,2014-15
Regional School District 15,2150012,Memorial Middle School,2155212,Math,Y,51,49,96.1,49,26,53.1,14,28.6,*,*,*,*,9,18.4,2014-15
Regional School District 15,2150012,Middlebury Elementary School,2150612,ELA,N,174,170,97.7,170,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Middlebury Elementary School,2150612,ELA,Y,19,19,*,19,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Middlebury Elementary School,2150612,Math,N,174,170,97.7,170,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Middlebury Elementary School,2150612,Math,Y,19,19,*,19,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Pomperaug Regional High School,2156212,ELA,N,256,248,96.9,248,*,*,12,4.8,102,41.1,*,*,*,*,2014-15
Regional School District 15,2150012,Pomperaug Regional High School,2156212,ELA,Y,23,21,91.3,21,*,*,6,28.6,11,52.4,*,*,*,*,2014-15
Regional School District 15,2150012,Pomperaug Regional High School,2156212,Math,N,256,247,96.5,247,14,5.7,*,*,*,*,96,38.9,*,*,2014-15
Regional School District 15,2150012,Pomperaug Regional High School,2156212,Math,Y,23,21,91.3,21,14,66.7,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 15,2150012,Pomperaug School,2150512,ELA,N,195,192,98.5,191,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Pomperaug School,2150512,ELA,Y,30,30,100.0,30,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 15,2150012,Pomperaug School,2150512,Math,N,195,191,97.9,191,*,*,61,31.9,75,39.3,*,*,*,*,2014-15
Regional School District 15,2150012,Pomperaug School,2150512,Math,Y,30,30,100.0,30,18,60.0,*,*,0,0.0,*,*,*,*,2014-15
Regional School District 15,2150012,Rochambeau Middle School,2155112,ELA,N,471,463,98.3,462,8,1.7,35,7.6,232,50.2,187,40.5,419,90.7,2014-15
Regional School District 15,2150012,Rochambeau Middle School,2155112,ELA,Y,73,73,100.0,72,25,34.7,30,41.7,17,23.6,0,0.0,17,23.6,2014-15
Regional School District 15,2150012,Rochambeau Middle School,2155112,Math,N,471,461,97.9,461,*,*,132,28.6,157,34.1,*,*,*,*,2014-15
Regional School District 15,2150012,Rochambeau Middle School,2155112,Math,Y,73,71,97.3,71,45,63.4,19,26.8,*,*,*,*,7,9.9,2014-15
Regional School District 16,2160012,Algonquin School,2160312,ELA,N,80,78,97.5,78,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Algonquin School,2160312,ELA,Y,12,10,*,10,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Algonquin School,2160312,Math,N,80,62,77.5,62,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Algonquin School,2160312,Math,Y,12,10,*,10,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Community School,2160212,ELA,N,187,185,98.9,185,*,*,34,18.4,*,*,56,30.3,*,*,2014-15
Regional School District 16,2160012,Community School,2160212,ELA,Y,30,27,90.0,26,16,61.5,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 16,2160012,Community School,2160212,Math,N,187,184,98.4,183,*,*,76,41.5,*,*,36,19.7,*,*,2014-15
Regional School District 16,2160012,Community School,2160212,Math,Y,30,26,86.7,26,16,61.5,*,*,*,*,0,0.0,*,*,2014-15
Regional School District 16,2160012,Laurel Ledge School,2160112,ELA,N,178,174,97.8,174,*,*,39,22.4,*,*,45,25.9,*,*,2014-15
Regional School District 16,2160012,Laurel Ledge School,2160112,ELA,Y,31,30,96.8,30,13,43.3,*,*,*,*,6,20.0,*,*,2014-15
Regional School District 16,2160012,Laurel Ledge School,2160112,Math,N,178,174,97.8,174,21,12.1,45,25.9,*,*,*,*,108,62.1,2014-15
Regional School District 16,2160012,Laurel Ledge School,2160112,Math,Y,31,30,96.8,30,11,36.7,12,40.0,*,*,*,*,7,23.3,2014-15
Regional School District 16,2160012,Long River Middle School,2165112,ELA,N,488,467,95.7,467,*,*,131,28.1,208,44.5,*,*,*,*,2014-15
Regional School District 16,2160012,Long River Middle School,2165112,ELA,Y,67,66,98.5,66,40,60.6,18,27.3,*,*,*,*,8,12.1,2014-15
Regional School District 16,2160012,Long River Middle School,2165112,Math,N,488,467,95.7,467,*,*,170,36.4,140,30.0,*,*,*,*,2014-15
Regional School District 16,2160012,Long River Middle School,2165112,Math,Y,67,65,97.0,65,47,72.3,*,*,0,0.0,*,*,*,*,2014-15
Regional School District 16,2160012,WRHS Alternative Education Program,2160412,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,WRHS Alternative Education Program,2160412,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,WRHS Alternative Education Program,2160412,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,WRHS Alternative Education Program,2160412,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Woodland Regional High School,2166012,ELA,N,160,156,97.5,156,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Woodland Regional High School,2166012,ELA,Y,18,18,*,18,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Woodland Regional High School,2166012,Math,N,160,154,96.3,154,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 16,2160012,Woodland Regional High School,2166012,Math,Y,18,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Burr District Elementary School,2170212,ELA,N,90,90,100.0,90,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Burr District Elementary School,2170212,ELA,Y,17,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Burr District Elementary School,2170212,Math,N,90,90,100.0,90,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Burr District Elementary School,2170212,Math,Y,17,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam Elementary School,2170112,ELA,N,106,106,100.0,106,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam Elementary School,2170112,ELA,Y,14,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam Elementary School,2170112,Math,N,106,106,100.0,106,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam Elementary School,2170112,Math,Y,14,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth High School,2176112,ELA,N,124,121,97.6,121,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth High School,2176112,ELA,Y,16,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth High School,2176112,Math,N,124,122,98.4,122,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth High School,2176112,Math,Y,16,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth Middle School,2175112,ELA,N,633,630,99.5,630,*,*,98,15.6,278,44.1,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth Middle School,2175112,ELA,Y,123,122,99.2,122,*,*,42,34.4,38,31.1,*,*,*,*,2014-15
Regional School District 17,2170012,Haddam-Killingworth Middle School,2175112,Math,N,633,630,99.5,630,86,13.7,199,31.6,155,24.6,190,30.2,345,54.8,2014-15
Regional School District 17,2170012,Haddam-Killingworth Middle School,2175112,Math,Y,123,122,99.2,122,73,59.8,32,26.2,9,7.4,8,6.6,17,13.9,2014-15
Regional School District 17,2170012,Killingworth Elementary School,2170312,ELA,N,102,101,99.0,101,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Killingworth Elementary School,2170312,ELA,Y,20,19,95.0,19,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Killingworth Elementary School,2170312,Math,N,102,101,99.0,101,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 17,2170012,Killingworth Elementary School,2170312,Math,Y,20,19,95.0,19,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Center School,2180312,ELA,N,69,69,100.0,69,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Center School,2180312,ELA,Y,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Center School,2180312,Math,N,69,69,100.0,69,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Center School,2180312,Math,Y,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme Consolidated School,2180112,ELA,N,99,99,100.0,99,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme Consolidated School,2180112,ELA,Y,15,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme Consolidated School,2180112,Math,N,100,99,99.0,99,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme Consolidated School,2180112,Math,Y,15,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme High School,2186112,ELA,N,94,88,93.6,88,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme High School,2186112,ELA,Y,10,8,*,8,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme High School,2186112,Math,N,94,84,89.4,84,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme High School,2186112,Math,Y,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme Middle School,2185112,ELA,N,308,302,98.1,301,*,*,54,17.9,139,46.2,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme Middle School,2185112,ELA,Y,43,43,100.0,42,*,*,13,31.0,17,40.5,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme Middle School,2185112,Math,N,308,300,97.4,300,*,*,90,30.0,90,30.0,*,*,*,*,2014-15
Regional School District 18,2180012,Lyme-Old Lyme Middle School,2185112,Math,Y,42,42,100.0,41,14,34.1,15,36.6,*,*,*,*,12,29.3,2014-15
Regional School District 18,2180012,Mile Creek School,2180212,ELA,N,90,89,98.9,89,0,0.0,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Mile Creek School,2180212,ELA,Y,14,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Mile Creek School,2180212,Math,N,90,88,97.8,88,0,0.0,*,*,*,*,*,*,*,*,2014-15
Regional School District 18,2180012,Mile Creek School,2180212,Math,Y,14,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E. O. Smith High School,2196112,ELA,N,225,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E. O. Smith High School,2196112,ELA,Y,32,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E. O. Smith High School,2196112,Math,N,225,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E. O. Smith High School,2196112,Math,Y,32,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E.O. Smith High School at the Depot Campus,2190112,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E.O. Smith High School at the Depot Campus,2190112,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E.O. Smith High School at the Depot Campus,2190112,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,E.O. Smith High School at the Depot Campus,2190112,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,PM Panthers,2190212,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,PM Panthers,2190212,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,PM Panthers,2190212,Math,N,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Regional School District 19,2190012,PM Panthers,2190212,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Alternative High School,1188011,ELA,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Alternative High School,1188011,Math,Y,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Barlow Mountain Elementary School,1180811,ELA,N,154,138,89.6,138,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Barlow Mountain Elementary School,1180811,ELA,Y,18,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Barlow Mountain Elementary School,1180811,Math,N,154,138,89.6,138,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Barlow Mountain Elementary School,1180811,Math,Y,18,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Branchville Elementary School,1180611,ELA,N,205,204,99.5,204,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Branchville Elementary School,1180611,ELA,Y,18,17,*,17,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Branchville Elementary School,1180611,Math,N,205,205,100.0,205,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Branchville Elementary School,1180611,Math,Y,18,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,East Ridge Middle School,1185111,ELA,N,696,689,99.0,689,*,*,72,10.4,283,41.1,*,*,*,*,2014-15
Ridgefield School District,1180011,East Ridge Middle School,1185111,ELA,Y,69,69,100.0,68,24,35.3,23,33.8,*,*,*,*,21,30.9,2014-15
Ridgefield School District,1180011,East Ridge Middle School,1185111,Math,N,696,688,98.9,688,45,6.5,159,23.1,*,*,*,*,484,70.3,2014-15
Ridgefield School District,1180011,East Ridge Middle School,1185111,Math,Y,69,69,100.0,69,39,56.5,21,30.4,*,*,*,*,9,13.0,2014-15
Ridgefield School District,1180011,Farmingville Elementary School,1180411,ELA,N,178,176,98.9,176,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Farmingville Elementary School,1180411,ELA,Y,11,10,*,10,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Farmingville Elementary School,1180411,Math,N,178,176,98.9,176,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Farmingville Elementary School,1180411,Math,Y,11,10,*,10,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgebury Elementary School,1180311,ELA,N,177,169,95.5,169,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgebury Elementary School,1180311,ELA,Y,12,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgebury Elementary School,1180311,Math,N,177,170,96.0,170,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgebury Elementary School,1180311,Math,Y,12,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgefield High School,1186111,ELA,N,401,203,50.6,203,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgefield High School,1186111,ELA,Y,26,11,42.3,11,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgefield High School,1186111,Math,N,401,167,41.6,167,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Ridgefield High School,1186111,Math,Y,26,7,26.9,7,*,*,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Scotland Elementary School,1180511,ELA,N,163,160,98.2,160,*,*,*,*,36,22.5,*,*,*,*,2014-15
Ridgefield School District,1180011,Scotland Elementary School,1180511,ELA,Y,22,21,95.5,21,*,*,*,*,8,38.1,*,*,*,*,2014-15
Ridgefield School District,1180011,Scotland Elementary School,1180511,Math,N,163,161,98.8,161,7,4.3,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Scotland Elementary School,1180511,Math,Y,22,21,95.5,21,10,47.6,*,*,*,*,*,*,*,*,2014-15
Ridgefield School District,1180011,Scotts Ridge Middle School,1185211,ELA,N,436,420,96.3,420,*,*,67,16.0,197,46.9,*,*,*,*,2014-15
Ridgefield School District,1180011,Scotts Ridge Middle School,1185211,ELA,Y,61,59,96.7,59,24,40.7,16,27.1,*,*,*,*,19,32.2,2014-15
