"subject","participation.rate","school_code","year"
"Science: All Students ","96.5","0415111","201516"
"Science: High Needs Students ","90.2","0415111","201516"
"ELA: All Students ","90.8","0416111","201415"
"ELA: High Needs Students ","85.0","0416111","201415"
"Math: All Students ","90.8","0416111","201415"
"Math: High Needs Students ","85.0","0416111","201415"
"Science: All Students ","100.0","0416111","201415"
"Science: High Needs Students ",".","0416111","201415"
"ELA: All Students ","96.3","0416111","201516"
"ELA: High Needs Students ",".","0416111","201516"
"Math: All Students ","96.3","0416111","201516"
"Math: High Needs Students ",".","0416111","201516"
"Science: All Students ","98.8","0416111","201516"
"Science: High Needs Students ","95.7","0416111","201516"
"ELA Performance index: All Students ","96.9","0420111","201415"
"EL Performance indexA: High Needs Students ","100.0","0420111","201415"
"Math Performance index: All Students ","95.7","0420111","201415"
"Math Performance index: High Needs Students ","100.0","0420111","201415"
"Science Performance index: All Students ",".","0420111","201415"
"Science Performance index: High Needs Students ",".","0420111","201415"
"ELA: All Students ","98.1","0420111","201516"
"ELA: High Needs Students ","95.3","0420111","201516"
"Math: All Students ","98.1","0420111","201516"
"Math: High Needs Students ","95.3","0420111","201516"
"Science: All Students ",".","0420111","201516"
"Science: High Needs Students ",".","0420111","201516"
"ELA Performance index: All Students ","96.8","0420311","201415"
"EL Performance indexA: High Needs Students ","98.4","0420311","201415"
"Math Performance index: All Students ","96.5","0420311","201415"
"Math Performance index: High Needs Students ","96.9","0420311","201415"
"Science Performance index: All Students ","100","0420311","201415"
"Science Performance index: High Needs Students ","100","0420311","201415"
"ELA: All Students ","94.5","0420311","201516"
"ELA: High Needs Students ","91.5","0420311","201516"
"Math: All Students ","94.5","0420311","201516"
"Math: High Needs Students ","91.5","0420311","201516"
"Science: All Students ","97","0420311","201516"
"Science: High Needs Students ","91.9","0420311","201516"
"ELA Performance index: All Students ","97.4","0425111","201415"
"EL Performance indexA: High Needs Students ","100","0425111","201415"
"Math Performance index: All Students ","97.4","0425111","201415"
"Math Performance index: High Needs Students ","100","0425111","201415"
"Science Performance index: All Students ","100","0425111","201415"
"Science Performance index: High Needs Students ","100","0425111","201415"
"ELA: All Students ","91.9","0425111","201516"
"ELA: High Needs Students ","96.8","0425111","201516"
"Math: All Students ","91.7","0425111","201516"
"Math: High Needs Students ","96.8","0425111","201516"
"Science: All Students ","98.6","0425111","201516"
"Science: High Needs Students ","97.1","0425111","201516"
"ELA: All Students ","96.6","0426111","201415"
"ELA: High Needs Students ","100","0426111","201415"
"Math: All Students ","96.6","0426111","201415"
"Math: High Needs Students ","100","0426111","201415"
"Science: All Students ","98.5","0426111","201415"
"Science: High Needs Students ","100","0426111","201415"
"ELA: All Students ","96.2","0426111","201516"
"ELA: High Needs Students ","96.4","0426111","201516"
"Math: All Students ","96.2","0426111","201516"
"Math: High Needs Students ","96.4","0426111","201516"
"Science: All Students ","97.2","0426111","201516"
"Science: High Needs Students ","92.6","0426111","201516"
"ELA Performance index: All Students ","100","0430411","201415"
"EL Performance indexA: High Needs Students ","100","0430411","201415"
"Math Performance index: All Students ","100","0430411","201415"
"Math Performance index: High Needs Students ","100","0430411","201415"
"Science Performance index: All Students ","100","0430411","201415"
"Science Performance index: High Needs Students ","100","0430411","201415"
"ELA: All Students ","100","0430411","201516"
"ELA: High Needs Students ","100","0430411","201516"
"Math: All Students ","96.5","0430411","201516"
"Math: High Needs Students ","97","0430411","201516"
"Science: All Students ","94.6","0430411","201516"
"Science: High Needs Students ","91.7","0430411","201516"
"ELA Performance index: All Students ","99.1","0430511","201415"
"EL Performance indexA: High Needs Students ","98.9","0430511","201415"
"Math Performance index: All Students ","99.1","0430511","201415"
"Math Performance index: High Needs Students ","98.9","0430511","201415"
"Science Performance index: All Students ","100","0430511","201415"
"Science Performance index: High Needs Students ","100","0430511","201415"
"ELA: All Students ","100","0430511","201516"
"ELA: High Needs Students ","100","0430511","201516"
"Math: All Students ","100","0430511","201516"
"Math: High Needs Students ","100","0430511","201516"
"Science: All Students ","100","0430511","201516"
"Science: High Needs Students ","100","0430511","201516"
"ELA Performance index: All Students ","98.8","0430611","201415"
"EL Performance indexA: High Needs Students ","98.4","0430611","201415"
"Math Performance index: All Students ","100","0430611","201415"
"Math Performance index: High Needs Students ","100","0430611","201415"
"Science Performance index: All Students ","100","0430611","201415"
"Science Performance index: High Needs Students ","100","0430611","201415"
"ELA: All Students ","100","0430611","201516"
"ELA: High Needs Students ","100","0430611","201516"
"Math: All Students ","99.5","0430611","201516"
"Math: High Needs Students ","99.3","0430611","201516"
"Science: All Students ","100","0430611","201516"
"Science: High Needs Students ","100","0430611","201516"
"ELA Performance index: All Students ","99.2","0430911","201415"
"EL Performance indexA: High Needs Students ","99.1","0430911","201415"
"Math Performance index: All Students ","99.2","0430911","201415"
"Math Performance index: High Needs Students ","99.1","0430911","201415"
"Science Performance index: All Students ","100","0430911","201415"
"Science Performance index: High Needs Students ","100","0430911","201415"
"ELA: All Students ","100","0430911","201516"
"ELA: High Needs Students ","100","0430911","201516"
"Math: All Students ","100","0430911","201516"
"Math: High Needs Students ","100","0430911","201516"
"Science: All Students ","100","0430911","201516"
"Science: High Needs Students ","100","0430911","201516"
"ELA Performance index: All Students ","100","0431011","201415"
"EL Performance indexA: High Needs Students ","100","0431011","201415"
"Math Performance index: All Students ","100","0431011","201415"
"Math Performance index: High Needs Students ","100","0431011","201415"
"Science Performance index: All Students ","100","0431011","201415"
"Science Performance index: High Needs Students ","100","0431011","201415"
"ELA: All Students ","100","0431011","201516"
"ELA: High Needs Students ","100","0431011","201516"
"Math: All Students ","100","0431011","201516"
"Math: High Needs Students ","100","0431011","201516"
"Science: All Students ","100","0431011","201516"
"Science: High Needs Students ","100","0431011","201516"
"ELA Performance index: All Students ","99.3","0431211","201415"
"EL Performance indexA: High Needs Students ","99.2","0431211","201415"
"Math Performance index: All Students ","100","0431211","201415"
"Math Performance index: High Needs Students ","100","0431211","201415"
"Science Performance index: All Students ","100","0431211","201415"
"Science Performance index: High Needs Students ","100","0431211","201415"
"ELA: All Students ","100","0431211","201516"
"ELA: High Needs Students ","100","0431211","201516"
"Math: All Students ","100","0431211","201516"
"Math: High Needs Students ","100","0431211","201516"
"Science: All Students ","100","0431211","201516"
"Science: High Needs Students ","100","0431211","201516"
"ELA Performance index: All Students ","98.6","0431811","201415"
"EL Performance indexA: High Needs Students ","98.3","0431811","201415"
"Math Performance index: All Students ","99.3","0431811","201415"
"Math Performance index: High Needs Students ","99.1","0431811","201415"
"Science Performance index: All Students ","100","0431811","201415"
"Science Performance index: High Needs Students ","100","0431811","201415"
"ELA: All Students ","100","0431811","201516"
"ELA: High Needs Students ","100","0431811","201516"
"Math: All Students ","100","0431811","201516"
"Math: High Needs Students ","100","0431811","201516"
"Science: All Students ","100","0431811","201516"
"Science: High Needs Students ","100","0431811","201516"
"ELA Performance index: All Students ","100.0","0432011","201415"
"EL Performance indexA: High Needs Students ","100.0","0432011","201415"
"Math Performance index: All Students ","100.0","0432011","201415"
"Math Performance index: High Needs Students ","100.0","0432011","201415"
"Science Performance index: All Students ","100.0","0432011","201415"
"Science Performance index: High Needs Students ",".","0432011","201415"
"ELA: All Students ","100","0432011","201516"
"ELA: High Needs Students ","100","0432011","201516"
"Math: All Students ","100","0432011","201516"
"Math: High Needs Students ","100","0432011","201516"
"Science: All Students ","100","0432011","201516"
"Science: High Needs Students ","100","0432011","201516"
"ELA Performance index: All Students ","99.5","0432211","201415"
"EL Performance indexA: High Needs Students ","99.4","0432211","201415"
"Math Performance index: All Students ","99.5","0432211","201415"
"Math Performance index: High Needs Students ","99.4","0432211","201415"
"Science Performance index: All Students ","100","0432211","201415"
"Science Performance index: High Needs Students ","100","0432211","201415"
"ELA: All Students ","100","0432211","201516"
"ELA: High Needs Students ","100","0432211","201516"
"Math: All Students ","99.4","0432211","201516"
"Math: High Needs Students ","99.2","0432211","201516"
"Science: All Students ","100","0432211","201516"
"Science: High Needs Students ","100","0432211","201516"
"ELA Performance index: All Students ","100","0432411","201415"
"EL Performance indexA: High Needs Students ","100","0432411","201415"
"Math Performance index: All Students ","100","0432411","201415"
"Math Performance index: High Needs Students ","100","0432411","201415"
"Science Performance index: All Students ","100","0432411","201415"
"Science Performance index: High Needs Students ","100","0432411","201415"
NA,"100.0","0432411","201516"
NA,"100.0","0432411","201516"
NA,"100.0","0432411","201516"
NA,"100.0","0432411","201516"
NA,".","0432411","201516"
NA,".","0432411","201516"
"ELA Performance index: All Students ","98.3","0435111","201415"
"EL Performance indexA: High Needs Students ","98","0435111","201415"
"Math Performance index: All Students ","98.2","0435111","201415"
"Math Performance index: High Needs Students ","97.9","0435111","201415"
"Science Performance index: All Students ","99.2","0435111","201415"
"Science Performance index: High Needs Students ","99.7","0435111","201415"
"ELA: All Students ","98.9","0435111","201516"
"ELA: High Needs Students ","98.8","0435111","201516"
"Math: All Students ","98.3","0435111","201516"
"Math: High Needs Students ","98.1","0435111","201516"
"Science: All Students ","99","0435111","201516"
"Science: High Needs Students ","98.6","0435111","201516"
"ELA: All Students ","100","0436211","201415"
"ELA: High Needs Students ","100","0436211","201415"
"Math: All Students ","99.7","0436211","201415"
"Math: High Needs Students ","99.6","0436211","201415"
"Science: All Students ","99.8","0436211","201415"
"Science: High Needs Students ","100","0436211","201415"
"ELA: All Students ","96.1","0436211","201516"
"ELA: High Needs Students ","96.6","0436211","201516"
"Math: All Students ","96.1","0436211","201516"
"Math: High Needs Students ","96.6","0436211","201516"
"Science: All Students ","95.3","0436211","201516"
"Science: High Needs Students ","94.7","0436211","201516"
"ELA: All Students ","100.0","0436311","201415"
"ELA: High Needs Students ",".","0436311","201415"
"Math: All Students ","100.0","0436311","201415"
"Math: High Needs Students ",".","0436311","201415"
"Science: All Students ","100.0","0436311","201415"
"Science: High Needs Students ","100.0","0436311","201415"
"ELA: All Students ","100","0436311","201516"
"ELA: High Needs Students ","100","0436311","201516"
"Math: All Students ","100","0436311","201516"
"Math: High Needs Students ","100","0436311","201516"
"Science: All Students ","100","0436311","201516"
"Science: High Needs Students ","100","0436311","201516"
"ELA: All Students ","48.5","0436411","201415"
"ELA: High Needs Students ","42.9","0436411","201415"
"Math: All Students ","54.5","0436411","201415"
"Math: High Needs Students ","50","0436411","201415"
"Science: All Students ","95.5","0436411","201415"
"Science: High Needs Students ","95","0436411","201415"
"ELA: All Students ","71.4","0436411","201516"
"ELA: High Needs Students ","71.9","0436411","201516"
"Math: All Students ","71.4","0436411","201516"
"Math: High Needs Students ","71.9","0436411","201516"
"Science: All Students ","44.8","0436411","201516"
"Science: High Needs Students ","44","0436411","201516"
"ELA Performance index: All Students ",".","0440111","201415"
"EL Performance indexA: High Needs Students ",".","0440111","201415"
"Math Performance index: All Students ",".","0440111","201415"
"Math Performance index: High Needs Students ",".","0440111","201415"
"Science Performance index: All Students ",".","0440111","201415"
"Science Performance index: High Needs Students ",".","0440111","201415"
"ELA: All Students ",".","0440111","201516"
"ELA: High Needs Students ",".","0440111","201516"
"Math: All Students ",".","0440111","201516"
"Math: High Needs Students ",".","0440111","201516"
"Science: All Students ",".","0440111","201516"
"Science: High Needs Students ",".","0440111","201516"
"ELA Performance index: All Students ","100","0440711","201415"
"EL Performance indexA: High Needs Students ","100","0440711","201415"
"Math Performance index: All Students ","100","0440711","201415"
"Math Performance index: High Needs Students ","100","0440711","201415"
"Science Performance index: All Students ","100","0440711","201415"
"Science Performance index: High Needs Students ","100","0440711","201415"
"ELA: All Students ","100","0440711","201516"
"ELA: High Needs Students ","100","0440711","201516"
"Math: All Students ","100","0440711","201516"
"Math: High Needs Students ","100","0440711","201516"
"Science: All Students ","100","0440711","201516"
"Science: High Needs Students ","100","0440711","201516"
"ELA Performance index: All Students ","100","0441011","201415"
"EL Performance indexA: High Needs Students ","100","0441011","201415"
"Math Performance index: All Students ","100","0441011","201415"
"Math Performance index: High Needs Students ","100","0441011","201415"
"Science Performance index: All Students ","100","0441011","201415"
"Science Performance index: High Needs Students ","100","0441011","201415"
"ELA: All Students ","100","0441011","201516"
"ELA: High Needs Students ","100","0441011","201516"
"Math: All Students ","100","0441011","201516"
"Math: High Needs Students ","100","0441011","201516"
"Science: All Students ","100","0441011","201516"
"Science: High Needs Students ","100","0441011","201516"
"ELA Performance index: All Students ","99.5","0441311","201415"
"EL Performance indexA: High Needs Students ","99","0441311","201415"
"Math Performance index: All Students ","99.5","0441311","201415"
"Math Performance index: High Needs Students ","99","0441311","201415"
"Science Performance index: All Students ","100","0441311","201415"
"Science Performance index: High Needs Students ","100","0441311","201415"
"ELA: All Students ","100","0441311","201516"
"ELA: High Needs Students ","100","0441311","201516"
"Math: All Students ","100","0441311","201516"
"Math: High Needs Students ","100","0441311","201516"
"Science: All Students ","100","0441311","201516"
"Science: High Needs Students ","100","0441311","201516"
"ELA Performance index: All Students ","99.6","0441711","201415"
"EL Performance indexA: High Needs Students ","99.2","0441711","201415"
"Math Performance index: All Students ","99.6","0441711","201415"
"Math Performance index: High Needs Students ","99.2","0441711","201415"
"Science Performance index: All Students ","98.8","0441711","201415"
"Science Performance index: High Needs Students ","97.4","0441711","201415"
"ELA: All Students ","100","0441711","201516"
"ELA: High Needs Students ","100","0441711","201516"
"Math: All Students ","99.6","0441711","201516"
"Math: High Needs Students ","100","0441711","201516"
"Science: All Students ","100","0441711","201516"
"Science: High Needs Students ","100","0441711","201516"
"ELA Performance index: All Students ",".","0441811","201415"
"EL Performance indexA: High Needs Students ",".","0441811","201415"
"Math Performance index: All Students ",".","0441811","201415"
"Math Performance index: High Needs Students ",".","0441811","201415"
"Science Performance index: All Students ",".","0441811","201415"
"Science Performance index: High Needs Students ",".","0441811","201415"
"ELA: All Students ",".","0441811","201516"
"ELA: High Needs Students ",".","0441811","201516"
"Math: All Students ",".","0441811","201516"
"Math: High Needs Students ",".","0441811","201516"
"Science: All Students ",".","0441811","201516"
"Science: High Needs Students ",".","0441811","201516"
"ELA Performance index: All Students ","98.5","0445111","201415"
"EL Performance indexA: High Needs Students ","98.2","0445111","201415"
"Math Performance index: All Students ","98.1","0445111","201415"
"Math Performance index: High Needs Students ","97.7","0445111","201415"
"Science Performance index: All Students ","97.3","0445111","201415"
"Science Performance index: High Needs Students ","96.6","0445111","201415"
"ELA: All Students ","99.1","0445111","201516"
"ELA: High Needs Students ","99","0445111","201516"
"Math: All Students ","98.6","0445111","201516"
"Math: High Needs Students ","98.7","0445111","201516"
"Science: All Students ","98.5","0445111","201516"
"Science: High Needs Students ","97.9","0445111","201516"
"ELA: All Students ","97.6","0446111","201415"
"ELA: High Needs Students ","95.9","0446111","201415"
"Math: All Students ","96.7","0446111","201415"
"Math: High Needs Students ","94.9","0446111","201415"
"Science: All Students ","97.9","0446111","201415"
"Science: High Needs Students ","97.7","0446111","201415"
"ELA: All Students ","93.9","0446111","201516"
"ELA: High Needs Students ","89.4","0446111","201516"
"Math: All Students ","93.9","0446111","201516"
"Math: High Needs Students ","89.4","0446111","201516"
"Science: All Students ","98.2","0446111","201516"
"Science: High Needs Students ","97.3","0446111","201516"
"ELA Performance index: All Students ","99.4","0450111","201415"
"EL Performance indexA: High Needs Students ","100.0","0450111","201415"
"Math Performance index: All Students ","98.8","0450111","201415"
"Math Performance index: High Needs Students ","100.0","0450111","201415"
"Science Performance index: All Students ",".","0450111","201415"
"Science Performance index: High Needs Students ",".","0450111","201415"
"ELA: All Students ","99.4","0450111","201516"
"ELA: High Needs Students ","100.0","0450111","201516"
"Math: All Students ","99.4","0450111","201516"
"Math: High Needs Students ","100.0","0450111","201516"
"Science: All Students ",".","0450111","201516"
"Science: High Needs Students ",".","0450111","201516"
"ELA Performance index: All Students ","100.0","0450211","201415"
"EL Performance indexA: High Needs Students ","100.0","0450211","201415"
"Math Performance index: All Students ","100.0","0450211","201415"
"Math Performance index: High Needs Students ","100.0","0450211","201415"
"Science Performance index: All Students ",".","0450211","201415"
"Science Performance index: High Needs Students ",".","0450211","201415"
"ELA: All Students ","100.0","0450211","201516"
"ELA: High Needs Students ","100.0","0450211","201516"
"Math: All Students ","100.0","0450211","201516"
"Math: High Needs Students ","100.0","0450211","201516"
"Science: All Students ",".","0450211","201516"
"Science: High Needs Students ",".","0450211","201516"
"ELA Performance index: All Students ","100.0","0450411","201415"
"EL Performance indexA: High Needs Students ","100.0","0450411","201415"
"Math Performance index: All Students ","100.0","0450411","201415"
"Math Performance index: High Needs Students ","100.0","0450411","201415"
"Science Performance index: All Students ",".","0450411","201415"
"Science Performance index: High Needs Students ",".","0450411","201415"
"ELA: All Students ","98.4","0450411","201516"
"ELA: High Needs Students ","97.8","0450411","201516"
"Math: All Students ","98.4","0450411","201516"
"Math: High Needs Students ","97.8","0450411","201516"
"Science: All Students ",".","0450411","201516"
"Science: High Needs Students ",".","0450411","201516"
"ELA Performance index: All Students ","98.1","0455111","201415"
"EL Performance indexA: High Needs Students ","96.3","0455111","201415"
"Math Performance index: All Students ","98","0455111","201415"
"Math Performance index: High Needs Students ","95.8","0455111","201415"
"Science Performance index: All Students ","99.3","0455111","201415"
"Science Performance index: High Needs Students ","98.2","0455111","201415"
"ELA: All Students ","96.9","0455111","201516"
"ELA: High Needs Students ","95.8","0455111","201516"
"Math: All Students ","96.7","0455111","201516"
"Math: High Needs Students ","95.4","0455111","201516"
"Science: All Students ","99.1","0455111","201516"
"Science: High Needs Students ","97.3","0455111","201516"
"ELA: All Students ","95.9","0456111","201415"
"ELA: High Needs Students ","92","0456111","201415"
"Math: All Students ","95.5","0456111","201415"
"Math: High Needs Students ","90","0456111","201415"
"Science: All Students ","98.8","0456111","201415"
"Science: High Needs Students ","96.9","0456111","201415"
"ELA: All Students ","98.8","0456111","201516"
"ELA: High Needs Students ","98.3","0456111","201516"
"Math: All Students ","98.8","0456111","201516"
"Math: High Needs Students ","98.3","0456111","201516"
"Science: All Students ","98.9","0456111","201516"
"Science: High Needs Students ","95.5","0456111","201516"
"ELA Performance index: All Students ","100.0","0460111","201415"
"EL Performance indexA: High Needs Students ","100.0","0460111","201415"
"Math Performance index: All Students ","100.0","0460111","201415"
"Math Performance index: High Needs Students ","100.0","0460111","201415"
"Science Performance index: All Students ","99.0","0460111","201415"
"Science Performance index: High Needs Students ",".","0460111","201415"
"ELA: All Students ","97.9","0460111","201516"
"ELA: High Needs Students ","98.2","0460111","201516"
"Math: All Students ","97.3","0460111","201516"
"Math: High Needs Students ","94.6","0460111","201516"
"Science: All Students ","99.2","0460111","201516"
"Science: High Needs Students ",".","0460111","201516"
"ELA Performance index: All Students ","97.5","0465111","201415"
"EL Performance indexA: High Needs Students ","95.1","0465111","201415"
"Math Performance index: All Students ","97.8","0465111","201415"
"Math Performance index: High Needs Students ","95.1","0465111","201415"
"Science Performance index: All Students ","99.1","0465111","201415"
"Science Performance index: High Needs Students ",".","0465111","201415"
"ELA: All Students ","97.7","0465111","201516"
"ELA: High Needs Students ","96.1","0465111","201516"
"Math: All Students ","95.8","0465111","201516"
"Math: High Needs Students ","94.1","0465111","201516"
"Science: All Students ","97.2","0465111","201516"
"Science: High Needs Students ",".","0465111","201516"
"ELA Performance index: All Students ","99.4","0470111","201415"
"EL Performance indexA: High Needs Students ","98.9","0470111","201415"
"Math Performance index: All Students ","99.4","0470111","201415"
"Math Performance index: High Needs Students ","98.9","0470111","201415"
"Science Performance index: All Students ",".","0470111","201415"
"Science Performance index: High Needs Students ",".","0470111","201415"
"ELA: All Students ","98.9","0470111","201516"
"ELA: High Needs Students ","98.1","0470111","201516"
"Math: All Students ","98.9","0470111","201516"
"Math: High Needs Students ","98.1","0470111","201516"
"Science: All Students ",".","0470111","201516"
"Science: High Needs Students ",".","0470111","201516"
"ELA Performance index: All Students ","100","0475411","201415"
"EL Performance indexA: High Needs Students ","100","0475411","201415"
"Math Performance index: All Students ","100","0475411","201415"
"Math Performance index: High Needs Students ","100","0475411","201415"
"Science Performance index: All Students ","100","0475411","201415"
"Science Performance index: High Needs Students ","100","0475411","201415"
"ELA: All Students ","98.7","0475411","201516"
"ELA: High Needs Students ","98.1","0475411","201516"
"Math: All Students ","98.7","0475411","201516"
"Math: High Needs Students ","98.1","0475411","201516"
"Science: All Students ","99.4","0475411","201516"
"Science: High Needs Students ","98.8","0475411","201516"
"ELA: All Students ","98.6","0476111","201415"
"ELA: High Needs Students ","100","0476111","201415"
"Math: All Students ","98.6","0476111","201415"
"Math: High Needs Students ","100","0476111","201415"
"Science: All Students ","96.1","0476111","201415"
"Science: High Needs Students ","93.6","0476111","201415"
"ELA: All Students ","97.1","0476111","201516"
"ELA: High Needs Students ","94.6","0476111","201516"
"Math: All Students ","97.1","0476111","201516"
"Math: High Needs Students ","94.6","0476111","201516"
"Science: All Students ","98.9","0476111","201516"
"Science: High Needs Students ","97.8","0476111","201516"
"ELA Performance index: All Students ","100.0","0480111","201415"
"EL Performance indexA: High Needs Students ","100.0","0480111","201415"
"Math Performance index: All Students ","100.0","0480111","201415"
"Math Performance index: High Needs Students ","100.0","0480111","201415"
"Science Performance index: All Students ",".","0480111","201415"
"Science Performance index: High Needs Students ",".","0480111","201415"
"ELA: All Students ","100.0","0480111","201516"
"ELA: High Needs Students ","100.0","0480111","201516"
"Math: All Students ","100.0","0480111","201516"
"Math: High Needs Students ","100.0","0480111","201516"
"Science: All Students ",".","0480111","201516"
"Science: High Needs Students ",".","0480111","201516"
"ELA Performance index: All Students ","98.8","0480211","201415"
"EL Performance indexA: High Needs Students ",".","0480211","201415"
"Math Performance index: All Students ","98.9","0480211","201415"
"Math Performance index: High Needs Students ",".","0480211","201415"
"Science Performance index: All Students ",".","0480211","201415"
"Science Performance index: High Needs Students ",".","0480211","201415"
"ELA: All Students ","96.4","0480211","201516"
"ELA: High Needs Students ","95.8","0480211","201516"
"Math: All Students ","96.4","0480211","201516"
"Math: High Needs Students ","95.8","0480211","201516"
"Science: All Students ",".","0480211","201516"
"Science: High Needs Students ",".","0480211","201516"
"ELA Performance index: All Students ","100.0","0480611","201415"
"EL Performance indexA: High Needs Students ","100.0","0480611","201415"
"Math Performance index: All Students ","100.0","0480611","201415"
"Math Performance index: High Needs Students ","100.0","0480611","201415"
"Science Performance index: All Students ",".","0480611","201415"
"Science Performance index: High Needs Students ",".","0480611","201415"
"ELA: All Students ","100.0","0480611","201516"
"ELA: High Needs Students ","100.0","0480611","201516"
"Math: All Students ","100.0","0480611","201516"
"Math: High Needs Students ","100.0","0480611","201516"
"Science: All Students ",".","0480611","201516"
"Science: High Needs Students ",".","0480611","201516"
"ELA Performance index: All Students ","98.8","0480711","201415"
"EL Performance indexA: High Needs Students ","98.8","0480711","201415"
"Math Performance index: All Students ","98.8","0480711","201415"
"Math Performance index: High Needs Students ","98.8","0480711","201415"
"Science Performance index: All Students ","100","0480711","201415"
"Science Performance index: High Needs Students ","100","0480711","201415"
"ELA: All Students ","99.3","0480711","201516"
"ELA: High Needs Students ","100","0480711","201516"
"Math: All Students ","99.3","0480711","201516"
"Math: High Needs Students ","100","0480711","201516"
"Science: All Students ","100","0480711","201516"
"Science: High Needs Students ","100","0480711","201516"
"ELA Performance index: All Students ","99.3","0485111","201415"
"EL Performance indexA: High Needs Students ","100","0485111","201415"
"Math Performance index: All Students ","99.3","0485111","201415"
"Math Performance index: High Needs Students ","100","0485111","201415"
"Science Performance index: All Students ","100","0485111","201415"
"Science Performance index: High Needs Students ","100","0485111","201415"
"ELA: All Students ","99.3","0485111","201516"
"ELA: High Needs Students ","98.8","0485111","201516"
"Math: All Students ","99.3","0485111","201516"
"Math: High Needs Students ","98.9","0485111","201516"
"Science: All Students ","100","0485111","201516"
"Science: High Needs Students ","100","0485111","201516"
"ELA: All Students ","92.7","0486111","201415"
"ELA: High Needs Students ","92","0486111","201415"
"Math: All Students ","93.9","0486111","201415"
"Math: High Needs Students ","92.3","0486111","201415"
"Science: All Students ","99.1","0486111","201415"
"Science: High Needs Students ","94.9","0486111","201415"
"ELA: All Students ","99.5","0486111","201516"
"ELA: High Needs Students ","97.1","0486111","201516"
"Math: All Students ","99.5","0486111","201516"
"Math: High Needs Students ","97.1","0486111","201516"
"Science: All Students ","99.4","0486111","201516"
"Science: High Needs Students ","97.4","0486111","201516"
"ELA Performance index: All Students ",".","0490211","201415"
"EL Performance indexA: High Needs Students ",".","0490211","201415"
"Math Performance index: All Students ",".","0490211","201415"
"Math Performance index: High Needs Students ",".","0490211","201415"
"Science Performance index: All Students ",".","0490211","201415"
"Science Performance index: High Needs Students ",".","0490211","201415"
"ELA: All Students ",".","0490211","201516"
"ELA: High Needs Students ",".","0490211","201516"
"Math: All Students ",".","0490211","201516"
"Math: High Needs Students ",".","0490211","201516"
"Science: All Students ",".","0490211","201516"
"Science: High Needs Students ",".","0490211","201516"
"ELA Performance index: All Students ",".","0490411","201415"
"EL Performance indexA: High Needs Students ",".","0490411","201415"
"Math Performance index: All Students ",".","0490411","201415"
"Math Performance index: High Needs Students ",".","0490411","201415"
"Science Performance index: All Students ",".","0490411","201415"
"Science Performance index: High Needs Students ",".","0490411","201415"
"ELA: All Students ",".","0490411","201516"
"ELA: High Needs Students ",".","0490411","201516"
"Math: All Students ",".","0490411","201516"
"Math: High Needs Students ",".","0490411","201516"
"Science: All Students ",".","0490411","201516"
"Science: High Needs Students ",".","0490411","201516"
"ELA Performance index: All Students ",".","0491111","201415"
"EL Performance indexA: High Needs Students ",".","0491111","201415"
"Math Performance index: All Students ",".","0491111","201415"
"Math Performance index: High Needs Students ",".","0491111","201415"
"Science Performance index: All Students ",".","0491111","201415"
"Science Performance index: High Needs Students ",".","0491111","201415"
"ELA: All Students ",".","0491111","201516"
"ELA: High Needs Students ",".","0491111","201516"
"Math: All Students ",".","0491111","201516"
"Math: High Needs Students ",".","0491111","201516"
"Science: All Students ",".","0491111","201516"
"Science: High Needs Students ",".","0491111","201516"
"ELA Performance index: All Students ","100","0491311","201415"
"EL Performance indexA: High Needs Students ","100","0491311","201415"
"Math Performance index: All Students ","100","0491311","201415"
"Math Performance index: High Needs Students ","100","0491311","201415"
"Science Performance index: All Students ","100","0491311","201415"
"Science Performance index: High Needs Students ","100","0491311","201415"
"ELA: All Students ","99.7","0491311","201516"
"ELA: High Needs Students ","99.4","0491311","201516"
"Math: All Students ","99.7","0491311","201516"
"Math: High Needs Students ","99.4","0491311","201516"
"Science: All Students ","100","0491311","201516"
"Science: High Needs Students ","100","0491311","201516"
"ELA Performance index: All Students ","99.2","0491511","201415"
"EL Performance indexA: High Needs Students ","98.5","0491511","201415"
"Math Performance index: All Students ","99.2","0491511","201415"
"Math Performance index: High Needs Students ","98.5","0491511","201415"
"Science Performance index: All Students ","99.2","0491511","201415"
"Science Performance index: High Needs Students ","98.6","0491511","201415"
"ELA: All Students ","99.8","0491511","201516"
"ELA: High Needs Students ","99.5","0491511","201516"
"Math: All Students ","99.8","0491511","201516"
"Math: High Needs Students ","99.5","0491511","201516"
"Science: All Students ","100","0491511","201516"
"Science: High Needs Students ","100","0491511","201516"
"ELA Performance index: All Students ","99.7","0491611","201415"
"EL Performance indexA: High Needs Students ","99.5","0491611","201415"
"Math Performance index: All Students ","99.7","0491611","201415"
"Math Performance index: High Needs Students ","99.5","0491611","201415"
"Science Performance index: All Students ","100","0491611","201415"
"Science Performance index: High Needs Students ","100","0491611","201415"
"ELA: All Students ","99","0491611","201516"
"ELA: High Needs Students ","99.5","0491611","201516"
"Math: All Students ","99.3","0491611","201516"
"Math: High Needs Students ","99.5","0491611","201516"
"Science: All Students ","100","0491611","201516"
"Science: High Needs Students ","100","0491611","201516"
"ELA Performance index: All Students ",".","0491811","201415"
"EL Performance indexA: High Needs Students ",".","0491811","201415"
"Math Performance index: All Students ",".","0491811","201415"
"Math Performance index: High Needs Students ",".","0491811","201415"
"Science Performance index: All Students ",".","0491811","201415"
