"phys","phys4","phys6","phys8","phys10","school_code","year"
"Mile Run/PACER ","85.9","N/A ","N/A ","N/A","0040311","201415"
"All Tests - School ","50","N/A ","N/A ","N/A","0040311","201415"
"All Tests - District ","56.6","76.9 ","59.8 ","46.5","0040311","201415"
"Sit & Reach ","90.4","N/A ","N/A ","N/A","0040311","201516"
"Curl Up ","94.2","N/A ","N/A ","N/A","0040311","201516"
"Push Up ","65.4","N/A ","N/A ","N/A","0040311","201516"
"Mile Run/PACER ","88.5","N/A ","N/A ","N/A","0040311","201516"
"All Tests - School ","53.8","N/A ","N/A ","N/A","0040311","201516"
"All Tests - District ","57.6","78.3 ","51.2 ","52.0","0040311","201516"
"Sit & Reach ","68.7",". ",". ",".","0040411","201314"
"Curl Up ","97.4",". ",". ",".","0040411","201314"
"Push Up ","65.2",". ",". ",".","0040411","201314"
"Mile Run/PACER ","85.2",". ",". ",".","0040411","201314"
"All Tests - School ","33.9",". ",". ",".","0040411","201314"
"All Tests - District ","47.2","75.2 ","54.6 ","52.1","0040411","201314"
"Sit & Reach ","78.5","N/A ","N/A ","N/A","0040411","201415"
"Curl Up ","92.4","N/A ","N/A ","N/A","0040411","201415"
"Push Up ","86.8","N/A ","N/A ","N/A","0040411","201415"
"Mile Run/PACER ","91","N/A ","N/A ","N/A","0040411","201415"
"All Tests - School ","62.5","N/A ","N/A ","N/A","0040411","201415"
"All Tests - District ","56.6","76.9 ","59.8 ","46.5","0040411","201415"
"Sit & Reach ","84.1","N/A ","N/A ","N/A","0040411","201516"
"Curl Up ","92.9","N/A ","N/A ","N/A","0040411","201516"
"Push Up ","71.7","N/A ","N/A ","N/A","0040411","201516"
"Mile Run/PACER ","77.9","N/A ","N/A ","N/A","0040411","201516"
"All Tests - School ","61.1","N/A ","N/A ","N/A","0040411","201516"
"All Tests - District ","57.6","78.3 ","51.2 ","52.0","0040411","201516"
"Sit & Reach ",". ","81.7",". ",".","0040511","201314"
"Curl Up ",". ","95.7",". ",".","0040511","201314"
"Push Up ",". ","88.3",". ",".","0040511","201314"
"Mile Run/PACER ",". ","96.1",". ",".","0040511","201314"
"All Tests - School ",". ","75.2",". ",".","0040511","201314"
"All Tests - District ","47.2 ","75.2","54.6 ","52.1","0040511","201314"
"Sit & Reach ","N/A ","84.9","N/A ","N/A","0040511","201415"
"Curl Up ","N/A ","93.8","N/A ","N/A","0040511","201415"
"Push Up ","N/A ","90.2","N/A ","N/A","0040511","201415"
"Mile Run/PACER ","N/A ","93.3","N/A ","N/A","0040511","201415"
"All Tests - School ","N/A ","76.9","N/A ","N/A","0040511","201415"
"All Tests - District ","56.6 ","76.9","59.8 ","46.5","0040511","201415"
"Sit & Reach ","N/A ","88.9","N/A ","N/A","0040511","201516"
"Curl Up ","N/A ","96.9","N/A ","N/A","0040511","201516"
"Push Up ","N/A ","90.3","N/A ","N/A","0040511","201516"
"Mile Run/PACER ","N/A ","93.4","N/A ","N/A","0040511","201516"
"All Tests - School ","N/A ","78.3","N/A ","N/A","0040511","201516"
"All Tests - District ","57.6 ","78.3","51.2 ","52.0","0040511","201516"
"Sit & Reach ",". ",". ","71.1",".","0045111","201314"
"Curl Up ",". ",". ","73.6",".","0045111","201314"
"Push Up ",". ",". ","92.9",".","0045111","201314"
"Mile Run/PACER ",". ",". ","93.2",".","0045111","201314"
"All Tests - School ",". ",". ","54.6",".","0045111","201314"
"All Tests - District ","47.2 ","75.2 ","54.6","52.1","0045111","201314"
"Sit & Reach ","N/A ","N/A ","71.8","N/A","0045111","201415"
"Curl Up ","N/A ","N/A ","85.9","N/A","0045111","201415"
"Push Up ","N/A ","N/A ","86.3","N/A","0045111","201415"
"Mile Run/PACER ","N/A ","N/A ","87.1","N/A","0045111","201415"
"All Tests - School ","N/A ","N/A ","59.8","N/A","0045111","201415"
"All Tests - District ","56.6 ","76.9 ","59.8","46.5","0045111","201415"
"Sit & Reach ","N/A ","N/A ","51.5","N/A","0045111","201516"
"Curl Up ","N/A ","N/A ","63.1","N/A","0045111","201516"
"Push Up ","N/A ","N/A ","57.7","N/A","0045111","201516"
"Mile Run/PACER ","N/A ","N/A ","57.3","N/A","0045111","201516"
"All Tests - School ","N/A ","N/A ","51.2","N/A","0045111","201516"
"All Tests - District ","57.6 ","78.3 ","51.2","52.0","0045111","201516"
"Sit & Reach ",". ",". ",". ","81.8","0046111","201314"
"Curl Up ",". ",". ",". ","93.2","0046111","201314"
"Push Up ",". ",". ",". ","78","0046111","201314"
"Mile Run/PACER ",". ",". ",". ","70.3","0046111","201314"
"All Tests - School ",". ",". ",". ","52.1","0046111","201314"
"All Tests - District ","47.2 ","75.2 ","54.6 ","52.1","0046111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","69","0046111","201415"
"Curl Up ","N/A ","N/A ","N/A ","88","0046111","201415"
"Push Up ","N/A ","N/A ","N/A ","81.4","0046111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","76","0046111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","46.5","0046111","201415"
"All Tests - District ","56.6 ","76.9 ","59.8 ","46.5","0046111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","66.5","0046111","201516"
"Curl Up ","N/A ","N/A ","N/A ","90.7","0046111","201516"
"Push Up ","N/A ","N/A ","N/A ","84.8","0046111","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","81","0046111","201516"
"All Tests - School ","N/A ","N/A ","N/A ","52","0046111","201516"
"All Tests - District ","57.6 ","78.3 ","51.2 ","52","0046111","201516"
"Sit & Reach ","74.4","75",NA,NA,"0050111","201314"
"Curl Up ","88.4","91.7",NA,NA,"0050111","201314"
"Push Up ","53.5","66.7",NA,NA,"0050111","201314"
"Mile Run/PACER ","67.4","66.7",NA,NA,"0050111","201314"
"All Tests - School ","41.9","47.2",NA,NA,"0050111","201314"
"All Tests - District ","41.9","47.2",NA,NA,"0050111","201314"
"Sit & Reach ","79.2","73.3","N/A ","N/A","0050111","201415"
"Curl Up ","79.2","81.7","N/A ","N/A","0050111","201415"
"Push Up ","72.9","66.7","N/A ","N/A","0050111","201415"
"Mile Run/PACER ","68.8","66.7","N/A ","N/A","0050111","201415"
"All Tests - School ","47.9","43.3","N/A ","N/A","0050111","201415"
"All Tests - District ","47.9","43.3","N/A ","N/A","0050111","201415"
"Sit & Reach ","87.8","82.6","N/A ","N/A","0050111","201516"
"Curl Up ","83.7","93.5","N/A ","N/A","0050111","201516"
"Push Up ","61.2","69.6","N/A ","N/A","0050111","201516"
"Mile Run/PACER ","69.4","73.9","N/A ","N/A","0050111","201516"
"All Tests - School ","46.9","52.2","N/A ","N/A","0050111","201516"
"All Tests - District ","46.9","52.2","N/A ","N/A","0050111","201516"
"Sit & Reach ","100",". ",". ",".","0070111","201314"
"Curl Up ","97.1",". ",". ",".","0070111","201314"
"Push Up ","82.9",". ",". ",".","0070111","201314"
"Mile Run/PACER ","91.4",". ",". ",".","0070111","201314"
"All Tests - School ","77.1",". ",". ",".","0070111","201314"
"All Tests - District ","76.1","49.0 ","59.2 ","56.1","0070111","201314"
"Sit & Reach ","98.2","N/A ","N/A ","N/A","0070111","201415"
"Curl Up ","92.7","N/A ","N/A ","N/A","0070111","201415"
"Push Up ","81.8","N/A ","N/A ","N/A","0070111","201415"
"Mile Run/PACER ","90.9","N/A ","N/A ","N/A","0070111","201415"
"All Tests - School ","69.1","N/A ","N/A ","N/A","0070111","201415"
"All Tests - District ","73.9","51.4 ","68.8 ","63.8","0070111","201415"
"Sit & Reach ","95.2","N/A ","N/A ","N/A","0070111","201516"
"Curl Up ","92.9","N/A ","N/A ","N/A","0070111","201516"
"Push Up ","85.7","N/A ","N/A ","N/A","0070111","201516"
"Mile Run/PACER ","85.7","N/A ","N/A ","N/A","0070111","201516"
"All Tests - School ","71.4","N/A ","N/A ","N/A","0070111","201516"
"All Tests - District ","72.9","52.9 ","52.2 ","49.3","0070111","201516"
"Sit & Reach ","92.7",". ",". ",".","0070411","201314"
"Curl Up ","98.8",". ",". ",".","0070411","201314"
"Push Up ","84.1",". ",". ",".","0070411","201314"
"Mile Run/PACER ","80.5",". ",". ",".","0070411","201314"
"All Tests - School ","70.7",". ",". ",".","0070411","201314"
"All Tests - District ","76.1","49.0 ","59.2 ","56.1","0070411","201314"
"Sit & Reach ","93.8","N/A ","N/A ","N/A","0070411","201415"
"Curl Up ","96.3","N/A ","N/A ","N/A","0070411","201415"
"Push Up ","82.7","N/A ","N/A ","N/A","0070411","201415"
"Mile Run/PACER ","90.1","N/A ","N/A ","N/A","0070411","201415"
"All Tests - School ","74.1","N/A ","N/A ","N/A","0070411","201415"
"All Tests - District ","73.9","51.4 ","68.8 ","63.8","0070411","201415"
"Sit & Reach ","88.1","N/A ","N/A ","N/A","0070411","201516"
"Curl Up ","86.4","N/A ","N/A ","N/A","0070411","201516"
"Push Up ","91.5","N/A ","N/A ","N/A","0070411","201516"
"Mile Run/PACER ","84.7","N/A ","N/A ","N/A","0070411","201516"
"All Tests - School ","69.5","N/A ","N/A ","N/A","0070411","201516"
"All Tests - District ","72.9","52.9 ","52.2 ","49.3","0070411","201516"
"Sit & Reach ","96.9",". ",". ",".","0070511","201314"
"Curl Up ","94.8",". ",". ",".","0070511","201314"
"Push Up ","84.4",". ",". ",".","0070511","201314"
"Mile Run/PACER ","90.6",". ",". ",".","0070511","201314"
"All Tests - School ","80.2",". ",". ",".","0070511","201314"
"All Tests - District ","76.1","49.0 ","59.2 ","56.1","0070511","201314"
"Sit & Reach ","93.1","N/A ","N/A ","N/A","0070511","201415"
"Curl Up ","94.1","N/A ","N/A ","N/A","0070511","201415"
"Push Up ","84.3","N/A ","N/A ","N/A","0070511","201415"
"Mile Run/PACER ","87.3","N/A ","N/A ","N/A","0070511","201415"
"All Tests - School ","76.5","N/A ","N/A ","N/A","0070511","201415"
"All Tests - District ","73.9","51.4 ","68.8 ","63.8","0070511","201415"
"Sit & Reach ","98.9","N/A ","N/A ","N/A","0070511","201516"
"Curl Up ","89.7","N/A ","N/A ","N/A","0070511","201516"
"Push Up ","90.8","N/A ","N/A ","N/A","0070511","201516"
"Mile Run/PACER ","86.2","N/A ","N/A ","N/A","0070511","201516"
"All Tests - School ","75.9","N/A ","N/A ","N/A","0070511","201516"
"All Tests - District ","72.9","52.9 ","52.2 ","49.3","0070511","201516"
"Sit & Reach ",". ","72.7","87.4",".","0075111","201314"
"Curl Up ",". ","90.4","90.8",".","0075111","201314"
"Push Up ",". ","66.7","71.4",".","0075111","201314"
"Mile Run/PACER ",". ","81.8","83.5",".","0075111","201314"
"All Tests - School ",". ","49","59.2",".","0075111","201314"
"All Tests - District ","76.1 ","49","59.2","56.1","0075111","201314"
"Sit & Reach ","N/A ","76.6","89.9","N/A","0075111","201415"
"Curl Up ","N/A ","85.6","93.1","N/A","0075111","201415"
"Push Up ","N/A ","73.4","83.5","N/A","0075111","201415"
"Mile Run/PACER ","N/A ","87.8","85.8","N/A","0075111","201415"
"All Tests - School ","N/A ","51.4","68.8","N/A","0075111","201415"
"All Tests - District ","73.9 ","51.4","68.8","63.8","0075111","201415"
"Sit & Reach ","N/A ","80.1","85.5","N/A","0075111","201516"
"Curl Up ","N/A ","87.4","85.5","N/A","0075111","201516"
"Push Up ","N/A ","71.2","78","N/A","0075111","201516"
"Mile Run/PACER ","N/A ","82.7","75.8","N/A","0075111","201516"
"All Tests - School ","N/A ","52.9","52.2","N/A","0075111","201516"
"All Tests - District ","72.9 ","52.9","52.2","49.3","0075111","201516"
"Sit & Reach ",". ",". ",". ","83.3","0076111","201314"
"Curl Up ",". ",". ",". ","96.1","0076111","201314"
"Push Up ",". ",". ",". ","95.6","0076111","201314"
"Mile Run/PACER ",". ",". ",". ","66.7","0076111","201314"
"All Tests - School ",". ",". ",". ","56.1","0076111","201314"
"All Tests - District ","76.1 ","49.0 ","59.2 ","56.1","0076111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","88.9","0076111","201415"
"Curl Up ","N/A ","N/A ","N/A ","96.5","0076111","201415"
"Push Up ","N/A ","N/A ","N/A ","91","0076111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","73.9","0076111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","63.8","0076111","201415"
"All Tests - District ","73.9 ","51.4 ","68.8 ","63.8","0076111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","85.7","0076111","201516"
"Curl Up ","N/A ","N/A ","N/A ","91.6","0076111","201516"
"Push Up ","N/A ","N/A ","N/A ","66","0076111","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","71.4","0076111","201516"
"All Tests - School ","N/A ","N/A ","N/A ","49.3","0076111","201516"
"All Tests - District ","72.9 ","52.9 ","52.2 ","49.3","0076111","201516"
"Sit & Reach ","68.3","57.5",NA,NA,"0080111","201314"
"Curl Up ","55","30",NA,NA,"0080111","201314"
"Push Up ","63.3","57.5",NA,NA,"0080111","201314"
"Mile Run/PACER ","53.3","76.3",NA,NA,"0080111","201314"
"All Tests - School ","25","16.3",NA,NA,"0080111","201314"
"All Tests - District ","25","16.3",NA,NA,"0080111","201314"
"Sit & Reach ","81","73.8","N/A ","N/A","0080111","201415"
"Curl Up ","60.3","67.7","N/A ","N/A","0080111","201415"
"Push Up ","56.9","63.1","N/A ","N/A","0080111","201415"
"Mile Run/PACER ","50","66.2","N/A ","N/A","0080111","201415"
"All Tests - School ","22.4","43.1","N/A ","N/A","0080111","201415"
"All Tests - District ","22.4","43.1","N/A ","N/A","0080111","201415"
"Sit & Reach ","63.5","68.9","N/A ","N/A","0080111","201516"
"Curl Up ","92.3","91.8","N/A ","N/A","0080111","201516"
"Push Up ","73.1","78.7","N/A ","N/A","0080111","201516"
"Mile Run/PACER ","78.8","73.8","N/A ","N/A","0080111","201516"
"All Tests - School ","48.1","49.2","N/A ","N/A","0080111","201516"
"All Tests - District ","48.1","49.2","N/A ","N/A","0080111","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090111","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0090111","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A","0090111","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090111","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0090111","201314"
"All Tests - District ","40.7 ","49.5 ","48.1 ","42.4","0090111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090111","201415"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0090111","201415"
"Push Up ","N/A ","N/A ","N/A ","N/A","0090111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0090111","201415"
"All Tests - District ","24.9 ","34.2 ","55.9 ","41.4","0090111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090111","201516"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0090111","201516"
"Push Up ","N/A ","N/A ","N/A ","N/A","0090111","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090111","201516"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0090111","201516"
"All Tests - District ","52.8 ","38.6 ","47.3 ","45.7","0090111","201516"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090411","201314"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0090411","201314"
"Push Up ","N/A ","N/A ","N/A ","N/A","0090411","201314"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090411","201314"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0090411","201314"
"All Tests - District ","40.7 ","49.5 ","48.1 ","42.4","0090411","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090411","201415"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0090411","201415"
"Push Up ","N/A ","N/A ","N/A ","N/A","0090411","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090411","201415"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0090411","201415"
"All Tests - District ","24.9 ","34.2 ","55.9 ","41.4","0090411","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"Curl Up ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"Push Up ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"All Tests - School ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"All Tests - District ","52.8 ","38.6 ","47.3 ","45.7","0090411","201516"
"Sit & Reach ","82.1",". ",". ",".","0090511","201314"
"Curl Up ","64.2",". ",". ",".","0090511","201314"
"Push Up ","56.8",". ",". ",".","0090511","201314"
"Mile Run/PACER ","57.4",". ",". ",".","0090511","201314"
"All Tests - School ","40.7",". ",". ",".","0090511","201314"
"All Tests - District ","40.7","49.5 ","48.1 ","42.4","0090511","201314"
"Sit & Reach ","67.3","N/A ","N/A ","N/A","0090511","201415"
"Curl Up ","54.6","N/A ","N/A ","N/A","0090511","201415"
"Push Up ","54.6","N/A ","N/A ","N/A","0090511","201415"
"Mile Run/PACER ","51.7","N/A ","N/A ","N/A","0090511","201415"
"All Tests - School ","24.9","N/A ","N/A ","N/A","0090511","201415"
"All Tests - District ","24.9","34.2 ","55.9 ","41.4","0090511","201415"
"Sit & Reach ","89.6","N/A ","N/A ","N/A","0090511","201516"
"Curl Up ","88.7","N/A ","N/A ","N/A","0090511","201516"
"Push Up ","72.6","N/A ","N/A ","N/A","0090511","201516"
"Mile Run/PACER ","71.2","N/A ","N/A ","N/A","0090511","201516"
"All Tests - School ","52.8","N/A ","N/A ","N/A","0090511","201516"
"All Tests - District ","52.8","38.6 ","47.3 ","45.7","0090511","201516"
"Sit & Reach ",". ","87.4","92",".","0095111","201314"
"Curl Up ",". ","80.6","81.6",".","0095111","201314"
"Push Up ",". ","54.4","56.1",".","0095111","201314"
"Mile Run/PACER ",". ","83","81.6",".","0095111","201314"
"All Tests - School ",". ","49.5","48.1",".","0095111","201314"
"All Tests - District ","40.7 ","49.5","48.1","42.4","0095111","201314"
"Sit & Reach ","N/A ","82.9","95.2","N/A","0095111","201415"
"Curl Up ","N/A ","74.1","83.7","N/A","0095111","201415"
"Push Up ","N/A ","42.5","67.4","N/A","0095111","201415"
"Mile Run/PACER ","N/A ","80.7","86.3","N/A","0095111","201415"
"All Tests - School ","N/A ","34.2","55.9","N/A","0095111","201415"
"All Tests - District ","24.9 ","34.2","55.9","41.4","0095111","201415"
"Sit & Reach ","N/A ","74.1","88.8","N/A","0095111","201516"
"Curl Up ","N/A ","77.7","79.5","N/A","0095111","201516"
"Push Up ","N/A ","50.3","55.6","N/A","0095111","201516"
"Mile Run/PACER ","N/A ","75.1","83.9","N/A","0095111","201516"
"All Tests - School ","N/A ","38.6","47.3","N/A","0095111","201516"
"All Tests - District ","52.8 ","38.6","47.3","45.7","0095111","201516"
"Sit & Reach ",". ",". ",". ","82.9","0096111","201314"
"Curl Up ",". ",". ",". ","90.7","0096111","201314"
"Push Up ",". ",". ",". ","76.1","0096111","201314"
"Mile Run/PACER ",". ",". ",". ","57.1","0096111","201314"
"All Tests - School ",". ",". ",". ","42.4","0096111","201314"
"All Tests - District ","40.7 ","49.5 ","48.1 ","42.4","0096111","201314"
"Sit & Reach ","N/A ","N/A ","N/A ","83.3","0096111","201415"
"Curl Up ","N/A ","N/A ","N/A ","87.7","0096111","201415"
"Push Up ","N/A ","N/A ","N/A ","70.4","0096111","201415"
"Mile Run/PACER ","N/A ","N/A ","N/A ","58","0096111","201415"
"All Tests - School ","N/A ","N/A ","N/A ","41.4","0096111","201415"
"All Tests - District ","24.9 ","34.2 ","55.9 ","41.4","0096111","201415"
"Sit & Reach ","N/A ","N/A ","N/A ","82.7","0096111","201516"
"Curl Up ","N/A ","N/A ","N/A ","89.5","0096111","201516"
"Push Up ","N/A ","N/A ","N/A ","74.7","0096111","201516"
