"school_code","year","female","male"
"0150411","201516",185,200
"0150511","201314",419,467
"0150511","201415",421,440
"0150511","201516",420,432
"0150611","201314",167,62
"0150611","201415",240,108
"0150611","201516",348,141
"0150711","201314",114,137
"0150711","201415",123,151
"0150711","201516",120,150
"0150811","201314",86,149
"0150811","201415",120,236
"0150811","201516",166,328
"0151011","201314",433,471
"0151011","201415",447,473
"0151011","201516",414,422
"0151111","201314",140,135
"0151111","201415",126,136
"0151111","201516",115,125
"0151211","201314",149,183
"0151211","201415",144,158
"0151211","201516",156,159
"0151311","201314",184,203
"0151311","201415",182,189
"0151311","201516",167,184
"0151411","201314",530,643
"0151411","201415",541,663
"0151411","201516",535,661
"0151511","201314",86,150
"0151511","201415",130,235
"0151511","201516",175,317
"0151611","201314",44,72
"0151611","201415",93,140
"0151611","201516",113,157
"0151711","201314",272,219
"0151711","201415",251,214
"0151711","201516",257,226
"0152011","201314",243,296
"0152011","201415",237,296
"0152011","201516",230,282
"0152111","201314",172,168
"0152111","201415",189,182
"0152111","201516",206,187
"0152211","201314",323,332
"0152211","201415",326,353
"0152211","201516",283,366
"0152511","201314",400,439
"0152511","201415",424,460
"0152511","201516",418,473
"0152611","201314",266,298
"0152611","201415",275,287
"0152611","201516",306,317
"0153011","201314",252,262
"0153011","201415",247,244
"0153011","201516",252,251
"0153211","201314",409,434
"0153211","201415",393,431
"0153211","201516",373,421
"0153611","201314",341,344
"0153611","201415",303,349
"0153611","201516",319,354
"0153711","201314",248,263
"0153711","201415",253,265
"0153711","201516",245,261
"0153911","201314",193,220
"0153911","201415",180,206
"0153911","201516",183,214
"0154011","201314",517,610
"0154011","201415",513,601
"0154011","201516",503,628
"0154111","201314",153,150
"0154111","201415",191,186
"0154111","201516",204,212
"0154211","201314",328,409
"0154211","201415",348,421
"0154211","201516",334,364
"0154411","201314",106,198
"0154411","201415",138,249
"0154411","201516",88,136
"0154511","201314",223,199
"0154511","201415",222,192
"0154511","201516",228,180
"0154611","201314",258,191
"0154611","201415",263,194
