drg,year,2015_16,school,2007_08,2012_13,district,2011_12,district_code,2010_11,2009_10,2008_09,2013_14,2014_15,total,school_code,2016_17
D,2012-13,,,,80472.0,,,145231672,,,,,,80472.0,145662772,
D,2013-14,,,,,,,147971694,,,,78708.0,,78708.0,148403094,
D,2014-15,,,,,,,167881892,,,,,77248.0,77248.0,168326192,
D,2015-16,76368.0,,,,,,183812024,,,,,,76368.0,184264124,
D,2016-17,,,,,,,193572123,,,,,,75296.0,194033523,75296.0
E,2007-08,,,26159.0,,,,83280814,,,,,,26159.0,83454814,
E,2008-09,,,,,,,84010825,,,25674.0,,,25674.0,84190825,
E,2009-10,,,,,,,84990836,,25091.0,,,,25091.0,85180036,
E,2010-11,,,,,,,81940813,24463.0,,,,,24463.0,82121513,
E,2011-12,,,,,,23560.0,80960802,,,,,,23560.0,81132502,
E,2012-13,,,,22821.0,,,84010825,,,,,,22821.0,84199625,
E,2013-14,,,,,,,83280814,,,,22075.0,,22075.0,83463614,
E,2014-15,,,,,,,87930859,,,,,21435.0,21435.0,88105559,
E,2015-16,21051.0,,,,,,89390861,,,,,,21051.0,89564161,
E,2016-17,,,,,,,88320850,,,,,,20684.0,88481450,20684.0
F,2007-08,,,30458.0,,,,66570716,,,,,,30458.0,66756016,
F,2008-09,,,,,,,65950716,,,29970.0,,,29970.0,66145016,
F,2009-10,,,,,,,65950716,,29007.0,,,,29007.0,66145016,
F,2010-11,,,,,,,65950716,28413.0,,,,,28413.0,66145016,
F,2011-12,,,,,,27521.0,64970694,,,,,,27521.0,65162094,
F,2012-13,,,,26821.0,,,63730683,,,,,,26821.0,63921583,
F,2013-14,,,,,,,64840694,,,,25983.0,,25983.0,65038694,
F,2014-15,,,,,,,75590815,,,,,25454.0,25454.0,75785815,
F,2015-16,25051.0,,,,,,78450859,,,,,,25051.0,78648859,
F,2016-17,,,,,,,77340848,,,,,,24659.0,77527748,24659.0
G,2007-08,,,69564.0,,,,133981628,,,,,,69564.0,134389928,
G,2008-09,,,,,,,130531595,,,68608.0,,,68608.0,130920495,
G,2009-10,,,,,,,134581650,,68435.0,,,,68435.0,134990650,
G,2010-11,,,,,,,134741617,67460.0,,,,,67460.0,135174917,
G,2011-12,,,,,,65940.0,134801617,,,,,,65940.0,135243517,
G,2012-13,,,,64628.0,,,133101584,,,,,,64628.0,133530884,
G,2013-14,,,,,,,135251606,,,,63667.0,,63667.0,135681806,
G,2014-15,,,,,,,164532035,,,,,62536.0,62536.0,165011235,
G,2015-16,61660.0,,,,,,205482244,,,,,,61660.0,205985744,
G,2016-17,,,,,,,193702233,,,,,,61512.0,194213233,61512.0
H,2007-08,,,66214.0,,,,103431298,,,,,,66214.0,103768798,
H,2008-09,,,,,,,103451309,,,65821.0,,,65821.0,103797809,
H,2009-10,,,,,,,103431298,,65948.0,,,,65948.0,103768798,
H,2010-11,,,,,,,99641276,66181.0,,,,,66181.0,99980876,
H,2011-12,,,,,,66319.0,99641276,,,,,,66319.0,99980876,
H,2012-13,,,,66365.0,,,99641276,,,,,,66365.0,99983976,
H,2013-14,,,,,,,101201287,,,,66475.0,,66475.0,101542387,
H,2014-15,,,,,,,107971364,,,,,66600.0,66600.0,108305064,
H,2015-16,66188.0,,,,,,119711496,,,,,,66188.0,120045596,
H,2016-17,,,,,,,125691573,,,,,,66298.0,126024073,66298.0
I,2007-08,,,98483.0,,,,158722090,,,,,,98483.0,159389890,
I,2008-09,,,,,,,161582112,,,97051.0,,,97051.0,162263312,
I,2009-10,,,,,,,165722189,,96024.0,,,,96024.0,166476889,
I,2010-11,,,,,,,163752156,95847.0,,,,,95847.0,164475256,
I,2011-12,,,,,,95998.0,161392123,,,,,,95998.0,162110023,
I,2012-13,,,,97733.0,,,160952101,,,,,,97733.0,161655701,
I,2013-14,,,,,,,164382167,,,,98385.0,,98385.0,165077367,
I,2014-15,,,,,,,176102354,,,,,99307.0,99307.0,176880354,
I,2015-16,98821.0,,,,,,213662706,,,,,,98821.0,214550206,
I,2016-17,,,,,,,226802827,,,,,,99005.0,227759427,99005.0
