drg,year,school,total,district,no,district_code,yes,school_code
H,2011-12,,66319.0,,56515.0,99641276,8096.0,99980876
H,2012-13,,66365.0,,56861.0,99641276,8227.0,99983976
H,2013-14,,66475.0,,58073.0,101201287,8351.0,101542387
H,2014-15,,66600.0,,57084.0,107971364,9317.0,108305064
H,2015-16,,66188.0,,56082.0,119711496,9317.0,120045596
H,2016-17,,66298.0,,55231.0,125691573,9828.0,126024073
I,2007-08,,98483.0,,78804.0,158722090,14108.0,159389890
I,2008-09,,97051.0,,78599.0,161582112,13466.0,162263312
I,2009-10,,96024.0,,77346.0,165722189,13776.0,166476889
I,2010-11,,95847.0,,77360.0,163752156,13968.0,164475256
I,2011-12,,95998.0,,77919.0,161392123,13738.0,162110023
I,2012-13,,97733.0,,80939.0,160952101,14200.0,161655701
I,2013-14,,98385.0,,80146.0,164382167,14203.0,165077367
I,2014-15,,99307.0,,81227.0,176102354,15341.0,176880354
I,2015-16,,98821.0,,81410.0,213662706,15388.0,214550206
I,2016-17,,99005.0,,81176.0,226802827,15902.0,227759427
