drg,drg_distname,school_code,district_name_check
E,WOODSTOCK ACADEMY,9030022,Woodstock Academy District
F,CANTERBURY,0220011,Canterbury School District
F,EAST WINDSOR,0470011,East Windsor School District
F,ENFIELD,0490011,Enfield School District
F,GRISWOLD,0580011,Griswold School District
F,MONTVILLE,0860011,Montville School District
F,NORTH CANAAN,1000011,North Canaan School District
F,PLAINVILLE,1100011,Plainville School District
F,PLYMOUTH,1110011,Plymouth School District
F,REGIONAL SCHOOL DISTRICT 11 (Chaplin  Hampton  Scotland),2110012,Regional School District 11
F,SEYMOUR,1240011,Seymour School District
F,SPRAGUE,1330011,Sprague School District
F,STAFFORD,1340011,Stafford School District
F,STERLING,1360011,Sterling School District
F,THOMPSON,1410011,Thompson School District
F,VOLUNTOWN,1470011,Voluntown School District
F,WINDSOR LOCKS,1650011,Windsor Locks School District
F,WOLCOTT,1660011,Wolcott School District
G,BLOOMFIELD,0110011,Bloomfield School District
G,BRISTOL,0170011,Bristol School District
G,EAST HAVEN,0440011,East Haven School District
G,GROTON,0590011,Groton School District
G,HAMDEN,0620011,Hamden School District
G,KILLINGLY,0690011,Killingly School District
G,MANCHESTER,0770011,Manchester School District
G,MIDDLETOWN,0830011,Middletown School District
G,NAUGATUCK,0880011,Naugatuck School District
G,NORWICH FREE ACADEMY,9010022,Norwich Free Academy District
G,PLAINFIELD,1090011,Plainfield School District
G,PUTNAM,1160011,Putnam School District
G,STRATFORD,1380011,Stratford School District
G,THE GILBERT SCHOOL,9020022,The Gilbert School District
G,TORRINGTON,1430011,Torrington School District
G,VERNON,1460011,Vernon School District
G,WINCHESTER,1620011,Winchester School District
H,ANSONIA,0020011,Ansonia School District
H,DANBURY,0340011,Danbury School District
H,DERBY,0370011,Derby School District
H,EAST HARTFORD,0430011,East Hartford School District
H,MERIDEN,0800011,Meriden School District
H,NORWALK,1030011,Norwalk School District
H,NORWICH,1040011,Norwich School District
H,STAMFORD,1350011,Stamford School District
H,WEST HAVEN,1560011,West Haven School District
I,BRIDGEPORT,0150011,Bridgeport School District
I,HARTFORD,0640011,Hartford School District
I,NEW BRITAIN,0890011,New Britain School District
I,NEW HAVEN,0930011,New Haven School District
I,NEW LONDON,0950011,New London School District
I,WATERBURY,1510011,Waterbury School District
I,WINDHAM,1630011,Windham School District
