"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Ellington School District","=""0480011""","Center School","=""0480111""",8,1.8,7,1.6,"*","*",9,2.3,8,2.2
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",88,11.0,75,9.5,72,9.1,56,7.2,74,9.6
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",16,3.8,16,3.7,11,2.7,17,3.9,22,5.2
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",27,6.5,15,3.5,18,4.3,11,2.5,14,3.1
"Ellington School District","=""0480011""","Windermere School","=""0480611""",10,2.3,13,2.9,8,1.8,17,3.8,19,4.3
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",174,29.2,159,26.9,176,28.2,92,14.8,127,18.3
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",16,4.2,12,3.3,7,2.1,12,3.6,9,2.7
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",35,8.4,31,7.9,25,6.5,10,2.6,20,4.8
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",123,16.6,96,13.5,92,13.0,98,14.1,119,16.3
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","*","*",7,2.3,13,4.5,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",187,17.8,154,15.7,127,13.9,115,12.9,138,16.1
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","*","*","*","*","*","*","*","*","N/A","N/A"
"Enfield School District","=""0490011""","Head Start Program","=""0498011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","*","*","*","*","*","*","*","*","N/A","N/A"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",165,13.4,200,17.3,162,14.3,150,13.5,122,11.1
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","*","*","N/A","N/A","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",21,4.8,21,4.9,19,4.6,19,4.9,9,2.1
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","N/A","N/A",7,1.3,6,1.2,"*","*","N/A","N/A"
"Explorations District","=""2720013""","Explorations","=""2726113""",12,17.9,19,23.2,23,28.4,13,15.3,18,20.7
"Explorations District","=""2720013""","Lyman Hall High School","=""1486111""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",67,4.4,61,4.0,59,4.0,51,3.4,48,3.2
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",58,4.3,60,4.3,56,3.9,44,3.1,76,5.0
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",30,3.9,18,2.1,28,3.0,11,1.2,17,1.9
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","*","*",6,1.3,"*","*","*","*","N/A","N/A"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",69,6.9,51,5.4,34,4.0,24,3.0,20,2.5
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",24,3.2,35,4.7,16,2.3,25,3.5,37,5.4
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*",11,35.5
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*","*","*","*","*","*",6,1.3,"*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","N/A","N/A","N/A","N/A","N/A","N/A",6,"*",7,"*"
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",42,3.2,48,3.6,40,3.0,25,2.0,25,2.1
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",18,2.8,6,1.0,19,3.3,12,2.1,15,2.4
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""",10,3.1,8,2.6,"*","*","*","*","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","*","*","*","*","*","*","N/A","N/A","*","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*","*","*",9,1.4,"*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*","*","*","*",8,4.4,7,4.0,9,5.3
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",15,2.9,11,2.1,"*","*",10,1.9,9,1.9
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",91,4.2,86,3.9,89,4.2,71,3.5,46,2.3
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","N/A","N/A","N/A","N/A",7,17.1,"N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",21,2.0,14,1.4,21,2.0,9,0.9,11,1.1
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","N/A","N/A","*","*","N/A","N/A","*","*",6,1.4
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",39,5.2,25,3.3,23,3.2,34,5.0,33,4.8
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",9,2.6,8,2.4,15,4.5,11,3.4,19,6.1
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","N/A","N/A","*","*",8,2.5,"*","*","N/A","N/A"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*","*","*","*","*","*","*","*","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","N/A","N/A","N/A","N/A","N/A","N/A",55,45.1,73,33.5
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","N/A","N/A","N/A","N/A","N/A","N/A",17,25.8,"N/A","N/A"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",11,1.8,15,2.5,10,1.7,13,2.2,"*","*"
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",10,1.3,7,0.9,"N/A","N/A","*","*","*","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",12,31.6
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",152,5.8,110,4.1,61,2.3,55,2.2,51,2.0
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","*","*","*","*",6,1.6,"*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","*","*","*","*","*","*","*","*",7,2.0
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","*","*","*","*",6,2.2,"*","*","*","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",21,4.4,26,5.2,21,4.1,21,3.9,9,1.7
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","*","*",6,0.8,"*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",157,24.0,118,19.1,116,19.3,90,15.6,74,13.1
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",84,14.0,52,8.8,46,7.8,45,8.1,40,7.3
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",34,9.6,48,10.3,25,5.6,51,10.8,39,7.8
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""",21,6.5,12,3.5,"N/A","N/A","N/A","N/A","N/A","N/A"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",42,8.5,32,7.7,23,5.5,24,6.0,14,3.6
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","*","*","*","*","*","*",7,2.0,8,2.1
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","N/A","N/A","N/A","N/A",23,6.3,20,5.6,21,6.3
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",53,13.2,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",13,3.6,13,3.9,8,1.9,8,2.1,"*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","N/A","N/A","N/A","N/A","N/A","N/A",15,62.5,18,66.7
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","*","*","*","*","N/A","N/A","*","*","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","*","*",13,4.1,"*","*","N/A","N/A","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",197,16.1,173,15.0,168,14.9,182,17.1,162,14.9
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",6,1.8,"*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",44,16.2,65,13.8,65,13.9,77,16.1,62,13.9
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*",6,1.1,"*","*","*","*","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",22,4.0,23,3.9,13,2.2,19,3.4,26,4.7
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",76,6.7,62,5.8,62,5.8,52,4.9,45,4.2
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","N/A","N/A","*","*","N/A","N/A","*","*","N/A","N/A"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","*","*","*","*",22,4.9,16,3.5,22,4.8
"Hamden School District","=""0620011""","Church Street School","=""0620211""",38,9.4,24,6.2,34,9.6,36,11.0,34,9.9
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",16,5.0,"*","*",13,4.3,19,6.1,16,5.6
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","N/A","N/A","N/A","N/A","N/A","N/A",37,46.3,36,48.6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",337,18.3,360,19.7,277,15.3,162,9.7,165,10.2
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",194,21.0,180,19.9,156,18.0,120,14.8,115,14.0
"Hamden School District","=""0620011""","Hamden Transition Academy @ SCSU (AACPB)","=""0620611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","*","*",7,2.4,8,2.3,20,6.1,16,4.8
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",31,9.5,20,6.1,22,7.2,20,6.2,12,3.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",16,4.6,7,2.1,20,6.1,12,3.9,22,6.9
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",14,3.5,20,4.6,10,2.3,13,2.9,10,2.3
"Hamden School District","=""0620011""","West Woods School","=""0621411""","*","*","*","*",6,1.4,"*","*","*","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",98,20.8,139,23.6,122,18.5,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""","N/A","N/A","N/A","N/A","N/A","N/A",79,12.0,97,14.6
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","Autism Program-Burr School","=""0648611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",113,18.9,109,18.9,124,22.9,78,16.0,64,12.9
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""","N/A","N/A","N/A","N/A","N/A","N/A",11,4.1,8,3.0
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","*","*","*","*",9,3.3,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","N/A","N/A","N/A","N/A","N/A","N/A",11,3.9,6,2.2
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",10,2.8,6,1.7,"*","*","*","*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",136,22.9,76,14.0,41,7.8,52,11.1,67,17.7
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",63,16.9,75,19.7,76,20.0,89,24.8,79,22.6
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",155,24.4,264,43.3,203,35.4,193,33.0,160,29.6
"Hartford School District","=""0640011""","Burr School","=""0642311""",85,11.1,103,13.7,78,11.1,134,19.5,115,18.3
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","N/A","N/A","N/A","N/A","N/A","N/A",12,26.7,"N/A","N/A"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",27,5.3,70,10.4,94,13.8,79,12.2,51,8.5
"Hartford School District","=""0640011""","Clark School","=""0642411""",58,14.2,46,11.7,120,31.2,62,19.6,55,21.7
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",155,22.3,158,22.9,134,19.9,192,27.9,184,28.3
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",139,51.7,149,46.3,57,20.7,88,32.0,117,42.1
"Hartford School District","=""0640011""","DDP - Simpson-Waverly School","=""0649411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",16,2.3,36,5.2,41,5.9,50,7.3,35,5.2
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",81,52.6,26,40.6,"N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""",8,2.2,"*","*",13,5.1,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","N/A","N/A","N/A","N/A","N/A","N/A",6,"*","*","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","N/A","N/A","N/A","N/A","N/A","N/A","*","*",8,"*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","N/A","N/A","N/A","N/A","N/A","N/A",17,65.4,13,39.4
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","N/A","N/A","N/A","N/A","N/A","N/A",25,75.8,27,67.5
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",20,5.6,72,12.7,47,8.0,17,2.8,18,3.0
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",37,5.0,45,6.3,23,3.7,9,1.5,7,1.2
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",33,8.2,20,5.2,82,23.8,62,20.1,67,21.3
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",42,10.2,67,16.6,59,12.1,145,24.2,152,23.6
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","N/A","N/A",72,27.3,85,34.4,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""","N/A","N/A","N/A","N/A","N/A","N/A",72,28.7,40,15.2
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",187,42.8,173,40.0,199,46.9,143,37.8,87,26.4
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",98,26.1,177,38.1,162,36.3,163,39.1,142,35.8
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""",40,14.7,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",74,19.6,88,16.7,101,19.7,117,27.2,64,17.0
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",80,11.3,90,11.2,114,12.5,136,13.8,111,11.1
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""",19,55.9,13,35.1,19,42.2,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",89,26.7,82,22.8,124,38.2,93,36.6,"N/A","N/A"
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",62,26.7
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",196,62.0,118,55.7,103,59.9,65,36.3,59,31.7
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",159,20.5,127,17.6,123,18.4,118,18.9,82,13.8
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",68,7.6
"Hartford School District","=""0640011""","LC - Breakthrough II","=""0649511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",7,"*"
"Hartford School District","=""0640011""","LC - Moylan","=""0649811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",95,18.7,123,24.2,134,23.4,105,16.9,70,11.2
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",157,33.8,76,18.0,91,24.8,93,25.1,42,11.2
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",183,38.8,112,29.2,119,39.0,72,27.5,76,29.5
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",106,24.2,117,31.5,130,32.9,96,26.0,98,26.6
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","*","*",17,6.4,9,3.3,19,6.2,"N/A","N/A"
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",13,4.0
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Hartford School District","=""0640011""","New Visions Program","=""0642711""","N/A","N/A","N/A","N/A","N/A","N/A",7,10.9,"N/A","N/A"
