"District","reportingsdistrictcode","School","School Code","Count","%"
"Thomaston School District",".","Thomaston High School","=""1406211""",40,9.2
"Thompson School District",".","Mary R. Fisher Elementary School","=""1410111""",14,3.0
"Thompson School District",".","Thompson Middle School","=""1415111""",30,7.8
"Thompson School District",".","Tourtellotte Memorial High School","=""1416111""",35,11.6
"Westbrook School District",".","Daisy Ingraham School","=""1540211""","N/A","N/A"
"Westbrook School District",".","Westbrook High School","=""1546111""",28,9.9
"Westbrook School District",".","Westbrook Middle School","=""1545111""",19,6.7
"West Hartford School District",".","Achieve","=""1559111""","N/A","*"
"West Hartford School District",".","Aiken School","=""1551611""","N/A","N/A"
"West Hartford School District",".","Braeburn School","=""1550211""","*","*"
"West Hartford School District",".","Bristow Middle School","=""1555311""",9,2.2
"West Hartford School District",".","Bugbee School","=""1550411""","*","*"
"West Hartford School District",".","Charter Oak International Academy","=""1550511""",8,2.6
"West Hartford School District",".","Conard High School","=""1556111""",95,6.2
"West Hartford School District",".","Duffy School","=""1550611""","N/A","N/A"
"West Hartford School District",".","Hall High School","=""1556211""",95,6.5
"West Hartford School District",".","King Philip Middle School","=""1555111""",34,3.7
"West Hartford School District",".","Morley School","=""1550911""","*","*"
"West Hartford School District",".","Norfeldt School","=""1551011""","*","*"
"West Hartford School District",".","STRIVE-West Hartford","=""1559211""","*","*"
"West Hartford School District",".","Sedgwick Middle School","=""1555211""",53,5.9
"West Hartford School District",".","Smith School","=""1551711""","N/A","N/A"
"West Hartford School District",".","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","N/A","*"
"West Hartford School District",".","Webster Hill School","=""1551211""","*","*"
"West Hartford School District",".","Whiting Lane School","=""1551311""","N/A","N/A"
"West Hartford School District",".","Wolcott School","=""1551511""","*","*"
"Regional School District 12",".","Booth Free School","=""2120212""","*","*"
"Regional School District 12",".","Early Childhood Education Center","=""2128012""","N/A","N/A"
"Regional School District 12",".","Shepaug Valley High School","=""2126112""",25,7.7
"Regional School District 12",".","Shepaug Valley Middle School","=""2125112""","*","*"
"Regional School District 12",".","The Burnham School","=""2120112""","*","*"
"Regional School District 12",".","Washington Primary School","=""2120412""","N/A","N/A"
"Regional School District 11",".","Parish Hill High School","=""2116112""",38,13.3
"Regional School District 13",".","Coginchaug Regional High School","=""2136112""",16,2.8
"Regional School District 13",".","Francis E. Korn School","=""2130212""","N/A","N/A"
"Regional School District 13",".","Frank Ward Strong School","=""2135112""",17,5.0
"Regional School District 13",".","Frederick Brewster School","=""2130112""","N/A","N/A"
"Regional School District 13",".","John Lyman School","=""2130512""","N/A","N/A"
"Regional School District 13",".","Middlefield Memorial School","=""2130412""",6,1.8
"Regional School District 14",".","Bethlehem Elementary School","=""2140112""","N/A","N/A"
"Regional School District 14",".","Integrated Star Preschool Program","=""2148012""","N/A","N/A"
"Regional School District 14",".","Mitchell Elementary School","=""2140212""","*","*"
"Regional School District 14",".","Nonnewaug High School","=""2146112""",44,5.5
"Regional School District 14",".","Woodbury Middle School","=""2145112""",10,2.5
"Bridgeport School District",".","Barnum School","=""0150111""",122,19.0
"Bridgeport School District",".","Bassick High School","=""0156111""",426,34.9
"Bridgeport School District",".","Beardsley School","=""0150211""",44,11.2
"Bridgeport School District",".","Black Rock School","=""0150311""","*","*"
"Bridgeport School District",".","Blackham School","=""0154011""",82,7.4
"Bridgeport School District",".","Bridgeport Learning Center","=""0159011""",11,16.2
