"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Math",96,96,100.0,96,8,8.3,38,39.6,36,37.5,14,14.6,50,52.1
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","ELA",387,385,99.5,385,40,10.4,63,16.4,134,34.8,148,38.4,282,73.2
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Math",387,386,99.7,385,57,14.8,138,35.8,122,31.7,68,17.7,190,49.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELA",111,109,98.2,109,7,6.4,29,26.6,48,44.0,25,22.9,73,67.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Math",110,107,97.3,107,45,42.1,31,29.0,24,22.4,7,6.5,31,29.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","ELA",205,203,99.0,203,43,21.2,57,28.1,77,37.9,26,12.8,103,50.7
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Math",204,204,100.0,204,90,44.1,68,33.3,38,18.6,8,3.9,46,22.5
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","ELA",209,204,97.6,204,45,22.1,86,42.2,65,31.9,8,3.9,73,35.8
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Math",208,206,99.0,206,94,45.6,81,39.3,"*","*","*","*",31,15.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELA",128,118,92.2,118,30,25.4,34,28.8,41,34.7,13,11.0,54,45.8
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Math",128,118,92.2,118,58,49.2,39,33.1,"*","*","*","*",21,17.8
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELA",8,0,"*",0,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Math",9,0,"*",0,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","ELA",244,242,99.2,242,63,26.0,62,25.6,72,29.8,45,18.6,117,48.3
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Math",245,244,99.6,244,98,40.2,92,37.7,46,18.9,8,3.3,54,22.1
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELA",359,356,99.2,356,40,11.2,59,16.6,132,37.1,125,35.1,257,72.2
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math",359,357,99.4,357,56,15.7,97,27.2,100,28.0,104,29.1,204,57.1
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","ELA",85,83,97.6,83,"*","*","*","*",33,39.8,37,44.6,70,84.3
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Math",85,83,97.6,83,22,26.5,26,31.3,18,21.7,17,20.5,35,42.2
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA",129,129,100.0,129,32,24.8,33,25.6,42,32.6,22,17.1,64,49.6
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math",129,129,100.0,129,46,35.7,33,25.6,37,28.7,13,10.1,50,38.8
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELA",241,226,93.8,226,73,32.3,70,31.0,59,26.1,24,10.6,83,36.7
"Branford School District","=""0140011""","Branford High School","=""0146111""","Math",241,224,92.9,224,145,64.7,32,14.3,34,15.2,13,5.8,47,21.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","ELA",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Math",14,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA",904,883,97.7,883,138,15.6,187,21.2,373,42.2,185,21.0,558,63.2
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math",904,883,97.7,882,241,27.3,264,29.9,198,22.4,179,20.3,377,42.7
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","ELA",133,132,99.2,132,16,12.1,32,24.2,42,31.8,42,31.8,84,63.6
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Math",133,133,100.0,133,15,11.3,28,21.1,56,42.1,34,25.6,90,67.7
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","ELA",161,161,100.0,161,14,8.7,33,20.5,42,26.1,72,44.7,114,70.8
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Math",161,161,100.0,161,16,9.9,43,26.7,58,36.0,44,27.3,102,63.4
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","ELA",155,153,98.7,153,24,15.7,40,26.1,39,25.5,50,32.7,89,58.2
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Math",155,153,98.7,152,29,19.1,32,21.1,54,35.5,37,24.3,91,59.9
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA",564,564,100.0,564,196,34.8,164,29.1,131,23.2,73,12.9,204,36.2
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math",564,562,99.6,562,255,45.4,152,27.0,108,19.2,47,8.4,155,27.6
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","ELA",63,47,74.6,42,23,54.8,"*","*",9,21.4,"*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Math",63,39,61.9,39,23,59.0,7,17.9,"*","*","*","*",9,23.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","ELA",351,347,98.9,347,202,58.2,88,25.4,"*","*","*","*",57,16.4
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Math",352,350,99.4,350,253,72.3,78,22.3,"*","*","*","*",19,5.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELA",239,222,92.9,222,125,56.3,63,28.4,"*","*","*","*",34,15.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Math",240,221,92.1,221,201,91.0,18,8.1,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","ELA",170,169,99.4,169,88,52.1,43,25.4,27,16.0,11,6.5,38,22.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Math",168,167,99.4,167,119,71.3,37,22.2,"*","*","*","*",11,6.6
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","ELA",75,22,29.3,17,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Math",75,15,20.0,15,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","ELA",231,229,99.1,229,75,32.8,71,31.0,61,26.6,22,9.6,83,36.2
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Math",231,231,100.0,231,129,55.8,69,29.9,30,13.0,"*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","ELA",732,702,95.9,702,363,51.7,206,29.3,112,16.0,21,3.0,133,18.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Math",730,724,99.2,724,538,74.3,151,20.9,29,4.0,6,0.8,35,4.8
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","ELA",37,36,97.3,35,31,88.6,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Math",37,35,94.6,34,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","ELA",195,191,97.9,191,119,62.3,54,28.3,11,5.8,7,3.7,18,9.4
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Math",195,192,98.5,192,146,76.0,34,17.7,"*","*","*","*",12,6.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELA",425,359,84.5,352,110,31.3,109,31.0,106,30.1,27,7.7,133,37.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Math",424,362,85.4,361,259,71.7,71,19.7,"*","*","*","*",31,8.6
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","ELA",802,723,90.1,721,487,67.5,153,21.2,65,9.0,16,2.2,81,11.2
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Math",802,797,99.4,797,659,82.7,114,14.3,18,2.3,6,0.8,24,3.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","ELA",230,229,99.6,229,50,21.8,75,32.8,85,37.1,19,8.3,104,45.4
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Math",230,229,99.6,229,109,47.6,84,36.7,"*","*","*","*",36,15.7
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","ELA",421,416,98.8,416,272,65.4,98,23.6,"*","*","*","*",46,11.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Math",421,421,100.0,421,350,83.1,58,13.8,"*","*","*","*",13,3.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","ELA",232,232,100.0,232,132,56.9,64,27.6,"*","*","*","*",36,15.5
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Math",232,232,100.0,231,179,77.5,42,18.2,10,4.3,0,0.0,10,4.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","ELA",513,509,99.2,508,305,60.0,112,22.0,82,16.1,9,1.8,91,17.9
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Math",514,509,99.0,509,368,72.3,110,21.6,"*","*","*","*",31,6.1
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","ELA",210,210,100.0,210,121,57.6,57,27.1,"*","*","*","*",32,15.2
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Math",210,210,100.0,210,154,73.3,44,21.0,"*","*","*","*",12,5.7
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","ELA",136,136,100.0,133,63,47.4,40,30.1,"*","*","*","*",30,22.6
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Math",136,136,100.0,134,93,69.4,34,25.4,"*","*","*","*",7,5.2
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","ELA",483,471,97.5,471,227,48.2,151,32.1,78,16.6,15,3.2,93,19.7
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Math",483,480,99.4,480,334,69.6,115,24.0,"*","*","*","*",31,6.5
