"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""","Math",664,648,97.6,646,397,61.5,173,26.8,57,8.8,19,2.9,76,11.8
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","ELA",143,143,100.0,143,39,27.3,39,27.3,36,25.2,29,20.3,65,45.5
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","Math",143,143,100.0,143,53,37.1,42,29.4,34,23.8,14,9.8,48,33.6
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","ELA",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","Math",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","ELA",175,174,99.4,173,59,34.1,35,20.2,42,24.3,37,21.4,79,45.7
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","Math",175,174,99.4,174,66,37.9,56,32.2,33,19.0,19,10.9,52,29.9
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""","ELA",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""","Math",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","ELA",355,354,99.7,354,67,18.9,105,29.7,108,30.5,74,20.9,182,51.4
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","Math",356,356,100.0,356,128,36.0,101,28.4,55,15.4,72,20.2,127,35.7
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","ELA",132,132,100.0,132,28,21.2,23,17.4,45,34.1,36,27.3,81,61.4
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","Math",131,131,100.0,131,30,22.9,43,32.8,33,25.2,25,19.1,58,44.3
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","Math",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","ELA",93,90,96.8,90,43,47.8,18,20.0,18,20.0,11,12.2,29,32.2
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","Math",94,94,100.0,94,45,47.9,29,30.9,14,14.9,6,6.4,20,21.3
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","ELA",279,276,98.9,276,38,13.8,90,32.6,103,37.3,45,16.3,148,53.6
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Math",278,276,99.3,276,178,64.5,59,21.4,32,11.6,7,2.5,39,14.1
"Middletown School District","=""0830011""","Moody School","=""0831211""","ELA",137,136,99.3,136,14,10.3,27,19.9,40,29.4,55,40.4,95,69.9
"Middletown School District","=""0830011""","Moody School","=""0831211""","Math",137,137,100.0,137,19,13.9,33,24.1,43,31.4,42,30.7,85,62.0
"Middletown School District","=""0830011""","OASIS","=""0830311""","ELA",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","OASIS","=""0830311""","Math",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""","ELA",134,133,99.3,133,27,20.3,34,25.6,31,23.3,41,30.8,72,54.1
"Middletown School District","=""0830011""","Snow School","=""0831111""","Math",132,132,100.0,132,37,28.0,35,26.5,39,29.5,21,15.9,60,45.5
"Middletown School District","=""0830011""","Spencer School","=""0830111""","ELA",151,148,98.0,148,35,23.6,33,22.3,44,29.7,36,24.3,80,54.1
"Middletown School District","=""0830011""","Spencer School","=""0830111""","Math",151,148,98.0,148,34,23.0,50,33.8,45,30.4,19,12.8,64,43.2
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Wesley School","=""0831411""","ELA",146,145,99.3,145,20,13.8,28,19.3,48,33.1,49,33.8,97,66.9
"Middletown School District","=""0830011""","Wesley School","=""0831411""","Math",146,145,99.3,145,22,15.2,55,37.9,42,29.0,26,17.9,68,46.9
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","ELA",646,638,98.8,637,127,19.9,185,29.0,251,39.4,74,11.6,325,51.0
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","Math",647,643,99.4,643,239,37.2,219,34.1,119,18.5,66,10.3,185,28.8
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","ELA",260,259,99.6,259,50,19.3,53,20.5,85,32.8,71,27.4,156,60.2
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","Math",260,259,99.6,259,53,20.5,102,39.4,76,29.3,28,10.8,104,40.2
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","ELA",483,480,99.4,480,69,14.4,109,22.7,205,42.7,97,20.2,302,62.9
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","Math",483,481,99.6,480,103,21.5,184,38.3,113,23.5,80,16.7,193,40.2
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","ELA",559,538,96.2,536,36,6.7,98,18.3,230,42.9,172,32.1,402,75.0
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","Math",559,538,96.2,537,116,21.6,138,25.7,152,28.3,131,24.4,283,52.7
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","ELA",220,211,95.9,211,10,4.7,57,27.0,91,43.1,53,25.1,144,68.2
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Math",218,210,96.3,210,87,41.4,59,28.1,40,19.0,24,11.4,64,30.5
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","ELA",223,192,86.1,192,9,4.7,28,14.6,91,47.4,64,33.3,155,80.7
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Math",223,191,85.7,191,50,26.2,59,30.9,58,30.4,24,12.6,82,42.9
"Milford School District","=""0840011""","Meadowside School","=""0840711""","ELA",387,377,97.4,377,60,15.9,86,22.8,120,31.8,111,29.4,231,61.3
"Milford School District","=""0840011""","Meadowside School","=""0840711""","Math",387,377,97.4,377,56,14.9,110,29.2,123,32.6,88,23.3,211,56.0
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","ELA",320,316,98.8,315,45,14.3,64,20.3,95,30.2,111,35.2,206,65.4
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","Math",320,316,98.8,315,52,16.5,98,31.1,93,29.5,72,22.9,165,52.4
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","ELA",370,369,99.7,368,88,23.9,102,27.7,122,33.2,56,15.2,178,48.4
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","Math",370,369,99.7,369,73,19.8,144,39.0,104,28.2,48,13.0,152,41.2
"Milford School District","=""0840011""","The Academy","=""0840311""","ELA",20,16,80.0,15,"*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","Math",25,19,76.0,19,"*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","ELA",463,458,98.9,458,72,15.7,147,32.1,165,36.0,74,16.2,239,52.2
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","Math",463,459,99.1,459,133,29.0,151,32.9,98,21.4,77,16.8,175,38.1
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","ELA",286,284,99.3,284,16,5.6,25,8.8,74,26.1,169,59.5,243,85.6
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Math",286,284,99.3,284,25,8.8,66,23.2,94,33.1,99,34.9,193,68.0
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","ELA",753,745,98.9,745,45,6.0,101,13.6,348,46.7,251,33.7,599,80.4
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Math",753,744,98.8,744,133,17.9,222,29.8,224,30.1,165,22.2,389,52.3
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","ELA",277,275,99.3,274,11,4.0,23,8.4,90,32.8,150,54.7,240,87.6
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Math",278,273,98.2,273,44,16.1,63,23.1,95,34.8,71,26.0,166,60.8
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","ELA",169,166,98.2,165,"*","*","*","*",42,25.5,107,64.8,149,90.3
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Math",169,165,97.6,165,18,10.9,30,18.2,61,37.0,56,33.9,117,70.9
"Monroe School District","=""0850011""","REAL","=""0850411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","REAL","=""0850411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","ELA",241,238,98.8,238,"*","*","*","*",75,31.5,139,58.4,214,89.9
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Math",241,238,98.8,238,25,10.5,59,24.8,85,35.7,69,29.0,154,64.7
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","ELA",169,169,100.0,169,36,21.3,33,19.5,46,27.2,54,32.0,100,59.2
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Math",169,169,100.0,169,45,26.6,58,34.3,45,26.6,21,12.4,66,39.1
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","ELA",548,541,98.7,541,91,16.8,155,28.7,213,39.4,82,15.2,295,54.5
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Math",548,543,99.1,543,146,26.9,208,38.3,119,21.9,70,12.9,189,34.8
"Montville School District","=""0860011""","Mohegan School","=""0860111""","ELA",175,173,98.9,173,43,24.9,47,27.2,53,30.6,30,17.3,83,48.0
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Math",175,174,99.4,174,51,29.3,70,40.2,45,25.9,8,4.6,53,30.5
"Montville School District","=""0860011""","Montville High School","=""0866111""","ELA",167,162,97.0,162,24,14.8,41,25.3,62,38.3,35,21.6,97,59.9
"Montville School District","=""0860011""","Montville High School","=""0866111""","Math",167,159,95.2,159,75,47.2,40,25.2,26,16.4,18,11.3,44,27.7
"Montville School District","=""0860011""","Oakdale School","=""0860511""","ELA",168,168,100.0,168,17,10.1,21,12.5,54,32.1,76,45.2,130,77.4
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Math",168,168,100.0,168,21,12.5,59,35.1,49,29.2,39,23.2,88,52.4
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","ELA",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Math",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","ELA",99,95,96.0,95,22,23.2,23,24.2,21,22.1,29,30.5,50,52.6
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Math",99,97,98.0,97,20,20.6,31,32.0,31,32.0,15,15.5,46,47.4
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","ELA",668,662,99.1,661,167,25.3,187,28.3,236,35.7,71,10.7,307,46.4
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Math",669,662,99.0,660,284,43.0,218,33.0,121,18.3,37,5.6,158,23.9
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","ELA",337,332,98.5,332,78,23.5,66,19.9,125,37.7,63,19.0,188,56.6
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Math",337,333,98.8,333,119,35.7,115,34.5,58,17.4,41,12.3,99,29.7
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","ELA",316,315,99.7,315,94,29.8,91,28.9,97,30.8,33,10.5,130,41.3
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Math",316,313,99.1,313,140,44.7,106,33.9,52,16.6,15,4.8,67,21.4
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","ELA",133,130,97.7,130,39,30.0,30,23.1,45,34.6,16,12.3,61,46.9
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Math",134,133,99.3,133,"*","*",57,42.9,38,28.6,"*","*","*","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","ELA",194,193,99.5,193,43,22.3,54,28.0,46,23.8,50,25.9,96,49.7
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Math",195,195,100.0,195,48,24.6,73,37.4,55,28.2,19,9.7,74,37.9
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","ELA",305,284,93.1,283,59,20.8,76,26.9,93,32.9,55,19.4,148,52.3
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Math",305,283,92.8,283,137,48.4,73,25.8,48,17.0,25,8.8,73,25.8
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","ELA",100,99,99.0,99,34,34.3,25,25.3,23,23.2,17,17.2,40,40.4
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Math",100,100,100.0,100,33,33.0,38,38.0,"*","*","*","*",29,29.0
"Naugatuck School District","=""0880011""","Western School","=""0880711""","ELA",110,110,100.0,110,32,29.1,24,21.8,29,26.4,25,22.7,54,49.1
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Math",110,110,100.0,110,23,20.9,34,30.9,39,35.5,14,12.7,53,48.2
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","ELA",242,242,100.0,242,74,30.6,68,28.1,81,33.5,19,7.9,100,41.3
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Math",242,242,100.0,242,111,45.9,89,36.8,"*","*","*","*",42,17.4
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","ELA",27,18,66.7,18,"*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Math",28,20,71.4,19,"*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","ELA",224,221,98.7,221,118,53.4,58,26.2,26,11.8,19,8.6,45,20.4
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Math",225,225,100.0,225,136,60.4,58,25.8,"*","*","*","*",31,13.8
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","ELA",444,442,99.5,442,224,50.7,126,28.5,78,17.6,14,3.2,92,20.8
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Math",444,442,99.5,442,263,59.5,128,29.0,42,9.5,9,2.0,51,11.5
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","ELA",181,178,98.3,178,85,47.8,39,21.9,40,22.5,14,7.9,54,30.3
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Math",181,179,98.9,179,87,48.6,46,25.7,27,15.1,19,10.6,46,25.7
"New Britain School District","=""0890011""","Holmes School","=""0890611""","ELA",248,243,98.0,241,84,34.9,62,25.7,61,25.3,34,14.1,95,39.4
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Math",249,247,99.2,244,86,35.2,86,35.2,51,20.9,21,8.6,72,29.5
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","ELA",159,159,100.0,158,0,0.0,9,5.7,85,53.8,64,40.5,149,94.3
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Math",159,159,100.0,159,"*","*","*","*",66,41.5,52,32.7,118,74.2
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","ELA",205,202,98.5,201,84,41.8,63,31.3,31,15.4,23,11.4,54,26.9
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Math",205,203,99.0,203,107,52.7,60,29.6,29,14.3,7,3.4,36,17.7
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","ELA",275,265,96.4,263,120,45.6,56,21.3,58,22.1,29,11.0,87,33.1
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Math",276,269,97.5,269,147,54.6,62,23.0,39,14.5,21,7.8,60,22.3
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","ELA",481,461,95.8,460,181,39.3,130,28.3,111,24.1,38,8.3,149,32.4
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Math",484,464,95.9,464,311,67.0,89,19.2,45,9.7,19,4.1,64,13.8
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","ELA",30,30,100.0,30,"*","*",0,0.0,"*","*",0,0.0,"*","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Math",30,29,96.7,29,"*","*","*","*",0,0.0,0,0.0,0,0.0
"New Britain School District","=""0890011""","Northend School","=""0890911""","ELA",141,138,97.9,136,92,67.6,23,16.9,15,11.0,6,4.4,21,15.4
"New Britain School District","=""0890011""","Northend School","=""0890911""","Math",140,136,97.1,135,109,80.7,18,13.3,8,5.9,0,0.0,8,5.9
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","ELA",766,743,97.0,742,470,63.3,185,24.9,79,10.6,8,1.1,87,11.7
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Math",768,765,99.6,765,559,73.1,156,20.4,"*","*","*","*",50,6.5
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","ELA",769,759,98.7,755,443,58.7,218,28.9,88,11.7,6,0.8,94,12.5
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Math",770,763,99.1,763,548,71.8,172,22.5,37,4.8,6,0.8,43,5.6
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","ELA",310,288,92.9,287,229,79.8,35,12.2,"*","*","*","*",23,8.0
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Math",311,306,98.4,306,229,74.8,63,20.6,"*","*","*","*",14,4.6
"New Britain School District","=""0890011""","Smith School","=""0891311""","ELA",280,276,98.6,275,138,50.2,77,28.0,33,12.0,27,9.8,60,21.8
"New Britain School District","=""0890011""","Smith School","=""0891311""","Math",280,279,99.6,279,136,48.7,89,31.9,44,15.8,10,3.6,54,19.4
"New Britain School District","=""0890011""","Vance School","=""0891511""","ELA",243,240,98.8,240,126,52.5,54,22.5,40,16.7,20,8.3,60,25.0
"New Britain School District","=""0890011""","Vance School","=""0891511""","Math",244,243,99.6,243,143,58.8,67,27.6,25,10.3,8,3.3,33,13.6
"New Canaan School District","=""0900011""","East School","=""0900411""","ELA",246,244,99.2,244,13,5.3,23,9.4,66,27.0,142,58.2,208,85.2
"New Canaan School District","=""0900011""","East School","=""0900411""","Math",246,244,99.2,244,11,4.5,29,11.9,92,37.7,112,45.9,204,83.6
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","ELA",272,265,97.4,265,"*","*",35,13.2,99,37.4,"*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Math",272,265,97.4,265,"*","*",54,20.4,75,28.3,"*","*","*","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","ELA",1290,1259,97.6,1257,55,4.4,198,15.8,509,40.5,495,39.4,1004,79.9
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Math",1290,1257,97.4,1257,106,8.4,256,20.4,330,26.3,565,44.9,895,71.2
"New Canaan School District","=""0900011""","South School","=""0900211""","ELA",245,234,95.5,234,8,3.4,27,11.5,53,22.6,146,62.4,199,85.0
"New Canaan School District","=""0900011""","South School","=""0900211""","Math",245,235,95.9,235,10,4.3,40,17.0,78,33.2,107,45.5,185,78.7
"New Canaan School District","=""0900011""","West School","=""0900311""","ELA","*","*","*","*","*","*","*","*","*","*",138,71.1,"*","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Math","*","*","*","*","*","*","*","*","*","*",108,55.4,"*","*"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","ELA",522,498,95.4,496,66,13.3,79,15.9,182,36.7,169,34.1,351,70.8
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Math",522,493,94.4,492,62,12.6,153,31.1,164,33.3,113,23.0,277,56.3
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","ELA",624,595,95.4,594,65,10.9,137,23.1,257,43.3,135,22.7,392,66.0
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Math",624,589,94.4,588,142,24.1,198,33.7,143,24.3,105,17.9,248,42.2
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","ELA",292,291,99.7,290,105,36.2,70,24.1,69,23.8,46,15.9,115,39.7
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Math",292,291,99.7,291,157,54.0,77,26.5,29,10.0,28,9.6,57,19.6
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","ELA",326,316,96.9,316,72,22.8,89,28.2,115,36.4,40,12.7,155,49.1
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Math",326,316,96.9,316,129,40.8,108,34.2,56,17.7,23,7.3,79,25.0
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","ELA",295,289,98.0,289,163,56.4,89,30.8,31,10.7,6,2.1,37,12.8
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Math",295,286,96.9,286,210,73.4,67,23.4,"*","*","*","*",9,3.1
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","ELA",320,319,99.7,319,162,50.8,97,30.4,49,15.4,11,3.4,60,18.8
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Math",320,319,99.7,319,212,66.5,79,24.8,"*","*","*","*",28,8.8
"New Haven School District","=""0930011""","Beecher School","=""0930311""","ELA",263,254,96.6,254,108,42.5,78,30.7,53,20.9,15,5.9,68,26.8
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Math",263,249,94.7,248,135,54.4,86,34.7,20,8.1,7,2.8,27,10.9
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","ELA",280,279,99.6,279,103,36.9,86,30.8,65,23.3,25,9.0,90,32.3
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Math",280,279,99.6,279,153,54.8,84,30.1,35,12.5,7,2.5,42,15.1
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","ELA",453,453,100.0,453,121,26.7,132,29.1,143,31.6,57,12.6,200,44.2
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Math",453,452,99.8,451,241,53.4,135,29.9,59,13.1,16,3.5,75,16.6
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","ELA",298,294,98.7,294,129,43.9,87,29.6,60,20.4,18,6.1,78,26.5
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Math",298,296,99.3,296,177,59.8,82,27.7,27,9.1,10,3.4,37,12.5
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","ELA",194,191,98.5,191,97,50.8,56,29.3,29,15.2,9,4.7,38,19.9
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Math",191,190,99.5,189,133,70.4,37,19.6,"*","*","*","*",19,10.1
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","ELA",356,317,89.0,316,178,56.3,84,26.6,"*","*","*","*",54,17.1
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Math",351,347,98.9,347,233,67.1,91,26.2,"*","*","*","*",23,6.6
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","ELA",366,364,99.5,363,201,55.4,92,25.3,59,16.3,11,3.0,70,19.3
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Math",366,364,99.5,364,241,66.2,100,27.5,"*","*","*","*",23,6.3
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","ELA",264,258,97.7,256,90,35.2,100,39.1,52,20.3,14,5.5,66,25.8
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Math",265,262,98.9,262,151,57.6,96,36.6,"*","*","*","*",15,5.7
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","ELA",381,376,98.7,376,133,35.4,128,34.0,81,21.5,34,9.0,115,30.6
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Math",381,376,98.7,376,219,58.2,113,30.1,35,9.3,9,2.4,44,11.7
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","ELA",138,131,94.9,130,30,23.1,35,26.9,52,40.0,13,10.0,65,50.0
