"school_code","district_code","district","school","subject","gender","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0643611","0640011","Hartford School District","Global Communications Academy","Math","Male","14","*","*","*","*","*","*","*","*","*","*","*"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","ELA","Female","36","*","*","*","*","13","36.1","*","*","*","*","486"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","ELA","Male","25","*","*","*","*","8","32.0","*","*","*","*","466"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Math","Female","36","12","33.3","21","58.3","*","*","*","*","*","*","453"
"0647911","0640011","Hartford School District","Great Path Academy High School at MCC","Math","Male","25","11","44.0","7","28.0","*","*","*","*","*","*","462"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","ELA","Female","14","*","*","*","*","*","*","*","*","*","*","*"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","ELA","Male","45","*","*","*","*","*","*","*","*","*","*","394"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Math","Female","14","*","*","*","*","*","*","*","*","*","*","*"
"0647211","0640011","Hartford School District","HPHS Academy of Engineering and Green Technology","Math","Male","45","*","*","*","*","*","*","*","*","*","*","390"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","ELA","Female","57","*","*","*","*","*","*","0","0.0","*","*","406"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","ELA","Male","18","*","*","*","*","*","*","*","*","*","*","*"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Math","Female","57","*","*","*","*","0","0.0","0","0.0","0","0.0","394"
"0647511","0640011","Hartford School District","HPHS Academy of Nursing and Health Science","Math","Male","18","*","*","*","*","*","*","*","*","*","*","*"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","ELA","Female","34","22","64.7","*","*","*","*","0","0.0","*","*","403"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","ELA","Male","43","28","65.1","*","*","*","*","0","0.0","*","*","413"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Math","Female","34","22","64.7","*","*","*","*","0","0.0","*","*","399"
"0647411","0640011","Hartford School District","HPHS Law and Government Academy","Math","Male","43","26","60.5","*","*","*","*","0","0.0","*","*","404"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","ELA","Female","49","17","34.7","*","*","16","32.7","*","*","*","*","467"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","ELA","Male","36","*","*","*","*","16","44.4","0","0.0","16","44.4","457"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Math","Female","49","16","32.7","27","55.1","*","*","*","*","6","12.2","449"
"0645411","0640011","Hartford School District","Hartford Magnet Trinity College Academy","Math","Male","36","*","*","15","41.7","*","*","0","0.0","*","*","437"
"0647611","0640011","Hartford School District","High School Inc.","ELA","Female","21","13","61.9","*","*","*","*","0","0.0","*","*","414"
"0647611","0640011","Hartford School District","High School Inc.","ELA","Male","35","25","71.4","*","*","*","*","0","0.0","*","*","398"
"0647611","0640011","Hartford School District","High School Inc.","Math","Female","21","15","71.4","6","28.6","0","0.0","0","0.0","0","0.0","383"
"0647611","0640011","Hartford School District","High School Inc.","Math","Male","35","24","68.6","*","*","*","*","0","0.0","*","*","391"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","ELA","Female","26","16","61.5","*","*","*","*","0","0.0","*","*","414"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","ELA","Male","32","15","46.9","*","*","*","*","0","0.0","*","*","429"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Math","Female","26","19","73.1","7","26.9","0","0.0","0","0.0","0","0.0","382"
"0647711","0640011","Hartford School District","Journalism and Media Academy Magnet School","Math","Male","32","18","56.3","14","43.8","0","0.0","0","0.0","0","0.0","403"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0644911","0640011","Hartford School District","MDP - HPHS Law and Government Academy","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","ELA","Female","26","11","42.3","9","34.6","6","23.1","0","0.0","6","23.1","437"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","ELA","Male","52","20","38.5","7","13.5","17","32.7","8","15.4","25","48.1","480"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","Math","Female","26","16","61.5","*","*","*","*","0","0.0","*","*","406"
"0646611","0640011","Hartford School District","Pathways Academy of Technology and Design","Math","Male","51","20","39.2","15","29.4","*","*","*","*","*","*","463"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","ELA","Female","27","*","*","*","*","*","*","*","*","*","*","478"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","ELA","Male","17","*","*","*","*","*","*","*","*","*","*","*"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","Math","Female","27","*","*","*","*","*","*","0","0.0","*","*","435"
"0641111","0640011","Hartford School District","R.J. Kinsella Magnet School of Performing Arts","Math","Male","17","*","*","*","*","*","*","*","*","*","*","*"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","ELA","Female","50","14","28.0","*","*","26","52.0","*","*","*","*","486"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","ELA","Male","55","16","29.1","*","*","24","43.6","*","*","*","*","479"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","Math","Female","50","15","30.0","*","*","19","38.0","*","*","*","*","486"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","Math","Male","55","17","30.9","25","45.5","*","*","*","*","13","23.6","470"
"0646711","0640011","Hartford School District","University High of Science and Engineering","ELA","Female","28","*","*","*","*","13","46.4","*","*","*","*","516"
"0646711","0640011","Hartford School District","University High of Science and Engineering","ELA","Male","63","*","*","*","*","26","41.3","*","*","*","*","551"
"0646711","0640011","Hartford School District","University High of Science and Engineering","Math","Female","28","*","*","14","50.0","8","28.6","*","*","*","*","500"
"0646711","0640011","Hartford School District","University High of Science and Engineering","Math","Male","63","*","*","18","28.6","20","31.7","*","*","*","*","543"
"2860113","2860013","Highville Charter School District","Highville Charter School","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0696111","0690011","Killingly School District","Killingly High School","ELA","Female","94","*","*","19","20.2","62","66.0","*","*","*","*","520"
"0696111","0690011","Killingly School District","Killingly High School","ELA","Male","77","18","23.4","*","*","48","62.3","*","*","*","*","494"
"0696111","0690011","Killingly School District","Killingly High School","Math","Female","94","20","21.3","60","63.8","14","14.9","0","0.0","14","14.9","469"
"0696111","0690011","Killingly School District","Killingly High School","Math","Male","77","24","31.2","34","44.2","*","*","*","*","19","24.7","461"
"2456014","2450014","Learn","Connecticut River Academy","ELA","Female","52","23","44.2","*","*","16","30.8","*","*","*","*","446"
"2456014","2450014","Learn","Connecticut River Academy","ELA","Male","37","12","32.4","*","*","12","32.4","*","*","*","*","481"
"2456014","2450014","Learn","Connecticut River Academy","Math","Female","51","*","*","23","45.1","*","*","0","0.0","*","*","419"
"2456014","2450014","Learn","Connecticut River Academy","Math","Male","37","13","35.1","18","48.6","*","*","*","*","*","*","439"
"2450514","2450014","Learn","LEARN Pathways Program","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2450514","2450014","Learn","LEARN Pathways Program","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","ELA","Female","34","*","*","*","*","18","52.9","14","41.2","32","94.1","578"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","ELA","Male","31","*","*","*","*","16","51.6","13","41.9","29","93.5","596"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","Math","Female","34","*","*","16","47.1","13","38.2","*","*","*","*","523"
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","Math","Male","31","0","0.0","*","*","14","45.2","*","*","*","*","561"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","ELA","Female","24","*","*","*","*","*","*","*","*","*","*","517"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","ELA","Male","7","*","*","*","*","*","*","*","*","*","*","*"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","Math","Female","24","*","*","*","*","*","*","0","0.0","*","*","523"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","Math","Male","7","*","*","*","*","*","*","*","*","*","*","*"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","ELA","Female","46","*","*","*","*","33","71.7","*","*","*","*","538"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","ELA","Male","37","*","*","*","*","27","73.0","*","*","*","*","557"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","Math","Female","46","*","*","20","43.5","17","37.0","*","*","*","*","532"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","Math","Male","37","*","*","13","35.1","14","37.8","*","*","*","*","552"
"0726111","0720011","Ledyard School District","Ledyard High School","ELA","Female","113","8","7.1","21","18.6","64","56.6","20","17.7","84","74.3","535"
"0726111","0720011","Ledyard School District","Ledyard High School","ELA","Male","84","16","19.0","16","19.0","36","42.9","16","19.0","52","61.9","517"
"0726111","0720011","Ledyard School District","Ledyard High School","Math","Female","113","15","13.3","52","46.0","33","29.2","13","11.5","46","40.7","517"
"0726111","0720011","Ledyard School District","Ledyard High School","Math","Male","84","15","17.9","33","39.3","24","28.6","12","14.3","36","42.9","516"
"0746111","0740011","Litchfield School District","Litchfield High School","ELA","Female","33","*","*","*","*","16","48.5","9","27.3","25","75.8","553"
"0746111","0740011","Litchfield School District","Litchfield High School","ELA","Male","41","*","*","*","*","25","61.0","7","17.1","32","78.0","537"
"0746111","0740011","Litchfield School District","Litchfield High School","Math","Female","33","*","*","8","24.2","16","48.5","*","*","*","*","536"
"0746111","0740011","Litchfield School District","Litchfield High School","Math","Male","41","*","*","15","36.6","17","41.5","*","*","*","*","525"
"0766111","0760011","Madison School District","Daniel Hand High School","ELA","Female","136","*","*","*","*","80","58.8","51","37.5","131","96.3","599"
"0766111","0760011","Madison School District","Daniel Hand High School","ELA","Male","160","*","*","*","*","85","53.1","60","37.5","145","90.6","596"
"0766111","0760011","Madison School District","Daniel Hand High School","Math","Female","136","7","5.1","35","25.7","68","50.0","26","19.1","94","69.1","568"
"0766111","0760011","Madison School District","Daniel Hand High School","Math","Male","160","9","5.6","39","24.4","65","40.6","47","29.4","112","70.0","587"
"0770211","0770011","Manchester School District","Bentley Alternative Education Program","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0770211","0770011","Manchester School District","Bentley Alternative Education Program","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0776111","0770011","Manchester School District","Manchester High School","ELA","Female","198","46","23.2","44","22.2","94","47.5","14","7.1","108","54.5","486"
"0776111","0770011","Manchester School District","Manchester High School","ELA","Male","136","41","30.1","28","20.6","56","41.2","11","8.1","67","49.3","477"
"0776111","0770011","Manchester School District","Manchester High School","Math","Female","198","62","31.3","93","47.0","37","18.7","6","3.0","43","21.7","461"
"0776111","0770011","Manchester School District","Manchester High School","Math","Male","136","48","35.3","60","44.1","22","16.2","6","4.4","28","20.6","454"
"0779011","0770011","Manchester School District","Manchester Regional Academy","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0779011","0770011","Manchester School District","Manchester Regional Academy","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0779011","0770011","Manchester School District","Manchester Regional Academy","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0779011","0770011","Manchester School District","Manchester Regional Academy","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0770711","0770011","Manchester School District","New Horizons","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0770711","0770011","Manchester School District","New Horizons","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","ELA","Female","129","36","27.9","*","*","50","38.8","*","*","*","*","476"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","ELA","Male","114","39","34.2","*","*","42","36.8","*","*","*","*","462"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","Math","Female","129","68","52.7","44","34.1","17","13.2","0","0.0","17","13.2","423"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","Math","Male","114","54","47.4","42","36.8","*","*","*","*","18","15.8","435"
"0806211","0800011","Meriden School District","Orville H. Platt High School","ELA","Female","113","42","37.2","*","*","36","31.9","*","*","*","*","464"
"0806211","0800011","Meriden School District","Orville H. Platt High School","ELA","Male","102","40","39.2","*","*","34","33.3","*","*","*","*","454"
"0806211","0800011","Meriden School District","Orville H. Platt High School","Math","Female","112","59","52.7","38","33.9","*","*","*","*","15","13.4","423"
"0806211","0800011","Meriden School District","Orville H. Platt High School","Math","Male","102","50","49.0","37","36.3","15","14.7","0","0.0","15","14.7","421"
"0801411","0800011","Meriden School District","Success Academy","ELA","Female","6","*","*","*","*","*","*","*","*","*","*","*"
"0801411","0800011","Meriden School District","Success Academy","ELA","Male","8","*","*","*","*","*","*","*","*","*","*","*"
"0801411","0800011","Meriden School District","Success Academy","Math","Female","6","*","*","*","*","*","*","*","*","*","*","*"
"0801411","0800011","Meriden School District","Success Academy","Math","Male","8","*","*","*","*","*","*","*","*","*","*","*"
"0801311","0800011","Meriden School District","Venture Academy-Meriden School District","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0801311","0800011","Meriden School District","Venture Academy-Meriden School District","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0801311","0800011","Meriden School District","Venture Academy-Meriden School District","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0801311","0800011","Meriden School District","Venture Academy-Meriden School District","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0831911","0830011","Middletown School District","MHS - Alternative Education Program 2","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0831911","0830011","Middletown School District","MHS - Alternative Education Program 2","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0832211","0830011","Middletown School District","MHS- Alternative Education Program 3","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0832211","0830011","Middletown School District","MHS- Alternative Education Program 3","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0836211","0830011","Middletown School District","Middletown High School","ELA","Female","130","24","18.5","33","25.4","57","43.8","16","12.3","73","56.2","502"
"0836211","0830011","Middletown School District","Middletown High School","ELA","Male","149","42","28.2","27","18.1","69","46.3","11","7.4","80","53.7","485"
"0836211","0830011","Middletown School District","Middletown High School","Math","Female","129","34","26.4","66","51.2","*","*","*","*","29","22.5","463"
"0836211","0830011","Middletown School District","Middletown High School","Math","Male","148","49","33.1","56","37.8","*","*","*","*","43","29.1","470"
"0831711","0830011","Middletown School District","Virtual Learning Academy - MHS","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0831711","0830011","Middletown School District","Virtual Learning Academy - MHS","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0846211","0840011","Milford School District","Jonathan Law High School","ELA","Female","135","9","6.7","21","15.6","81","60.0","24","17.8","105","77.8","540"
"0846211","0840011","Milford School District","Jonathan Law High School","ELA","Male","101","12","11.9","18","17.8","59","58.4","12","11.9","71","70.3","522"
"0846211","0840011","Milford School District","Jonathan Law High School","Math","Female","135","24","17.8","60","44.4","45","33.3","6","4.4","51","37.8","498"
"0846211","0840011","Milford School District","Jonathan Law High School","Math","Male","101","18","17.8","48","47.5","28","27.7","7","6.9","35","34.7","497"
"0846311","0840011","Milford School District","Joseph A. Foran High School","ELA","Female","98","*","*","14","14.3","71","72.4","*","*","*","*","541"
"0846311","0840011","Milford School District","Joseph A. Foran High School","ELA","Male","116","*","*","19","16.4","69","59.5","*","*","*","*","529"
"0846311","0840011","Milford School District","Joseph A. Foran High School","Math","Female","98","*","*","54","55.1","27","27.6","*","*","*","*","502"
"0846311","0840011","Milford School District","Joseph A. Foran High School","Math","Male","116","*","*","58","50.0","38","32.8","*","*","*","*","512"
"0840311","0840011","Milford School District","The Academy","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0840311","0840011","Milford School District","The Academy","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0850211","0850011","Monroe School District","Masuk Alternative Program","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0850211","0850011","Monroe School District","Masuk Alternative Program","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0856111","0850011","Monroe School District","Masuk High School","ELA","Female","130","10","7.7","7","5.4","74","56.9","39","30.0","113","86.9","571"
"0856111","0850011","Monroe School District","Masuk High School","ELA","Male","139","10","7.2","22","15.8","72","51.8","35","25.2","107","77.0","554"
"0856111","0850011","Monroe School District","Masuk High School","Math","Female","130","12","9.2","36","27.7","62","47.7","20","15.4","82","63.1","549"
"0856111","0850011","Monroe School District","Masuk High School","Math","Male","138","13","9.4","41","29.7","60","43.5","24","17.4","84","60.9","555"
"0866111","0860011","Montville School District","Montville High School","ELA","Female","64","*","*","11","17.2","40","62.5","*","*","*","*","535"
"0866111","0860011","Montville School District","Montville High School","ELA","Male","69","*","*","12","17.4","40","58.0","*","*","*","*","504"
"0866111","0860011","Montville School District","Montville High School","Math","Female","64","*","*","27","42.2","25","39.1","*","*","*","*","507"
"0866111","0860011","Montville School District","Montville High School","Math","Male","68","*","*","31","45.6","19","27.9","*","*","*","*","499"
"0869011","0860011","Montville School District","Palmer Academy","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0869011","0860011","Montville School District","Palmer Academy","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0869011","0860011","Montville School District","Palmer Academy","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0869011","0860011","Montville School District","Palmer Academy","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0886111","0880011","Naugatuck School District","Naugatuck High School","ELA","Female","140","*","*","42","30.0","67","47.9","*","*","*","*","485"
"0886111","0880011","Naugatuck School District","Naugatuck High School","ELA","Male","150","55","36.7","*","*","60","40.0","*","*","*","*","462"
"0886111","0880011","Naugatuck School District","Naugatuck High School","Math","Female","139","53","38.1","62","44.6","24","17.3","0","0.0","24","17.3","447"
"0886111","0880011","Naugatuck School District","Naugatuck High School","Math","Male","148","59","39.9","56","37.8","*","*","*","*","33","22.3","449"
"0899111","0890011","New Britain School District","Alternative Center School","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0899111","0890011","New Britain School District","Alternative Center School","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0899111","0890011","New Britain School District","Alternative Center School","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"0899111","0890011","New Britain School District","Alternative Center School","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"0896111","0890011","New Britain School District","New Britain High School","ELA","Female","230","107","46.5","54","23.5","63","27.4","6","2.6","69","30.0","437"
"0896111","0890011","New Britain School District","New Britain High School","ELA","Male","231","134","58.0","47","20.3","42","18.2","8","3.5","50","21.6","419"
