district,district_code,school,school_code,female,male,total,year,group
Enfield School District,0490011,Nathan Hale - Primary Adaptive Learning (PAL),0490811,*,*,6,2015,gender
Enfield School District,0490011,Nathan Hale School,0491111,100,122,222,2015,gender
Enfield School District,0490011,Prudence Crandall - Educational Counseling Program (ECP),0490711,0,*,*,2015,gender
Enfield School District,0490011,Prudence Crandall School,0491511,209,203,412,2015,gender
Enfield School District,0490011,Stowe - Early Learning Center (SELC),0491011,21,15,36,2015,gender
Essex School District,0500011,Essex Elementary School,0500111,199,218,417,2015,gender
Explorations District,2720013,Explorations,2726113,58,34,92,2015,gender
Fairfield School District,0510011,Burr Elementary School,0510211,200,218,418,2015,gender
Fairfield School District,0510011,Dwight Elementary School,0510111,155,180,335,2015,gender
Fairfield School District,0510011,Early Childhood Center,0518011,40,72,112,2015,gender
Fairfield School District,0510011,Fairfield Ludlowe High School,0516011,775,733,1508,2015,gender
Fairfield School District,0510011,Fairfield Warde High School,0516211,761,757,1518,2015,gender
Fairfield School District,0510011,Fairfield Woods Middle School,0515211,421,465,886,2015,gender
Fairfield School District,0510011,Holland Hill School,0510411,209,196,405,2015,gender
Fairfield School District,0510011,Jennings School,0511711,125,195,320,2015,gender
Fairfield School District,0510011,McKinley School,0510611,218,208,426,2015,gender
Fairfield School District,0510011,Mill Hill School,0510711,192,190,382,2015,gender
Fairfield School District,0510011,North Stratfield School,0511611,201,214,415,2015,gender
Fairfield School District,0510011,Osborn Hill School,0511811,231,258,489,2015,gender
Fairfield School District,0510011,Riverfield School,0511211,200,208,408,2015,gender
Fairfield School District,0510011,Roger Ludlowe Middle School,0515311,404,398,802,2015,gender
Fairfield School District,0510011,Sherman School,0511311,247,232,479,2015,gender
Fairfield School District,0510011,Stratfield School,0511411,205,235,440,2015,gender
Fairfield School District,0510011,Tomlinson Middle School,0515111,342,343,685,2015,gender
Fairfield School District,0510011,Walter Fitzgerald Campus,0510311,10,16,26,2015,gender
Farmington School District,0520011,East Farms School,0520411,218,225,443,2015,gender
Farmington School District,0520011,Farmington Alternative High School,0520611,*,*,12,2015,gender
Farmington School District,0520011,Farmington Collaborative PK,0528011,54,69,123,2015,gender
Farmington School District,0520011,Farmington High School,0526111,551,669,1220,2015,gender
Farmington School District,0520011,Irving A. Robbins Middle School,0525111,325,298,623,2015,gender
Farmington School District,0520011,Noah Wallace School,0520211,185,178,363,2015,gender
Farmington School District,0520011,Union School,0520111,160,162,322,2015,gender
Farmington School District,0520011,West District School,0520311,146,154,300,2015,gender
Farmington School District,0520011,West Woods Upper Elementary School,0520511,329,334,663,2015,gender
Franklin School District,0530011,Franklin Elementary School,0530111,75,92,167,2015,gender
Glastonbury School District,0540011,Buttonball Lane School,0540211,229,230,459,2015,gender
Glastonbury School District,0540011,Eastbury School,0540311,132,124,256,2015,gender
Glastonbury School District,0540011,Gideon Welles School,0540811,232,247,479,2015,gender
Glastonbury School District,0540011,Glastonbury High School,0546111,1062,975,2037,2015,gender
Glastonbury School District,0540011,Hebron Avenue School,0540411,197,203,400,2015,gender
Glastonbury School District,0540011,Hopewell School,0540611,190,196,386,2015,gender
Glastonbury School District,0540011,LINKS Academy,0540111,7,12,19,2015,gender
Glastonbury School District,0540011,LINKS Transition,0541411,*,*,15,2015,gender
Glastonbury School District,0540011,Links Academy,0540111,7,12,19,2015,gender
Glastonbury School District,0540011,Naubuc School,0540711,178,183,361,2015,gender
Glastonbury School District,0540011,Nayaug Elementary School,0540911,286,267,553,2015,gender
Glastonbury School District,0540011,PreK-Eastbury,0540511,10,20,30,2015,gender
Glastonbury School District,0540011,PreK-Nayaug,0541011,7,12,19,2015,gender
Glastonbury School District,0540011,Smith Middle School,0545211,538,498,1036,2015,gender
Granby School District,0560011,Frank M. Kearns Primary School,0560111,208,200,408,2015,gender
Granby School District,0560011,Granby Memorial High School,0566111,328,366,694,2015,gender
Granby School District,0560011,Granby Memorial Middle School,0565111,148,164,312,2015,gender
Granby School District,0560011,Kelly Lane Intermediate School,0560411,142,129,271,2015,gender
Granby School District,0560011,Wells Road Intermediate School,0560311,128,133,261,2015,gender
Great Oaks Charter School District,2940013,Great Oaks Charter School,2940113,112,114,226,2015,gender
Greenwich School District,0570011,Alternative High School Programs,0571411,13,19,32,2015,gender
Greenwich School District,0570011,Central Middle School,0575111,266,301,567,2015,gender
Greenwich School District,0570011,Community Connections,0571211,*,*,*,2015,gender
Greenwich School District,0570011,Cos Cob School,0570211,212,225,437,2015,gender
Greenwich School District,0570011,Eastern Middle School,0575211,398,424,822,2015,gender
Greenwich School District,0570011,Glenville School,0570411,229,222,451,2015,gender
Greenwich School District,0570011,Greenwich High School,0576111,1263,1271,2534,2015,gender
Greenwich School District,0570011,Hamilton Avenue School,0570511,179,185,364,2015,gender
Greenwich School District,0570011,International School At Dundee,0571311,187,181,368,2015,gender
Greenwich School District,0570011,Julian Curtiss School,0570311,176,185,361,2015,gender
Greenwich School District,0570011,New Lebanon School,0570611,121,144,265,2015,gender
Greenwich School District,0570011,North Mianus School,0570711,224,258,482,2015,gender
Greenwich School District,0570011,North Street School,0570811,180,212,392,2015,gender
Greenwich School District,0570011,Old Greenwich School,0570911,221,228,449,2015,gender
Greenwich School District,0570011,Parkway School,0571111,119,142,261,2015,gender
Greenwich School District,0570011,Riverside School,0571011,217,266,483,2015,gender
Greenwich School District,0570011,Western Middle School,0575311,253,282,535,2015,gender
Griswold School District,0580011,Griswold Alternative School,0580111,*,*,14,2015,gender
Griswold School District,0580011,Griswold Elementary School,0580311,356,401,757,2015,gender
Griswold School District,0580011,Griswold High School,0586211,292,273,565,2015,gender
Griswold School District,0580011,Griswold Middle School,0585111,279,266,545,2015,gender
Groton School District,0590011,Carl C. Cutler Middle School,0595311,234,261,495,2015,gender
Groton School District,0590011,Catherine Kolnaski Magnet School,0590311,179,185,364,2015,gender
Groton School District,0590011,Catherine Kolnaski Magnet School,0592011,179,185,364,2015,gender
Groton School District,0590011,Charles Barnum School,0591811,180,203,383,2015,gender
Groton School District,0590011,Claude Chester School,0590311,176,155,331,2015,gender
Groton School District,0590011,Mary Morrisson School,0591711,195,181,376,2015,gender
Groton School District,0590011,New Beginnings Alternative Program,0590211,9,13,22,2015,gender
Groton School District,0590011,Northeast Academy Elementary School,0591911,173,206,379,2015,gender
Groton School District,0590011,Pleasant Valley School,0591211,149,147,296,2015,gender
Groton School District,0590011,Robert E. Fitch High School,0596111,507,563,1070,2015,gender
Groton School District,0590011,S. B. Butler School,0590111,133,149,282,2015,gender
Groton School District,0590011,Virtual Learning Academy,0590611,0,*,*,2015,gender
Groton School District,0590011,West Side Middle School,0595211,231,224,455,2015,gender
Guilford School District,0600011,A. Baldwin Middle School,0600711,268,291,559,2015,gender
Guilford School District,0600011,A. W. Cox School,0600611,141,161,302,2015,gender
Guilford School District,0600011,Calvin Leete School,0600411,101,153,254,2015,gender
Guilford School District,0600011,E. C. Adams Middle School,0605111,277,275,552,2015,gender
Guilford School District,0600011,Guilford High School,0606111,533,550,1083,2015,gender
Guilford School District,0600011,Guilford Lakes School,0600211,153,169,322,2015,gender
Guilford School District,0600011,Melissa Jones School,0600311,163,158,321,2015,gender
Hamden School District,0620011,Alice Peck Learning Center,0628011,46,104,150,2015,gender
Hamden School District,0620011,Bear Path School,0621211,217,239,456,2015,gender
Hamden School District,0620011,Church Street School,0620211,161,172,333,2015,gender
Hamden School District,0620011,Dunbar Hill School,0620311,121,153,274,2015,gender
Hamden School District,0620011,Hamden Collaborative Learning Center,0620511,19,54,73,2015,gender
Hamden School District,0620011,Hamden High School,0626111,767,831,1598,2015,gender
Hamden School District,0620011,Hamden Middle School,0625211,405,411,816,2015,gender
Hamden School District,0620011,Helen Street School,0620411,147,169,316,2015,gender
Hamden School District,0620011,Ridge Hill School,0621111,153,164,317,2015,gender
Hamden School District,0620011,Shepherd Glen School,0620111,138,166,304,2015,gender
Hamden School District,0620011,Spring Glen School,0621011,223,222,445,2015,gender
Hamden School District,0620011,West Woods School,0621411,202,206,408,2015,gender
Hampton School District,0630011,Hampton Elementary School,0630111,40,61,101,2015,gender
Hartford School District,0640011,Asian Studies Academy,0640711,296,353,649,2015,gender
Hartford School District,0640011,Asian Studies Academy at Bellizzi School,0640711,296,353,649,2015,gender
Hartford School District,0640011,Autism Program - Dr. James H Naylor / CCSU,0645711,*,*,8,2015,gender
Hartford School District,0640011,Autism Program - Environmental Sciences Magnet School at Mary M Hooker,0644311,*,*,*,2015,gender
Hartford School District,0640011,Autism Program - Sarah J. Rawson Elementary School,0644411,*,*,45,2015,gender
Hartford School District,0640011,Autism Program - Simpson-Waverly,0649311,*,*,14,2015,gender
Hartford School District,0640011,Autism Program-Burr School,0648611,*,*,9,2015,gender
Hartford School District,0640011,Batchelder School,0640411,211,267,478,2015,gender
Hartford School District,0640011,Betances Early Reading Lab Magnet School,0642811,141,138,279,2015,gender
Hartford School District,0640011,Breakthrough II Elementary School,0643511,141,139,280,2015,gender
Hartford School District,0640011,Breakthrough II Magnet School,0643511,141,139,280,2015,gender
Hartford School District,0640011,Breakthrough Magnet School,0643311,191,164,355,2015,gender
Hartford School District,0640011,Bulkeley High School Lower School,0646111,179,233,412,2015,gender
Hartford School District,0640011,Bulkeley High School Upper School,0647111,173,206,379,2015,gender
Hartford School District,0640011,Burns Latino Studies Academy,0640611,242,278,520,2015,gender
Hartford School District,0640011,Burr School,0642311,270,320,590,2015,gender
Hartford School District,0640011,Capital Community College Magnet Academy,0643911,42,14,56,2015,gender
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,308,321,629,2015,gender
Hartford School District,0640011,Clark School,0642411,132,114,246,2015,gender
Hartford School District,0640011,Classical Magnet School,0646411,361,302,663,2015,gender
Hartford School District,0640011,Culinary Arts Academy,0646011,133,152,285,2015,gender
Hartford School District,0640011,DDP - Simpson-Waverly,0649411,0,*,*,2015,gender
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,325,335,660,2015,gender
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,141,138,279,2015,gender
Hartford School District,0640011,EDP - Betances Early Reading Lab,0645811,*,*,17,2015,gender
Hartford School District,0640011,EDP - Bulkeley High School,0648311,*,*,15,2015,gender
Hartford School District,0640011,EDP - HPHS Academy of Engineering and Green Technology,0648211,*,*,29,2015,gender
Hartford School District,0640011,EDP - M.D. Fox,0645911,6,28,34,2015,gender
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,*,*,9,2015,gender
Hartford School District,0640011,Early Childhood Development Center (ECDC),0644111,7,21,28,2015,gender
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,272,341,613,2015,gender
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,260,272,532,2015,gender
Hartford School District,0640011,Fred D. Wish Museum School,0642211,154,150,304,2015,gender
Hartford School District,0640011,Global Communications Academy,0643611,348,313,661,2015,gender
Hartford School District,0640011,Great Path Academy High School at MCC,0647911,162,106,268,2015,gender
Hartford School District,0640011,Great Path Academy at MCC,0647911,162,106,268,2015,gender
Hartford School District,0640011,HPHS Academy of Engineering and Green Technology,0647211,58,246,304,2015,gender
Hartford School District,0640011,HPHS Academy of Nursing and Health Science,0647511,261,101,362,2015,gender
Hartford School District,0640011,HPHS Law and Government Academy,0647411,157,210,367,2015,gender
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,562,460,1022,2015,gender
Hartford School District,0640011,Hartford PreKindergarten Magnet School,0641311,74,69,143,2015,gender
Hartford School District,0640011,High School Inc.,0647611,105,128,233,2015,gender
Hartford School District,0640011,"High School, Inc.",0647611,105,128,233,2015,gender
Hartford School District,0640011,High Step Transition,0648411,7,9,16,2015,gender
Hartford School District,0640011,IB Global Communications Academy,0643611,348,313,661,2015,gender
Hartford School District,0640011,Journalism and Media Academy Magnet School,0647711,133,74,207,2015,gender
Hartford School District,0640011,Kennelly School,0641011,274,297,571,2015,gender
Hartford School District,0640011,Kinsella Magnet School of Performing Arts,0641111,586,324,910,2015,gender
Hartford School District,0640011,LC - Breakthrough II,0649511,*,0,*,2015,gender
Hartford School District,0640011,LC - Burns,0649611,*,*,8,2015,gender
Hartford School District,0640011,LC - Moylan,0649811,*,*,*,2015,gender
Hartford School District,0640011,M. D. Fox Elementary School,0640811,312,309,621,2015,gender
Hartford School District,0640011,M. L. King School,0641611,157,199,356,2015,gender
Hartford School District,0640011,MDP - Batchelder School,0644811,9,8,17,2015,gender
Hartford School District,0640011,MDP - Bulkeley High School,0645011,*,*,17,2015,gender
Hartford School District,0640011,MDP - HPHS Law and Government Academy,0644911,11,16,27,2015,gender
Hartford School District,0640011,MDP - Moylan School,0648511,*,*,11,2015,gender
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,116,123,239,2015,gender
Hartford School District,0640011,Milner Elementary School,0641911,178,156,334,2015,gender
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,178,162,340,2015,gender
Hartford School District,0640011,Montessori Magnet at Fisher School,0643711,178,162,340,2015,gender
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,140,119,259,2015,gender
Hartford School District,0640011,Noah Webster Micro Society School,0642011,323,337,660,2015,gender
Hartford School District,0640011,Parkville Community School,0641511,254,283,537,2015,gender
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,124,295,419,2015,gender
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,586,324,910,2015,gender
Hartford School District,0640011,Renzulli Academy,0644011,55,44,99,2015,gender
Hartford School District,0640011,SAND School,0640111,184,210,394,2015,gender
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,150,217,367,2015,gender
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,118,191,309,2015,gender
Hartford School District,0640011,Sanchez School,0643011,255,225,480,2015,gender
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,176,197,373,2015,gender
Hartford School District,0640011,Simpson-Waverly School,0642611,155,138,293,2015,gender
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,307,400,707,2015,gender
Hartford School District,0640011,University High School of Science and Engineering,0646711,140,291,431,2015,gender
Hartford School District,0640011,University High of Science and Engineering,0646711,140,291,431,2015,gender
Hartford School District,0640011,West Middle School,0642111,171,188,359,2015,gender
Hartland School District,0650011,Hartland School,0650111,81,106,187,2015,gender
Hebron School District,0670011,Gilead Hill School,0670211,137,157,294,2015,gender
Hebron School District,0670011,Hebron Elementary School,0670111,204,232,436,2015,gender
Highville Charter School District,2860013,Highville Charter School,2860113,240,222,462,2015,gender
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,163,168,331,2015,gender
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,136,135,271,2015,gender
Jumoke Academy District,2610013,Jumoke Academy,2610113,397,337,734,2015,gender
Kent School District,0680011,Kent Center School,0680111,108,129,237,2015,gender
Killingly School District,0690011,Goodyear Early Childhood Center,0698011,57,73,130,2015,gender
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,9,7,16,2015,gender
Killingly School District,0690011,Killingly Central School,0690111,171,206,377,2015,gender
Killingly School District,0690011,Killingly High School,0696111,412,413,825,2015,gender
Killingly School District,0690011,Killingly Intermediate School,0695211,344,344,688,2015,gender
Killingly School District,0690011,Killingly Memorial School,0690311,259,225,484,2015,gender
Learn,2450014,Connecticut River Academy,2456014,244,190,434,2015,gender
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,77,68,145,2015,gender
Learn,2450014,Goodwin College Early Childhood Interdistrict Magnet School,2450314,185,185,370,2015,gender
Learn,2450014,LEARN ABA Program at Center School,2451214,*,*,*,2015,gender
Learn,2450014,LEARN Haynes Elementary Intensive Program,2451114,*,*,12,2015,gender
Learn,2450014,LEARN High School ABA at MS,2450614,*,*,*,2015,gender
Learn,2450014,LEARN Kelly Middle School Intensive Program,2450914,*,*,*,2015,gender
Learn,2450014,LEARN Ledyard RICHES Program,2450714,*,*,*,2015,gender
Learn,2450014,LEARN SAILS Middle School Program,2450814,0,*,*,2015,gender
Learn,2450014,LEARN SAILS Program at Salem,2451014,*,*,8,2015,gender
Learn,2450014,LEARN STS 18-21 Year Old Program,2450414,*,*,*,2015,gender
Learn,2450014,Learn ABA Program at Center School,2451214,*,*,*,2015,gender
Learn,2450014,Learn Pathways Program,2450514,0,*,*,2015,gender
Learn,2450014,Learn SAILS Program at Salem,2451014,*,*,8,2015,gender
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,146,125,271,2015,gender
Learn,2450014,Regional Multicultural Magnet School,2450114,267,268,535,2015,gender
Learn,2450014,The Friendship School,2450214,262,243,505,2015,gender
Learn,2450014,Three Rivers Middle College Magnet School,2456214,45,22,67,2015,gender
Lebanon School District,0710011,Lebanon Elementary School,0710111,165,203,368,2015,gender
Lebanon School District,0710011,Lebanon Middle School,0715111,150,150,300,2015,gender
Lebanon School District,0710011,Lyman Memorial High School,0716211,203,174,377,2015,gender
Ledyard School District,0720011,Gales Ferry School,0720211,117,107,224,2015,gender
Ledyard School District,0720011,Gallup Hill School,0720411,163,174,337,2015,gender
Ledyard School District,0720011,Juliet W. Long School,0720311,141,153,294,2015,gender
Ledyard School District,0720011,Ledyard Center School,0720111,179,228,407,2015,gender
Ledyard School District,0720011,Ledyard High School,0726111,453,380,833,2015,gender
Ledyard School District,0720011,Ledyard Middle School,0725111,145,178,323,2015,gender
Lisbon School District,0730011,Lisbon Central School,0730111,197,191,388,2015,gender
Litchfield School District,0740011,Center School,0740211,125,145,270,2015,gender
Litchfield School District,0740011,Litchfield High School,0746111,132,164,296,2015,gender
Litchfield School District,0740011,Litchfield Intermediate School,0740311,103,117,220,2015,gender
Litchfield School District,0740011,Litchfield Middle School,0746011,91,84,175,2015,gender
Madison School District,0760011,Daniel Hand High School,0766111,567,597,1164,2015,gender
Madison School District,0760011,Dr. Robert H. Brown Middle School,0760611,178,238,416,2015,gender
Madison School District,0760011,Island Avenue Elementary School,0760211,130,138,268,2015,gender
Madison School District,0760011,J. Milton Jeffrey Elementary School,0760111,156,182,338,2015,gender
Madison School District,0760011,Kathleen H. Ryerson Elementary School,0760311,106,123,229,2015,gender
Madison School District,0760011,Town Campus Learning Center,0769011,15,28,43,2015,gender
Madison School District,0760011,Walter C. Polson Upper Middle School,0765211,277,279,556,2015,gender
Manchester School District,0770011,Bentley Alternative Education Program,0770211,24,29,53,2015,gender
Manchester School District,0770011,Bowers School,0770111,175,217,392,2015,gender
Manchester School District,0770011,Buckley School,0770311,163,202,365,2015,gender
Manchester School District,0770011,Elisabeth M. Bennet Academy,0771711,211,209,420,2015,gender
Manchester School District,0770011,Highland Park School,0770411,138,124,262,2015,gender
Manchester School District,0770011,Illing Middle School,0775311,388,392,780,2015,gender
Manchester School District,0770011,Keeney School,0770611,185,169,354,2015,gender
Manchester School District,0770011,Manchester High School,0776111,783,751,1534,2015,gender
Manchester School District,0770011,Manchester Preschool - Site 2,0770811,*,*,16,2015,gender
Manchester School District,0770011,Manchester Preschool Center,0778011,86,100,186,2015,gender
Manchester School District,0770011,Manchester Regional Academy,0779011,20,47,67,2015,gender
Manchester School District,0770011,Manchester Transition Center,0779111,*,*,13,2015,gender
Manchester School District,0770011,Martin School,0771611,139,129,268,2015,gender
Manchester School District,0770011,New Horizons,0770711,*,*,22,2015,gender
Manchester School District,0770011,Robertson School,0771011,180,176,356,2015,gender
Manchester School District,0770011,Verplanck School,0771211,186,200,386,2015,gender
Manchester School District,0770011,Waddell School,0771311,184,193,377,2015,gender
Manchester School District,0770011,Washington School,0771411,176,181,357,2015,gender
Mansfield School District,0780011,Annie E. Vinton School,0780411,126,142,268,2015,gender
Mansfield School District,0780011,Dorothy C. Goodwin School,0780211,96,111,207,2015,gender
Mansfield School District,0780011,Mansfield Middle School School,0785111,244,286,530,2015,gender
Mansfield School District,0780011,Southeast Elementary School,0780511,136,106,242,2015,gender
Marlborough School District,0790011,Elmer Thienes-Mary Hall Elementary School,0790111,255,301,556,2015,gender
Meriden School District,0800011,Nathan Hale School,0800711,302,328,630,2015,gender
Meriden School District,0800011,Benjamin Franklin School,0800111,172,174,346,2015,gender
Meriden School District,0800011,Casimir Pulaski School,0801111,279,278,557,2015,gender
Meriden School District,0800011,Community Classroom Collaborative-Meriden School District,0800211,*,*,11,2015,gender
Meriden School District,0800011,Francis T. Maloney High School,0806111,568,609,1177,2015,gender
Meriden School District,0800011,Hanover School,0800311,297,319,616,2015,gender
Meriden School District,0800011,Israel Putnam School,0800411,313,275,588,2015,gender
Meriden School District,0800011,John Barry School,0800511,230,246,476,2015,gender
Meriden School District,0800011,Lincoln Middle School,0805211,390,353,743,2015,gender
Meriden School District,0800011,Orville H. Platt High School,0806211,495,518,1013,2015,gender
Meriden School District,0800011,Roger Sherman School,0800811,249,310,559,2015,gender
Meriden School District,0800011,STARS-Meriden School District,0800611,7,32,39,2015,gender
Meriden School District,0800011,STEP-Meriden School District,0800911,*,*,19,2015,gender
Meriden School District,0800011,Steps-Meriden School District,0801211,*,*,16,2015,gender
Meriden School District,0800011,Thomas Hooker School,0801011,199,222,421,2015,gender
Meriden School District,0800011,Venture Academy-Meriden School District,0801311,8,34,42,2015,gender
Meriden School District,0800011,Washington Middle School,0805411,325,349,674,2015,gender
Middletown School District,0830011,Bielefield School,0830211,148,141,289,2015,gender
Middletown School District,0830011,Evening Program - MHS,0831611,*,*,11,2015,gender
Middletown School District,0830011,Farm Hill School,0830511,186,151,337,2015,gender
Middletown School District,0830011,ICM - Farm Hill,0830611,0,*,*,2015,gender
Middletown School District,0830011,ICM - Lawrence,0830711,0,*,*,2015,gender
Middletown School District,0830011,ICM - Spencer,0832011,*,*,7,2015,gender
Middletown School District,0830011,ICM - Wesley,0830811,*,*,*,2015,gender
Middletown School District,0830011,ICM- Woodrow Wilson Middle School,0830411,*,*,6,2015,gender
Middletown School District,0830011,Keigwin Middle School,0831511,139,173,312,2015,gender
Middletown School District,0830011,Lawrence School,0831311,139,141,280,2015,gender
Middletown School District,0830011,MHS - Alternative Education Program 1,0831811,*,*,8,2015,gender
Middletown School District,0830011,MHS - Alternative Education Program 2,0831911,0,7,7,2015,gender
Middletown School District,0830011,MHS- Alternative Education Program 3,0832211,*,*,*,2015,gender
Middletown School District,0830011,MacDonough School,0830911,102,106,208,2015,gender
Middletown School District,0830011,Middletown High School,0836211,589,613,1202,2015,gender
Middletown School District,0830011,Moody School,0831211,122,139,261,2015,gender
Middletown School District,0830011,OASIS,0830311,0,*,*,2015,gender
Middletown School District,0830011,STEM - Macdonough,0832111,13,7,20,2015,gender
Middletown School District,0830011,Snow School,0831111,178,215,393,2015,gender
Middletown School District,0830011,Spencer School,0830111,134,159,293,2015,gender
Middletown School District,0830011,Transition to Life Center,0839111,6,19,25,2015,gender
Middletown School District,0830011,Virtual Learning Academy - MHS,0831711,*,*,11,2015,gender
Middletown School District,0830011,Wesley School,0831411,125,142,267,2015,gender
Middletown School District,0830011,Woodrow Wilson Middle School,0835411,353,317,670,2015,gender
Milford School District,0840011,Calf Pen Meadow School,0840111,146,147,293,2015,gender
Milford School District,0840011,East Shore Middle School,0845111,235,221,456,2015,gender
Milford School District,0840011,Harborside Middle School,0845211,231,305,536,2015,gender
Milford School District,0840011,J. F. Kennedy School,0841911,180,198,378,2015,gender
Milford School District,0840011,Jonathan Law High School,0846211,469,471,940,2015,gender
Milford School District,0840011,Joseph A. Foran High School,0846311,442,478,920,2015,gender
Milford School District,0840011,Live Oaks School,0841611,158,157,315,2015,gender
Milford School District,0840011,Mathewson School,0841711,191,223,414,2015,gender
Milford School District,0840011,Meadowside School,0840711,161,154,315,2015,gender
Milford School District,0840011,Orange Avenue School,0840811,173,236,409,2015,gender
Milford School District,0840011,Orchard Hills School,0841811,171,199,370,2015,gender
Milford School District,0840011,Pumpkin Delight School,0841011,131,149,280,2015,gender
Milford School District,0840011,The Academy,0840311,17,30,47,2015,gender
Milford School District,0840011,West Shore Middle School,0845311,217,233,450,2015,gender
Monroe School District,0850011,Fawn Hollow Elementary School,0850511,239,258,497,2015,gender
Monroe School District,0850011,Jockey Hollow School,0855211,379,401,780,2015,gender
Monroe School District,0850011,Masuk Alternative Program,0850211,*,*,13,2015,gender
Monroe School District,0850011,Masuk High School,0856111,533,559,1092,2015,gender
Monroe School District,0850011,Monroe Elementary School,0850111,182,172,354,2015,gender
Monroe School District,0850011,REAL,0850411,0,*,*,2015,gender
Monroe School District,0850011,Stepney Elementary School,0850311,226,204,430,2015,gender
Montville School District,0860011,Dr. Charles E. Murphy School,0860711,161,181,342,2015,gender
Montville School District,0860011,Leonard J. Tyl Middle School,0865111,266,285,551,2015,gender
Montville School District,0860011,Mohegan School,0860111,166,167,333,2015,gender
Montville School District,0860011,Montville High School,0866111,341,313,654,2015,gender
Montville School District,0860011,Oakdale School,0860511,132,165,297,2015,gender
Montville School District,0860011,Palmer Academy,0869011,8,20,28,2015,gender
Montville School District,0860011,Pre School Program,0860311,17,23,40,2015,gender
Naugatuck School District,0880011,Andrew Avenue School,0880811,133,139,272,2015,gender
Naugatuck School District,0880011,Central Avenue Preschool,0888211,7,23,30,2015,gender
Naugatuck School District,0880011,City Hill Middle School,0885111,296,379,675,2015,gender
Naugatuck School District,0880011,Cross Street Intermediate School,0880211,146,166,312,2015,gender
Naugatuck School District,0880011,Genesis Academy,0880911,*,*,11,2015,gender
Naugatuck School District,0880011,Head Start,0888111,69,49,118,2015,gender
Naugatuck School District,0880011,Hillside Intermediate School,0880411,143,169,312,2015,gender
Naugatuck School District,0880011,Hop Brook Elementary School,0880511,134,176,310,2015,gender
Naugatuck School District,0880011,Maple Hill School,0880311,211,239,450,2015,gender
Naugatuck School District,0880011,Naugatuck High School,0886111,554,644,1198,2015,gender
Naugatuck School District,0880011,Salem School,0880611,123,143,266,2015,gender
Naugatuck School District,0880011,Western School,0880711,137,144,281,2015,gender
"New Beginnings Inc., Family Academy District",2800013,New Beginnings Inc Family Academy,2800113,248,251,499,2015,gender
"New Beginnings Inc., Family Academy District",2800013,New Beginnings Inc. Family Academy,2800113,248,251,499,2015,gender
"New Beginnings Inc., Family Academy District",2800013,"New Beginnings Inc., Family Academy",2800113,248,251,499,2015,gender
New Britain School District,0890011,Alternative Center School,0899111,19,32,51,2015,gender
New Britain School District,0890011,Behavior Support,0891011,*,*,11,2015,gender
New Britain School District,0890011,CLIMB,0899411,6,12,18,2015,gender
New Britain School District,0890011,Chamberlain  Elementary School,0890311,231,236,467,2015,gender
New Britain School District,0890011,Frank J. DiLoreto School,0891111,419,372,791,2015,gender
New Britain School District,0890011,Gaffney School,0890511,249,329,578,2015,gender
New Britain School District,0890011,Holmes School,0890611,220,241,461,2015,gender
New Britain School District,0890011,House of Arts Letters and Science (HALS)  Academy,0895411,72,77,149,2015,gender
New Britain School District,0890011,Jefferson School,0890711,220,222,442,2015,gender
New Britain School District,0890011,KEY Elementary,0891611,12,32,44,2015,gender
New Britain School District,0890011,KEY Middle,0891711,0,12,12,2015,gender
New Britain School District,0890011,Lincoln School,0890811,326,362,688,2015,gender
New Britain School District,0890011,New Britain High School,0896111,1177,1283,2460,2015,gender
New Britain School District,0890011,New Britain Transition Center,0899011,13,25,38,2015,gender
New Britain School District,0890011,Northend School,0890911,144,141,285,2015,gender
New Britain School District,0890011,Preschool at Roosevelt,0890111,61,76,137,2015,gender
New Britain School District,0890011,Pulaski Middle School,0895311,337,429,766,2015,gender
New Britain School District,0890011,STEPS,0891811,*,*,36,2015,gender
New Britain School District,0890011,Slade Middle School,0895211,333,400,733,2015,gender
New Britain School District,0890011,Smalley Academy,0891211,327,351,678,2015,gender
New Britain School District,0890011,Smith School,0891311,280,300,580,2015,gender
