district,district_code,school,school_code,female,male,total,year,group
Brookfield School District,0180011,Whisconier Middle School,0185311,417,438,855,2015,gender
Brooklyn School District,0190011,Brooklyn Elementary School,0190111,239,282,521,2015,gender
Brooklyn School District,0190011,Brooklyn Middle School,0195111,199,178,377,2015,gender
Canaan School District,0210011,Lee H. Kellogg School,0210111,38,38,76,2015,gender
Canterbury School District,0220011,Canterbury Elementary School,0220211,119,142,261,2015,gender
Canterbury School District,0220011,Dr. Helen Baldwin Middle School,0225111,95,135,230,2015,gender
Canton School District,0230011,Canton Academy,0230411,0,*,*,2015,gender
Canton School District,0230011,Canton High School,0236111,247,241,488,2015,gender
Canton School District,0230011,Canton Intermediate School,0230311,195,205,400,2015,gender
Canton School District,0230011,Canton Middle School,0235111,151,133,284,2015,gender
Canton School District,0230011,Cherry Brook Primary School,0230211,237,214,451,2015,gender
Capital Preparatory Harbor School Inc. District,2970013,Capital Preparatory Harbor School Inc.,2970113,103,146,249,2015,gender
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering,2415114,187,515,702,2015,gender
Capitol Region Education Council,2410014,Academy of Aerospace and Engineering Elementary,2410714,152,191,343,2015,gender
Capitol Region Education Council,2410014,Academy of Science and Innovation,2416514,390,127,517,2015,gender
Capitol Region Education Council,2410014,Ana Grace Academy of the Arts Elementary School,2410614,195,159,354,2015,gender
Capitol Region Education Council,2410014,CREC Discovery Academy,2418114,180,225,405,2015,gender
Capitol Region Education Council,2410014,CREC Medical Professions and Teacher Preparation Academy,2416514,390,127,517,2015,gender
Capitol Region Education Council,2410014,Discovery Academy,2418114,180,225,405,2015,gender
Capitol Region Education Council,2410014,Farmington Valley Regional Diagnostic Center,2419214,10,6,16,2015,gender
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,199,252,451,2015,gender
Capitol Region Education Council,2410014,Greater Hartford Academy of  the Arts High School - Full Time,2416414,322,118,440,2015,gender
Capitol Region Education Council,2410014,Greater Hartford Academy of the Arts Magnet Middle,2415314,231,106,337,2015,gender
Capitol Region Education Council,2410014,Integrated Program Models,2419414,*,*,*,2015,gender
Capitol Region Education Council,2410014,International Magnet School for Global Citizenship,2410414,224,243,467,2015,gender
Capitol Region Education Council,2410014,John J. Allison Polaris Center,2419014,21,36,57,2015,gender
Capitol Region Education Council,2410014,Lincoln Academy Regional Interdistrict Collaborative,2419614,*,*,12,2015,gender
Capitol Region Education Council,2410014,Medical Professions and Teacher Preparation Academy,2416514,390,127,517,2015,gender
Capitol Region Education Council,2410014,Metropolitan Learning Center for Global and International Studies,2416114,385,341,726,2015,gender
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,179,175,354,2015,gender
Capitol Region Education Council,2410014,Museum Academy,2410514,241,227,468,2015,gender
Capitol Region Education Council,2410014,Public Safety Academy,2415214,143,312,455,2015,gender
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,224,231,455,2015,gender
Capitol Region Education Council,2410014,River Street Early Learning Center (Site 2),2419514,17,49,66,2015,gender
Capitol Region Education Council,2410014,River Street School,2419314,21,119,140,2015,gender
Capitol Region Education Council,2410014,STRIVE (Southern Transition Real-World and Independent Vocational Education Program,2419714,*,*,8,2015,gender
Capitol Region Education Council,2410014,Soundbridge,2419114,16,26,42,2015,gender
Capitol Region Education Council,2410014,Soundbridge @ Academy of Aerospace & Engineering Elementary,2411114,*,*,7,2015,gender
Capitol Region Education Council,2410014,Soundbridge @ Museum Academy,2411214,*,*,8,2015,gender
Capitol Region Education Council,2410014,Soundbridge @ Wethersfield High School,2411014,*,*,9,2015,gender
Capitol Region Education Council,2410014,Strive (Southern Transition Real-World and Independent Vocational Education Program,2419714,*,*,8,2015,gender
Capitol Region Education Council,2410014,Two Rivers Magnet High School,2416714,186,213,399,2015,gender
Capitol Region Education Council,2410014,Two Rivers Magnet Middle School,2415014,239,415,654,2015,gender
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,241,216,457,2015,gender
Chaplin School District,0240011,Chaplin Elementary School,0240211,79,97,176,2015,gender
Cheshire School District,0250011,Chapman School,0250111,170,174,344,2015,gender
Cheshire School District,0250011,Cheshire High School,0256111,696,785,1481,2015,gender
Cheshire School District,0250011,Cheshire Quinnipiac University Transition Collaborative,0250311,*,*,10,2015,gender
Cheshire School District,0250011,Darcey School,0250211,53,94,147,2015,gender
Cheshire School District,0250011,Dodd Middle School,0255111,378,341,719,2015,gender
Cheshire School District,0250011,Doolittle School,0250611,251,229,480,2015,gender
Cheshire School District,0250011,Highland School,0250411,358,393,751,2015,gender
Cheshire School District,0250011,Humiston Alternative School,0250911,7,11,18,2015,gender
Cheshire School District,0250011,Norton School,0250511,222,223,445,2015,gender
Chester School District,0260011,Chester Elementary School,0260111,122,89,211,2015,gender
Clinton School District,0270011,Abraham Pierson School,0270111,158,154,312,2015,gender
Clinton School District,0270011,Jared Eliot School,0275111,214,238,452,2015,gender
Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,256,266,522,2015,gender
Clinton School District,0270011,The Morgan School,0276111,271,262,533,2015,gender
Colchester School District,0280011,Bacon Academy,0286111,429,406,835,2015,gender
Colchester School District,0280011,Bacon Academy Alternative Education,0280511,*,*,15,2015,gender
Colchester School District,0280011,Colchester Elementary School,0280411,278,292,570,2015,gender
Colchester School District,0280011,Jack Jackter Intermediate School,0280211,259,272,531,2015,gender
Colchester School District,0280011,William J. Johnston Middle School,0285111,293,307,600,2015,gender
Colebrook School District,0290011,Colebrook Consolidated School,0290111,37,47,84,2015,gender
Columbia School District,0300011,Horace W. Porter School,0300111,212,233,445,2015,gender
Common Ground High School District,2680013,Common Ground High School,2686113,79,107,186,2015,gender
Connecticut Technical High School System,9000016,A. I. Prince Technical High School,9001516,407,361,768,2015,gender
