district,school,language,total_enrollment,els,school_code,check_sch_col,check_dist_col
Greenwich School District,Hamilton Avenue School,Polish,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Arabic,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Farsi,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,French,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Creole-Haitian,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Hungarian,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Japanese,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Russian,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Slovak,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Pilipino (Filipino),<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Mandarin,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,Hamilton Avenue School,Tagalog,<=5,<=5,0570511,Hamilton Avenue School,Greenwich School District
Greenwich School District,New Lebanon School,Spanish,109,52,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Portuguese,8,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Gujarati,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Japanese,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Malayalam,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Russian,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Luganda,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Mandarin,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,New Lebanon School,Tagalog,<=5,<=5,0570611,New Lebanon School,Greenwich School District
Greenwich School District,North Mianus School,Spanish,43,14,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Portuguese,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Danish,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Dutch,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,French,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Hindi,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Hungarian,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Japanese,16,13,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Hebrew,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Russian,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Cantonese,<=5,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Mianus School,Mandarin,13,<=5,0570711,North Mianus School,Greenwich School District
Greenwich School District,North Street School,Spanish,16,7,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Portuguese,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Italian,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Albanian,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,German,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Japanese,12,11,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Russian,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Swedish,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Telugu,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,North Street School,Mandarin,<=5,<=5,0570811,North Street School,Greenwich School District
Greenwich School District,Old Greenwich School,Spanish,24,7,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Portuguese,10,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Italian,<=5,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Dutch,14,7,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,French,<=5,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,German,<=5,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Japanese,<=5,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Russian,<=5,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Swedish,6,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Old Greenwich School,Mandarin,<=5,<=5,0570911,Old Greenwich School,Greenwich School District
Greenwich School District,Riverside School,Spanish,86,36,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Portuguese,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Dutch,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,French,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,German,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Gujarati,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Hindi,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Japanese,11,6,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Russian,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Turkish,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Riverside School,Mandarin,<=5,<=5,0571011,Riverside School,Greenwich School District
Greenwich School District,Parkway School,Spanish,13,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,Portuguese,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,Polish,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,French,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,German,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,Hungarian,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,Russian,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,Parkway School,Mandarin,<=5,<=5,0571111,Parkway School,Greenwich School District
Greenwich School District,International School At Dundee,Spanish,22,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Portuguese,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Italian,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Danish,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,German,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Hungarian,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Konkani,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Japanese,14,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Marathi,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Russian,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Cantonese,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Catalan,<=5,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,International School At Dundee,Mandarin,14,<=5,0571311,International School At Dundee,Greenwich School District
Greenwich School District,Alternative High School Programs,Spanish,11,<=5,,,
Greenwich School District,Alternative High School Programs,Portuguese,<=5,<=5,,,
Greenwich School District,Central Middle School,Spanish,40,7,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Portuguese,8,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Italian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Polish,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Albanian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Bulgarian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Dutch,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,French,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,German,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Creole-Haitian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Japanese,17,9,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Malayalam,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Rumanian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Russian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Serbo-Croatian,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Swedish,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Pilipino (Filipino),<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Urdu,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Cantonese,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Mandarin,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Mandingo,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Central Middle School,Tagalog,<=5,<=5,0575111,Central Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Spanish,53,7,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Portuguese,6,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Italian,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Polish,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Greek,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Albanian,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Danish,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Dutch,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,French,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,German,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Hindi,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Japanese,23,14,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Hebrew,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Russian,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Swedish,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Catalan,<=5,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Eastern Middle School,Mandarin,9,<=5,0575211,Eastern Middle School,Greenwich School District
Greenwich School District,Western Middle School,Spanish,98,32,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Portuguese,11,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Polish,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Albanian,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Armenian,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,French,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Japanese,6,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Russian,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Turkish,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Luganda,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Persian,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Western Middle School,Tagalog,<=5,<=5,0575311,Western Middle School,Greenwich School District
Greenwich School District,Greenwich High School,Spanish,250,56,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Portuguese,34,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Italian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Polish,9,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Greek,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Albanian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Arabic,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Armenian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Bulgarian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Danish,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Dutch,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Farsi,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,French,15,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,German,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Gujarati,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Creole-Haitian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Hindi,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Icelandic,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Japanese,42,21,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Korean,6,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Hebrew,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Malayalam,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Norwegian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Russian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Serbo-Croatian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Slovak,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Swedish,9,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Pilipino (Filipino),<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Tamil,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Turkish,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Ukrainian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Urdu,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Kinyarwanda,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Mandarin,8,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Tibetan,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Persian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Mandingo,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Tagalog,13,<=5,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Georgian,<=5,<=5,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold Alternative School,Spanish,<=5,<=5,0580111,Griswold Alternative School,Griswold School District
Griswold School District,Griswold Elementary School,Spanish,<=5,<=5,0580311,Griswold Elementary School,Griswold School District
Griswold School District,Griswold Elementary School,Gujarati,6,6,0580311,Griswold Elementary School,Griswold School District
Griswold School District,Griswold Elementary School,Creole-Haitian,<=5,<=5,0580311,Griswold Elementary School,Griswold School District
Griswold School District,Griswold Elementary School,Japanese,<=5,<=5,0580311,Griswold Elementary School,Griswold School District
Griswold School District,Griswold Elementary School,Bangla,<=5,<=5,0580311,Griswold Elementary School,Griswold School District
Griswold School District,Griswold Middle School,Spanish,7,<=5,0585111,Griswold Middle School,Griswold School District
Griswold School District,Griswold Middle School,Gujarati,<=5,<=5,0585111,Griswold Middle School,Griswold School District
Griswold School District,Griswold Middle School,Hindi,<=5,<=5,0585111,Griswold Middle School,Griswold School District
Griswold School District,Griswold Middle School,Cantonese,<=5,<=5,0585111,Griswold Middle School,Griswold School District
Griswold School District,Griswold Middle School,Mandarin,<=5,<=5,0585111,Griswold Middle School,Griswold School District
Griswold School District,Griswold High School,Spanish,<=5,<=5,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Albanian,<=5,<=5,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,French,<=5,<=5,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Gujarati,<=5,<=5,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Hindi,<=5,<=5,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Cantonese,<=5,<=5,0586211,Griswold High School,Griswold School District
Groton School District,S. B. Butler School,Spanish,13,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Albanian,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Gujarati,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Japanese,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Turkish,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Urdu,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Mandarin,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,S. B. Butler School,Tagalog,<=5,<=5,0590111,S. B. Butler School,Groton School District
Groton School District,Claude Chester School,Spanish,25,7,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Portuguese,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Gujarati,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Creole-Haitian,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Hindi,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Pashto,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Pilipino (Filipino),<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Thai,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Urdu,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Vietnamese,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Cantonese,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Claude Chester School,Mandarin,<=5,<=5,0590311,Claude Chester School,Groton School District
Groton School District,Pleasant Valley School,Spanish,6,<=5,0591211,Pleasant Valley School,Groton School District
Groton School District,Pleasant Valley School,Arabic,<=5,<=5,0591211,Pleasant Valley School,Groton School District
Groton School District,Pleasant Valley School,Japanese,<=5,<=5,0591211,Pleasant Valley School,Groton School District
Groton School District,Pleasant Valley School,Telugu,<=5,<=5,0591211,Pleasant Valley School,Groton School District
Groton School District,Pleasant Valley School,Cantonese,<=5,<=5,0591211,Pleasant Valley School,Groton School District
Groton School District,Mary Morrisson School,Spanish,18,8,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Albanian,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Bengali,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,French,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Hausa,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Hindi,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Japanese,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Kannada,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Pashto,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Russian,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Telugu,6,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Urdu,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Vietnamese,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Tulu,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Persian,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Morphlokese,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Mary Morrisson School,Tagalog,<=5,<=5,0591711,Mary Morrisson School,Groton School District
Groton School District,Charles Barnum School,Spanish,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Hmong,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Italian,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Arabic,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Bengali,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Japanese,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Malayalam,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Tamil,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Telugu,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Urdu,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Charles Barnum School,Tagalog,<=5,<=5,0591811,Charles Barnum School,Groton School District
Groton School District,Northeast Academy Elementary School,Spanish,6,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Northeast Academy Elementary School,Gujarati,<=5,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Northeast Academy Elementary School,Hindi,<=5,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Northeast Academy Elementary School,Korean,<=5,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Northeast Academy Elementary School,Pilipino (Filipino),<=5,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Northeast Academy Elementary School,Turkish,<=5,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Northeast Academy Elementary School,Cantonese,<=5,<=5,0591911,Northeast Academy Elementary School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Spanish,36,7,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Arabic,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Gujarati,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Creole-Haitian,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Hindi,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Telugu,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Turkish,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Urdu,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Burmese,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Cantonese,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Mandarin,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,Catherine Kolnaski Magnet School,Fujianese,<=5,<=5,0592011,Catherine Kolnaski Magnet School,Groton School District
Groton School District,West Side Middle School,Spanish,39,17,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,Arabic,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,French,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,Gujarati,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,Telugu,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,Urdu,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,Vietnamese,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,West Side Middle School,Cantonese,<=5,<=5,0595211,West Side Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Spanish,14,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Portuguese,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,French,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Hindi,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Japanese,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Korean,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Pilipino (Filipino),6,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Telugu,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Turkish,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Urdu,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Cantonese,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
Groton School District,Carl C. Cutler Middle School,Mandarin,<=5,<=5,0595311,Carl C. Cutler Middle School,Groton School District
