"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0116111","0110011","Bloomfield School District","Bloomfield High School","ELL","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Non-ELL","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","ELL","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Non-ELL","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","ELL","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Non-ELL","*","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","ELL","","","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Non-ELL","","14.0","*","*","*"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","ELL","*","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Non-ELL","*","","","",""
"0110611","0110011","Bloomfield School District","Laurel School","ELL","","*","*","*","*"
"0110611","0110011","Bloomfield School District","Laurel School","Non-ELL","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","ELL","","","","*",""
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Non-ELL","","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","ELL","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Non-ELL","*","*","*","*","*"
"3480415","0110011","Bloomfield School District","SAGE","Non-ELL","","","","","*"
"0116211","0110011","Bloomfield School District","The Big Picture High School","Non-ELL","7.1","","","",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","ELL","","","*","*",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Non-ELL","6.2","10.2","*","*","11.7"
"0120111","0120011","Bolton School District","Bolton Center School","ELL","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Non-ELL","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Non-ELL","3.0","3.1","4.5","5.3","2.3"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Non-ELL","","","","30.4","20.2"
"0130111","0130011","Bozrah School District","Fields Memorial School","ELL","","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Non-ELL","5.3","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","ELL","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Non-ELL","*","*","*","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Non-ELL","","","","56.3","74.0"
"3480115","0140011","Branford School District","Bridgeport Detention Center","Non-ELL","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","ELL","*","*","0.0","*","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Non-ELL","*","*","6.9","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","ELL","*","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Non-ELL","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","ELL","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Non-ELL","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","ELL","*","*","*","*","12.2"
"0141411","0140011","Branford School District","Mary T. Murphy School","Non-ELL","*","*","*","*","9.1"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Non-ELL","","","12.3","10.5","7.4"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","ELL","*","*","*","*","5.7"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-ELL","*","*","*","*","4.5"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","ELL","","","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Non-ELL","","","*","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","ELL","20.7","16.7","19.3","16.2","19.4"
"0150111","0150011","Bridgeport School District","Barnum School","Non-ELL","22.8","25.3","27.1","22.8","25.7"
"0156111","0150011","Bridgeport School District","Bassick High School","ELL","35.3","45.0","37.7","37.8","33.1"
"0156111","0150011","Bridgeport School District","Bassick High School","Non-ELL","39.7","38.3","42.1","44.0","44.1"
"0150211","0150011","Bridgeport School District","Beardsley School","ELL","13.3","*","*","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Non-ELL","19.3","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELL","","","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Non-ELL","","","*","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","ELL","*","*","*","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","Non-ELL","14.6","18.6","13.6","11.5","7.2"
"0154011","0150011","Bridgeport School District","Blackham School","ELL","13.0","16.7","15.8","10.1","11.5"
"0154011","0150011","Bridgeport School District","Blackham School","Non-ELL","13.7","15.5","17.5","14.7","12.5"
