"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"0435111","0430011","East Hartford School District","East Hartford Middle School","ELL","8.3","41.6","12.8","17.7","13.6"
"0435111","0430011","East Hartford School District","East Hartford Middle School","Non-ELL","6.7","31.3","15.7","11.2","9.1"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","ELL","*","*","*","*","*"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","Non-ELL","*","*","*","*","*"
"3480315","0430011","East Hartford School District","Hartford Detention Center","Non-ELL","","","","","*"
"0430511","0430011","East Hartford School District","Hockanum School","ELL","27.6","37.9","33.3","*","*"
"0430511","0430011","East Hartford School District","Hockanum School","Non-ELL","14.8","13.6","11.8","*","*"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","ELL","*","*","*","33.3","*"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","Non-ELL","*","*","*","12.4","*"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","ELL","*","18.3","18.5","17.6","8.0"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","Non-ELL","*","12.5","13.0","16.2","7.6"
"0431211","0430011","East Hartford School District","Silver Lane School","ELL","0.0","*","*","30.4","*"
"0431211","0430011","East Hartford School District","Silver Lane School","Non-ELL","2.6","*","*","20.2","*"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","ELL","*","*","*","*","*"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","Non-ELL","*","*","*","*","*"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","ELL","*","0.0","*","*","*"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","Non-ELL","*","7.5","*","*","*"
"0439011","0430011","East Hartford School District","Woodland School","ELL","*","*","*","*","*"
"0439011","0430011","East Hartford School District","Woodland School","Non-ELL","*","*","*","*","*"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","ELL","*","*","*","*","*"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","Non-ELL","*","*","*","*","*"
"0441411","0440011","East Haven School District","D. C. Moore School","ELL","*","0.0","*","*","0.0"
"0441411","0440011","East Haven School District","D. C. Moore School","Non-ELL","*","5.8","*","*","7.0"
"0440111","0440011","East Haven School District","Deer Run School","ELL","18.2","*","*","0.0","*"
"0440111","0440011","East Haven School District","Deer Run School","Non-ELL","9.3","*","*","8.8","*"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","ELL","*","*","*","*","*"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","Non-ELL","*","*","*","*","*"
"0446111","0440011","East Haven School District","East Haven High School","ELL","26.1","*","*","16.2","*"
"0446111","0440011","East Haven School District","East Haven High School","Non-ELL","28.3","*","*","20.9","*"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","ELL","0.0","*","*","0.0","0.0"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","Non-ELL","*","*","*","5.5","7.1"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","ELL","*","*","0.0","0.0","0.0"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","Non-ELL","*","*","0.0","0.0","0.0"
"0440711","0440011","East Haven School District","Momauguin School","ELL","*","*","*","*","*"
"0440711","0440011","East Haven School District","Momauguin School","Non-ELL","*","*","*","*","*"
"0441811","0440011","East Haven School District","Overbrook Elementary School","ELL","*","*","*","*","*"
"0441811","0440011","East Haven School District","Overbrook Elementary School","Non-ELL","*","*","*","*","*"
"0449011","0440011","East Haven School District","Pathways","Non-ELL","95.7","54.2","47.1","",""
"0450611","0450011","East Lyme School District","Coastal Connections","Non-ELL","","","","*","53.8"
"0456111","0450011","East Lyme School District","East Lyme High School","ELL","*","*","*","*","*"
"0456111","0450011","East Lyme School District","East Lyme High School","Non-ELL","*","*","*","*","*"
"0455111","0450011","East Lyme School District","East Lyme Middle School","ELL","*","*","*","*","*"
"0455111","0450011","East Lyme School District","East Lyme Middle School","Non-ELL","*","*","*","*","*"
"0450111","0450011","East Lyme School District","Flanders School","ELL","*","*","*","*","*"
"0450111","0450011","East Lyme School District","Flanders School","Non-ELL","*","*","*","*","*"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","ELL","*","*","*","*","*"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","Non-ELL","*","*","*","*","*"
"0450711","0450011","East Lyme School District","Medically Fragile Program (WAVES)","Non-ELL","","","","*","*"
"0450211","0450011","East Lyme School District","Niantic Center School","ELL","*","*","*","*","*"
"0450211","0450011","East Lyme School District","Niantic Center School","Non-ELL","*","*","*","*","*"
"0450511","0450011","East Lyme School District","Post High School Transition Program","Non-ELL","","","","*","*"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","ELL","*","*","*","0.0","*"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","Non-ELL","*","*","*","8.5","*"
"0476111","0470011","East Windsor School District","East Windsor High School","ELL","*","","*","*","*"
"0476111","0470011","East Windsor School District","East Windsor High School","Non-ELL","*","9.7","*","*","*"
"0475411","0470011","East Windsor School District","East Windsor Middle School","ELL","*","*","*","*","*"
"0475411","0470011","East Windsor School District","East Windsor Middle School","Non-ELL","*","*","*","*","*"
"0470411","0470011","East Windsor School District","East Windsor Transition Program","Non-ELL","","","","","*"
"2539214","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","ELL","","*","","",""
"2539214","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","Non-ELL","","*","","",""
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","ELL","*","*","*","*","*"
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-ELL","*","*","*","*","*"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","ELL","*","*","*","*",""
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","Non-ELL","*","*","*","*",""
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","ELL","","","","","*"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","Non-ELL","","","","","*"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELL","","*","*","*","*"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-ELL","5.9","*","*","*","*"
"0390111","0390011","Eastford School District","Eastford Elementary School","Non-ELL","5.7","5.9","5.2","5.8","*"
"0465111","0460011","Easton School District","Helen Keller Middle School","ELL","*","*","*","*","*"
"0465111","0460011","Easton School District","Helen Keller Middle School","Non-ELL","*","*","*","*","*"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","ELL","*","*","*","*","*"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","Non-ELL","*","*","*","*","*"
"2429014","2420014","Education Connection","Education Connection Special Education","Non-ELL","50.0","58.1","58.3","65.4",""
"2429014","2420014","Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","Non-ELL","","","","","*"
"0480111","0480011","Ellington School District","Center School","ELL","*","*","","*","*"
"0480111","0480011","Ellington School District","Center School","Non-ELL","3.4","2.7","2.9","3.9","*"
"0480211","0480011","Ellington School District","Crystal Lake School","ELL","*","*","*","*","*"
"0480211","0480011","Ellington School District","Crystal Lake School","Non-ELL","*","*","*","*","*"
"0486111","0480011","Ellington School District","Ellington High School","ELL","*","*","*","*","*"
"0486111","0480011","Ellington School District","Ellington High School","Non-ELL","*","*","*","*","*"
"0485111","0480011","Ellington School District","Ellington Middle School","ELL","*","*","*","*","*"
"0485111","0480011","Ellington School District","Ellington Middle School","Non-ELL","*","*","*","*","*"
"0480711","0480011","Ellington School District","Windermere Intermediate School","ELL","*","*","*","*","*"
"0480711","0480011","Ellington School District","Windermere Intermediate School","Non-ELL","*","*","*","*","*"
"0480611","0480011","Ellington School District","Windermere School","ELL","*","*","*","25.9","*"
"0480611","0480011","Ellington School District","Windermere School","Non-ELL","*","*","*","4.2","*"
"0480311","0480011","Ellington School District","Windermere School Program for Alternative Learning K-4","Non-ELL","","","","","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","ELL","*","0.0","0.0","*","0.0"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","Non-ELL","*","3.7","4.9","*","5.9"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","ELL","","","","*","*"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","Non-ELL","","","","*","*"
"0490511","0490011","Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","Non-ELL","","","","*","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","ELL","*","*","*","*","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","Non-ELL","*","*","*","*","*"
"0491411","0490011","Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","Non-ELL","","","","","*"
"0491611","0490011","Enfield School District","Eli Whitney School","ELL","*","*","*","*","*"
"0491611","0490011","Enfield School District","Eli Whitney School","Non-ELL","8.9","6.5","8.6","*","*"
"0496111","0490011","Enfield School District","Enfield High School","ELL","*","*","*","*","*"
"0496111","0490011","Enfield School District","Enfield High School","Non-ELL","*","*","*","*","*"
"0490311","0490011","Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","Non-ELL","","","","*","*"
"0490211","0490011","Enfield School District","Enfield Street School","ELL","*","*","*","*","*"
"0490211","0490011","Enfield School District","Enfield Street School","Non-ELL","*","*","*","*","*"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","Non-ELL","*","*","*","*","*"
"0496211","0490011","Enfield School District","Enrico Fermi High School","ELL","*","*","*","*","*"
"0496211","0490011","Enfield School District","Enrico Fermi High School","Non-ELL","*","*","*","*","*"
"0490411","0490011","Enfield School District","Hazardville Memorial School","ELL","*","*","*","*","0.0"
"0490411","0490011","Enfield School District","Hazardville Memorial School","Non-ELL","*","*","*","*","11.3"
"0490611","0490011","Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","Non-ELL","","","","*","*"
"0491811","0490011","Enfield School District","Henry Barnard School","ELL","*","*","*","*","*"
"0491811","0490011","Enfield School District","Henry Barnard School","Non-ELL","*","*","*","*","*"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","ELL","*","*","*","*","*"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","Non-ELL","14.3","14.2","16.9","15.9","14.9"
"0490811","0490011","Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","Non-ELL","","","","*","*"
"0491111","0490011","Enfield School District","Nathan Hale School","ELL","*","*","*","*","*"
"0491111","0490011","Enfield School District","Nathan Hale School","Non-ELL","6.6","7.3","9.0","7.7","7.3"
"0490711","0490011","Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","Non-ELL","","","","*","*"
"0491511","0490011","Enfield School District","Prudence Crandall School","ELL","*","*","*","*","*"
"0491511","0490011","Enfield School District","Prudence Crandall School","Non-ELL","*","*","*","*","*"
"0500111","0500011","Essex School District","Essex Elementary School","ELL","*","*","*","*","*"
"0500111","0500011","Essex School District","Essex Elementary School","Non-ELL","*","*","*","*","*"
"2726113","2720013","Explorations District","Explorations","Non-ELL","20.3","39.5","29.1","28.4","30.6"
"0510211","0510011","Fairfield School District","Burr Elementary School","ELL","*","*","*","*","*"
"0510211","0510011","Fairfield School District","Burr Elementary School","Non-ELL","*","*","*","*","*"
"0510111","0510011","Fairfield School District","Dwight Elementary School","ELL","*","","","*","*"
"0510111","0510011","Fairfield School District","Dwight Elementary School","Non-ELL","*","*","2.6","*","*"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","ELL","*","*","*","*","*"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","Non-ELL","*","*","*","*","*"
"0510511","0510011","Fairfield School District","Fairfield School/Community Partnership","Non-ELL","","","","","*"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","ELL","*","*","*","*","*"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","Non-ELL","*","*","*","*","*"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","ELL","*","*","*","*","*"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","Non-ELL","*","*","*","*","*"
"0510411","0510011","Fairfield School District","Holland Hill School","ELL","0.0","*","0.0","*","*"
"0510411","0510011","Fairfield School District","Holland Hill School","Non-ELL","3.0","*","4.4","*","*"
"0511711","0510011","Fairfield School District","Jennings School","ELL","*","*","*","*","*"
"0511711","0510011","Fairfield School District","Jennings School","Non-ELL","*","0.0","3.4","4.0","*"
"0510611","0510011","Fairfield School District","McKinley School","ELL","*","0.0","*","0.0","*"
"0510611","0510011","Fairfield School District","McKinley School","Non-ELL","*","*","*","4.4","*"
"0510711","0510011","Fairfield School District","Mill Hill School","ELL","*","*","*","*","*"
"0510711","0510011","Fairfield School District","Mill Hill School","Non-ELL","*","*","*","*","*"
"0511611","0510011","Fairfield School District","North Stratfield School","ELL","*","*","*","*","*"
"0511611","0510011","Fairfield School District","North Stratfield School","Non-ELL","*","*","*","*","*"
"0511811","0510011","Fairfield School District","Osborn Hill School","ELL","*","*","*","*","*"
"0511811","0510011","Fairfield School District","Osborn Hill School","Non-ELL","*","*","*","*","*"
"0511211","0510011","Fairfield School District","Riverfield School","ELL","*","*","*","*","*"
"0511211","0510011","Fairfield School District","Riverfield School","Non-ELL","*","*","*","*","*"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","ELL","*","*","*","*","*"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","Non-ELL","*","*","*","*","*"
"0511311","0510011","Fairfield School District","Sherman School","ELL","*","*","*","*","*"
"0511311","0510011","Fairfield School District","Sherman School","Non-ELL","2.2","*","2.0","1.9","3.2"
"0511411","0510011","Fairfield School District","Stratfield School","ELL","*","*","*","*","*"
"0511411","0510011","Fairfield School District","Stratfield School","Non-ELL","*","*","*","*","*"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","ELL","*","*","*","*","*"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","Non-ELL","*","*","*","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","ELL","","","","*","*"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","Non-ELL","","","","*","*"
"0520411","0520011","Farmington School District","East Farms School","ELL","*","*","*","*","0.0"
"0520411","0520011","Farmington School District","East Farms School","Non-ELL","*","*","*","*","3.6"
"0520611","0520011","Farmington School District","Farmington Alternative High School","Non-ELL","","","","*","*"
"0526111","0520011","Farmington School District","Farmington High School","ELL","*","*","*","*","*"
"0526111","0520011","Farmington School District","Farmington High School","Non-ELL","*","*","*","*","*"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","ELL","*","*","*","*","*"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","Non-ELL","*","*","*","*","*"
"0520211","0520011","Farmington School District","Noah Wallace School","ELL","*","*","*","*","*"
"0520211","0520011","Farmington School District","Noah Wallace School","Non-ELL","*","*","*","*","*"
"0520111","0520011","Farmington School District","Union School","ELL","*","*","*","*","*"
"0520111","0520011","Farmington School District","Union School","Non-ELL","*","*","*","*","*"
"0520311","0520011","Farmington School District","West District School","ELL","*","*","*","*","*"
"0520311","0520011","Farmington School District","West District School","Non-ELL","*","*","*","*","*"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","ELL","*","*","*","*","*"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","Non-ELL","*","*","*","*","*"
"0530111","0530011","Franklin School District","Franklin Elementary School","Non-ELL","*","8.5","*","4.4","*"
"0541311","0540011","Glastonbury School District","Alternate Program","Non-ELL","","","","*",""
"0540211","0540011","Glastonbury School District","Buttonball Lane School","ELL","*","*","*","*","*"
"0540211","0540011","Glastonbury School District","Buttonball Lane School","Non-ELL","*","*","*","*","*"
"0540311","0540011","Glastonbury School District","Eastbury School","ELL","*","*","","",""
"0540311","0540011","Glastonbury School District","Eastbury School","Non-ELL","*","*","*","*","*"
"0540811","0540011","Glastonbury School District","Gideon Welles School","ELL","*","*","*","*","*"
"0540811","0540011","Glastonbury School District","Gideon Welles School","Non-ELL","*","*","*","*","*"
"0546111","0540011","Glastonbury School District","Glastonbury High School","ELL","*","*","*","*","*"
"0546111","0540011","Glastonbury School District","Glastonbury High School","Non-ELL","*","*","*","*","*"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","ELL","*","*","*","*","*"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","Non-ELL","*","*","*","*","*"
"0540611","0540011","Glastonbury School District","Hopewell School","ELL","*","*","*","*","*"
"0540611","0540011","Glastonbury School District","Hopewell School","Non-ELL","*","*","*","*","*"
"0540111","0540011","Glastonbury School District","LINKS Academy","Non-ELL","","","30.0","",""
"0541411","0540011","Glastonbury School District","LINKS Transition","Non-ELL","","","","*",""
"0540111","0540011","Glastonbury School District","Links Academy","ELL","","","","","*"
"0540111","0540011","Glastonbury School District","Links Academy","Non-ELL","","","","51.9","*"
"0541411","0540011","Glastonbury School District","Links Transition","Non-ELL","","","","","*"
"0540711","0540011","Glastonbury School District","Naubuc School","ELL","*","0.0","*","*","*"
"0540711","0540011","Glastonbury School District","Naubuc School","Non-ELL","*","4.3","*","*","*"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","ELL","*","*","*","*","*"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","Non-ELL","*","*","*","*","*"
"0541111","0540011","Glastonbury School District","PRIDE-Hebron Avenue","Non-ELL","","","","*",""
"0541211","0540011","Glastonbury School District","PRIDE-Nayaug","ELL","","","","*",""
"0541211","0540011","Glastonbury School District","PRIDE-Nayaug","Non-ELL","","","","*",""
"0545211","0540011","Glastonbury School District","Smith Middle School","ELL","*","*","*","*","*"
"0545211","0540011","Glastonbury School District","Smith Middle School","Non-ELL","*","*","*","*","*"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","ELL","*","*","*","*","*"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","Non-ELL","*","*","*","*","*"
"0566111","0560011","Granby School District","Granby Memorial High School","ELL","*","*","*","*","*"
"0566111","0560011","Granby School District","Granby Memorial High School","Non-ELL","*","*","*","*","*"
"0565111","0560011","Granby School District","Granby Memorial Middle School","ELL","","*","*","",""
"0565111","0560011","Granby School District","Granby Memorial Middle School","Non-ELL","7.1","*","*","3.4","5.8"
"0560411","0560011","Granby School District","Kelly Lane Intermediate School","ELL","*","*","","",""
"0560411","0560011","Granby School District","Kelly Lane Intermediate School","Non-ELL","*","*","4.8","4.5",""
"0560411","0560011","Granby School District","Kelly Lane Primary School","ELL","","","","","*"
"0560411","0560011","Granby School District","Kelly Lane Primary School","Non-ELL","","","","","*"
"0560311","0560011","Granby School District","Wells Road Intermediate School","ELL","*","*","*","*","*"
"0560311","0560011","Granby School District","Wells Road Intermediate School","Non-ELL","*","*","*","*","*"
"2940113","2940013","Great Oaks Charter School District","Great Oaks Charter School","ELL","","","","*","*"
"2940113","2940013","Great Oaks Charter School District","Great Oaks Charter School","Non-ELL","","","","*","*"
"0571411","0570011","Greenwich School District","Alternative High School Programs","ELL","","","","*",""
"0571411","0570011","Greenwich School District","Alternative High School Programs","Non-ELL","","","","*",""
"0575111","0570011","Greenwich School District","Central Middle School","ELL","*","*","*","*","*"
"0575111","0570011","Greenwich School District","Central Middle School","Non-ELL","*","*","*","*","*"
"0571211","0570011","Greenwich School District","Community Connections","Non-ELL","","","","*","*"
"0570211","0570011","Greenwich School District","Cos Cob School","ELL","*","*","*","0.0","*"
"0570211","0570011","Greenwich School District","Cos Cob School","Non-ELL","*","*","*","1.5","*"
"0575211","0570011","Greenwich School District","Eastern Middle School","ELL","0.0","*","0.0","0.0","*"
"0575211","0570011","Greenwich School District","Eastern Middle School","Non-ELL","5.7","*","3.6","2.3","*"
"0570411","0570011","Greenwich School District","Glenville School","ELL","*","*","*","*","*"
"0570411","0570011","Greenwich School District","Glenville School","Non-ELL","*","*","*","*","*"
"0571411","0570011","Greenwich School District","Greenwich Alternative High School","ELL","","","","","*"
"0571411","0570011","Greenwich School District","Greenwich Alternative High School","Non-ELL","","","","","*"
"0576111","0570011","Greenwich School District","Greenwich High School","ELL","*","9.4","8.8","0.0","*"
"0576111","0570011","Greenwich School District","Greenwich High School","Non-ELL","*","10.5","4.4","3.5","*"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","ELL","12.8","11.5","*","*","*"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","Non-ELL","6.6","8.3","*","*","*"
"0571311","0570011","Greenwich School District","International School At Dundee","ELL","*","*","*","*","*"
"0571311","0570011","Greenwich School District","International School At Dundee","Non-ELL","*","*","*","*","*"
"0570311","0570011","Greenwich School District","Julian Curtiss School","ELL","0.0","14.6","*","*","*"
"0570311","0570011","Greenwich School District","Julian Curtiss School","Non-ELL","4.6","5.7","*","*","*"
"0570611","0570011","Greenwich School District","New Lebanon School","ELL","*","*","*","0.0","*"
"0570611","0570011","Greenwich School District","New Lebanon School","Non-ELL","*","*","*","*","*"
"0570711","0570011","Greenwich School District","North Mianus School","ELL","*","*","*","0.0","*"
"0570711","0570011","Greenwich School District","North Mianus School","Non-ELL","*","*","*","1.3","*"
"0570811","0570011","Greenwich School District","North Street School","ELL","*","*","*","0.0","*"
"0570811","0570011","Greenwich School District","North Street School","Non-ELL","2.9","5.7","*","*","*"
"0570911","0570011","Greenwich School District","Old Greenwich School","ELL","*","0.0","0.0","0.0","*"
"0570911","0570011","Greenwich School District","Old Greenwich School","Non-ELL","*","5.5","4.3","*","*"
"0571111","0570011","Greenwich School District","Parkway School","ELL","*","*","*","*","*"
"0571111","0570011","Greenwich School District","Parkway School","Non-ELL","*","*","*","*","*"
"0571011","0570011","Greenwich School District","Riverside School","ELL","*","*","*","*","0.0"
"0571011","0570011","Greenwich School District","Riverside School","Non-ELL","*","*","*","*","*"
"0575311","0570011","Greenwich School District","Western Middle School","ELL","*","*","*","*","*"
"0575311","0570011","Greenwich School District","Western Middle School","Non-ELL","*","*","*","*","*"
"0580111","0580011","Griswold School District","Griswold Alternative School","Non-ELL","","","","*","*"
"0580311","0580011","Griswold School District","Griswold Elementary School","ELL","*","*","*","*","*"
"0580311","0580011","Griswold School District","Griswold Elementary School","Non-ELL","*","*","*","*","*"
"0586211","0580011","Griswold School District","Griswold High School","ELL","","","","","*"
"0586211","0580011","Griswold School District","Griswold High School","Non-ELL","16.9","15.5","15.4","13.4","*"
"0585111","0580011","Griswold School District","Griswold Middle School","ELL","*","*","*","*","*"
"0585111","0580011","Griswold School District","Griswold Middle School","Non-ELL","*","*","*","*","*"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","ELL","*","*","*","*","*"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","Non-ELL","*","*","*","*","*"
"0590311","0590011","Groton School District","Catherine Kolnaski Magnet School","ELL","23.5","*","","",""
"0590311","0590011","Groton School District","Catherine Kolnaski Magnet School","Non-ELL","24.0","20.2","","",""
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","ELL","23.5","*","*","*","0.0"
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","Non-ELL","24.0","20.2","*","*","10.4"
"0591811","0590011","Groton School District","Charles Barnum School","ELL","*","*","*","*","*"
"0591811","0590011","Groton School District","Charles Barnum School","Non-ELL","*","*","*","*","*"
"0590311","0590011","Groton School District","Claude Chester School","ELL","","","*","*","*"
"0590311","0590011","Groton School District","Claude Chester School","Non-ELL","","","*","*","*"
"0595111","0590011","Groton School District","Fitch Middle School","ELL","*","","","",""
"0595111","0590011","Groton School District","Fitch Middle School","Non-ELL","*","","","",""
"0591711","0590011","Groton School District","Mary Morrisson School","ELL","","*","0.0","*","*"
"0591711","0590011","Groton School District","Mary Morrisson School","Non-ELL","8.6","*","9.7","*","*"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","ELL","","","","*","*"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","Non-ELL","","","","*","*"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","ELL","*","*","*","*","*"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","Non-ELL","*","*","*","*","*"
"0591211","0590011","Groton School District","Pleasant Valley School","ELL","*","*","*","*","*"
"0591211","0590011","Groton School District","Pleasant Valley School","Non-ELL","*","9.5","9.9","9.5","9.2"
"0596111","0590011","Groton School District","Robert E. Fitch High School","ELL","39.3","39.3","31.8","28.6","22.9"
"0596111","0590011","Groton School District","Robert E. Fitch High School","Non-ELL","24.3","22.8","21.6","19.0","18.5"
"0590111","0590011","Groton School District","S. B. Butler School","ELL","*","*","*","*","*"
"0590111","0590011","Groton School District","S. B. Butler School","Non-ELL","*","*","*","*","*"
"0590611","0590011","Groton School District","Virtual Learning Academy","Non-ELL","","","","*","*"
"0595211","0590011","Groton School District","West Side Middle School","ELL","*","*","*","*","*"
"0595211","0590011","Groton School District","West Side Middle School","Non-ELL","*","11.9","*","*","13.8"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","ELL","*","*","*","*","*"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","Non-ELL","*","*","*","*","*"
"0600611","0600011","Guilford School District","A. W. Cox School","ELL","*","*","*","*","*"
"0600611","0600011","Guilford School District","A. W. Cox School","Non-ELL","*","*","*","*","*"
"0600411","0600011","Guilford School District","Calvin Leete School","ELL","*","*","*","*","*"
"0600411","0600011","Guilford School District","Calvin Leete School","Non-ELL","*","*","*","*","*"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","ELL","*","*","*","*","*"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","Non-ELL","*","*","*","*","*"
"0606111","0600011","Guilford School District","Guilford High School","ELL","*","*","*","*","*"
"0606111","0600011","Guilford School District","Guilford High School","Non-ELL","*","*","*","*","*"
"0600211","0600011","Guilford School District","Guilford Lakes School","ELL","*","*","*","*","*"
"0600211","0600011","Guilford School District","Guilford Lakes School","Non-ELL","*","*","*","*","*"
"0600311","0600011","Guilford School District","Melissa Jones School","ELL","*","*","*","*","*"
"0600311","0600011","Guilford School District","Melissa Jones School","Non-ELL","*","*","*","*","*"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","Non-ELL","","*","*","*","*"
"0621211","0620011","Hamden School District","Bear Path School","ELL","*","*","*","*","*"
"0621211","0620011","Hamden School District","Bear Path School","Non-ELL","*","*","*","*","*"
"0620211","0620011","Hamden School District","Church Street School","ELL","*","*","*","*","16.7"
"0620211","0620011","Hamden School District","Church Street School","Non-ELL","*","*","*","*","9.5"
"0620311","0620011","Hamden School District","Dunbar Hill School","ELL","*","*","*","*","*"
"0620311","0620011","Hamden School District","Dunbar Hill School","Non-ELL","*","*","*","*","*"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","Non-ELL","","","","80.3","90.0"
"0626111","0620011","Hamden School District","Hamden High School","ELL","*","17.1","22.0","25.0","45.2"
"0626111","0620011","Hamden School District","Hamden High School","Non-ELL","*","23.8","21.7","23.2","34.1"
"0625211","0620011","Hamden School District","Hamden Middle School","ELL","*","*","*","20.6","24.2"
"0625211","0620011","Hamden School District","Hamden Middle School","Non-ELL","*","*","*","12.5","15.8"
"0620611","0620011","Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","Non-ELL","","","","","*"
"0620411","0620011","Hamden School District","Helen Street School","ELL","*","*","*","*","*"
"0620411","0620011","Hamden School District","Helen Street School","Non-ELL","*","*","*","*","*"
