"school_code","district_code","district","school","gender","2011_12","2012_13","2013_14","2014_15","2015_16"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Female","","","0.0","13.8","24.0"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Male","","","0.0","22.3","20.4"
"0150411","0150011","Bridgeport School District","Bryant School","Female","19.1","23.0","17.3","10.6","15.4"
"0150411","0150011","Bridgeport School District","Bryant School","Male","14.5","20.0","17.1","16.8","12.8"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Female","","","","","*"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Male","","","","","*"
"0156211","0150011","Bridgeport School District","Central High School","Female","22.6","51.2","33.7","21.2","17.0"
"0156211","0150011","Bridgeport School District","Central High School","Male","22.1","59.5","31.1","16.8","15.9"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Female","14.1","18.4","16.2","13.3","11.1"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Male","16.9","16.9","17.0","14.6","13.3"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Female","7.1","10.8","*","*","4.2"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Male","5.0","10.1","*","*","4.7"
"0150511","0150011","Bridgeport School District","Columbus School","Female","19.7","32.2","25.2","23.0","25.9"
"0150511","0150011","Bridgeport School District","Columbus School","Male","23.4","33.9","30.9","25.6","22.9"
"0153911","0150011","Bridgeport School District","Cross School","Female","28.4","26.1","25.6","28.7","27.8"
"0153911","0150011","Bridgeport School District","Cross School","Male","26.1","28.6","25.9","27.7","32.5"
"0154211","0150011","Bridgeport School District","Curiale School","Female","20.9","27.2","26.8","22.8","17.0"
"0154211","0150011","Bridgeport School District","Curiale School","Male","24.3","29.4","30.9","30.4","22.3"
"0154111","0150011","Bridgeport School District","Dunbar School","Female","25.6","23.2","28.4","26.3","27.4"
"0154111","0150011","Bridgeport School District","Dunbar School","Male","29.7","27.5","32.5","31.0","25.7"
"0150711","0150011","Bridgeport School District","Edison School","Female","10.8","17.5","9.6","13.7","17.8"
"0150711","0150011","Bridgeport School District","Edison School","Male","11.4","16.4","17.5","14.3","12.4"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Female","8.1","9.6","7.2","8.2","3.6"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Male","8.9","10.4","7.1","9.4","3.6"
"0151111","0150011","Bridgeport School District","Hall School","Female","15.0","19.7","15.2","15.3","7.2"
"0151111","0150011","Bridgeport School District","Hall School","Male","10.6","17.2","17.2","12.2","9.8"
"0151211","0150011","Bridgeport School District","Hallen School","Female","14.5","12.9","12.9","11.9","6.1"
"0151211","0150011","Bridgeport School District","Hallen School","Male","16.1","9.5","12.6","12.7","13.5"
"0156311","0150011","Bridgeport School District","Harding High School","Female","41.1","47.1","45.3","53.6","44.6"
"0156311","0150011","Bridgeport School District","Harding High School","Male","48.9","51.6","42.4","48.0","45.0"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Female","*","6.2","*","4.0","*"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Male","*","3.5","*","3.6","*"
"0151311","0150011","Bridgeport School District","Hooker School","Female","4.7","13.3","13.5","12.6","12.4"
"0151311","0150011","Bridgeport School District","Hooker School","Male","8.9","14.8","16.0","13.1","12.2"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Female","","","0.0","*","10.4"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Male","","","0.0","*","6.3"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Female","*","4.5","2.9","4.0","4.9"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Male","*","5.2","5.2","5.2","3.3"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Female","23.7","27.5","33.3","29.5","28.8"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Male","23.9","27.9","33.8","30.6","27.2"
"0151911","0150011","Bridgeport School District","Longfellow School","Female","23.5","","","",""
"0151911","0150011","Bridgeport School District","Longfellow School","Male","30.6","","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Female","25.5","28.0","26.5","23.4","22.1"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Male","26.5","30.4","27.9","28.1","27.0"
"0152011","0150011","Bridgeport School District","Madison School","Female","9.0","11.2","14.2","9.7","10.8"
"0152011","0150011","Bridgeport School District","Madison School","Male","12.5","17.5","15.5","13.9","9.4"
"0159511","0150011","Bridgeport School District","Make The Grade","Female","*","","","",""
"0159511","0150011","Bridgeport School District","Make The Grade","Male","*","","","",""
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Female","*","*","*","*","*"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Male","*","*","*","*","*"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","Female","","","","","*"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","Male","","","","","*"
"0159211","0150011","Bridgeport School District","Park City Academy","Female","*","0.0","","",""
"0159211","0150011","Bridgeport School District","Park City Academy","Male","*","0.0","","",""
"0151711","0150011","Bridgeport School District","Park City Magnet School","Female","2.7","3.3","5.3","3.3","3.8"
"0151711","0150011","Bridgeport School District","Park City Magnet School","Male","4.0","6.4","5.7","8.6","4.1"
"0151811","0150011","Bridgeport School District","Pride Academy","Female","","","0.0","",""
"0151811","0150011","Bridgeport School District","Pride Academy","Male","","","0.0","",""
"0152511","0150011","Bridgeport School District","Read School","Female","12.8","9.2","13.5","13.0","13.5"
"0152511","0150011","Bridgeport School District","Read School","Male","17.0","16.2","16.4","16.2","16.4"
"0152611","0150011","Bridgeport School District","Roosevelt School","Female","25.0","25.1","26.7","27.3","16.5"
"0152611","0150011","Bridgeport School District","Roosevelt School","Male","33.7","28.4","30.1","22.7","18.4"
"0154411","0150011","Bridgeport School District","Skane Center","Female","*","","","",""
"0154411","0150011","Bridgeport School District","Skane Center","Male","*","","","",""
"0153011","0150011","Bridgeport School District","Waltersville School","Female","21.9","29.2","29.5","23.0","24.2"
"0153011","0150011","Bridgeport School District","Waltersville School","Male","14.5","21.4","23.4","16.3","20.2"
"0153611","0150011","Bridgeport School District","Winthrop School","Female","7.4","7.6","6.4","4.2","3.8"
"0153611","0150011","Bridgeport School District","Winthrop School","Male","11.2","10.6","7.2","5.4","5.1"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Female","*","*","*","*","*"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","Male","*","*","*","*","*"
"0176111","0170011","Bristol School District","Bristol Central High School","Female","14.9","12.9","16.0","15.2","12.4"
"0176111","0170011","Bristol School District","Bristol Central High School","Male","17.9","15.0","15.9","15.7","11.6"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Female","13.5","13.8","13.3","13.3","12.9"
