district,district_code,2011_12_count,2011_12_rate,2012_13_count,2012_13_rate,2013_14_count,2011_14_rate,2014_15_count,2012_15_rate,2015_16_count,2012_16_rate,group,school_code
Glastonbury School District,0540011,616,9.1,606,9.0,614,9.4,617,9.8,639,10.3,all,0540011
Granby School District,0560011,188,8.7,183,8.8,192,9.4,199,10.2,215,11.1,all,0560011
Greenwich School District,0570011,861,10.0,867,10.0,854,10.0,879,10.3,892,10.4,all,0570011
Griswold School District,0580011,224,12.5,238,13.3,254,14.2,246,14.1,242,14.1,all,0580011
Groton School District,0590011,683,13.7,706,14.3,728,15.0,727,15.1,740,15.5,all,0590011
Guilford School District,0600011,374,10.2,367,10.2,373,10.5,392,11.4,397,11.6,all,0600011
Hamden School District,0620011,813,12.0,807,12.0,873,13.0,950,14.6,1023,15.9,all,0620011
Hampton School District,0630011,14,13.5,18,18.4,15,15.3,14,15.2,16,16.8,all,0630011
Hartford School District,0640011,3147,15.6,3388,16.6,3416,16.8,3560,17.4,3735,18.4,all,0640011
Hartland School District,0650011,31,10.0,29,9.9,32,11.4,33,12.3,35,13.1,all,0650011
Hebron School District,0670011,106,10.5,106,11.5,95,11.3,105,13.7,88,12.4,all,0670011
Kent School District,0680011,31,11.7,28,11.0,25,9.9,24,10.2,25,11.1,all,0680011
Killingly School District,0690011,359,14.4,367,14.9,378,15.8,398,17.4,392,17.2,all,0690011
Lebanon School District,0710011,140,12.1,151,13.3,156,14.1,157,15.0,142,14.1,all,0710011
Ledyard School District,0720011,314,12.7,334,13.5,344,14.0,354,14.7,359,15.4,all,0720011
Lisbon School District,0730011,83,13.0,81,13.1,85,13.9,70,11.9,64,11.4,all,0730011
Litchfield School District,0740011,121,10.7,120,11.5,110,11.1,114,11.7,113,11.8,all,0740011
Madison School District,0760011,350,10.2,352,10.5,358,11.0,364,11.6,354,11.8,all,0760011
Manchester School District,0770011,980,13.7,940,13.3,891,12.6,891,12.4,873,12.2,all,0770011
Mansfield School District,0780011,152,12.2,141,11.5,140,11.9,143,12.2,137,11.6,all,0780011
Marlborough School District,0790011,49,7.4,58,9.2,52,8.7,46,7.8,42,7.7,all,0790011
Meriden School District,0800011,1267,14.3,1295,14.4,1410,15.8,1483,16.7,1509,17.3,all,0800011
Middletown School District,0830011,617,11.8,594,11.5,603,11.9,635,12.5,643,13.0,all,0830011
Milford School District,0840011,821,12.0,831,12.4,802,12.4,761,12.1,750,12.2,all,0840011
Monroe School District,0850011,342,9.5,365,10.4,358,10.6,351,10.6,353,11.1,all,0850011
Montville School District,0860011,281,10.8,287,11.5,280,11.3,284,11.7,330,13.9,all,0860011
Naugatuck School District,0880011,559,12.1,582,12.7,603,13.4,641,14.5,675,15.4,all,0880011
New Britain School District,0890011,1529,14.3,1608,14.8,1635,15.2,1687,15.4,1755,15.8,all,0890011
New Canaan School District,0900011,399,9.6,384,9.1,362,8.7,386,9.2,402,9.6,all,0900011
New Fairfield School District,0910011,279,10.0,274,10.1,257,9.8,242,9.5,230,9.5,all,0910011
New Hartford School District,0920011,60,10.4,57,10.0,53,9.8,53,10.5,56,11.6,all,0920011
New Haven School District,0930011,2216,12.2,2342,12.6,2423,12.8,2637,13.5,2775,14.1,all,0930011
New London School District,0950011,590,17.2,623,18.0,646,18.8,664,19.0,660,18.8,all,0950011
New Milford School District,0960011,611,13.4,592,13.2,582,13.3,564,13.3,557,13.5,all,0960011
Newington School District,0940011,520,11.8,540,12.2,532,12.3,527,12.4,515,12.3,all,0940011
Newtown School District,0970011,406,7.7,396,7.7,406,8.3,438,9.2,473,10.3,all,0970011
Norfolk School District,0980011,16,14.8,18,16.5,17,17.0,20,19.4,16,15.2,all,0980011
North Branford School District,0990011,264,11.8,280,13.1,289,13.9,289,14.4,278,14.4,all,0990011
North Canaan School District,1000011,38,13.3,43,14.3,44,15.4,45,16.5,45,17.9,all,1000011
North Haven School District,1010011,343,9.5,353,9.9,371,10.8,386,11.5,358,11.1,all,1010011
North Stonington School District,1020011,72,9.4,68,9.2,65,8.8,64,8.7,66,9.2,all,1020011
Norwalk School District,1030011,1094,9.7,1187,10.5,1221,10.8,1316,11.5,1421,12.3,all,1030011
Norwich School District,1040011,862,15.7,891,16.2,875,15.9,915,16.6,873,16.0,all,1040011
Old Saybrook School District,1060011,185,12.3,205,14.2,210,15.1,199,14.4,176,13.4,all,1060011
Orange School District,1070011,128,10.2,112,9.1,109,9.3,102,8.8,95,8.2,all,1070011
Oxford School District,1080011,134,6.2,154,7.2,208,10.0,232,11.5,245,12.2,all,1080011
Plainfield School District,1090011,301,12.2,293,12.4,276,11.9,308,13.9,301,13.7,all,1090011
Plainville School District,1100011,308,12.6,312,13.0,326,13.7,315,13.2,304,12.8,all,1100011
Plymouth School District,1110011,240,13.5,247,14.2,233,13.8,234,14.1,236,14.4,all,1110011
Pomfret School District,1120011,78,11.8,67,10.3,65,10.7,56,9.7,65,11.2,all,1120011
Portland School District,1130011,113,8.1,124,8.8,127,8.9,137,10.0,140,10.1,all,1130011
Preston School District,1140011,92,14.9,82,13.3,91,14.7,103,17.1,98,16.0,all,1140011
Putnam School District,1160011,168,14.1,174,14.8,191,16.3,180,15.4,190,16.8,all,1160011
Redding School District,1170011,148,12.8,134,12.4,130,12.8,125,13.1,116,12.7,all,1170011
Regional School District 01,2010012,65,13.8,58,13.6,61,14.2,68,16.9,70,16.5,all,2010012
Regional School District 04,2040012,137,14.1,139,13.7,145,14.5,132,13.3,143,15.0,all,2040012
Regional School District 05,2050012,279,11.3,278,11.6,269,11.2,270,11.5,277,12.1,all,2050012
Regional School District 06,2060012,117,12.7,111,12.6,111,13.4,108,13.7,118,15.1,all,2060012
Regional School District 07,2070012,134,12.5,113,10.6,121,11.4,116,11.6,120,11.7,all,2070012
Regional School District 08,2080012,238,12.7,227,12.1,220,12.0,221,12.5,202,11.9,all,2080012
Regional School District 09,2090012,125,12.1,123,11.8,125,11.5,121,11.2,130,12.3,all,2090012
Regional School District 10,2100012,263,9.8,262,9.9,252,9.7,253,10.1,247,10.1,all,2100012
Regional School District 11,2110012,70,21.1,69,20.9,63,19.7,71,22.9,61,21.5,all,2110012
Regional School District 12,2120012,129,14.9,126,15.6,126,16.6,115,16.3,112,16.7,all,2120012
Regional School District 13,2130012,274,13.8,278,14.2,273,14.6,260,14.4,251,14.5,all,2130012
Regional School District 14,2140012,206,11.7,200,11.8,184,11.2,175,11.4,165,11.1,all,2140012
Regional School District 15,2150012,506,11.9,496,12.1,470,11.7,473,12.2,501,13.2,all,2150012
Regional School District 16,2160012,250,10.2,266,11.2,287,12.3,317,13.8,316,14.1,all,2160012
Regional School District 17,2170012,312,13.2,311,13.7,320,14.2,328,15.1,346,16.3,all,2170012
Regional School District 18,2180012,153,10.7,158,11.1,161,11.6,165,12.4,158,12.0,all,2180012
Regional School District 19,2190012,177,15.5,174,16.0,167,16.3,165,16.6,173,17.7,all,2190012
Ridgefield School District,1180011,420,7.9,446,8.5,451,8.6,467,9.1,451,9.0,all,1180011
Rocky Hill School District,1190011,213,8.2,217,8.4,226,8.9,241,9.2,262,9.5,all,1190011
Salem School District,1210011,58,8.4,62,8.9,67,10.1,77,12.1,94,15.1,all,1210011
Salisbury School District,1220011,28,9.5,35,12.0,31,11.7,32,12.5,29,11.2,all,1220011
Scotland School District,1230011,23,19.3,21,19.1,20,17.4,20,17.9,16,15.1,all,1230011
Seymour School District,1240011,236,10.0,243,10.3,256,10.8,268,11.4,268,11.8,all,1240011
Sharon School District,1250011,24,13.7,29,16.7,35,22.0,33,20.6,24,16.6,all,1250011
Shelton School District,1260011,539,10.2,569,11.0,609,12.0,623,12.3,647,12.7,all,1260011
Sherman School District,1270011,69,12.3,69,12.6,66,12.4,72,14.1,62,12.9,all,1270011
Simsbury School District,1280011,552,11.6,534,11.6,536,12.1,562,12.9,549,12.9,all,1280011
Somers School District,1290011,164,10.2,165,10.5,171,11.3,160,10.8,163,11.3,all,1290011
South Windsor School District,1320011,514,11.5,539,12.3,555,12.7,547,12.6,530,12.4,all,1320011
Southington School District,1310011,722,10.8,774,11.6,783,11.7,793,11.9,781,11.8,all,1310011
Sprague School District,1330011,41,9.2,40,9.0,45,10.2,60,13.4,67,14.7,all,1330011
Stafford School District,1340011,168,9.8,183,11.3,182,11.6,185,12.0,190,12.5,all,1340011
Stamford School District,1350011,1463,9.5,1532,9.8,1659,10.5,1738,11.0,1807,11.5,all,1350011
Sterling School District,1360011,69,11.5,91,14.6,89,14.5,78,13.2,78,13.6,all,1360011
Stonington School District,1370011,304,12.4,305,12.7,307,13.1,334,14.5,331,15.0,all,1370011
Stratford School District,1380011,697,9.5,722,9.9,754,10.3,780,10.9,841,11.8,all,1380011
Suffield School District,1390011,247,10.3,247,10.4,244,10.5,232,10.1,247,11.0,all,1390011
Thomaston School District,1400011,137,11.7,143,12.6,139,13.0,137,13.4,143,14.3,all,1400011
Thompson School District,1410011,132,10.9,129,10.9,118,10.8,122,11.7,124,12.1,all,1410011
Tolland School District,1420011,311,10.4,315,10.9,297,10.8,310,11.3,311,11.7,all,1420011
Torrington School District,1430011,772,16.7,731,16.1,737,16.4,758,17.0,814,18.5,all,1430011
Trumbull School District,1440011,565,8.5,600,9.0,602,9.2,635,9.8,679,10.5,all,1440011
Unified School District #1,3360015,296,39.8,244,38.1,233,43.2,175,42.7,167,42.8,all,3360015
Unified School District #2,3470015,199,75.7,175,77.1,155,68.0,150,69.8,135,78.0,all,3470015
Union School District,1450011,11,10.8,8,8.0,11,10.2,18,16.5,17,16.2,all,1450011
Vernon School District,1460011,425,11.8,447,12.6,470,13.5,500,14.5,511,15.2,all,1460011
Voluntown School District,1470011,45,11.0,40,10.3,41,10.7,60,15.1,65,17.1,all,1470011
Wallingford School District,1480011,797,12.6,764,12.4,717,12.0,688,11.5,694,11.9,all,1480011
Waterbury School District,1510011,2803,16.5,2951,17.1,3093,17.6,3243,18.2,3307,18.6,all,1510011
Waterford School District,1520011,340,12.0,353,12.5,372,13.4,392,14.4,388,14.4,all,1520011
Watertown School District,1530011,333,10.9,346,11.5,347,11.9,342,12.0,351,12.5,all,1530011
West Hartford School District,1550011,1089,10.7,1090,10.7,1130,11.2,1159,11.7,1175,11.9,all,1550011
West Haven School District,1560011,830,11.8,865,12.3,911,13.0,972,14.1,1019,14.9,all,1560011
Westbrook School District,1540011,75,8.3,87,10.2,83,10.1,90,11.5,94,12.6,all,1540011
Weston School District,1570011,218,8.8,212,8.8,202,8.4,200,8.4,209,8.8,all,1570011
Westport School District,1580011,567,9.9,577,10.0,555,9.7,575,10.1,579,10.2,all,1580011
Wethersfield School District,1590011,421,11.1,456,11.9,474,12.2,512,13.3,517,13.3,all,1590011
Willington School District,1600011,60,12.6,63,13.6,59,13.4,57,13.7,70,16.6,all,1600011
Wilton School District,1610011,463,10.8,499,11.7,512,12.0,545,13.0,539,13.1,all,1610011
Winchester School District,1620011,259,19.4,250,19.3,239,19.0,232,19.2,249,21.1,all,1620011
Windham School District,1630011,527,16.9,508,16.4,486,15.7,501,16.3,527,16.6,all,1630011
Windsor Locks School District,1650011,212,11.5,205,11.3,208,11.8,205,12.2,239,14.3,all,1650011
Windsor School District,1640011,542,13.7,586,14.9,571,14.7,588,15.6,604,15.9,all,1640011
Wolcott School District,1660011,247,8.9,231,8.6,227,8.8,229,9.3,257,10.6,all,1660011
Woodbridge School District,1670011,64,8.9,65,8.9,59,7.8,63,8.1,63,8.3,all,1670011
Woodstock School District,1690011,86,6.6,87,6.9,106,8.2,113,9.0,116,9.3,all,1690011
