district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Capitol Region Education Council,Two Rivers Magnet High School,Non-Special Education,,,,,100.0,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Special Education,,,,,*,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Cheshire School District,Cheshire High School,Non-Special Education,*,98.1,*,*,*,0256111,Cheshire High School,Cheshire School District
Cheshire School District,Cheshire High School,Special Education,*,91.7,*,*,*,0256111,Cheshire High School,Cheshire School District
Clinton School District,The Morgan School,Non-Special Education,*,92.6,*,92.9,91.9,0276111,The Morgan School,Clinton School District
Clinton School District,The Morgan School,Special Education,*,72.7,*,*,*,0276111,The Morgan School,Clinton School District
Colchester School District,Bacon Academy,Non-Special Education,97.2,95.5,*,*,*,0286111,Bacon Academy,Colchester School District
Colchester School District,Bacon Academy,Special Education,73.1,80.8,*,*,*,0286111,Bacon Academy,Colchester School District
Common Ground High School District,Common Ground High School,Non-Special Education,*,*,*,*,*,2686113,Common Ground High School,Common Ground High School District
Common Ground High School District,Common Ground High School,Special Education,*,*,*,*,*,2686113,Common Ground High School,Common Ground High School District
Connecticut Technical High School System,A. I. Prince Technical High School,Non-Special Education,93.1,87.9,95.2,97.6,98.1,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,A. I. Prince Technical High School,Special Education,*,*,*,95.5,*,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Non-Special Education,94.6,96.3,91.8,96.3,97.3,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Special Education,*,*,*,*,*,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Non-Special Education,93.3,95.1,94.6,96.7,98.5,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Special Education,*,*,*,*,*,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Non-Special Education,91.5,82.0,91.1,89.6,90.3,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Special Education,*,*,*,*,*,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Non-Special Education,93.6,98.5,94.1,96.4,95.7,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
