district,type,2010_11,2011_12,2012_13,2013_14,2014_15,district_code,check_dist_col,school_code
Barkhamsted School District,Other,348.0,0.0,0.0,444.0,3387.0,0050011,Barkhamsted School District,0050011
Barkhamsted School District,Total Expenditures,3889228.0,3921831.0,4002601.0,4140402.0,4240565.0,0050011,Barkhamsted School District,0050011
Berlin School District,Instructional Staff and Services,22155615.0,22630456.0,22995835.0,23332208.0,23529251.0,0070011,Berlin School District,0070011
Berlin School District,Instructional Supplies and Equipment,1113711.0,1234527.0,1133391.0,1570577.0,981028.0,0070011,Berlin School District,0070011
Berlin School District,Instruction and Educational Media Services,1051149.0,966752.0,1273767.0,1263609.0,1754985.0,0070011,Berlin School District,0070011
Berlin School District,Student Support Services,3864780.0,3945559.0,4265593.0,5111618.0,4781649.0,0070011,Berlin School District,0070011
Berlin School District,Administration and Support Services,4415231.0,4480878.0,4841171.0,4587408.0,4710563.0,0070011,Berlin School District,0070011
Berlin School District,Plant Operation and Maintenance,5119088.0,6164589.0,5162991.0,5834822.0,5597824.0,0070011,Berlin School District,0070011
Berlin School District,Transportation,2067331.0,2195426.0,2198714.0,2328866.0,2436676.0,0070011,Berlin School District,0070011
Berlin School District,Students Tuitioned Out,1730737.0,1850964.0,1750418.0,1840108.0,2047913.0,0070011,Berlin School District,0070011
Berlin School District,Other,835852.0,880591.0,902448.0,990866.0,1143775.0,0070011,Berlin School District,0070011
Berlin School District,Total Expenditures,42353494.0,44349742.0,44524328.0,46860082.0,46983664.0,0070011,Berlin School District,0070011
Bethany School District,Instructional Staff and Services,4022479.0,4183998.0,4222351.0,4157960.0,4186145.0,0080011,Bethany School District,0080011
Bethany School District,Instructional Supplies and Equipment,192584.0,133249.0,190697.0,316971.0,276873.0,0080011,Bethany School District,0080011
Bethany School District,Instruction and Educational Media Services,280283.0,85721.0,95823.0,90469.0,99900.0,0080011,Bethany School District,0080011
Bethany School District,Student Support Services,152068.0,175877.0,158112.0,176813.0,170134.0,0080011,Bethany School District,0080011
Bethany School District,Administration and Support Services,676492.0,800421.0,742263.0,784969.0,932341.0,0080011,Bethany School District,0080011
Bethany School District,Plant Operation and Maintenance,738102.0,816285.0,929967.0,950367.0,999508.0,0080011,Bethany School District,0080011
Bethany School District,Transportation,364148.0,323166.0,374604.0,340764.0,377227.0,0080011,Bethany School District,0080011
Bethany School District,Students Tuitioned Out,392395.0,288315.0,85985.0,41058.0,0.0,0080011,Bethany School District,0080011
Bethany School District,Other,0.0,0.0,0.0,0.0,0.0,0080011,Bethany School District,0080011
Bethany School District,Total Expenditures,6818551.0,6807032.0,6799802.0,6859371.0,7042128.0,0080011,Bethany School District,0080011
Bethel School District,Instructional Staff and Services,24276902.0,24124957.0,25561882.0,25965355.0,25938730.0,0090011,Bethel School District,0090011
Bethel School District,Instructional Supplies and Equipment,595123.0,582603.0,691986.0,563467.0,754157.0,0090011,Bethel School District,0090011
Bethel School District,Instruction and Educational Media Services,2812383.0,3606688.0,2943917.0,3342847.0,3350534.0,0090011,Bethel School District,0090011
Bethel School District,Student Support Services,2841181.0,2838069.0,2949421.0,3279412.0,3449705.0,0090011,Bethel School District,0090011
Bethel School District,Administration and Support Services,3989553.0,3995638.0,4089152.0,4289083.0,4624333.0,0090011,Bethel School District,0090011
Bethel School District,Plant Operation and Maintenance,3637143.0,3649015.0,3639334.0,3824551.0,4004524.0,0090011,Bethel School District,0090011
Bethel School District,Transportation,2157785.0,2246891.0,2267646.0,2347409.0,2472202.0,0090011,Bethel School District,0090011
Bethel School District,Students Tuitioned Out,1687922.0,1473293.0,1326343.0,1368935.0,1660359.0,0090011,Bethel School District,0090011
Bethel School District,Other,524596.0,533670.0,589012.0,629612.0,647712.0,0090011,Bethel School District,0090011
Bethel School District,Total Expenditures,42522588.0,43050824.0,44058693.0,45610671.0,46902256.0,0090011,Bethel School District,0090011
Bloomfield School District,Instructional Staff and Services,22290689.0,21527387.0,21783504.0,22949787.0,23751262.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Instructional Supplies and Equipment,1157768.0,853258.0,850020.0,1560460.0,804486.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Instruction and Educational Media Services,602428.0,1746375.0,1885343.0,1919984.0,1398784.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Student Support Services,3209072.0,3002132.0,3000474.0,3081262.0,2986034.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Administration and Support Services,6231879.0,6005823.0,6287655.0,6519565.0,6899306.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Plant Operation and Maintenance,5197127.0,5097377.0,5380087.0,5077775.0,4868897.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Transportation,1994144.0,2139395.0,2334557.0,2588202.0,2819981.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Students Tuitioned Out,2126293.0,2232453.0,1850518.0,1958550.0,2755828.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Other,537367.0,493769.0,495283.0,573188.0,662231.0,0110011,Bloomfield School District,0110011
Bloomfield School District,Total Expenditures,43346767.0,43097969.0,43867441.0,46228773.0,46946809.0,0110011,Bloomfield School District,0110011
Bolton School District,Instructional Staff and Services,7380262.0,7442150.0,7574016.0,7587194.0,7461584.0,0120011,Bolton School District,0120011
Bolton School District,Instructional Supplies and Equipment,207494.0,219880.0,94249.0,409448.0,247952.0,0120011,Bolton School District,0120011
Bolton School District,Instruction and Educational Media Services,531443.0,523525.0,537589.0,467324.0,561255.0,0120011,Bolton School District,0120011
Bolton School District,Student Support Services,889937.0,874931.0,983209.0,971717.0,999296.0,0120011,Bolton School District,0120011
Bolton School District,Administration and Support Services,1394285.0,1576039.0,1542494.0,1701456.0,1916724.0,0120011,Bolton School District,0120011
Bolton School District,Plant Operation and Maintenance,1041909.0,1116411.0,1166820.0,1157061.0,1435957.0,0120011,Bolton School District,0120011
Bolton School District,Transportation,673712.0,673402.0,744702.0,701835.0,681494.0,0120011,Bolton School District,0120011
Bolton School District,Students Tuitioned Out,606032.0,671156.0,758507.0,852819.0,761523.0,0120011,Bolton School District,0120011
Bolton School District,Other,225757.0,203679.0,215110.0,235383.0,226062.0,0120011,Bolton School District,0120011
Bolton School District,Total Expenditures,12950831.0,13301173.0,13616696.0,14084237.0,14291847.0,0120011,Bolton School District,0120011
Booker T. Washington Academy District,Instructional Staff and Services,,,,,641184.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Instructional Supplies and Equipment,,,,,45879.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Instruction and Educational Media Services,,,,,29482.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Student Support Services,,,,,43249.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Administration and Support Services,,,,,526782.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Plant Operation and Maintenance,,,,,289187.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Transportation,,,,,9562.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Students Tuitioned Out,,,,,,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Other,,,,,3599.0,2950013,Booker T. Washington Academy District,2950013
Booker T. Washington Academy District,Total Expenditures,,,,,1588924.0,2950013,Booker T. Washington Academy District,2950013
Bozrah School District,Instructional Staff and Services,2230586.0,2250419.0,2337093.0,2518670.0,2402764.0,0130011,Bozrah School District,0130011
Bozrah School District,Instructional Supplies and Equipment,118791.0,73084.0,93374.0,161374.0,84254.0,0130011,Bozrah School District,0130011
Bozrah School District,Instruction and Educational Media Services,34521.0,37554.0,37979.0,36126.0,43464.0,0130011,Bozrah School District,0130011
Bozrah School District,Student Support Services,190830.0,195513.0,209194.0,209614.0,220633.0,0130011,Bozrah School District,0130011
Bozrah School District,Administration and Support Services,433450.0,427895.0,434214.0,437135.0,430251.0,0130011,Bozrah School District,0130011
Bozrah School District,Plant Operation and Maintenance,308470.0,341611.0,360277.0,407083.0,428716.0,0130011,Bozrah School District,0130011
Bozrah School District,Transportation,362284.0,339127.0,351321.0,340958.0,344579.0,0130011,Bozrah School District,0130011
Bozrah School District,Students Tuitioned Out,506575.0,401979.0,381861.0,334454.0,410486.0,0130011,Bozrah School District,0130011
Bozrah School District,Other,0.0,17290.0,10177.0,0.0,13808.0,0130011,Bozrah School District,0130011
Bozrah School District,Total Expenditures,4185507.0,4084472.0,4215490.0,4445414.0,4378955.0,0130011,Bozrah School District,0130011
Branford School District,Instructional Staff and Services,29515869.0,30299249.0,30541069.0,29900579.0,30307538.0,0140011,Branford School District,0140011
Branford School District,Instructional Supplies and Equipment,1335321.0,933157.0,951286.0,1182496.0,1008278.0,0140011,Branford School District,0140011
Branford School District,Instruction and Educational Media Services,1900733.0,1904008.0,2143713.0,2326136.0,2459872.0,0140011,Branford School District,0140011
Branford School District,Student Support Services,3058755.0,3094510.0,3183317.0,3366533.0,3580773.0,0140011,Branford School District,0140011
Branford School District,Administration and Support Services,4148696.0,4460558.0,4535282.0,5088951.0,5552487.0,0140011,Branford School District,0140011
Branford School District,Plant Operation and Maintenance,4022559.0,4119775.0,4274172.0,4854542.0,4423188.0,0140011,Branford School District,0140011
Branford School District,Transportation,2939568.0,2856959.0,2967960.0,2995782.0,2883326.0,0140011,Branford School District,0140011
Branford School District,Students Tuitioned Out,3015027.0,2982421.0,3121786.0,3119879.0,2788469.0,0140011,Branford School District,0140011
Branford School District,Other,977531.0,1010824.0,1106061.0,1145750.0,1159209.0,0140011,Branford School District,0140011
Branford School District,Total Expenditures,50914059.0,51661461.0,52824646.0,53980648.0,54163140.0,0140011,Branford School District,0140011
Brass City Charter School District,Instructional Staff and Services,,,,541267.0,1021407.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Instructional Supplies and Equipment,,,,121923.0,173053.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Instruction and Educational Media Services,,,,23508.0,20301.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Student Support Services,,,,14700.0,15575.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Administration and Support Services,,,,327378.0,499695.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Plant Operation and Maintenance,,,,156639.0,217096.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Transportation,,,,930.0,2260.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Students Tuitioned Out,,,,,,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Other,,,,114490.0,127140.0,2900013,Brass City Charter School District,2900013
Brass City Charter School District,Total Expenditures,,,,1300835.0,2076527.0,2900013,Brass City Charter School District,2900013
Bridgeport Achievement First District,Instructional Staff and Services,2184618.0,3641630.0,4296591.0,5654792.0,6341480.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Instructional Supplies and Equipment,472954.0,213038.0,314280.0,493589.0,452178.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Instruction and Educational Media Services,907078.0,154918.0,260310.0,279019.0,415007.0,2850013,Bridgeport Achievement First District,2850013
Bridgeport Achievement First District,Student Support Services,407166.0,592504.0,833000.0,958828.0,700097.0,2850013,Bridgeport Achievement First District,2850013
