district,district_code,school,school_code,count,year,group
Greenwich School District,0570011,North Mianus School,0570711,482,2015,all
Greenwich School District,0570011,North Street School,0570811,392,2015,all
Greenwich School District,0570011,Old Greenwich School,0570911,449,2015,all
Greenwich School District,0570011,Parkway School,0571111,261,2015,all
Greenwich School District,0570011,Riverside School,0571011,483,2015,all
Greenwich School District,0570011,Western Middle School,0575311,535,2015,all
Griswold School District,0580011,Griswold Alternative School,0580111,14,2015,all
Griswold School District,0580011,Griswold Elementary School,0580311,757,2015,all
Griswold School District,0580011,Griswold High School,0586211,565,2015,all
Griswold School District,0580011,Griswold Middle School,0585111,545,2015,all
Groton School District,0590011,Carl C. Cutler Middle School,0595311,495,2015,all
Groton School District,0590011,Catherine Kolnaski Magnet School,0590311,364,2015,all
Groton School District,0590011,Claude Chester School,0590311,331,2015,all
Groton School District,0590011,Catherine Kolnaski Magnet School,0592011,364,2015,all
Groton School District,0590011,Charles Barnum School,0591811,383,2015,all
Groton School District,0590011,Mary Morrisson School,0591711,376,2015,all
Groton School District,0590011,New Beginnings Alternative Program,0590211,22,2015,all
Groton School District,0590011,Northeast Academy Elementary School,0591911,379,2015,all
Groton School District,0590011,Pleasant Valley School,0591211,296,2015,all
Groton School District,0590011,Robert E. Fitch High School,0596111,1070,2015,all
Groton School District,0590011,S. B. Butler School,0590111,282,2015,all
Groton School District,0590011,Virtual Learning Academy,0590611,*,2015,all
Groton School District,0590011,West Side Middle School,0595211,455,2015,all
Guilford School District,0600011,A. Baldwin Middle School,0600711,559,2015,all
Guilford School District,0600011,A. W. Cox School,0600611,302,2015,all
Guilford School District,0600011,Calvin Leete School,0600411,254,2015,all
Guilford School District,0600011,E. C. Adams Middle School,0605111,552,2015,all
Guilford School District,0600011,Guilford High School,0606111,1083,2015,all
Guilford School District,0600011,Guilford Lakes School,0600211,322,2015,all
Guilford School District,0600011,Melissa Jones School,0600311,321,2015,all
Hamden School District,0620011,Alice Peck Learning Center,0628011,150,2015,all
Hamden School District,0620011,Bear Path School,0621211,456,2015,all
Hamden School District,0620011,Church Street School,0620211,333,2015,all
Hamden School District,0620011,Dunbar Hill School,0620311,274,2015,all
Hamden School District,0620011,Hamden Collaborative Learning Center,0620511,73,2015,all
Hamden School District,0620011,Hamden High School,0626111,1598,2015,all
Hamden School District,0620011,Hamden Middle School,0625211,816,2015,all
Hamden School District,0620011,Helen Street School,0620411,316,2015,all
Hamden School District,0620011,Ridge Hill School,0621111,317,2015,all
Hamden School District,0620011,Shepherd Glen School,0620111,304,2015,all
Hamden School District,0620011,Spring Glen School,0621011,445,2015,all
Hamden School District,0620011,West Woods School,0621411,408,2015,all
Hampton School District,0630011,Hampton Elementary School,0630111,101,2015,all
Hartford School District,0640011,Asian Studies Academy at Bellizzi School,0640711,649,2015,all
Hartford School District,0640011,Autism Program - Dr. James H Naylor / CCSU,0645711,8,2015,all
Hartford School District,0640011,Autism Program - Environmental Sciences Magnet School at Mary M Hooker,0644311,*,2015,all
Hartford School District,0640011,Autism Program - Sarah J. Rawson Elementary School,0644411,45,2015,all
Hartford School District,0640011,Autism Program - Simpson-Waverly,0649311,14,2015,all
Hartford School District,0640011,Autism Program-Burr School,0648611,9,2015,all
Hartford School District,0640011,Batchelder School,0640411,478,2015,all
Hartford School District,0640011,Betances Early Reading Lab Magnet School,0642811,279,2015,all
Hartford School District,0640011,Breakthrough II Magnet School,0643511,280,2015,all
Hartford School District,0640011,Breakthrough Magnet School,0643311,355,2015,all
Hartford School District,0640011,Bulkeley High School Lower School,0646111,412,2015,all
Hartford School District,0640011,Bulkeley High School Upper School,0647111,379,2015,all
Hartford School District,0640011,Burns Latino Studies Academy,0640611,520,2015,all
Hartford School District,0640011,Burr School,0642311,590,2015,all
Hartford School District,0640011,Capital Community College Magnet Academy,0643911,56,2015,all
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,629,2015,all
Hartford School District,0640011,Clark School,0642411,246,2015,all
Hartford School District,0640011,Classical Magnet School,0646411,663,2015,all
Hartford School District,0640011,Culinary Arts Academy,0646011,285,2015,all
Hartford School District,0640011,DDP - Simpson-Waverly,0649411,*,2015,all
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,660,2015,all
Hartford School District,0640011,EDP - Betances Early Reading Lab,0645811,17,2015,all
Hartford School District,0640011,EDP - Bulkeley High School,0648311,15,2015,all
Hartford School District,0640011,EDP - HPHS Academy of Engineering and Green Technology,0648211,29,2015,all
Hartford School District,0640011,EDP - M.D. Fox,0645911,34,2015,all
Hartford School District,0640011,EDP - McDonough Expeditionary Learning School,0648111,9,2015,all
Hartford School District,0640011,Early Childhood Development Center (ECDC),0644111,28,2015,all
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,613,2015,all
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,532,2015,all
Hartford School District,0640011,Fred D. Wish Museum School,0642211,304,2015,all
Hartford School District,0640011,Global Communications Academy,0643611,661,2015,all
Hartford School District,0640011,Great Path Academy at MCC,0647911,268,2015,all
Hartford School District,0640011,HPHS Academy of Engineering and Green Technology,0647211,304,2015,all
Hartford School District,0640011,HPHS Academy of Nursing and Health Science,0647511,362,2015,all
Hartford School District,0640011,HPHS Law and Government Academy,0647411,367,2015,all
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,1022,2015,all
Hartford School District,0640011,Hartford PreKindergarten Magnet School,0641311,143,2015,all
Hartford School District,0640011,"High School, Inc.",0647611,233,2015,all
Hartford School District,0640011,High Step Transition,0648411,16,2015,all
Hartford School District,0640011,Journalism and Media Academy Magnet School,0647711,207,2015,all
Hartford School District,0640011,Kennelly School,0641011,571,2015,all
Hartford School District,0640011,Kinsella Magnet School of Performing Arts,0641111,910,2015,all
Hartford School District,0640011,LC - Breakthrough II,0649511,*,2015,all
Hartford School District,0640011,LC - Burns,0649611,8,2015,all
Hartford School District,0640011,LC - Moylan,0649811,*,2015,all
Hartford School District,0640011,M. D. Fox Elementary School,0640811,621,2015,all
Hartford School District,0640011,M. L. King School,0641611,356,2015,all
Hartford School District,0640011,MDP - Batchelder School,0644811,17,2015,all
Hartford School District,0640011,MDP - Bulkeley High School,0645011,17,2015,all
Hartford School District,0640011,MDP - HPHS Law and Government Academy,0644911,27,2015,all
Hartford School District,0640011,MDP - Moylan School,0648511,11,2015,all
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,239,2015,all
Hartford School District,0640011,Milner Elementary School,0641911,334,2015,all
Hartford School District,0640011,Montessori Magnet at Fisher School,0643711,340,2015,all
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,259,2015,all
Hartford School District,0640011,Noah Webster Micro Society School,0642011,660,2015,all
Hartford School District,0640011,Parkville Community School,0641511,537,2015,all
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,419,2015,all
Hartford School District,0640011,Renzulli Academy,0644011,99,2015,all
Hartford School District,0640011,SAND School,0640111,394,2015,all
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,367,2015,all
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,309,2015,all
Hartford School District,0640011,Sanchez School,0643011,480,2015,all
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,373,2015,all
Hartford School District,0640011,Simpson-Waverly School,0642611,293,2015,all
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,707,2015,all
Hartford School District,0640011,University High School of Science and Engineering,0646711,431,2015,all
Hartford School District,0640011,West Middle School,0642111,359,2015,all
Hartland School District,0650011,Hartland School,0650111,187,2015,all
Hebron School District,0670011,Gilead Hill School,0670211,294,2015,all
Hebron School District,0670011,Hebron Elementary School,0670111,436,2015,all
Highville Charter School District,2860013,Highville Charter School,2860113,462,2015,all
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,331,2015,all
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,271,2015,all
Jumoke Academy District,2610013,Jumoke Academy,2610113,734,2015,all
Kent School District,0680011,Kent Center School,0680111,237,2015,all
Killingly School District,0690011,Goodyear Early Childhood Center,0698011,130,2015,all
Killingly School District,0690011,Killingly Alternative Learning Program,0690611,16,2015,all
Killingly School District,0690011,Killingly Central School,0690111,377,2015,all
Killingly School District,0690011,Killingly High School,0696111,825,2015,all
Killingly School District,0690011,Killingly Intermediate School,0695211,688,2015,all
Killingly School District,0690011,Killingly Memorial School,0690311,484,2015,all
Learn,2450014,Connecticut River Academy,2456014,434,2015,all
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,145,2015,all
Learn,2450014,Goodwin College Early Childhood Interdistrict Magnet School,2450314,370,2015,all
Learn,2450014,LEARN Haynes Elementary Intensive Program,2451114,12,2015,all
Learn,2450014,LEARN High School ABA at MS,2450614,*,2015,all
Learn,2450014,LEARN Kelly Middle School Intensive Program,2450914,*,2015,all
Learn,2450014,LEARN Ledyard RICHES Program,2450714,*,2015,all
Learn,2450014,LEARN SAILS Middle School Program,2450814,*,2015,all
Learn,2450014,LEARN STS 18-21 Year Old Program,2450414,*,2015,all
Learn,2450014,Learn ABA Program at Center School,2451214,*,2015,all
Learn,2450014,Learn Pathways Program,2450514,*,2015,all
Learn,2450014,Learn SAILS Program at Salem,2451014,8,2015,all
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,271,2015,all
Learn,2450014,Regional Multicultural Magnet School,2450114,535,2015,all
Learn,2450014,The Friendship School,2450214,505,2015,all
Learn,2450014,Three Rivers Middle College Magnet School,2456214,67,2015,all
Lebanon School District,0710011,Lebanon Elementary School,0710111,368,2015,all
Lebanon School District,0710011,Lebanon Middle School,0715111,300,2015,all
Lebanon School District,0710011,Lyman Memorial High School,0716211,377,2015,all
Ledyard School District,0720011,Gales Ferry School,0720211,224,2015,all
Ledyard School District,0720011,Gallup Hill School,0720411,337,2015,all
Ledyard School District,0720011,Juliet W. Long School,0720311,294,2015,all
Ledyard School District,0720011,Ledyard Center School,0720111,407,2015,all
Ledyard School District,0720011,Ledyard High School,0726111,833,2015,all
Ledyard School District,0720011,Ledyard Middle School,0725111,323,2015,all
Lisbon School District,0730011,Lisbon Central School,0730111,388,2015,all
Litchfield School District,0740011,Center School,0740211,270,2015,all
Litchfield School District,0740011,Litchfield High School,0746111,296,2015,all
Litchfield School District,0740011,Litchfield Intermediate School,0740311,220,2015,all
Litchfield School District,0740011,Litchfield Middle School,0746011,175,2015,all
Madison School District,0760011,Daniel Hand High School,0766111,1164,2015,all
Madison School District,0760011,Dr. Robert H. Brown Middle School,0760611,416,2015,all
Madison School District,0760011,Island Avenue Elementary School,0760211,268,2015,all
Madison School District,0760011,J. Milton Jeffrey Elementary School,0760111,338,2015,all
Madison School District,0760011,Kathleen H. Ryerson Elementary School,0760311,229,2015,all
Madison School District,0760011,Town Campus Learning Center,0769011,43,2015,all
Madison School District,0760011,Walter C. Polson Upper Middle School,0765211,556,2015,all
Manchester School District,0770011,Bentley Alternative Education Program,0770211,53,2015,all
Manchester School District,0770011,Bowers School,0770111,392,2015,all
Manchester School District,0770011,Buckley School,0770311,365,2015,all
Manchester School District,0770011,Elisabeth M. Bennet Academy,0771711,420,2015,all
Manchester School District,0770011,Highland Park School,0770411,262,2015,all
Manchester School District,0770011,Illing Middle School,0775311,780,2015,all
Manchester School District,0770011,Keeney School,0770611,354,2015,all
Manchester School District,0770011,Manchester High School,0776111,1534,2015,all
Manchester School District,0770011,Manchester Preschool - Site 2,0770811,16,2015,all
Manchester School District,0770011,Manchester Preschool Center,0778011,186,2015,all
Manchester School District,0770011,Manchester Regional Academy,0779011,67,2015,all
Manchester School District,0770011,Manchester Transition Center,0779111,13,2015,all
Manchester School District,0770011,Martin School,0771611,268,2015,all
Manchester School District,0770011,New Horizons,0770711,22,2015,all
Manchester School District,0770011,Robertson School,0771011,356,2015,all
Manchester School District,0770011,Verplanck School,0771211,386,2015,all
Manchester School District,0770011,Waddell School,0771311,377,2015,all
Manchester School District,0770011,Washington School,0771411,357,2015,all
Mansfield School District,0780011,Annie E. Vinton School,0780411,268,2015,all
Mansfield School District,0780011,Dorothy C. Goodwin School,0780211,207,2015,all
Mansfield School District,0780011,Mansfield Middle School School,0785111,530,2015,all
Mansfield School District,0780011,Southeast Elementary School,0780511,242,2015,all
Marlborough School District,0790011,Elmer Thienes-Mary Hall Elementary School,0790111,556,2015,all
Meriden School District,0800011,Benjamin Franklin School,0800111,346,2015,all
Meriden School District,0800011,Casimir Pulaski School,0801111,557,2015,all
Meriden School District,0800011,Community Classroom Collaborative-Meriden School District,0800211,11,2015,all
Meriden School District,0800011,Francis T. Maloney High School,0806111,1177,2015,all
Meriden School District,0800011,Hanover School,0800311,616,2015,all
Meriden School District,0800011,Israel Putnam School,0800411,588,2015,all
Meriden School District,0800011,John Barry School,0800511,476,2015,all
Meriden School District,0800011,Lincoln Middle School,0805211,743,2015,all
Meriden School District,0800011,Nathan Hale School,0800711,630,2015,all
Meriden School District,0800011,Orville H. Platt High School,0806211,1013,2015,all
Meriden School District,0800011,Roger Sherman School,0800811,559,2015,all
Meriden School District,0800011,STARS-Meriden School District,0800611,39,2015,all
Meriden School District,0800011,STEP-Meriden School District,0800911,19,2015,all
Meriden School District,0800011,Steps-Meriden School District,0801211,16,2015,all
Meriden School District,0800011,Thomas Hooker School,0801011,421,2015,all
Meriden School District,0800011,Venture Academy-Meriden School District,0801311,42,2015,all
Meriden School District,0800011,Washington Middle School,0805411,674,2015,all
Middletown School District,0830011,Bielefield School,0830211,289,2015,all
Middletown School District,0830011,Evening Program - MHS,0831611,11,2015,all
Middletown School District,0830011,Farm Hill School,0830511,337,2015,all
Middletown School District,0830011,ICM - Farm Hill,0830611,*,2015,all
Middletown School District,0830011,ICM - Lawrence,0830711,*,2015,all
Middletown School District,0830011,ICM - Spencer,0832011,7,2015,all
Middletown School District,0830011,ICM - Wesley,0830811,*,2015,all
Middletown School District,0830011,ICM- Woodrow Wilson Middle School,0830411,6,2015,all
Middletown School District,0830011,Keigwin Middle School,0831511,312,2015,all
Middletown School District,0830011,Lawrence School,0831311,280,2015,all
Middletown School District,0830011,MHS - Alternative Education Program 1,0831811,8,2015,all
Middletown School District,0830011,MHS - Alternative Education Program 2,0831911,7,2015,all
Middletown School District,0830011,MHS- Alternative Education Program 3,0832211,*,2015,all
Middletown School District,0830011,MacDonough School,0830911,208,2015,all
Middletown School District,0830011,Middletown High School,0836211,1202,2015,all
Middletown School District,0830011,Moody School,0831211,261,2015,all
Middletown School District,0830011,OASIS,0830311,*,2015,all
Middletown School District,0830011,STEM - Macdonough,0832111,20,2015,all
Middletown School District,0830011,Snow School,0831111,393,2015,all
Middletown School District,0830011,Spencer School,0830111,293,2015,all
Middletown School District,0830011,Transition to Life Center,0839111,25,2015,all
Middletown School District,0830011,Virtual Learning Academy - MHS,0831711,11,2015,all
Middletown School District,0830011,Wesley School,0831411,267,2015,all
Middletown School District,0830011,Woodrow Wilson Middle School,0835411,670,2015,all
Milford School District,0840011,Calf Pen Meadow School,0840111,293,2015,all
Milford School District,0840011,East Shore Middle School,0845111,456,2015,all
Milford School District,0840011,Harborside Middle School,0845211,536,2015,all
Milford School District,0840011,J. F. Kennedy School,0841911,378,2015,all
Milford School District,0840011,Jonathan Law High School,0846211,940,2015,all
Milford School District,0840011,Joseph A. Foran High School,0846311,920,2015,all
Milford School District,0840011,Live Oaks School,0841611,315,2015,all
Milford School District,0840011,Mathewson School,0841711,414,2015,all
Milford School District,0840011,Meadowside School,0840711,315,2015,all
Milford School District,0840011,Orange Avenue School,0840811,409,2015,all
Milford School District,0840011,Orchard Hills School,0841811,370,2015,all
Milford School District,0840011,Pumpkin Delight School,0841011,280,2015,all
Milford School District,0840011,The Academy,0840311,47,2015,all
Milford School District,0840011,West Shore Middle School,0845311,450,2015,all
Monroe School District,0850011,Fawn Hollow Elementary School,0850511,497,2015,all
Monroe School District,0850011,Jockey Hollow School,0855211,780,2015,all
Monroe School District,0850011,Masuk Alternative Program,0850211,13,2015,all
Monroe School District,0850011,Masuk High School,0856111,1092,2015,all
Monroe School District,0850011,Monroe Elementary School,0850111,354,2015,all
Monroe School District,0850011,REAL,0850411,*,2015,all
Monroe School District,0850011,Stepney Elementary School,0850311,430,2015,all
Montville School District,0860011,Dr. Charles E. Murphy School,0860711,342,2015,all
Montville School District,0860011,Leonard J. Tyl Middle School,0865111,551,2015,all
Montville School District,0860011,Mohegan School,0860111,333,2015,all
Montville School District,0860011,Montville High School,0866111,654,2015,all
Montville School District,0860011,Oakdale School,0860511,297,2015,all
Montville School District,0860011,Palmer Academy,0869011,28,2015,all
Montville School District,0860011,Pre School Program,0860311,40,2015,all
Naugatuck School District,0880011,Andrew Avenue School,0880811,272,2015,all
Naugatuck School District,0880011,Central Avenue Preschool,0888211,30,2015,all
Naugatuck School District,0880011,City Hill Middle School,0885111,675,2015,all
Naugatuck School District,0880011,Cross Street Intermediate School,0880211,312,2015,all
Naugatuck School District,0880011,Genesis Academy,0880911,11,2015,all
Naugatuck School District,0880011,Head Start,0888111,118,2015,all
Naugatuck School District,0880011,Hillside Intermediate School,0880411,312,2015,all
Naugatuck School District,0880011,Hop Brook Elementary School,0880511,310,2015,all
Naugatuck School District,0880011,Maple Hill School,0880311,450,2015,all
Naugatuck School District,0880011,Naugatuck High School,0886111,1198,2015,all
Naugatuck School District,0880011,Salem School,0880611,266,2015,all
Naugatuck School District,0880011,Western School,0880711,281,2015,all
"New Beginnings Inc., Family Academy District",2800013,New Beginnings Inc Family Academy,2800113,499,2015,all
New Britain School District,0890011,Alternative Center School,0899111,51,2015,all
New Britain School District,0890011,Behavior Support,0891011,11,2015,all
New Britain School District,0890011,CLIMB,0899411,18,2015,all
New Britain School District,0890011,Chamberlain  Elementary School,0890311,467,2015,all
New Britain School District,0890011,Frank J. DiLoreto School,0891111,791,2015,all
New Britain School District,0890011,Gaffney School,0890511,578,2015,all
New Britain School District,0890011,Holmes School,0890611,461,2015,all
New Britain School District,0890011,House of Arts Letters and Science (HALS)  Academy,0895411,149,2015,all
New Britain School District,0890011,Jefferson School,0890711,442,2015,all
New Britain School District,0890011,KEY Elementary,0891611,44,2015,all
New Britain School District,0890011,KEY Middle,0891711,12,2015,all
New Britain School District,0890011,Lincoln School,0890811,688,2015,all
New Britain School District,0890011,New Britain High School,0896111,2460,2015,all
New Britain School District,0890011,New Britain Transition Center,0899011,38,2015,all
New Britain School District,0890011,Northend School,0890911,285,2015,all
New Britain School District,0890011,Preschool at Roosevelt,0890111,137,2015,all
New Britain School District,0890011,Pulaski Middle School,0895311,766,2015,all
New Britain School District,0890011,STEPS,0891811,36,2015,all
New Britain School District,0890011,Slade Middle School,0895211,733,2015,all
New Britain School District,0890011,Smalley Academy,0891211,678,2015,all
New Britain School District,0890011,Smith School,0891311,580,2015,all
New Britain School District,0890011,Sunrise Intermediate,0890411,12,2015,all
New Britain School District,0890011,Sunrise Primary,0890211,22,2015,all
New Britain School District,0890011,Vance School,0891511,523,2015,all
New Canaan School District,0900011,East School,0900411,543,2015,all
New Canaan School District,0900011,New Canaan High School,0906111,1251,2015,all
New Canaan School District,0900011,Saxe Middle School,0905111,1327,2015,all
New Canaan School District,0900011,South School,0900211,542,2015,all
New Canaan School District,0900011,West School,0900311,547,2015,all
New Fairfield School District,0910011,Alternative Learning Center,0910311,8,2015,all
New Fairfield School District,0910011,Consolidated School,0910111,501,2015,all
New Fairfield School District,0910011,Meeting House Hill School,0910211,490,2015,all
New Fairfield School District,0910011,New Fairfield High School,0916111,904,2015,all
New Fairfield School District,0910011,New Fairfield Middle School,0915211,587,2015,all
New Hartford School District,0920011,Ann Antolini School,0920311,296,2015,all
New Hartford School District,0920011,Bakerville Consolidated School,0920111,113,2015,all
New Hartford School District,0920011,New Hartford Elementary School,0920211,61,2015,all
New Haven School District,0930011,Augusta Lewis Troup School,0931511,482,2015,all
New Haven School District,0930011,Barnard Environmental Magnet School,0930211,563,2015,all
New Haven School District,0930011,Beecher School,0930311,505,2015,all
New Haven School District,0930011,Benjamin Jepson Magnet School,0931811,530,2015,all
New Haven School District,0930011,Betsy Ross Arts Magnet School,0935511,456,2015,all
New Haven School District,0930011,Bishop Woods School,0934311,481,2015,all
New Haven School District,0930011,Blake Street Leadership Academy (STEP),0932411,16,2015,all
New Haven School District,0930011,"Celentano BioTech, Health and Medical Magnet School",0934811,368,2015,all
New Haven School District,0930011,Clemente Leadership Academy,0934211,520,2015,all
New Haven School District,0930011,Clinton Avenue School,0930611,577,2015,all
New Haven School District,0930011,Columbus Family Academy,0934111,461,2015,all
New Haven School District,0930011,Conte/West Hills Magnet School,0933111,637,2015,all
New Haven School District,0930011,Cooperative High School,0936411,647,2015,all
New Haven School District,0930011,Davis 21st Century Magnet Elementary School,0930911,497,2015,all
New Haven School District,0930011,Domus Academy,0935611,29,2015,all
New Haven School District,0930011,Early Learning Center,0938111,123,2015,all
New Haven School District,0930011,East Rock Community Magnet School,0934611,476,2015,all
New Haven School District,0930011,Edgewood School,0931211,437,2015,all
New Haven School District,0930011,Engineering - Science University Magnet School,0931711,604,2015,all
New Haven School District,0930011,Fair Haven School,0931611,765,2015,all
New Haven School District,0930011,Headstart,0938011,367,2015,all
New Haven School District,0930011,Helene Grant Headstart,0938311,266,2015,all
New Haven School District,0930011,High School In The Community,0936611,251,2015,all
New Haven School District,0930011,Hill Central Music Academy,0930711,495,2015,all
New Haven School District,0930011,Hill Regional Career High School,0936311,665,2015,all
New Haven School District,0930011,"Hyde School of Health, Science and Sports Medicine",0936811,194,2015,all
New Haven School District,0930011,James Hillhouse High School,0936211,945,2015,all
New Haven School District,0930011,John C. Daniels,0931311,528,2015,all
New Haven School District,0930011,John S. Martinez School,0930811,525,2015,all
New Haven School District,0930011,Katherine Brennan/Clarence Rogers School,0932111,492,2015,all
New Haven School District,0930011,King/Robinson Magnet School,0933011,559,2015,all
New Haven School District,0930011,Lincoln-Bassett School,0932011,378,2015,all
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,539,2015,all
New Haven School District,0930011,Metropolitan Business Academy,0936011,403,2015,all
New Haven School District,0930011,NHPS Self Contained Autism,0934411,40,2015,all
New Haven School District,0930011,NHPS Self Contained Intellectually Disabled,0935011,30,2015,all
New Haven School District,0930011,NHPS Self Contained Multi-Handicapped,0934511,42,2015,all
New Haven School District,0930011,Nathan Hale School,0931411,524,2015,all
New Haven School District,0930011,New Haven Academy,0937011,255,2015,all
New Haven School District,0930011,New Horizons High School,0932211,80,2015,all
New Haven School District,0930011,New Light High School,0932611,37,2015,all
New Haven School District,0930011,Polly T. McCabe Center,0939211,*,2015,all
New Haven School District,0930011,Quinnipiac Real World Math STEM School,0933511,306,2015,all
New Haven School District,0930011,Riverside Education Academy,0939111,80,2015,all
New Haven School District,0930011,Ross/Woodward School,0931011,669,2015,all
New Haven School District,0930011,Sound School,0936711,340,2015,all
New Haven School District,0930011,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,397,2015,all
New Haven School District,0930011,Truman School,0932911,493,2015,all
New Haven School District,0930011,West Rock Authors Academy,0934911,241,2015,all
New Haven School District,0930011,Wexler/Grant Community School,0933211,425,2015,all
New Haven School District,0930011,Wilbur Cross High School,0936111,1446,2015,all
New Haven School District,0930011,Worthington Hooker School,0933811,441,2015,all
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,602,2015,all
New London School District,0950011,Early Childhood Center at Harbor,0950611,115,2015,all
New London School District,0950011,Jennings School,0950311,559,2015,all
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,503,2015,all
New London School District,0950011,New London High School,0956111,963,2015,all
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,580,2015,all
New Milford School District,0960011,Hill And Plain School,0960511,434,2015,all
New Milford School District,0960011,Litchfield Hills Transition Center,0969011,17,2015,all
New Milford School District,0960011,New Milford High School,0966111,1345,2015,all
New Milford School District,0960011,Northville Elementary School,0960811,441,2015,all
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,959,2015,all
New Milford School District,0960011,Schaghticoke Middle School,0965211,1031,2015,all
Newington School District,0940011,Anna Reynolds School,0940611,473,2015,all
Newington School District,0940011,Elizabeth Green School,0940211,294,2015,all
Newington School District,0940011,John Paterson School,0940811,384,2015,all
Newington School District,0940011,John Wallace Middle School,0945311,674,2015,all
Newington School District,0940011,Martin Kellogg Middle School,0945111,620,2015,all
Newington School District,0940011,Newington High School,0946111,1266,2015,all
Newington School District,0940011,Ruth Chaffee School,0940711,331,2015,all
Newtown School District,0970011,Hawley Elementary School,0970111,320,2015,all
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,297,2015,all
Newtown School District,0970011,Middle Gate Elementary School,0970311,368,2015,all
Newtown School District,0970011,Newtown High School,0976111,1679,2015,all
Newtown School District,0970011,Newtown Middle School,0975111,812,2015,all
Newtown School District,0970011,Newtown Preschool,0978011,48,2015,all
Newtown School District,0970011,Reed Intermediate School,0970511,701,2015,all
Newtown School District,0970011,STARR,0979011,*,2015,all
Newtown School District,0970011,Sandy Hook Elementary School,0970211,337,2015,all
Norfolk School District,0980011,Botelle Elementary School,0980111,116,2015,all
North Branford School District,0990011,Jerome Harrison School,0990411,402,2015,all
North Branford School District,0990011,North Branford High School,0996111,579,2015,all
North Branford School District,0990011,North Branford Intermediate School,0995111,492,2015,all
North Branford School District,0990011,School to Work Program,0999011,*,2015,all
North Branford School District,0990011,Totoket Valley Elementary School,0990611,405,2015,all
North Canaan School District,1000011,North Canaan Elementary School,1000111,260,2015,all
North Haven School District,1010011,Clintonville Elementary School,1010811,302,2015,all
North Haven School District,1010011,Green Acres Elementary School,1010711,377,2015,all
North Haven School District,1010011,Montowese Elementary School,1010211,288,2015,all
North Haven School District,1010011,North Haven High School,1016111,1000,2015,all
North Haven School District,1010011,North Haven Middle School,1015211,785,2015,all
North Haven School District,1010011,North Haven Transition Partnership,1010111,9,2015,all
North Haven School District,1010011,Ridge Road Elementary School,1010311,399,2015,all
North Stonington School District,1020011,North Stonington Elementary School,1020111,366,2015,all
North Stonington School District,1020011,Wheeler High School,1026111,189,2015,all
North Stonington School District,1020011,Wheeler Middle School,1025111,173,2015,all
Norwalk School District,1030011,Brien McMahon High School,1036211,1663,2015,all
Norwalk School District,1030011,Brookside Elementary School,1030211,493,2015,all
Norwalk School District,1030011,Columbus Magnet School,1030311,348,2015,all
Norwalk School District,1030011,Cranbury Elementary School,1030411,480,2015,all
Norwalk School District,1030011,Fox Run Elementary School,1032011,444,2015,all
Norwalk School District,1030011,Jefferson Magnet School,1030711,611,2015,all
Norwalk School District,1030011,Kendall Elementary School,1030811,559,2015,all
Norwalk School District,1030011,Marvin Elementary School,1032211,486,2015,all
Norwalk School District,1030011,Naramake Elementary School,1032111,455,2015,all
Norwalk School District,1030011,Nathan Hale Middle School,1035211,677,2015,all
Norwalk School District,1030011,Norwalk High School,1036111,1570,2015,all
Norwalk School District,1030011,Norwalk Pathways Academy at Briggs,1036311,53,2015,all
Norwalk School District,1030011,Ponus Ridge Middle School,1035311,666,2015,all
Norwalk School District,1030011,Roton Middle School,1035511,476,2015,all
Norwalk School District,1030011,Rowayton School,1031311,443,2015,all
Norwalk School District,1030011,Silvermine Elementary School,1032311,498,2015,all
Norwalk School District,1030011,Tracey School,1031411,382,2015,all
Norwalk School District,1030011,West Rocks Middle School,1035411,670,2015,all
Norwalk School District,1030011,Wolfpit School,1032411,332,2015,all
Norwich Free Academy District,9010022,Alternative Pathways to Success,9010322,12,2015,all
Norwich Free Academy District,9010022,"LEAD (Life Skills, Education and Adult Development)",9010122,12,2015,all
Norwich Free Academy District,9010022,Night School,9010222,11,2015,all
Norwich Free Academy District,9010022,Norwich Free Academy,9016122,2247,2015,all
