district,district_code,school,school_code,no,yes,total,year,group
Shelton School District,1260011,Sunnyside School,1260611,208,26,234,2015,special-ed
Shelton School District,1260011,Work Experience,1260711,0,21,21,2015,special-ed
Sherman School District,1270011,Sherman School,1270111,288,45,333,2015,special-ed
Side By Side Charter School District,2700013,Side By Side Charter School,2700113,217,19,236,2015,special-ed
Simsbury School District,1280011,Central School,1280111,336,56,392,2015,special-ed
Simsbury School District,1280011,Henry James Memorial School,1285111,615,95,710,2015,special-ed
Simsbury School District,1280011,Latimer Lane School,1280611,340,31,371,2015,special-ed
Simsbury School District,1280011,Simsbury High School,1286111,1251,172,1423,2015,special-ed
Simsbury School District,1280011,Squadron Line School,1280711,528,81,609,2015,special-ed
Simsbury School District,1280011,Tariffville School,1280311,256,28,284,2015,special-ed
Simsbury School District,1280011,Tootin' Hills School,1280411,324,46,370,2015,special-ed
Somers School District,1290011,Aspire,1290511,*,*,7,2015,special-ed
Somers School District,1290011,Mabelle B. Avery Middle School,1295111,324,35,359,2015,special-ed
Somers School District,1290011,Somers Elementary School,1290411,520,65,585,2015,special-ed
Somers School District,1290011,Somers High School,1296111,423,55,478,2015,special-ed
South Windsor School District,1320011,Pleasant Valley School,1320211,321,35,356,2015,special-ed
South Windsor School District,1320011,Eli Terry School,1320711,365,87,452,2015,special-ed
South Windsor School District,1320011,Orchard Hill School,1320611,353,38,391,2015,special-ed
South Windsor School District,1320011,Philip R. Smith School,1320111,295,25,320,2015,special-ed
South Windsor School District,1320011,Project Worth Young Adult Academy,1329011,0,11,11,2015,special-ed
South Windsor School District,1320011,South Windsor High School,1326211,1173,145,1318,2015,special-ed
South Windsor School District,1320011,Timothy Edwards School,1325111,834,134,968,2015,special-ed
South Windsor School District,1320011,Wapping Elementary School,1320411,265,47,312,2015,special-ed
Southington School District,1310011,John F. Kennedy Middle School,1315311,735,104,839,2015,special-ed
Southington School District,1310011,Achieve,1311711,0,*,*,2015,special-ed
Southington School District,1310011,Alta,1310111,19,14,33,2015,special-ed
Southington School District,1310011,Derynoski Elementary School,1311511,523,77,600,2015,special-ed
Southington School District,1310011,EASE,1310511,0,10,10,2015,special-ed
Southington School District,1310011,Flanders Elementary School,1311311,276,24,300,2015,special-ed
Southington School District,1310011,Hatton Elementary School,1310211,323,34,357,2015,special-ed
Southington School District,1310011,Hatton Preschool Program,1312011,29,43,72,2015,special-ed
Southington School District,1310011,Joseph A. Depaolo Middle School,1315111,664,79,743,2015,special-ed
Southington School District,1310011,Language Based Classroom,1310411,0,11,11,2015,special-ed
Southington School District,1310011,"Language Based Classroom, Multihandicapped",1311811,0,11,11,2015,special-ed
Southington School District,1310011,Plantsville Elementary School,1310611,266,22,288,2015,special-ed
Southington School District,1310011,South End Elementary School,1310711,210,22,232,2015,special-ed
Southington School District,1310011,South End Preschool Program,1312111,8,12,20,2015,special-ed
Southington School District,1310011,Southington High School,1316211,1748,219,1967,2015,special-ed
Southington School District,1310011,Strong Elementary School,1310811,261,34,295,2015,special-ed
Southington School District,1310011,Thalberg Elementary School,1310911,404,25,429,2015,special-ed
Southington School District,1310011,Therapeutic Educational Alternative Model (TEAM),1311611,0,7,7,2015,special-ed
Southington School District,1310011,Therapeutic Educational Setting (TEP),1311211,0,11,11,2015,special-ed
Southington School District,1310011,Urbin T. Kelley School,1311411,294,25,319,2015,special-ed
Sprague School District,1330011,Sayles School,1330111,311,49,360,2015,special-ed
Stafford School District,1340011,Stafford Elementary School,1340611,419,52,471,2015,special-ed
Stafford School District,1340011,Stafford High School,1346111,352,57,409,2015,special-ed
Stafford School District,1340011,Stafford Middle School,1345211,295,36,331,2015,special-ed
Stafford School District,1340011,Stafford Tutoring Program,1340211,*,*,*,2015,special-ed
Stafford School District,1340011,Staffordville School,1340311,143,14,157,2015,special-ed
Stafford School District,1340011,West Stafford School,1340411,144,17,161,2015,special-ed
Stamford Academy District,2820013,Stamford Academy,2826013,112,38,150,2015,special-ed
Stamford Charter School for Excellence District,2960013,Stamford Charter School for Excellence,2960113,154,10,164,2015,special-ed
Stamford School District,1350011,Alternate Routes To Success,1350411,41,38,79,2015,special-ed
Stamford School District,1350011,Apples PreK,1350111,52,88,140,2015,special-ed
Stamford School District,1350011,Cloonan School,1355611,441,100,541,2015,special-ed
Stamford School District,1350011,Davenport Ridge School,1352011,578,60,638,2015,special-ed
Stamford School District,1350011,Dolan School,1355311,434,63,497,2015,special-ed
Stamford School District,1350011,Hart School,1352211,588,40,628,2015,special-ed
Stamford School District,1350011,Individuals Achieving Independence,1350211,0,22,22,2015,special-ed
Stamford School District,1350011,Julia A. Stark School,1351211,549,62,611,2015,special-ed
Stamford School District,1350011,K. T. Murphy School,1350511,515,34,549,2015,special-ed
Stamford School District,1350011,Newfield School,1350611,562,61,623,2015,special-ed
Stamford School District,1350011,Northeast School,1351811,571,65,636,2015,special-ed
Stamford School District,1350011,Preschool Team,1358011,0,57,57,2015,special-ed
Stamford School District,1350011,Rippowam Middle School,1355811,702,97,799,2015,special-ed
Stamford School District,1350011,Rogers International School,1350811,739,62,801,2015,special-ed
Stamford School District,1350011,Roxbury School,1350911,552,66,618,2015,special-ed
Stamford School District,1350011,Scofield Middle School,1355711,663,52,715,2015,special-ed
Stamford School District,1350011,Springdale School,1351111,598,53,651,2015,special-ed
Stamford School District,1350011,Stamford High School,1356111,1501,218,1719,2015,special-ed
Stamford School District,1350011,Stillmeadow School,1352111,616,82,698,2015,special-ed
Stamford School District,1350011,The Academy of Information Technology,1356411,615,71,686,2015,special-ed
Stamford School District,1350011,Toquam Magnet School,1351911,672,34,706,2015,special-ed
Stamford School District,1350011,Turn of River School,1355511,513,71,584,2015,special-ed
Stamford School District,1350011,Westhill High School,1356311,1864,232,2096,2015,special-ed
Stamford School District,1350011,Westover School,1351411,720,46,766,2015,special-ed
Sterling School District,1360011,Sterling Community School,1360311,400,47,447,2015,special-ed
Stonington School District,1370011,Community Classroom,1370811,0,*,*,2015,special-ed
Stonington School District,1370011,Deans Mill School,1370511,336,51,387,2015,special-ed
Stonington School District,1370011,Mystic Middle School,1375211,353,53,406,2015,special-ed
Stonington School District,1370011,Pawcatuck Middle School,1375111,220,49,269,2015,special-ed
Stonington School District,1370011,Stonington BOE Pre-School,1370111,6,13,19,2015,special-ed
Stonington School District,1370011,Stonington HS PreK,1370211,9,10,19,2015,special-ed
Stonington School District,1370011,Stonington High School,1376111,630,83,713,2015,special-ed
Stonington School District,1370011,West Broad Street School,1370411,123,25,148,2015,special-ed
Stonington School District,1370011,West Vine Street School,1370611,170,19,189,2015,special-ed
Stratford School District,1380011,Eli Whitney School,1381311,462,43,505,2015,special-ed
Stratford School District,1380011,ABA Nichols,1382511,0,*,*,2015,special-ed
Stratford School District,1380011,ABA Second Hill Lane,1380611,0,*,*,2015,special-ed
Stratford School District,1380011,ABA Whitney,1382411,0,*,*,2015,special-ed
Stratford School District,1380011,ALPHA,1380511,28,14,42,2015,special-ed
Stratford School District,1380011,Bunnell High School,1386211,950,97,1047,2015,special-ed
Stratford School District,1380011,Chapel School,1380311,475,43,518,2015,special-ed
Stratford School District,1380011,DLC Whitney,1382311,0,*,*,2015,special-ed
Stratford School District,1380011,David Wooster Middle School,1385211,501,47,548,2015,special-ed
Stratford School District,1380011,Franklin STEPS K-2,1382111,0,*,*,2015,special-ed
Stratford School District,1380011,Franklin School,1380411,244,37,281,2015,special-ed
Stratford School District,1380011,Harry B. Flood Middle School,1385311,495,65,560,2015,special-ed
Stratford School District,1380011,High School STEPS 9-12,1382011,0,6,6,2015,special-ed
Stratford School District,1380011,High School Sails,1380711,0,10,10,2015,special-ed
Stratford School District,1380011,IPP Classroom - Johnson,1381111,0,6,6,2015,special-ed
Stratford School District,1380011,Johnson House STEPS 3-6,1381211,0,8,8,2015,special-ed
Stratford School District,1380011,Lordship School,1380811,236,20,256,2015,special-ed
Stratford School District,1380011,Middle School STEPS 7-8,1381911,0,*,*,2015,special-ed
Stratford School District,1380011,Middle School Sails,1381811,0,*,*,2015,special-ed
Stratford School District,1380011,Nichols School,1380911,378,41,419,2015,special-ed
Stratford School District,1380011,Second Hill Lane School,1381011,509,109,618,2015,special-ed
Stratford School District,1380011,Steps K-2 Nichols,1382611,0,*,*,2015,special-ed
Stratford School District,1380011,Straford Academy - Victoria Soto School,1382211,263,14,277,2015,special-ed
Stratford School District,1380011,Stratford Academy - Johnson House,1381511,380,31,411,2015,special-ed
Stratford School District,1380011,Stratford High School,1386111,841,106,947,2015,special-ed
Stratford School District,1380011,Strive-Stratford,1389011,0,14,14,2015,special-ed
Stratford School District,1380011,Wilcoxson School,1381411,309,32,341,2015,special-ed
Suffield School District,1390011,A. Ward Spaulding School,1390411,426,72,498,2015,special-ed
Suffield School District,1390011,McAlister Intermediate School,1390311,426,40,466,2015,special-ed
Suffield School District,1390011,Suffield High School,1396111,735,93,828,2015,special-ed
Suffield School District,1390011,Suffield Middle School,1395111,504,57,561,2015,special-ed
The Bridge Academy District,2690013,The Bridge Academy,2696113,232,47,279,2015,special-ed
The Gilbert School District,9020022,The Gilbert School,9026122,464,89,553,2015,special-ed
Thomaston School District,1400011,Black Rock School,1400111,220,49,269,2015,special-ed
Thomaston School District,1400011,Thomaston Center School,1400211,186,29,215,2015,special-ed
Thomaston School District,1400011,Thomaston High School,1406211,346,64,410,2015,special-ed
Thompson School District,1410011,District Autism Program,1410211,0,*,*,2015,special-ed
Thompson School District,1410011,Mary R. Fisher Elementary School,1410111,328,59,387,2015,special-ed
Thompson School District,1410011,Thompson Middle School,1415111,302,31,333,2015,special-ed
Thompson School District,1410011,Tourtellotte Memorial High School,1416111,253,21,274,2015,special-ed
Tolland School District,1420011,Birch Grove Primary School,1420111,461,68,529,2015,special-ed
Tolland School District,1420011,TALC,1420311,*,*,11,2015,special-ed
Tolland School District,1420011,Tolland High School,1426111,747,81,828,2015,special-ed
Tolland School District,1420011,Tolland Intermediate School,1420211,479,66,545,2015,special-ed
Tolland School District,1420011,Tolland Middle School,1425111,596,68,664,2015,special-ed
Torrington School District,1430011,East School,1430111,310,37,347,2015,special-ed
Torrington School District,1430011,ABC / Forbes School,1431511,0,*,*,2015,special-ed
Torrington School District,1430011,Forbes School,1430211,312,72,384,2015,special-ed
Torrington School District,1430011,Hilltop Outreach,1432311,0,7,7,2015,special-ed
Torrington School District,1430011,Migeon Academy,1431411,*,*,7,2015,special-ed
Torrington School District,1430011,Pre-K SpEd,1431611,0,17,17,2015,special-ed
Torrington School District,1430011,PreK,1432211,42,0,42,2015,special-ed
Torrington School District,1430011,Southwest School,1430811,272,41,313,2015,special-ed
Torrington School District,1430011,Torringford / ABC,1432411,0,*,*,2015,special-ed
Torrington School District,1430011,Torringford School,1430911,536,91,627,2015,special-ed
Torrington School District,1430011,Torrington High School,1436111,793,162,955,2015,special-ed
Torrington School District,1430011,Torrington Middle School,1435111,832,182,1014,2015,special-ed
Torrington School District,1430011,Vogel-Wetmore School,1431311,343,94,437,2015,special-ed
Trailblazers Academy District,2780013,Trailblazers Academy,2785113,85,40,125,2015,special-ed
Trumbull School District,1440011,Booth Hill School,1440111,424,32,456,2015,special-ed
Trumbull School District,1440011,Daniels Farm School,1440811,425,35,460,2015,special-ed
Trumbull School District,1440011,Frenchtown Elementary School,1441011,489,65,554,2015,special-ed
Trumbull School District,1440011,Hillcrest Middle School,1445211,674,95,769,2015,special-ed
Trumbull School District,1440011,Jane Ryan School,1440411,343,34,377,2015,special-ed
Trumbull School District,1440011,Madison Middle School,1445111,714,78,792,2015,special-ed
Trumbull School District,1440011,Middlebrook School,1440311,447,50,497,2015,special-ed
Trumbull School District,1440011,Tashua School,1440911,358,43,401,2015,special-ed
Trumbull School District,1440011,Trumbull Early Childhood Education Center,1448011,153,56,209,2015,special-ed
Trumbull School District,1440011,Trumbull High School,1446111,1969,182,2151,2015,special-ed
Unified School District #1,3360015,Bridgeport Correctional Center,3360115,*,*,6,2015,special-ed
Unified School District #1,3360015,Brooklyn Correctional Institution,3360215,*,0,*,2015,special-ed
Unified School District #1,3360015,Cheshire Correctional Institution,3360315,*,*,10,2015,special-ed
Unified School District #1,3360015,Corrigan/Radgowski Correctional Institution,3362415,*,*,11,2015,special-ed
Unified School District #1,3360015,Enfield Correctional Institution,3360415,*,*,*,2015,special-ed
Unified School District #1,3360015,Garner Correctional Institution,3361915,7,10,17,2015,special-ed
Unified School District #1,3360015,Hartford Correctional Center,3360615,*,*,8,2015,special-ed
Unified School District #1,3360015,MacDougall/Walker Correctional Institution,3362215,*,*,7,2015,special-ed
Unified School District #1,3360015,Manson Youth Institution,3361115,176,119,295,2015,special-ed
Unified School District #1,3360015,New Haven Correctional Center,3360915,*,0,*,2015,special-ed
Unified School District #1,3360015,Northern Correctional Institution,3362615,*,*,7,2015,special-ed
Unified School District #1,3360015,Osborn Correctional Institution,3361215,*,*,7,2015,special-ed
Unified School District #1,3360015,Robinson Correctional Institution,3361315,*,*,*,2015,special-ed
Unified School District #1,3360015,Willard/Cybulski Correctional Institution,3361515,*,0,*,2015,special-ed
Unified School District #1,3360015,York Correctional Institution,3362515,*,*,11,2015,special-ed
Unified School District #2,3470015,Children''s Place School,3470115,*,*,28,2015,special-ed
Unified School District #2,3470015,Children's Place School,3470115,*,*,28,2015,special-ed
Unified School District #2,3470015,Riverview School,3470315,9,52,61,2015,special-ed
Unified School District #2,3470015,Walter G. Cady School,3476715,24,38,62,2015,special-ed
Union School District,1450011,Union Elementary School,1450111,67,13,80,2015,special-ed
Vernon School District,1460011,Northeast School,1460311,275,47,322,2015,special-ed
Vernon School District,1460011,Center Road School,1461411,434,68,502,2015,special-ed
Vernon School District,1460011,Lake Street School,1460111,189,30,219,2015,special-ed
Vernon School District,1460011,Loveland Hill School,1460511,0,10,10,2015,special-ed
Vernon School District,1460011,Maple Street School,1460211,223,51,274,2015,special-ed
Vernon School District,1460011,Next Step Program (AACBP),1469011,0,7,7,2015,special-ed
Vernon School District,1460011,Rockville High School,1466111,699,121,820,2015,special-ed
Vernon School District,1460011,Skinner Road School,1461011,280,54,334,2015,special-ed
Vernon School District,1460011,VPS PreK Collaborative - YMCA,1460711,*,*,8,2015,special-ed
Vernon School District,1460011,Vernon Center Middle School,1465111,591,91,682,2015,special-ed
Voluntown School District,1470011,Voluntown Elementary School,1470111,245,51,296,2015,special-ed
Wallingford School District,1480011,Highland School,1480211,280,27,307,2015,special-ed
Wallingford School District,1480011,A.R.T.S. Academy,1489011,0,17,17,2015,special-ed
Wallingford School District,1480011,Cook Hill School,1481011,294,71,365,2015,special-ed
Wallingford School District,1480011,Dag  Hammarskjold Middle School,1485211,637,96,733,2015,special-ed
Wallingford School District,1480011,Education Enhancement Program,1480511,*,*,19,2015,special-ed
Wallingford School District,1480011,Evarts C. Stevens School,1480911,301,28,329,2015,special-ed
Wallingford School District,1480011,Harvest Park,1489211,0,9,9,2015,special-ed
Wallingford School District,1480011,James H. Moran Middle School,1485311,630,66,696,2015,special-ed
Wallingford School District,1480011,Lyman Hall High School,1486111,944,129,1073,2015,special-ed
Wallingford School District,1480011,Mark T. Sheehan High School,1486211,761,88,849,2015,special-ed
Wallingford School District,1480011,Moses Y. Beach School,1480111,312,19,331,2015,special-ed
Wallingford School District,1480011,Multi-Vocational Life Skills Program,1489111,0,9,9,2015,special-ed
Wallingford School District,1480011,Parker Farms School,1480311,239,28,267,2015,special-ed
Wallingford School District,1480011,Pond Hill School,1481211,298,28,326,2015,special-ed
Wallingford School District,1480011,Rock Hill School,1480411,301,36,337,2015,special-ed
Wallingford School District,1480011,Yalesville School,1480811,289,32,321,2015,special-ed
Waterbury School District,1510011,West Side Middle School,1515211,791,229,1020,2015,special-ed
Waterbury School District,1510011,Washington School,1512311,260,50,310,2015,special-ed
Waterbury School District,1510011,B. W. Tinker School,1512111,521,70,591,2015,special-ed
Waterbury School District,1510011,B.W. Tinker BDLC,1510411,0,11,11,2015,special-ed
Waterbury School District,1510011,Bucks Hill School,1510511,482,93,575,2015,special-ed
Waterbury School District,1510011,Bunker Hill BDLC,1510111,0,15,15,2015,special-ed
Waterbury School District,1510011,Bunker Hill School,1510611,434,61,495,2015,special-ed
Waterbury School District,1510011,Carrington ESC,1511911,0,13,13,2015,special-ed
Waterbury School District,1510011,Carrington School,1512711,412,92,504,2015,special-ed
Waterbury School District,1510011,Crosby High School,1516211,938,254,1192,2015,special-ed
Waterbury School District,1510011,Crosby NVCC,1514011,0,15,15,2015,special-ed
Waterbury School District,1510011,Driggs School,1510911,430,85,515,2015,special-ed
Waterbury School District,1510011,Duggan CBL,1513611,0,8,8,2015,special-ed
Waterbury School District,1510011,Duggan School,1511611,366,97,463,2015,special-ed
Waterbury School District,1510011,Enlightenment School,1519111,113,26,139,2015,special-ed
Waterbury School District,1510011,Excel II,1513811,0,*,*,2015,special-ed
Waterbury School District,1510011,Excel III,1513911,0,6,6,2015,special-ed
Waterbury School District,1510011,F. J. Kingsbury School,1511411,464,77,541,2015,special-ed
Waterbury School District,1510011,Gilmartin School,1512611,386,93,479,2015,special-ed
Waterbury School District,1510011,H. S. Chase School,1510711,682,106,788,2015,special-ed
Waterbury School District,1510011,Hopeville School,1511311,428,62,490,2015,special-ed
Waterbury School District,1510011,John F. Kennedy High School,1516411,1043,258,1301,2015,special-ed
Waterbury School District,1510011,Maloney Interdistrict Magnet School,1513111,523,67,590,2015,special-ed
Waterbury School District,1510011,Maloney Prek,1519811,18,12,30,2015,special-ed
Waterbury School District,1510011,Margaret M. Generali Autism,1513511,0,26,26,2015,special-ed
Waterbury School District,1510011,Margaret M. Generali Elementary School,1511111,499,58,557,2015,special-ed
Waterbury School District,1510011,Michael F. Wallace Autism,1512911,0,19,19,2015,special-ed
Waterbury School District,1510011,Michael F. Wallace Middle School,1515111,947,235,1182,2015,special-ed
Waterbury School District,1510011,North End ESC,1511811,0,*,*,2015,special-ed
Waterbury School District,1510011,North End Middle School,1515311,770,219,989,2015,special-ed
Waterbury School District,1510011,Reed ESC,1512411,0,20,20,2015,special-ed
Waterbury School District,1510011,Reed School,1513411,347,87,434,2015,special-ed
Waterbury School District,1510011,Regan School,1512811,226,30,256,2015,special-ed
Waterbury School District,1510011,Rotella Interdistrict Magnet School,1513311,574,39,613,2015,special-ed
Waterbury School District,1510011,Special Education Preschool,1518011,122,95,217,2015,special-ed
Waterbury School District,1510011,Sprague School,1512011,407,58,465,2015,special-ed
Waterbury School District,1510011,State Street School,1519011,0,59,59,2015,special-ed
Waterbury School District,1510011,Walsh School,1512211,329,43,372,2015,special-ed
Waterbury School District,1510011,Waterbury Arts Magnet School (High),1516011,442,46,488,2015,special-ed
Waterbury School District,1510011,Waterbury Arts Magnet School (Middle),1515011,297,34,331,2015,special-ed
Waterbury School District,1510011,Waterbury Career Academy,1516711,645,48,693,2015,special-ed
Waterbury School District,1510011,Wendell L. Cross School,1510811,278,46,324,2015,special-ed
Waterbury School District,1510011,Wilby ESC,1511711,0,*,*,2015,special-ed
Waterbury School District,1510011,Wilby High School,1516311,889,283,1172,2015,special-ed
Waterbury School District,1510011,Woodrow Wilson BDLC,1511211,0,17,17,2015,special-ed
Waterbury School District,1510011,Woodrow Wilson School,1513211,372,59,431,2015,special-ed
Waterford School District,1520011,Autism Class,1521111,0,*,*,2015,special-ed
Waterford School District,1520011,Avery Point Transition Program,1520311,0,6,6,2015,special-ed
Waterford School District,1520011,Clark Lane Middle School,1525111,558,111,669,2015,special-ed
Waterford School District,1520011,Great Neck Elementary School,1520211,273,41,314,2015,special-ed
Waterford School District,1520011,Oswegatchie Elementary School,1520611,322,32,354,2015,special-ed
Waterford School District,1520011,Quaker Hill Elementary School,1520711,316,28,344,2015,special-ed
Waterford School District,1520011,Waterford High School,1526111,692,126,818,2015,special-ed
Waterford School District,1520011,Waterford High School Tutor Center,1521211,0,*,*,2015,special-ed
Watertown School District,1530011,Fletcher W. Judson School,1530311,257,32,289,2015,special-ed
Watertown School District,1530011,John Trumbull Primary School,1530211,571,66,637,2015,special-ed
Watertown School District,1530011,Polk School,1530411,311,49,360,2015,special-ed
Watertown School District,1530011,Swift Middle School,1535111,570,95,665,2015,special-ed
Watertown School District,1530011,Watertown High School,1536111,758,102,860,2015,special-ed
West Hartford School District,1550011,Smith School,1551711,332,27,359,2015,special-ed
West Hartford School District,1550011,Achieve,1559111,0,10,10,2015,special-ed
West Hartford School District,1550011,Aiken School,1551611,365,52,417,2015,special-ed
West Hartford School District,1550011,Braeburn Learning Center,1559311,0,6,6,2015,special-ed
West Hartford School District,1550011,Braeburn School,1550211,338,26,364,2015,special-ed
West Hartford School District,1550011,Bristow Middle School,1555311,385,37,422,2015,special-ed
West Hartford School District,1550011,Bugbee School,1550411,402,28,430,2015,special-ed
West Hartford School District,1550011,Charter Oak International Academy,1550511,284,38,322,2015,special-ed
West Hartford School District,1550011,Conard High School,1556111,1367,173,1540,2015,special-ed
West Hartford School District,1550011,Duffy School,1550611,472,15,487,2015,special-ed
West Hartford School District,1550011,Hall High School,1556211,1289,174,1463,2015,special-ed
West Hartford School District,1550011,King Philip Middle School,1555111,822,117,939,2015,special-ed
West Hartford School District,1550011,Morley School,1550911,263,38,301,2015,special-ed
West Hartford School District,1550011,Norfeldt Learning Center,1559411,0,8,8,2015,special-ed
West Hartford School District,1550011,Norfeldt School,1551011,308,39,347,2015,special-ed
West Hartford School District,1550011,REACH,1557311,36,0,36,2015,special-ed
West Hartford School District,1550011,STRIVE-West Hartford,1559211,0,29,29,2015,special-ed
West Hartford School District,1550011,Sedgwick Middle School,1555211,753,108,861,2015,special-ed
West Hartford School District,1550011,WAAVE (W Hartford Applied Academic/Voc'l Experience),1559011,0,12,12,2015,special-ed
West Hartford School District,1550011,Webster Hill School,1551211,400,30,430,2015,special-ed
West Hartford School District,1550011,Whiting Lane Learning Center,1559511,0,8,8,2015,special-ed
West Hartford School District,1550011,Whiting Lane School,1551311,334,103,437,2015,special-ed
West Hartford School District,1550011,Wolcott Learning Center,1559611,0,8,8,2015,special-ed
West Hartford School District,1550011,Wolcott School,1551511,425,42,467,2015,special-ed
West Haven School District,1560011,Washington School,1561211,413,56,469,2015,special-ed
West Haven School District,1560011,Life Skills,1560111,0,6,6,2015,special-ed
West Haven School District,1560011,ASD Lab,1561111,0,10,10,2015,special-ed
West Haven School District,1560011,Alma E. Pagels School,1560811,254,86,340,2015,special-ed
West Haven School District,1560011,Blended,1560711,*,*,17,2015,special-ed
West Haven School District,1560011,Blended (Molloy),1560511,*,*,17,2015,special-ed
West Haven School District,1560011,Carrigan 5/6 Intermediate School,1565311,763,138,901,2015,special-ed
West Haven School District,1560011,Edith E. Mackrille School,1560611,259,41,300,2015,special-ed
West Haven School District,1560011,Forest School,1560311,386,75,461,2015,special-ed
West Haven School District,1560011,Harry M. Bailey Middle School,1565111,710,132,842,2015,special-ed
West Haven School District,1560011,PACE,1560211,23,13,36,2015,special-ed
West Haven School District,1560011,Savin Rock Community School,1561411,419,62,481,2015,special-ed
West Haven School District,1560011,Seth G. Haley School,1560411,347,72,419,2015,special-ed
West Haven School District,1560011,West Haven High School,1566111,1252,204,1456,2015,special-ed
Westbrook School District,1540011,Daisy Ingraham School,1540211,221,40,261,2015,special-ed
Westbrook School District,1540011,Westbrook High School,1546111,260,27,287,2015,special-ed
Westbrook School District,1540011,Westbrook Middle School,1545111,200,27,227,2015,special-ed
Weston School District,1570011,Hurlbutt Elementary School,1570111,396,50,446,2015,special-ed
Weston School District,1570011,Weston High School,1576111,779,61,840,2015,special-ed
Weston School District,1570011,Weston Intermediate School,1570211,475,56,531,2015,special-ed
Weston School District,1570011,Weston Middle School,1575111,538,44,582,2015,special-ed
Westport School District,1580011,Bedford Middle School,1585111,745,90,835,2015,special-ed
Westport School District,1580011,CES Segregated,1580111,0,7,7,2015,special-ed
Westport School District,1580011,Coleytown Elementary School,1580311,365,39,404,2015,special-ed
Westport School District,1580011,Coleytown Middle School,1585311,483,45,528,2015,special-ed
Westport School District,1580011,Green's Farms School,1580411,389,22,411,2015,special-ed
Westport School District,1580011,Green's Farms Segregated,1580211,0,*,*,2015,special-ed
Westport School District,1580011,King's Highway Elementary School,1580511,449,36,485,2015,special-ed
Westport School District,1580011,King's Highway Segregated,1580611,0,6,6,2015,special-ed
Westport School District,1580011,Long Lots School,1580711,519,41,560,2015,special-ed
Westport School District,1580011,Saugatuck Elementary School,1580811,465,51,516,2015,special-ed
Westport School District,1580011,Staples High School,1586111,1678,207,1885,2015,special-ed
Westport School District,1580011,Stepping Stones Preschool,1588011,21,29,50,2015,special-ed
Wethersfield School District,1590011,Alfred W. Hanmer School,1590811,313,40,353,2015,special-ed
Wethersfield School District,1590011,Charles Wright School,1591011,287,39,326,2015,special-ed
Wethersfield School District,1590011,Emerson-Williams School,1590211,364,60,424,2015,special-ed
Wethersfield School District,1590011,Highcrest School,1591111,385,41,426,2015,special-ed
Wethersfield School District,1590011,Samuel B. Webb Elementary School,1591211,285,77,362,2015,special-ed
Wethersfield School District,1590011,Silas Deane Middle School,1595211,466,78,544,2015,special-ed
Wethersfield School District,1590011,Wethersfield High School,1596111,1039,146,1185,2015,special-ed
Willington School District,1600011,Center School,1600111,208,40,248,2015,special-ed
Willington School District,1600011,Hall Memorial School,1605111,149,37,186,2015,special-ed
Wilton School District,1610011,Middlebrook School,1615211,872,146,1018,2015,special-ed
Wilton School District,1610011,Cider Mill School,1610711,847,124,971,2015,special-ed
Wilton School District,1610011,Miller-Driscoll School,1610511,713,100,813,2015,special-ed
Wilton School District,1610011,Wilton High School,1616111,1173,163,1336,2015,special-ed
Wilton School District,1610011,Wilton-Westport Evening School,1610111,*,0,*,2015,special-ed
Winchester School District,1620011,Batcheller Early Education Center,1620411,120,29,149,2015,special-ed
Winchester School District,1620011,Mary P. Hinsdale School,1620211,200,37,237,2015,special-ed
Winchester School District,1620011,Pearson Middle School,1625111,137,34,171,2015,special-ed
Windham School District,1630011,Charles H. Barrows STEM Academy,1630411,493,58,551,2015,special-ed
Windham School District,1630011,Early Headstart-Commerce Dr.,1638011,23,0,23,2015,special-ed
Windham School District,1630011,Natchaug School,1630111,268,50,318,2015,special-ed
Windham School District,1630011,North Windham ASD Program,1630811,0,*,*,2015,special-ed
Windham School District,1630011,North Windham School,1630311,420,52,472,2015,special-ed
Windham School District,1630011,Sweeney Medically Fragile Program,1630911,0,*,*,2015,special-ed
Windham School District,1630011,W. B. Sweeney School,1630611,221,43,264,2015,special-ed
Windham School District,1630011,Windham Center School,1630511,245,30,275,2015,special-ed
Windham School District,1630011,Windham Early Childhood Prospect Street,1638311,159,27,186,2015,special-ed
Windham School District,1630011,Windham Early Childhood Tuckie Road,1631011,*,*,47,2015,special-ed
Windham School District,1630011,Windham High School,1636111,447,114,561,2015,special-ed
Windham School District,1630011,Windham Middle School,1635111,452,111,563,2015,special-ed
Windsor Locks School District,1650011,North Street School,1650111,372,56,428,2015,special-ed
Windsor Locks School District,1650011,Pine Meadow Academy,1650611,22,9,31,2015,special-ed
Windsor Locks School District,1650011,RISE Transition Academy,1650211,0,8,8,2015,special-ed
Windsor Locks School District,1650011,South Elementary School,1650411,323,58,381,2015,special-ed
Windsor Locks School District,1650011,Windsor Locks High School,1656111,388,46,434,2015,special-ed
Windsor Locks School District,1650011,Windsor Locks Middle School,1655111,294,54,348,2015,special-ed
Windsor School District,1640011,Clover Street School,1640111,242,46,288,2015,special-ed
Windsor School District,1640011,Community Based Transition Academy,1640211,0,11,11,2015,special-ed
Windsor School District,1640011,Expulsion,1640411,*,*,*,2015,special-ed
Windsor School District,1640011,John F. Kennedy School,1640811,367,39,406,2015,special-ed
Windsor School District,1640011,Oliver Ellsworth School,1640911,342,63,405,2015,special-ed
Windsor School District,1640011,Plato Credit Recovery,1640611,0,*,*,2015,special-ed
